station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
114800079470001,Kattukuppam,11.8,79.78333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,3.82,2.52,2.14,1.32,2.25,2.72,1.22,1.53,2.89,2.32,1.12,,,,,1.25,,2.42,2.07,,,2.1,,,2.2,3.09,0.37,0.47,1.83,,,1.42,1.42,1.43,1.37,1.17,1.67,1.54,,,2.37,1.07,0.7,,,1.37,1.52,1.63,2.33,2.6,0.81,1.8,2.54,,,0.1,3.57,1.95,1.1,1.6,,1.56,1.36,0.82,,2.05,0.83,1.6,2.01,2.21,1.06,0.82,1.37,,
115532079441001,Mangalam1,11.92555556,79.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.98,24.25,16.8,16.95,9.8,16.96,17.02,18.1,16.83,16.55,17.26,17.3,,,,,18.1,17.1,17,16.8,16.9,15.7,15.65,,14.49,,,13.69,13.52,,,,,,21.06,13.47,13.41,13.66,13.91,,17.18,14.64,15.2,15.13,,24.68,15.9,16.46,16.12,16.85,18.15,,18.39,,,,19.73,20.65,21.7,22.78,21.27,,20,20.25,22.84,,20.97,21.03,21.72,23.74,19.17,18.5,,22.27,,
115332079441001,Mangalam2,11.89222222,79.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11,17.16,17.65,18.91,17.8,7.29,16.97,27.3,17.1,17.1,17.26,16.8,,,,,15.97,17.6,16,16.25,15.6,15.6,15.5,,14.58,,,13.57,13.15,,,,,,13.14,13.35,13.58,14.2,14.83,,15.42,16.07,16.84,16.9,,15.64,,16.86,16.98,17.88,18.29,,18.7,,,20.8,20.17,21,21.82,22.1,21.56,,22.62,20.25,23.75,,21.8,22.33,20.15,22.86,18.6,18.2,18.65,17.92,,
115443079492401,Pondicherry,11.91194444,79.82333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,3.55,3.3,3.15,2.7,3.56,3.63,2.77,3.13,3.69,2.77,2.99,,,,,2.75,3.45,3.75,3.2,2.95,3.35,2.35,3.2,2.97,3.66,4.23,2.38,2.55,3.75,,,3.61,3.61,4.81,2.6,3.14,3.44,3.39,,3.34,3.48,2.4,2.11,,3.37,3.38,3.25,3.47,3.58,3.4,2.89,3.12,2.35,4.45,2.85,2.9,3.53,3.2,2.8,3.33,,3.31,3.05,2.73,,3.71,2.3,2.49,2.77,3.77,2.35,2.85,4.47,,
115300079460003,Reddichavadi,11.88333333,79.76666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,6.35,2.98,2.03,3.55,2.62,2.96,0.65,1.67,2.79,2.18,1.73,,,,,1.84,2.74,2.85,2.65,1.69,2.89,3.04,2.29,1.22,2.72,3.59,1.54,1.39,3.24,,,2.64,2.4,3.09,2.59,2.25,2.86,2.5,,2.19,2.47,1.69,0.54,,3.37,2.36,2,2.79,,3.19,2.38,2.19,2.42,3.19,1.82,1.94,3.1,3.1,1.5,2.34,,3.21,2.4,2.27,,3.2,0.83,2.17,2.6,2.98,1.6,2.29,2.85,,
115500079453001,Villanur,11.91666667,79.75833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,5.95,6.55,6.77,3.7,5.28,,4.43,4.16,5.53,6.05,4.43,,,,,2.85,4.75,5.35,5.1,2.55,4.37,4.3,2.75,2.1,3.57,,1.95,1.67,3.85,,,3.65,3.65,4.85,2.45,4.06,5.35,5.8,,4.7,5.78,5.6,3.65,,3.21,5.52,5.45,5.45,,,,5.5,,,,5.85,6.9,7,6.2,4.9,,7.13,6.78,3.05,,,1.65,2.7,3.16,4.55,3.45,2.85,4.98,,
115332079441002,Mangalam3,11.89222222,79.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07,21.07,21.26,28.46,23.77,22.33,22.06,24.61,25.63,22.9,21.74,22.83,24.03,25.61,25.66,27.16,26.87,,26.2,,,28.2,27.5,30.05,29.3,28.96,27.37,,30.33,29.97,27.9,,27,24.64,21.98,23.71,,22.59,17.86,17.76,,
115332079441003,Mangalam4,11.89222222,79.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.77,20.62,20.78,22.89,23.08,21.46,21.5,22.03,25.02,23.1,21.4,21.88,23,25.5,24.13,26.52,25.67,,25.55,,,27.35,26.4,29.25,24.25,27.64,25.92,,29.11,28.87,25.56,,20.8,22.85,20.04,24.85,22.71,21.45,22.15,24.94,,
115332079441004,Mangalam5,11.89222222,79.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.02,21.91,21.94,21.48,18.91,22.08,23,20.7,18.5,,21.44,23.83,23.12,24.57,24.87,,23.29,,26.54,25,12.97,27.65,23.08,25.48,20.15,,27.08,26.25,22.79,,,20.25,17.42,20.68,19.85,19.04,21.4,24.63,,
TNGW0058,KARUVADUKUPPAM_1,11.972304,79.813212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.28,30.05,30.5,31.72,32.87,
