station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
315045074453001,Ajnala,31.84583333,74.75833333,,,,,,,,,7.65,14.4,6.97,8.33,14.4,,6.8,6.49,6.41,8.12,8.4,7.12,7.21,7.62,8.4,8.05,8.23,8.65,8.66,8.55,8.57,8.4,9.2,9,9.08,9.45,9.9,9.8,9.68,9.86,10.27,9.71,,,,,10.19,10.24,10.5,10.4,10.21,10.72,,,,10,10.95,10.02,,,,,10.76,10.4,11.31,10.88,10.82,11.15,12.1,11.42,11.5,11.61,12.23,12.26,11.35,12.5,,13.92,,12.35,12.55,11.98,11.52,11.19,12.36,11.4,11.09,11.23,11.58,11.45,,11.2,11.93,12.22,11.9,11.86,12.95,12.94,12.23,12.42,,15,12,12.4,,12.9,12.4,,,15,,,,,12.6,12.3,,,,,,
314045075143001,Mehta,31.67916667,75.24166667,,,,,,,,,4.31,,2.75,2.76,7,5.68,3,3.02,3.38,4.82,4.65,,4.44,,,,,,6.4,6.1,6.3,7.05,5.23,6.7,6.45,6.98,8,8.2,7.65,,,7.35,7.39,,9.55,9.6,9.53,9.93,10.48,10.15,10.02,10.72,11.96,10.2,9.45,10.61,12.65,,,,,,,,,,,,,12.73,,,,,,,,,,,,,,,,11.38,,13.1,,15.1,,,,12.3,11.8,,,14.25,13.34,14.42,,14.48,,,,14.25,14.56,,,17.6,,,,,,,,,,,,
313800074523001,Amritsar,31.63333333,74.875,,,,,,,,,,,,,,,,,15.87,,13.95,,,18,,17.75,17.9,18.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29,,,,23.91,,,,24.5,,,,,,,,,,,,,,,,,,,,26.6,,,,20.9,,,25.45,26.4,,,25.86,25.66,,26.9,26.01,26.14,25.96,26.78,26.89,,,,
313055075180001,Beas07,31.51527778,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58,14.45,,14.15,14.07,14.48,13.62,13.9,13.94,14.25,14.49,13.72,14.32,14.53,,14.78,,14.67,14.47,14.6,14.5,14.78,14.05,13.88,14.18,14.92,14.92,14.35,14.3,13.82,14.45,14.52,14.88,,,14.65,14.5,,15.4,15.16,15.37,15.59,15.12,14.99,15.05,,13.92,
313800074523002,Amritsar1,31.63333333,74.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.69,24.27,24.94,24.9,24.54,,24.17,25.4,23.86,26.3,24.84,23.36,25.9,24.48,27.06,25.04,25.25,25.34,25.12,25.74,25.24,25.1,25.74,25.79,26.19,25.13,25.41,25.49,,,,,,,,,,,,,,,,25.05,
314300074400001,ChogWan- Pz,31.71666667,74.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35,9.83,11.42,11.97,10.3,8.85,9.95,12.75,8.74,9.25,10.27,13.2,9.35,9.57,8.07,11.29,10.19,9.75,11.11,14.35,10.87,10.71,,14.73,11.28,11.26,11.69,13.3,,,,,,,,16.72,13.97,11.95,13.37,16.13,,12.96,14.37,14.54,
315400074400001,Gago Mahal- Pz,31.9,74.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57,6.85,6.9,6.1,5.65,5.75,5.85,6.74,4.91,5.51,5.53,7.41,5.35,5.49,5.85,6.39,5.95,6.08,6.4,6.23,6.07,6.27,,7.32,6.6,5.58,5.79,7.3,6.53,6.55,,,7.32,7.05,,,,,,,,,,,
313400075020001,Jandiala Guru-Pz,31.56666667,75.03333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.99,18.82,19.14,19.57,19.15,18.45,18.45,19.86,18.82,18.86,18.95,19.55,18.97,18.73,19.27,19.49,19.43,18.85,19.37,20.15,20.03,20.55,20.25,20.98,20.5,20.03,20.73,22.43,20.81,16.45,,21.62,16.6,17.5,,,21.78,21.21,,22.25,21.98,21.55,,21.75,
314000075095001,Nawan Tanal- Pz,31.66666667,75.16388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98,10.74,11.58,10.91,10.3,10.29,10.29,12.31,9.98,10.63,10.85,,,10.12,11.25,11.95,12.6,11,11.7,12.13,11.41,,12.51,13.4,11.98,11.08,11.85,12.68,12.86,12.31,,14.45,12.8,12.85,,15.52,13.32,14.75,13.76,14.13,12.87,12.72,13.86,13.9,
314530074573001,Majitha- Pz,31.75833333,74.95833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,12.5,13.8,12.7,12.8,12.8,,12.3,,,,14.1,,,,,13.4,,,,13.8,,,,,,,,,,,,,,,,,,,
