station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
302020074472301,Ablu,30.33888889,74.78972222,,,,,,,,,7.87,0.05,7.23,7.57,7.73,7.62,7.35,7.4,7.07,7.58,7.44,7.53,6.77,6.62,7.01,7.08,7.07,7.1,7.5,7.37,7.45,7.92,7.67,7.92,7.82,7.87,8.55,8.7,8.87,8.59,9.02,8.57,8.67,8.79,9.07,9.12,9.11,8.77,9.2,8.54,8.83,9.87,10.57,10.27,10.22,9.57,10.91,10.77,,,,,10.87,13.82,12.17,10.87,11.42,11.69,12.22,11.77,11.12,11.58,12.51,12.05,11.57,,,12.89,11.67,12.76,13.11,12.87,12.48,9,12.58,13.29,12.88,13.07,13.72,13.51,,13.1,14.32,14.17,13.59,13.79,12.04,14.57,13.81,14.34,15.17,15.17,13.92,12.53,15.27,14.97,14.87,,15.59,14.77,,,16.9,15.27,14.25,13.73,15.94,15.17,13.37,14.25,,
301315074470001,Balluana1,30.22083333,74.78333333,,,,,,,,,5.09,4.96,3.68,4.47,4.81,4.35,3.65,3.6,3.6,4.37,4.25,4.35,3.07,3.92,3.18,4.41,3.22,3.11,2.67,3.17,3.27,3.65,5.21,4.2,3.68,3.77,4.27,4.17,4.27,4.24,4.32,3.47,5.24,3.37,4.12,4.42,4.39,4.26,4.2,3.57,3.67,3.67,3.97,4.17,4.21,4.27,3.97,4.23,,,,,3.97,3.98,7.05,4.37,4.16,4.35,3.87,3.97,3.52,4,4.17,3.75,3.52,4.13,,4.3,4.22,4.29,3.59,3.9,3.83,4.27,4.91,4.55,4.83,7.2,4.93,4.74,,5.09,,,5,5.37,5.46,5.27,5.05,5.25,5.47,5.33,5.44,,5,,,,5.55,5.53,5.47,,7.9,,5.5,5.98,6.84,6.46,6.27,6.6,,
300150075040001,Bhagibandar,30.03055556,75.06666667,,,,,,,,,9.22,9.04,8.73,8.7,8.54,8.71,8.23,8.12,7.98,8.73,7.69,8.68,7.5,7.33,7.24,7.36,7.63,7.26,7.33,7.83,7.13,7.41,7.37,7.27,7.45,7.73,7.81,7.84,7.78,7.86,7.98,7.68,7.59,7.61,7.98,8.11,8.18,7.42,8.46,8.39,8.13,8.23,8.33,8.23,8.12,8.18,8.53,7.48,,,,,8.53,8.33,8.74,8.88,8.91,,9.21,9.53,9.03,9.23,8.88,8.73,7.38,,,8.56,8.35,8.46,8.3,5.93,8.19,8.03,8.69,8.28,8.23,8.67,8.33,8.32,,8.41,6.48,8.53,8.47,8.73,9.07,9.13,4.97,9.13,9.63,9.73,9.57,9.2,10.63,9.48,8.28,,9.53,9.33,8.35,,10.71,8.53,8.13,,,9.06,8.79,9.22,,
301530074561001,Deratapp,30.25833333,74.93611111,,,,,,,,,0.98,2.43,2.45,2.85,2.86,3.17,2.68,2.01,3.63,3.23,2.46,3.23,1.73,3,3.26,2.78,3.33,2.2,2.4,3.55,3.18,3.78,4.75,3.33,3.93,4.13,4.27,3.92,,4.23,3.73,3.94,4.09,4.15,4.33,3.53,5.05,5.13,5.03,4.25,4.36,4.13,4.93,4.48,6.1,6.5,4.67,5.03,,,,,5.45,5.8,5.2,5.29,4.63,5.64,4.65,5.33,5.53,4.98,4.98,4.4,4.33,5.2,,4.22,5.13,5.49,5.31,5.61,5.48,5.93,6.39,5.8,5.23,5.97,6.28,6.63,,6.53,6.33,4.93,,6.17,6.86,7.03,6.9,,6.44,8.01,8.18,7.68,7.07,8.37,8.26,,8.56,8.22,8.86,,9.85,8.97,9.03,,,9.93,9.95,10.23,,
302345075080001,Dialpura2,30.39583333,75.13333333,,,,,,,,,6.96,7.27,7.18,7.15,7.93,8.66,7.52,7.34,7.51,8.61,8.45,8.46,7.99,8.28,8.79,8.79,8.91,9.26,9.76,10.16,8.6,10.61,11.47,11.5,11.62,12.06,13.26,13.19,13.36,13.36,12.96,13.81,14.03,14.06,15.06,15.21,15.16,15.26,16.36,15.06,15.94,15.86,16.06,16.76,16.46,16.76,18.01,17.72,,,,,18.56,17.26,21.06,20.26,19.6,20.39,21.92,20.76,20.51,19.63,21.06,21,20.7,21.12,,24.66,21.96,22.24,23.03,22.15,22.24,22.4,24.83,24.13,23.63,23.68,25.88,27.76,,24.86,24.01,27.22,26.16,26.68,26.73,28.41,27.58,27.68,30.06,28.55,29.11,28.5,32.76,32,31.06,,,33.71,31.86,,35.87,,,33.72,,,,,,
302300075080001,Dialpur Mirza,30.38333333,75.13333333,,,,,,,,,7.59,7.9,7.6,7.41,7.62,8.02,9.1,7.78,,8,8.95,8.75,7.93,8.05,9.33,8.7,9.1,9.34,10,10.2,9.82,10.4,11,10.97,11.15,10.8,12.64,12.41,12.35,12.8,12.45,13.1,12.94,13.25,14.35,14.2,13.99,14.26,15.01,14.61,14.37,14.45,15.5,15.2,14.95,15.2,16.35,16.65,,,,,16.6,17.3,18.7,18.65,17.88,18.34,19.83,19.2,19,18.67,20.3,19.4,18.71,,,21.11,20.18,20.19,22.37,21.49,20.6,21.8,24,23.07,22,22.92,24.47,25.72,,23.2,23.4,27.13,25.96,24.4,26.76,27.45,26.18,,,27.9,27.45,,30.2,,28.66,,30.9,31.63,29.35,,,,32.58,32.68,35,33.42,,31.57,,
300740074472001,Ghudda,30.12777778,74.78888889,,,,,,,,,8.83,8.64,8.7,8.41,8.31,8.27,7.93,8.01,7.69,8.34,7.84,8.14,7.06,7.09,6.97,7.14,7.31,6.77,6.89,7.09,7.19,7.44,7.32,7.54,7.49,7.79,7.57,7.62,7.69,7.47,7.84,7.34,7.63,6.9,7.59,7.49,7.41,7.68,7.8,7.33,7.44,7.19,7.39,7.29,7.42,7.09,7.09,7.17,,,,,6.37,6.34,8.49,6.64,6.41,6.29,6.12,5.79,5.49,5.91,5.49,5.26,5.89,,,5.39,5.7,,4.84,4.89,4.84,3.51,,2.89,,3.68,,9.3,,,,,,,,,,,,28.49,28.49,,,,,,,,,,,,,,,,,,,
300900075000003,Gulabgarh 1 (s),30.15,75,,,,,,,,,11.1,10.88,18.37,10.4,10.44,10.67,,,,10.55,,,10.05,,9.2,,,,,,,,,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,11.61,11.38,10.89,,12.37,11.01,10.91,12.41,11.53,11.01,10.76,11.99,,13.34,13.22,13.25,12.76,11.32,,,,,,,,,,13.45,,,13.17,15.43,,,,,,,,,,,,,,,,,,,,,,15.07,14.58,,,
300405074480501,Jassi Bhagwali,30.06805556,74.80138889,,,,,,,,,9.96,9.89,9.75,9.57,7.08,9.45,9.2,9.24,8.92,9.47,9.39,9.42,8.33,8.05,8.01,8.03,8.17,7.97,8.07,7.52,8.02,8.32,7.8,7.99,7.97,8.37,8.61,8.65,8.52,8.67,8.57,8.37,8,8.22,8.62,9.97,9.05,9.47,9.18,8.73,9.22,9.19,4.48,9.22,9.47,9.62,9.52,8.98,,,,,10.6,10.78,10.8,9.34,10.7,10.88,11.2,9.07,9.87,8.97,9.27,8.57,8.27,8.53,,9.84,8.37,9.62,7.39,7.12,6.96,6.67,7.37,6.43,6.77,5.77,5.97,5.61,,5.68,,6.37,5.84,6.87,5.97,7.02,6.86,3.75,7.39,7.2,7.57,8.2,7.42,7.05,6.77,,7.67,6.95,6.77,,9.25,6.97,6.77,7.72,7.97,7.15,7.17,7.39,,
300950075090001,Jhanduke,30.16388889,75.15,,,,,,,,,11.52,11.72,11.95,11.62,11,11.9,11.6,11.03,11.33,11.95,11.81,11.9,11.63,11.49,12.64,12.36,12.35,12.23,5.9,12.42,12.12,12.65,12.85,12.77,12.67,12.92,15.06,14.22,14.17,14.12,14.22,13.62,11.2,13.82,15.12,14.42,13.34,14.32,14.65,14.94,14.31,14.42,16.12,14.72,14.42,14.97,15.82,15.47,,,,,15.38,,,,16.02,18.02,19.14,18.87,18.72,18.7,19.72,19.82,17.62,,19.03,19.54,24.15,19.22,22.17,19.5,19.32,19.29,22.89,22.32,,19.56,22.97,22.87,,22.34,,24.52,21.77,23.02,23.97,24.97,23.72,23.27,25.92,25.78,24.47,,,,25.67,,27.15,26.74,25.72,,29.25,27.12,25.22,25.94,28.98,28.76,30.95,26.84,,
