station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
303830076310002,Badalialasingh,30.64166667,76.51666667,,,,,,,,,,,,,,,,20.52,19.76,,21.8,,19.3,,21,21.8,,,22.45,,20.8,,23.52,21.5,,23.45,25,23.79,23.71,24.06,25.7,24.8,25.11,25.6,27.77,26.31,25.55,26.2,28.85,28.35,26.8,27.24,,30.06,,29.66,33.03,31.25,,,,,30.83,30.52,33.72,31.66,31.02,32.49,35.1,32.28,31.54,34.56,36.26,32.92,,32.5,,33.58,37.15,33.36,49.92,34.94,33.4,32.26,,35.88,35.79,33.56,33.27,35.78,,32.72,39.03,38.29,37.53,37.56,39.8,39.88,38.7,38.08,41.89,39.04,38.16,41.28,40.88,39.31,49.14,,,38.95,38.6,,40.8,40.18,39.66,39.09,40.06,40.23,39.65,38.93,39.93,
304245076224001,Bassi Pathana,30.7125,76.37777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,7.5,,9.66,10.6,9.81,9.99,10.55,10.9,11.4,10.62,11.16,12.16,11.85,11.97,12.7,13.15,13.41,13.6,13.65,14.9,,14.55,15.12,16.1,16.77,,,,,14.79,15.51,,15.6,15.26,16.15,16.6,15.62,15.44,16.7,16.55,15.52,,16.13,,16.36,16.66,17.17,17.92,17.35,15.68,17.09,20.69,21.05,15.67,18.1,17.55,23.15,,18.1,19.4,19.45,19.2,19.48,21.34,20.11,19.85,20.22,21.66,,19.94,19.95,,24.48,19.85,,,26.73,20.36,,22.65,19.85,20.44,,21.35,28.46,20.93,20.78,20.9,
304200076321501,Bhateri1,30.7,76.5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05,16.32,,18.82,19.22,19.31,20.4,19.92,21.42,19.72,21.67,21.27,21.92,21.12,20.92,22.12,22.75,22.92,23.12,23.27,23.32,25.8,24.62,25.97,27.47,26.67,,,,,26.12,27.38,29.05,21.42,24.49,28.52,29.42,27.9,27.16,28.22,29.84,29.18,,29.25,,29.5,30.75,29.15,29.22,30.39,29.82,29.12,31.41,31.42,30.82,33.1,32.74,31.62,,30.92,,33.01,32.9,32.12,34.4,33.72,33.95,33.03,35.23,34.18,32.95,32.55,33.6,,,,33.54,,,,,,,,,,34.97,,33.7,
303640076344001,Bhagrana,30.61111111,76.57777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,7.19,7.02,7.4,6.47,6.57,6,,,,,4.89,6.59,6.29,3.76,4.51,6.1,5.43,4.07,4.87,6.5,3.58,3.35,4.28,5.77,,5.31,5.8,6.04,10.4,3.74,4.8,5.23,5.92,5.25,5.38,5.22,4.92,3.5,,4.78,4.7,3.83,4.43,4.8,2.45,3.19,3.88,,3.9,2.75,2.08,4.87,2.7,2.67,2.92,,1.13,2.92,2.94,,4.5,2.95,3.37,4.15,2.32,2.45,2.73,3.85,0.72,
304255076293701,Chunni Kalan,30.71527778,76.49361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.97,15.71,15.66,15.72,15.77,,,,,,,16.74,17.47,15.64,,,18,,,15.09,17,,,,,,,,15.62,,,14.79,14.82,15.35,16.15,16.3,16.9,,14.8,,14.1,16.14,15.8,15.6,,15.91,15.55,,15.49,15.03,15.16,14.04,14.9,14.4,12.96,12.98,,14.5,13.75,13.1,,16,14.08,13.83,14.79,14.85,13.72,13.24,14.21,12.69,
303804076363501,Pawala,30.63444444,76.60972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62,,11.42,11.85,11.37,10.75,11.45,,,,,11.46,12.18,13.31,12.04,12.6,13.31,9.79,10.4,10.65,8.7,10.87,10.38,10.89,11.64,,12.59,13.64,12.12,5.24,11.3,11.8,11.2,12.71,13.32,13.15,12.99,12.53,13.1,,13.44,13.2,9.35,14.7,10.24,10.45,,,,9.76,13.72,14,9.78,13.74,13.97,14.22,,7.24,,13.2,,,14.53,14.62,14.59,14.6,14.12,14.12,13.55,14.14,
303746076211801,Tarkhan Majra,30.62944444,76.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.37,13.85,13.7,13.2,13.75,14.99,14.3,,,,,14.13,14.32,15.93,16.45,15.03,15.68,,15.11,14.66,15.7,16.51,14.83,14.85,15.4,,,,,,,,,,,,12.45,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303230076074501,Bagga Kalan,30.54166667,76.12916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05,,21.05,,,20.9,20.55,21.9,22.25,22.55,23.35,,24,,,,24.5,24.75,,,,27.45,27.45,,27.95,27.55,,,,,,,,,,,,,27.51,29.15,,,,,
302915076230001,Balpur,30.4875,76.38333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,19.95,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,,
304545076233001,Burj,30.7625,76.39166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,17.2,,,16.15,15.9,17.35,17.65,17.4,16.95,,17.4,,,,17.85,17.85,,,19.15,19.15,19.7,,20.1,19.7,,,,,,,,,,,,,,,,,,,
