station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
300852074113001,Abohar,30.14777778,74.19166667,,,,,,,,,1.77,2.18,2.35,2.17,1.86,1.91,1.49,2.61,1.48,1.69,1.31,1.31,1.22,1.66,1.43,1.6,1.51,2.22,,1.69,3.22,1.87,1.95,2.32,1.84,1.95,2.26,,3.71,,2.25,2.31,2.21,2.31,2.46,2.66,2.49,2.41,2.56,2.54,2.57,3.91,3.61,2.61,2.35,2.09,1.91,1.99,,,,,1.41,1.69,1.81,1.91,1.96,2.13,2.14,2.16,2.09,1.96,2.44,2.04,1.28,1.78,,1.97,1.56,1.99,2.05,2.4,2.25,2.06,1.61,1.96,1.91,2.15,2.27,1.92,,1.96,2.71,2.36,2.31,2.84,2.51,2.71,2.48,3.01,3.19,2.92,2.98,3.45,3.31,3.55,3.31,,2.01,1.89,1.74,,4.93,2.91,2.67,1.4,2.44,3.01,2.8,2.88,,
300736074093001,Alamgarh,30.12666667,74.15833333,,,,,,,,,2.43,2.59,2.39,2.49,2.22,2.24,1.64,1.54,1.38,1.88,1.59,1.74,1.53,1.79,1.53,1.88,1.61,1.74,1.57,1.99,1.72,2.09,1.79,2.18,1.81,2.77,2.45,2.89,2.79,4.01,2.53,2.54,2.19,2.19,3.64,2.99,2.74,2.69,2.79,2.59,2.34,2.39,2.19,2.19,2.05,1.74,1.39,1.59,,,,,1.39,1.29,1.99,2.04,1.86,2.28,1.96,1.79,1.79,1.76,1.94,2.03,0.9,1.29,,1.4,1.13,1.44,0.89,1.41,1.26,1.32,1.87,1.15,1.26,1.51,0.2,0.96,,1.13,2.14,1.89,1.49,1.87,1.58,1.89,1.29,,1.44,1.17,1.72,2.34,,,,,,,,,,,,,1.23,,,,,
295730074230001,Bazirdpura,29.95833333,74.38333333,,,,,,,,,17.4,17.15,17,16.76,6.56,16.26,16.01,16.01,15.76,15.42,15.28,14.9,14.71,14.55,14.34,14.23,14.05,13.95,13.64,13.65,13.48,13.44,13.29,13.27,12.97,12.52,12.18,14.1,13.85,12.32,12.04,11.47,11.8,11.6,11.3,11.3,10.99,11.08,11.02,11.12,11.04,11.07,10.77,10.57,10.86,10.8,10.62,10.47,,,,,10.05,10.1,11.8,,10.25,10.1,10.27,10.3,9.75,9.88,9.76,9.6,10.02,9.07,,9.18,9.05,8.82,0.3,8.9,0.82,8.72,,8.48,8.37,8.2,8.8,,,7.97,7.8,7.9,10.4,5.72,7.67,7.6,,7.5,7.57,7.43,7.3,7.27,7.2,7.2,6.87,,6.92,6.8,6.8,,9.85,7.7,7.15,7.33,7.3,7.07,6.93,6.95,,
300644074150401,Chak Kala Tibba,30.11222222,74.25111111,,,,,,,,,4.12,4.42,3.89,3.94,3.76,3.76,2.99,3.32,2.98,3.1,2.87,3.13,2.86,2.94,2.45,2.73,2.37,2.72,2.3,2.83,2.75,3.24,2.28,3,2.36,,2.81,3.4,3.22,5.35,3.09,3.39,3,3.35,3.51,3.7,3.38,3.25,3.49,3.64,3.33,3.2,3,3.3,2.72,2.35,2.1,2.33,,,,,1.54,2.66,0.8,3,2.66,2.93,3.18,3.16,2.46,2.71,2.24,1.54,1.43,1.82,,2.11,1.82,1.89,2.61,1.59,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301155074021501,Danewal Satkosi,30.19861111,74.0375,,,,,,,,,4.52,4.6,4.27,4.59,4.47,4.64,3.95,4.13,4.03,4.21,4.2,4.25,4.28,4.4,3.83,4.17,4.14,4.13,3.71,4.3,4.25,5.9,4.4,4.56,4.41,7.9,4.8,5.08,5.1,5.12,4.54,4.38,4.18,5.55,4.25,5.05,4.94,4.73,5,5.04,4.92,4.8,4.7,4.9,4.84,4.75,3.9,4.05,,,,,4.05,3.2,5.57,4.31,4.45,4.5,4.55,4.4,4.3,4.2,5.1,4.63,4.63,4.81,,5.71,4.52,4.56,4.18,4.46,4.26,3.1,3.48,4.27,4.19,4.34,4.08,3.02,,2.78,4.51,4.4,4.69,4.76,4.78,3.63,4.38,3.67,4.07,5.29,4.98,4.19,3.48,4.45,4.48,,3.55,3.43,5.85,,6.05,2.3,3.47,3.74,1.89,3.2,2.95,3.08,,
301255074160901,Kundal1,30.21527778,74.26916667,,,,,,,,,2.65,,2.54,,,,,,,,0.24,1.29,1.04,1.34,1.13,1.71,1.48,1.99,1.19,2.75,1.43,1.73,1.57,2.13,1.68,1.58,2.19,2.78,2.68,2.78,5.22,2.64,2.28,2.38,2.53,2.93,2.72,2.46,2.82,2.9,2.58,2.03,2.18,2.58,2.32,1.83,1.38,1.28,,,,,1.28,0.68,1.2,1.27,1.04,1.18,0.68,0.88,0.58,0.73,0.51,0.49,0.2,0.58,,0.3,0.28,0.53,,1.22,,0.45,0.9,0.04,0.12,0.51,0.28,0.53,,0.58,1.36,0.98,1.08,1.31,1.31,1.48,0.98,1.16,1.2,1.41,2.13,1.26,1.68,1.86,1.27,,,0.28,0.24,,3.96,1.28,1.41,1.63,1.27,1.35,1.05,1.19,,
303155074230801,Ladhuwala,30.53194444,74.38555556,,,,,,,,,0.28,0.85,0.23,0.39,0.38,0.17,0.23,0.52,0.46,0.58,0.16,0.4,0.32,0.8,0.08,0.36,0.59,0.59,0.21,0.33,0.52,0.97,0.14,0.32,0.51,1.15,0.02,0.96,1.5,1.78,0.24,0.51,1.05,1,0.45,0.12,1.44,1.7,0.4,0.57,1.12,1.6,0.3,0.75,1,1.15,0.28,0.83,,,,,0.85,1.1,0.28,1.01,1.8,2.17,0.18,0.2,0.9,1.4,0.45,1.14,1.34,1.9,,0.77,0.68,1.44,0.3,0.8,1.31,1.68,0.25,0.89,1.3,2.12,0.67,,,1.75,0.6,1.3,1.5,2.08,0.63,1.2,1.36,1.18,,1.7,1.72,,1.1,,,,0.34,1.16,2.45,,,,1,2.5,,,,,,
301416074081601,Nihalkhera,30.23777778,74.13777778,,,,,,,,,3.56,3.64,3.77,3.85,3.71,3.66,3.13,3.1,2.79,2.88,3.02,3.16,2.45,2.49,2.36,2.74,2.39,2.63,2.35,2.96,2.69,3.05,2.77,3.16,2.66,3.22,3.83,4.14,3.99,4.29,4.08,4.14,3.84,4.09,4.24,4.49,4.15,4.14,3.64,4.04,4.13,4.28,4.12,4.34,4.18,4.19,3.24,3.39,,,,,2.79,2.77,3.09,3.24,3.04,3.54,3.04,3.49,2.84,2.82,3.16,2.38,2.31,2.42,,2.24,1.59,2.02,1.37,1.97,1.44,1.64,2.81,1.45,1.54,1.97,1.21,1.6,,1.34,2.59,2.69,2.82,3.14,2.67,2.93,2.24,,2.94,3.26,3.04,4.21,,4.32,,,20,,1.79,,2.88,2.54,2.09,2.78,1.18,1.71,1.28,1.48,,
300215074204501,Sitoganno,30.0375,74.34583333,,,,,,,,,12.61,12.41,12.26,12.18,12.06,11.82,10.62,11.54,11.44,11.15,11.01,10.83,10.73,10.83,10.26,11.36,10.08,10.77,9.63,9.74,9.86,9.63,9.18,9.16,9.08,9.36,8.87,9.08,8.88,8.96,8.8,8.48,8.68,8.28,8.18,8.23,8.03,8.07,7.79,7.75,7.62,7.58,7.28,7.28,7.14,6.84,6.63,6.53,,,,,6.03,5.53,5.58,5.68,8.05,8.09,8,5.18,5.13,4.85,4.73,3.83,3.56,3.48,,3.47,3.44,3.08,2.56,2.87,2.78,2.52,2.53,2.09,2.13,2.12,1.85,2.23,,2.03,2.48,2.18,2.18,2.5,2.01,2.21,1.93,2.18,2.18,2.54,2.33,2.35,2.13,,,,0.84,1.08,3.54,,6.44,2.03,1.62,2.21,1.1,0.98,0.84,0.73,,
303605074232001,Sohangarh Ratte,30.60138889,74.38888889,,,,,,,,,0.99,1.58,0.18,0.65,0.91,1.53,0.51,1.16,1.14,1.54,0.73,0.48,0.78,0.93,0.71,1.08,1.25,2.09,0.97,1.38,1.51,2.15,1.4,1.68,1.68,2.25,2.49,2.47,2.43,2.75,2.44,,2.28,2.63,2.63,2.63,2.47,2.48,1.58,1.63,1.93,2.28,1.23,1.13,1.53,1.98,1.03,1.4,,,,,1.71,2.13,1.33,1.03,1.81,2.42,2.38,1.43,1.63,1.83,1.13,1.2,,2.2,,1.56,1.01,2.07,1.95,1.23,0.57,2.18,2.29,1.91,2.13,1.63,2.2,2.03,,3.72,2.18,1.93,2.03,2.81,2.13,2.09,2.16,2.79,2.7,2.28,1.41,2.73,2.13,2.03,2.18,,1.88,1.7,1.63,,3.9,1.88,1.96,2.79,,2.71,2.85,2.78,,
