station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
305120074400001,Piyarana,30.85555556,74.66666667,,,,,,,,,4.4,5.44,5.18,4.25,4.86,5.99,3.84,4.07,4.32,,5.16,4.29,3.86,4.91,5.41,4.92,4.82,7,6.05,5.42,5.1,7.25,5.5,5.4,5.71,5.78,7.03,5.82,5.71,6.2,8.94,5.65,5.4,6,7.1,6.5,6.17,6.03,5.82,5.15,5.2,5.5,5.7,4.7,4.7,5.2,4.5,4,,,,,4.4,4.4,5.5,5.05,4.9,4.97,4.4,4.4,4.05,4.8,3.71,4.13,4.14,1.9,,4.46,4.4,4.47,2.36,3.55,3.31,4.03,4.56,3.99,4.15,4.64,5.8,4.41,,5.15,5.95,4.77,4.65,5.31,5.4,4.41,4.7,5.4,5.9,5.3,4.82,5.05,5.4,5.3,4.8,,5.9,4.9,5.2,,6.25,4.9,3.58,,5,4.56,4.6,4.43,,
305730075012201,Chamb-Pz,30.95833333,75.02277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.25,17.3,16.85,,,,17.5,18.95,19.45,18.2,17.62,,,,,,18.99,18.9,,,19,18.45,18.9,,19.2,18.6,,,,,,,,,,,,,19.8,22.11,,,,,
305740074510001,Gogiani-Pz,30.96111111,74.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.95,17.2,17.1,,,,17.3,18.92,19.03,17.25,17.32,,,,,,19.06,18.98,,,19.15,18.95,18.95,,20.39,19.52,,,,,,,,,,,,,21.17,22.58,,,,,
304914074294501,Jang-Pz,30.82055556,74.49583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19,,,,,,8,8.8,8.5,8.2,8.05,,,,,,9.55,9.4,,,8.22,8.14,8.38,,9.28,9,,,,,,,,,,,,,8.14,9.01,,,,,
310347074504501,Lauhke Kalan- Pz,31.06305556,74.84583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67,17.55,16.44,,17.73,,16.4,20.49,18.85,17.4,16.96,21,18.97,19.25,16.45,22.55,19.52,19.7,17.81,20,19.56,,18.35,23.4,20.28,18.27,18.12,21.33,17.35,18.14,,21.17,20.3,19.41,,22.2,20.82,18.3,18.48,21.45,20.19,18.42,19.13,,
310022075051601,Malluwala-Pz,31.00611111,75.08777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,21.32,21.06,,,,21.8,24.2,24.2,23.15,21.95,,,,,,23.86,23.75,,,23.68,23.45,23.5,,24.54,24,,,,,,,,,,,,,25.5,27.25,,,,,
304900074225001,Malsian-Pz,30.81666667,74.38055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86,9.65,9.67,10.47,9.74,,9.7,11.88,10.24,10,12.25,13.05,,10.85,10.82,11.76,11.62,11.83,11.47,13.25,12.25,11.6,,14,13.37,12.79,12.14,14.55,,12.93,,14.78,13.45,,,15,13.25,12.27,12.29,12.91,13.07,12.41,12.58,,
305130074424201,Mana Singh Wala-Pz,30.85833333,74.71166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,3.86,4.3,5,3.55,4.2,4.3,,,,,,5.57,5.48,,,5.37,5.32,5.72,,5.75,5.32,,,,,,,,,,,,,5.22,,,,,,
305126074344101,Mohre Wala-Pz,30.85722222,74.57805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,8.15,7.4,7.93,7,,6.55,9.22,7.13,6.78,6.7,6.83,6.57,6.87,6.93,7.99,7.02,6.94,,8.4,7.2,6.45,7.05,7.75,7.05,6.93,6.89,8.04,7.25,6.95,,7.95,6.65,6.25,,7.55,6.7,6.05,6.25,6.95,6.23,5.97,6.7,,
305348074574801,Bara Mansur Wala-Pz,30.89666667,74.96333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,25.6,,,,25.5,26.7,27.1,27.3,26.25,,,,,,27.86,27.76,,,28.02,28.65,28.76,,29.28,28.9,,,,,,,,,,,,,30.52,31.81,,,,,
