station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
315015075570001,Bhamnaur,31.8375,75.95,,,,,,,,,4.17,4.17,3.35,3.7,7.97,4.4,7.47,3.07,7.5,3.99,3.65,3.26,4.81,6.4,7.6,7.65,3.76,8.4,5.68,3.9,4.67,6.05,,4.75,6.58,6.05,8.6,8.04,8.26,11.85,10.85,10.75,10.6,11.15,11.03,11.91,10.85,14.55,11.35,13.1,,,17.42,11.65,17.57,17,15.33,15.79,,,,,11.65,14.5,14.65,10.3,11.26,14.08,14.07,12.9,15.16,16.27,12.67,11.85,,15.85,,14.81,15.9,17.55,11.29,12.43,13.51,15.12,,15.27,16.48,16.94,12.37,14.2,,14.85,,15.75,5.17,,16.9,15.75,16.15,,,,,,9.09,,10.18,,2.62,12.08,14.45,,,13.47,13.54,,,24.01,,0,,
313640075582001,Chohal,31.61111111,75.97222222,,,,,,,,,3.97,4.1,3.8,3.9,2.05,3.95,3.8,3.9,3.86,3.87,3.6,3.81,3.82,4.08,3.75,3.7,3.83,3.8,4.04,3.94,4.1,4.15,3.6,3.9,3.94,4.13,4.13,4.06,3.95,4,3.8,3.92,3.72,3.85,3.89,3.84,3.74,3.77,3.6,3.68,3.73,4.05,3.89,2.65,3.5,3.82,3.47,3.65,,,,,3.85,3.95,4.4,5.65,3.95,4.34,3.78,3.95,4.03,4.1,3.42,3.92,3.88,3.03,,3.93,4.3,3.98,0.69,3.25,4.02,3.94,3.8,3.85,1.69,3.95,4.52,1.8,,3.92,3.7,1.87,3.91,3.9,1.4,3.57,3.74,2,3.5,3.62,3.75,1.75,,2.61,,,1.7,1.7,1.75,,4.8,3.7,1.57,3.75,5.2,2.1,3.73,3.86,3.62,
314800075400002,Dasuya1 (d),31.8,75.66666667,,,,,,,,,3.2,3.28,3.6,3.15,3.25,4.4,3.05,3.8,3.15,,3.5,,2.21,,3.9,3.9,,,4.54,,3.3,,,4.3,,4.6,5.4,4.85,4.95,5,3.55,3.38,4.2,13.93,,5.11,5.22,3.4,5.9,5.54,5.68,6.05,6,,5.75,5.96,6.99,6.17,,,,,,5.4,6.2,5.99,4.82,6.52,4.11,4.81,5,6.1,6.26,5.74,5.54,6.87,,,6.28,7.74,7.37,6.15,6.62,6.81,,,7.3,7.55,7.44,10.4,,7.85,,8.2,,10.65,8.55,8.76,8.15,9.33,11.17,9.23,9.15,9.4,10.5,8.7,7.58,,,10.79,8.58,,11.9,10.55,8.32,9.84,9.8,9.76,9.04,9.5,8.59,
314955075450501,Durimiwal,31.83194444,75.75138889,,,,,,,,,11.86,12.29,4.84,11.8,11.79,4.92,11.6,3.65,11.55,11.57,,,2.92,3.53,11.45,3.4,3.43,12.3,2.72,2.8,2.98,3.2,1.69,2.7,3.04,3.7,3.71,3.64,3.64,3.5,2.85,2.4,2.85,3.37,3.48,3.72,3.55,3.7,3.3,3.3,3.7,4,3.67,3.3,3.65,3.67,2.35,2.25,,,,,4.8,4,3.45,3.12,3.3,4.13,2.96,3.42,3.43,4.15,3.5,3.4,3.25,4.3,,3.63,3.71,4.11,2.72,3.09,3.3,3.72,4.66,3.88,4.05,4.54,2.04,4.15,,5.37,4.5,4.89,5.18,6.1,5.2,5.8,6.49,7.28,7.28,5.84,6.2,6.4,5.26,4.92,5.22,,4.11,5.97,7.1,,10.1,7.95,7.92,9.6,,8.88,8.9,8.96,7.03,
311500076030001,Garhshankar (s),31.25,76.05,,,,,,,,,10.75,10.87,8.4,10.6,10.82,10.15,10.7,6.8,11.05,,7.7,,,,6.4,6.55,,,,,,,,,,11.48,12.47,14.23,11.82,13.18,,,,14.97,16.71,13.48,13.62,15.69,16.83,16.93,15,16.98,13.48,17.05,16.88,18.61,21.58,19.34,,,,,16.99,21.43,,20.33,18.81,22.31,22.54,23.24,16.13,19.98,21.18,17.41,16.41,21.28,,21.52,21.76,23.83,24.1,18.88,18.12,21.51,,23,22.28,22.2,24.09,22.8,,23.02,19.11,24.3,22.19,20.69,19.23,27.91,25.16,22.84,26.72,26.4,26.95,27.78,25.91,24.65,,,21.07,26.15,24.94,,28.6,27.17,25.33,26.77,28.03,27.4,26.19,26.37,27.48,
315820075450001,Hazipur,31.97222222,75.75,,,,,,,,,7.72,8.46,2.32,7.54,7.68,7.52,7.32,6.5,7.27,8.28,5.22,6.7,7.67,8.33,6.02,8.12,7.92,8.72,6.17,7.87,8.04,8.42,4.67,7.82,8.22,8.82,8.42,7.46,8.12,8.42,5.87,5.97,7.47,8.57,8.33,7.77,8.53,8.46,7.22,7.75,8.2,8.86,7.32,7.92,8.42,8.38,6.68,7.91,,,,,8.42,9.27,8.52,8.85,10.17,9.45,6.2,7.53,8.26,8.72,7.67,8.67,,8.97,,8.76,8.44,9.45,4.66,7.42,8.02,8.38,8.32,8.02,8.32,8.47,5.67,,,8.87,7.07,7.97,8.58,9.73,4.75,3.27,8.15,9.82,5.85,7,8.4,9.19,,,8,,12.1,8.08,8.38,,,6.9,,9.8,,7.28,8.51,9.14,5.63,
313010075565001,Hpur rampur colony pz-deep,31.50277778,75.94722222,,,,,,,,,30.85,30.98,30.75,,30.9,,,,31.05,,30.7,,29.79,,30.95,31,,,,,,,,33.87,,32.47,,,35.96,,,,,37.68,37.63,33.8,34.73,37.72,38.54,38.84,38.34,39.67,39.37,,38.76,40.76,40.19,42.21,,,,,39.46,43.42,45.17,44.47,40.86,44.82,46.47,47.19,44.28,45.3,,,43.6,,,48.64,45.03,50.97,,,44.67,,,,,47.87,41.97,41.27,,,,,51.02,56.4,,,,,24.21,,,54.37,,,43.47,,50.95,28.27,,,57.2,49.37,51.09,59.47,65.34,61.9,,,,
315630075370001,Mukerian,31.94166667,75.61666667,,,,,,,,,1.91,5,0.04,1.85,2.07,2.46,1.86,1.41,7.21,2.11,0.19,1.01,,2.93,,2.86,1.66,3.26,0.7,1.06,1.91,3.36,0.7,1.56,2.5,4.16,3.44,2.66,2.91,3.06,0.36,1.26,1.41,3.04,3.36,,2.95,3.49,1.51,2.36,3.1,3.96,2.08,,,3.11,1.61,1.78,,,,,2.16,2.25,0.86,1.86,1.96,4.9,0.86,1.68,2.26,3.76,2.31,1.91,,2.51,,2.02,2.06,2.54,1.55,1.26,1.87,2.98,,,3.03,,,1.23,,,0.33,3.52,,,2.83,2.63,,,3.13,1.1,2.57,,1.18,3.11,0.25,,,4.8,,,,3.21,1.63,,,3.72,,,,
315430075423001,Nagal Bihala,31.90833333,75.70833333,,,,,,,,,6.48,7.5,2.98,6.43,6.44,6.88,6.28,6.23,6.43,7.04,,3.79,4.95,6.64,3.93,6.28,6.23,7.58,6.3,6.32,6.56,7.28,2.96,6.48,6.28,6.38,8.79,8.09,8.54,9.38,7.58,6.21,6.68,8.54,8.56,8.59,8.63,9.25,9.58,9.13,8.88,9.1,10.13,9.06,9.63,10.11,8.51,9.6,,,,,8.63,9.48,9.68,9.18,8.56,11.04,9.96,10.66,9.61,11.36,12.18,11.63,11.43,11.76,,12.18,11.63,12.53,11.08,9.88,10.01,10.69,13.58,11.8,11.25,11.48,11.05,9.42,,11.38,14.22,11.46,13.6,11.88,11.18,11.28,11.08,12.51,12.54,11.58,11.09,11.18,10.85,9.45,9.3,,12.1,13.28,11.34,,15.05,11.54,11.31,14.88,13.38,12.15,12.14,13.38,,
313005075445501,Sham Chaurasi,31.50138889,75.74861111,,,,,,,,,11.08,8.2,6.45,10.9,11.12,8.6,10.6,5.5,10.75,,3.5,2.04,,4.98,3.4,3.6,,8.05,8.58,8.05,8.25,9.4,8.14,8.6,8.96,11.4,12.17,12.19,12.1,13.2,12.7,12.55,12.45,11.49,12.72,14.6,13.3,13.7,13.89,13.8,13.9,14.3,12.1,14.59,14.9,15,14.92,15.06,,,,,12.5,12.2,4.4,10.9,10.81,11.85,12.25,11.93,12.05,12.1,11.3,11.57,11.55,11.88,,,,12.35,11.85,,,11.76,12.14,12.07,12.07,12.05,12.03,11.8,,9.46,9.65,13.16,13.35,13.76,11.55,13.8,13.97,14.24,14.73,13.59,13.36,13.08,13.33,12.32,12.16,,12.72,12.65,12.7,,13.8,11.58,12.97,12.58,10.75,12.44,12.45,12.96,12.43,
315630075540001,Talwara1,31.94166667,75.9,,,,,,,,,9.72,10.77,9.67,9.42,9.97,11,9.32,10.47,9.62,11.02,10.87,10.5,10.4,10.93,9.67,10.72,10.94,11.77,10.29,10.59,10.95,11.07,10.47,11.27,11.47,9.77,20.77,11.57,11.37,11.67,10.87,10.97,10.92,11.56,11.57,11.57,11.36,11.79,10.24,11.37,11.55,12.07,11.59,11.27,12.22,12.2,10.62,11.53,,,,,11.17,11.44,11.17,11.59,11.37,12.04,11.12,11.37,11.52,11.71,11.58,11.32,11.42,11.99,,11.52,11.57,12.08,11.12,11.17,11,11.76,9.5,11.62,12,12.07,11.5,11.45,,12.18,10.98,11.15,12.07,13.61,11.47,11.07,11.54,12.19,9.65,10.19,11,11.53,10.27,10.63,10.77,,5.37,11.62,10.01,,13.1,10.87,11.37,11.77,8.6,11.23,11.44,12.03,10.37,
312210075550001,Thakarwala,31.36944444,75.91666667,,,,,,,,,5.3,5.73,1.9,5.31,5.43,2.71,4.86,2.11,4.83,1.63,,2.58,,1.57,2.01,1.81,2.05,2.86,2.77,2.38,2.69,3.81,2.86,3.81,4.01,5.97,6.57,6.96,7.27,7.61,7.81,7.76,6.18,9.38,9.19,,9.93,,9.83,10.31,,,11.11,10.86,10.81,12.52,11.34,11,,,,,9.78,10.25,10.31,8.21,8.06,9.24,9.39,10.27,6.27,8.86,8.17,7.77,7.57,9.31,,9.86,9.98,10.56,9.48,10.03,10.37,10.67,10.91,11.26,10.43,11.26,11.47,10.66,,12.54,12.26,11.05,12.83,17.41,16.31,11.71,12.09,12.61,11.17,8.87,8.92,8.01,6.92,5.9,5.01,,5.16,6.37,5.51,,7.65,5.64,4.89,5.58,5.23,8.41,4.53,5.28,3.64,
315745075370701,Adowal Garhi-Pz,31.9625,75.61861111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11,14.9,15.94,15.89,15.88,15.75,16.29,17.34,18.31,17.01,19.04,18.43,17.91,17.5,20.49,19.77,20.65,20.33,,20.35,21.75,24.7,22.22,22.55,63,,,,18.05,,,21.09,21.47,,,,,,,24.2,,,,,
314500075443001,Garh Di Wala-Pz,31.75,75.74166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.43,8.95,11.7,10.28,11.11,9.97,12.77,15.11,12.38,11.25,14.81,12.45,10.89,12.65,,13.11,15.52,,,13.5,14.79,12.79,23.1,14.79,15.23,14.59,16.19,16.35,18.58,13.29,,15.82,16.63,13.25,,17.6,16.65,14.15,17.63,18.07,17.74,15.87,,18.22,
