station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
312520075423001,Adampur 1(d),31.42222222,75.70833333,,,,,,,,,9.51,9.62,,9.7,9.6,,9.25,,9.35,,,,,,9.2,9.25,,,,,,,,,,6.62,11.64,,,,,,,,15.63,11.23,,,,,,,,,,,,20.05,,,,,14.12,19.62,23.52,18.97,14.86,19.15,26.02,19.36,15.46,22.86,26.36,22.52,17.47,,,22.07,17.62,23.55,27.9,19.71,15.81,21.25,31.01,21.2,16.54,22.27,30.49,26.82,,26.31,,26.88,20.66,18.72,,28.78,20.55,28.96,,27.5,21.53,26.6,33.6,20.32,17.64,,16.47,16.57,22.87,,39.35,27.34,25.22,29.76,40.33,31.16,25.24,26.56,39.02,
312610075295501,Kartarpur 1(d),31.43611111,75.49861111,,,,,,,,,11.76,11.89,10.2,11.7,11.95,12,11.15,8.2,11.5,,9.5,,8.09,,10.95,10.8,,,10.1,,9.03,,,10.17,,11.97,14.7,12.47,11.55,13.07,14.77,13.12,12.91,14.32,18.77,14.67,,15.22,17.62,15.46,14.72,17.91,20.35,22.17,17.77,16.73,18.91,17.85,,,,,14.72,17.62,19.67,17.22,15.54,17.78,19.31,18.45,15.91,18.47,21.27,20.36,15.25,18.77,,18.77,17.14,19.77,19.79,17.57,14.85,16.58,22.34,18.92,16.18,19.03,23.11,19.79,,21.48,22.82,21.14,19.19,25.1,23.99,19.53,20.37,22.97,21.27,22.55,20.69,22.25,25.27,22.29,16.77,,25.95,23.77,23.43,,28.05,27.73,22.17,24.02,27.5,25.79,23.19,22.02,27.67,
310800075290601,Nakodar 1(d),31.13333333,75.485,,,,,,,,,18.5,18.64,15.2,18.3,18.75,16.8,18,9.1,18.45,,15.1,,,,17.7,18.15,,,17.22,,14.79,,,18.22,,19.21,24.27,20.28,,,,,,,26.82,24.32,22.93,25.21,33.61,23.37,23.39,25.81,26.24,24.16,,23.76,26.69,25.73,,,,,29.95,25.21,25.31,28.51,26.77,24.76,28.27,27.45,25.91,26.03,28.1,27.71,25.31,,,28.68,27.44,27.2,30.04,30.35,27.91,26.15,29.76,29.09,30.13,28.04,31.8,32.26,,31.25,32.83,33.11,32.54,37.21,,,34.9,33.6,,143.25,34.76,,,37.51,37.01,,,,37.11,,,,,,,,,,,
310945075430301,Rurki,31.1625,75.7175,,,,,,,,,9.98,10.04,8.98,9.85,9.52,9.65,8.3,7.5,9.75,8.85,7.7,7.07,7.55,8.51,8.8,8.7,7.96,10,10.18,10.08,9.12,,,12.19,12.04,13.44,16.94,15.34,15.03,,17.09,16.66,15.24,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310446075194901,Shahkot(d),31.07944444,75.33027778,,,,,,,,,20.38,20.46,,20.45,20.45,,20,,20.25,,,,,,20,20.15,,,,,,,,20.3,,18.38,22.23,,,20.93,22.78,20.63,19.24,22.23,,24.23,24.41,21.03,22.69,21,20.07,24.03,22.63,21.53,20.7,21.27,23.85,22.39,,,,,20.73,21.81,21.93,23.2,22.05,23.5,27.38,,22.43,23.08,24.67,,21.57,,,24.48,22.6,23.03,27.75,23.73,22.81,22.52,,,23.63,23.45,26.7,25.46,,24.89,27.14,23.6,24.14,25.83,18.08,26.49,25.71,28.07,,27.59,26.27,,28.76,27.46,,,,28.23,26.97,,,27.88,26.66,26.69,30.38,29.18,28,27.73,30.15,
311140075320001,Udhopur,31.19444444,75.53333333,,,,,,,,,5.52,5.69,3.25,5.42,5.62,3.95,4.5,2.5,5.3,3.1,,2.18,2.75,3.23,5.1,5.3,3.15,5.55,2.63,3.12,3.62,,2.98,3.6,4.08,5.4,4.76,5.08,5.02,10.1,5.65,5.42,4.82,6.35,6.12,6.49,6.76,7.4,6.5,6.2,7.73,7.7,7.16,6.5,7.46,7.76,6.84,7.51,,,,,6.65,,8.6,5.85,6.6,7.97,5.63,6.61,7.3,7.15,7.01,,,7.28,,6.48,8,8.98,6.5,7.65,8.08,,,7.68,8.05,9.2,6.88,6.85,,8.4,,,,8.5,7.2,6.78,7.68,4.5,6.9,,4.75,,,,,,6.84,7.77,7.42,,7.95,9.54,9.8,,,8.08,,,,
312545075395001,Allawalpur,31.42916667,75.66388889,,,,,,,,,,5.69,4.6,5.3,,4.65,5.2,4.3,5.3,4.22,3.15,2.92,2.95,3.84,5.35,5.3,4.33,7.15,4.6,4.55,4.77,6.15,1.53,4.95,3.65,7.35,6.53,6.44,6.64,6.85,6.8,6.95,5.9,7.63,7.54,7.85,7.38,7.86,6.31,6.32,7.3,6.77,5.85,5.15,6.07,6.76,6.28,6.14,,,,,3.39,4.7,5.55,5.55,5.25,,6.15,5.48,9.25,7,5.48,5.45,5.6,8.72,,6.22,6.29,6.99,5.48,5.8,,6.48,8.3,7.15,9.04,6.95,,9.3,,8.75,,8.5,7.98,7.05,,7.29,7.8,,7.91,6.94,7.12,6.8,5.35,5.4,5.44,,5.23,5.1,5.19,,6.74,6.13,6.69,9.6,5.75,6.15,6.75,6.36,9.01,
311930075352001,Jalandhar 1(d),31.325,75.58888889,,,,,,,,,,,11.7,,,15.5,,11.2,,,14.94,,,,,,,,,,14.83,,,17.54,,21,21.84,19.34,20.39,19.25,,,,23.28,24.94,,,26.48,21.65,21.17,19,24.6,22.8,,26.02,27.94,29.52,29.22,,,,,27,29.35,30.4,30.36,29.37,22.1,28.45,29.82,28.1,30.11,32.41,31.9,19.2,,19.2,30.31,27.94,33,33.74,32.74,30.94,37.96,,33.57,33.34,33.36,35.01,34.64,,35.92,34.01,33.05,34.93,36.47,,37.35,,37.96,,38.08,33,34.9,38.41,37.72,29.3,,29.66,29.3,28.97,,40.76,39.39,39.02,40.73,40.73,40.37,39.82,,41.5,
310145075473501,Phillaur 1(d),31.02916667,75.79305556,,,,,,,,,,,11.8,,,11.5,,,,,10.8,,,,,,,,,,,,,12.64,,,,,,13.74,,,,,,14.74,13.94,13.96,14.62,13.93,14.3,14.36,15.09,15.24,14.84,15,15.23,15.52,,,,,15.19,15.34,15.44,15.54,15,15.6,15.86,15.47,15.02,16.27,14.4,14.04,13.75,13.19,,15.04,14.94,15.14,15.43,15.57,15.35,15.42,15.82,15.72,15.49,15.48,16.06,16.06,,16.29,16.82,17.44,16.49,16.97,,17.16,17.37,17.73,18.14,17.42,17.3,16.44,17.31,,16.79,,18.08,18.24,17.64,,20.01,18.29,17.86,17.92,19.01,18.54,18.16,,18.99,
311400075320001,Gohiran,31.23333333,75.53333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,,,,23.38,18.85,,,,,,,23.25,22.87,,28.75,20.92,25.68,,29.15,25.05,,25.12,28.12,26.17,,,,,25.97,,26.34,26.95,,27.16,27.02,26.95,,27.41,27.77,27.47,27.47,,,27.15,28.67,32.36,33.09,30.45,,,,31.89,30.14,30.81,,30.05,,35.33,,33.15,32.08,,33.45,34.43,34.68,,,35.65,36,,,,35.59,,,44,,,,,35.15,,,,36.07,,,
312200075274502,Khaira Majha,31.36666667,75.4625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,7.07,,,,,7.05,6.96,6.45,7.89,7.51,7.78,8.13,8.36,8.5,7.55,8.5,7.5,8.64,7.74,7.9,8.45,8.28,7.72,,,,,7.73,,,,8.6,15,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
312815075454501,Jalbhe,31.47083333,75.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77,14.46,13.08,13.16,12.36,13.26,14.13,14.66,13.96,13.95,13.88,13.87,,,,,11.23,11.33,10.16,10.29,9.75,11.66,13.01,11.11,11.31,11.86,,11.85,,,,,,,,,,11.33,,,,,,,,11.74,,,11.94,,,,,12.92,11.63,8.78,10.3,10.86,8.17,7.54,7.83,,10.28,10.46,,,12.23,10.99,10.91,11.56,11.53,10.08,10.46,11.46,13.79,
312520075423002,Adampur 2(m),31.42222222,75.70833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.52,11.87,16.53,19.87,12.62,10.43,14.94,18.79,14.33,10.95,16.31,25.62,13.86,12.32,19.7,28.52,20.35,14.07,14.52,23.52,19.34,13.95,23.48,30.77,18.99,13.47,14.37,29.27,18.38,13.85,,15.12,15.32,19.95,,38.66,23.82,21.94,28.13,41.47,28.52,21.92,24.33,,
312520075423003,Adampur 3(s),31.42222222,75.70833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68,7.18,8.4,8.52,7.1,6.73,8.08,8.9,7.43,5.81,8.18,7.24,6.4,6.88,7.25,7.35,7.4,7.63,7.18,7.88,7.61,7.58,8.71,,7.23,7.32,6.98,7.76,7.28,6.83,,8.41,8.58,8.08,,10.2,8.23,8.38,8.73,9.53,9.26,8.97,9.35,9.47,
310115075275001,Adarman-Pz,31.02083333,75.46388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.92,18.27,18,,,,16.8,18.2,18.3,17.9,17,,18.4,,,,18.75,17.85,,,18.7,25.3,,,,,,,,,,,,,,,,,21.45,26.25,,,,,
310630075230501,Billi Chahrami-Pz,31.10833333,75.38472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.97,,33,,,,29.75,32.1,31.5,29.85,29.8,,33.2,,,,33.6,33,,,34.1,33.85,35.1,,37.3,35.2,,,,,,,,,,,,36.86,37.04,,,,,,
310720075452501,goraya,31.12222222,75.75694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,19.96,19.48,23.71,21.5,20.26,19.84,23.63,20.52,21.31,19.4,26.4,22.12,18.9,20.9,,23.5,21.55,22.58,27.3,24.82,,23.84,,25.64,22.94,21.5,28.43,,,,28.68,28.75,23.45,,,,25.2,24.67,,27.35,,,,
310720075452502,Goraya- D Pz,31.12222222,75.75694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.85,19.16,20.02,23.78,20.68,19.66,19.72,23.51,21.48,20.85,20.09,24.91,22.28,19.8,21.47,,23.8,22.29,23.01,26.7,25.02,22.63,24.2,28.8,25.14,22.02,21.95,27.54,24.32,22.42,,28.1,28.32,24.2,,29.93,28.52,24.9,24.97,29.9,27.82,24.82,24.18,30.63,
311930075352002,Jalandhar 2(m),31.325,75.58888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.66,31.12,34.01,34.47,30.29,32.85,39.03,,32.16,29.6,,,35.64,,35.26,34.6,33.87,35.9,37.27,,41.57,,38.62,39.55,38.74,,,,,,,37.7,37.89,37.13,,,,,39.64,,40.76,40.84,,41.02,
