station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
304130074585001,Damru Khurd,30.69166667,74.98055556,,,,,,,,,5.41,5.53,5.83,5.57,5.75,5.85,6.02,5.57,5.5,5.78,6.07,5.33,5.31,,6.06,6.05,6.08,6.4,6.97,7,6.88,,8.18,8.22,8.2,8.1,9.77,9.5,9.23,10.68,11.79,10.28,9.83,9.63,11.63,11.93,11.27,11.83,11.99,11.59,12.83,12.03,11.87,12.73,12.29,12.67,14.35,14.13,,,,,14.23,14.37,16.41,16.08,15.15,15.45,,16.63,16.13,15.78,16.89,17.13,16.08,16.1,,19.17,17.98,17.33,,19.7,18.47,17.27,20.8,20.43,19.9,,,,,19.2,20.73,21.73,20.26,21.13,22.77,22.61,,19.83,22.86,28.68,21.7,,,,23.33,,26.43,50,24.23,,,,24.73,,,,,24.58,,
305025074574701,Darapur 07pz,30.84027778,74.96305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.81,,,,,19.75,19.94,21.18,21.19,20.62,20.57,21.64,21.55,21.15,20.9,20.13,,23.01,,,23.69,22.95,23.81,24.73,26.08,23.13,24.15,24.8,26.55,27.73,,,25.5,,26.18,28.65,24.7,23.9,29.25,,,27.3,,23.6,35,,,,,,,,,,,,,,24.55,,,,,,
310000075090201,Baje Ke-Pz,31,75.15055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72,20.1,14.74,16.07,14.47,13.69,18.81,18.3,16.53,14.77,14.35,19.14,17.87,14.67,15.37,,15.65,15.99,15.77,18.48,16,15.78,16.1,21,17.47,16.4,17.05,21.82,20.31,17.19,,22.25,22.45,17.57,,22.65,,16.33,17.93,21.89,19.1,,,,
303704075043801,Budh Singh Wala-Pz,30.61777778,75.07722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.63,18.85,18.54,20.5,20.2,19.54,19.19,21.55,21.19,20.45,20.45,23.79,21.94,21,21.11,23.45,22.85,21.8,23.91,24.79,24.1,23.1,23.24,25.75,25.75,24.62,24.67,27.27,27.12,25.75,,28.12,28.28,26.75,,29.6,,26.8,27.77,30.24,30.43,,,,
305009075160801,Chogawan-Pz,30.83583333,75.26888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.37,29.44,28.75,31.11,32.19,29.75,28.92,32.01,,30.91,29.87,33.35,32.72,31.65,31.45,33.45,33.45,34.87,32.42,35.49,34.27,33.2,30.88,35.75,39.38,34.19,33.48,38.87,36.63,34.85,,40.03,38.37,35.37,,,,,36.7,,,,,,
304926075013501,Dagru- Pz,30.82388889,75.02638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.81,30.35,29.53,31.09,32.35,30.55,29.48,32.15,32.1,31.37,30.52,33.1,33.35,32.29,31.52,32.25,34.15,32.32,33.85,34.32,34.68,34.12,31.22,33.95,39.43,34.98,34.08,35.87,36.47,35.75,,37.02,37.36,36.42,,37.92,,37.05,36.07,37.66,38.27,,,,
304832075024601,Daulatpur Niwan-Pz,30.80888889,75.04611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,26.1,26.22,,,,26.1,27.95,28,26.8,26.6,,28.65,,,,29.1,28.1,,,29.1,28.73,28.47,,,31.18,,,,,,,,,,,,,,,,,,,
303140075214501,Himatpura-Pz,30.52777778,75.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.55,23.7,26.6,,,,27.3,29.35,29.4,27.9,27.5,,29.8,,,,29.75,29.05,,,30.09,29.84,29.67,,,,,,,,,,,,,,,,37.75,39.65,,,,,
304430075101001,Jhandewala-Pz,30.74166667,75.16944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,29.34,29.18,,,,29.1,31.6,31.35,30.1,30.1,,31.9,,,,32.2,31.65,,,32.25,31.93,31.69,,,,,,,,,,,,,,,,37.95,39.12,,,,,
305042075195001,Khokri Kalan-Pz,30.845,75.33055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,25.5,24.84,,,,24.5,26.8,27.5,26.2,26,,28.5,,,,28,27.3,,,28.15,27.81,27.65,,,,,,,,,,,,,,,,31.48,32.43,,,,,
304750074583001,Mangewala-Pz,30.79722222,74.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21.3,20.96,,,,20.7,23.1,23.3,21.95,21.1,,23.5,,,,23.3,22.6,,,23.7,23.27,22.95,,,24.89,,,,,,,,,,,,,24.21,24.32,,,,,
303639075105901,Nihalsinghwala-Pz,30.61083333,75.18305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85,29.85,28.05,29.66,30.01,28.51,28.6,31.04,31.21,30.52,30.05,32.05,31.94,31.32,31.22,32,33.23,32.57,31.85,32.32,34.6,33.95,33.65,35.1,35.57,34.75,34.38,37.75,36.9,33.75,,,40,36.52,,,,38.1,38.57,42.4,41.89,,,,
303508075164501,Raonke Kalan-Pz,30.58555556,75.27916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,22.6,25,,,,22.5,28,28.2,26.9,26.5,,28.4,,,,28.15,27.65,,,28.3,28.02,29.79,,,30.92,,,,,,,,,,,,,32.85,34.1,,,,,
