station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
294545076003501,Bhulan,29.7625,76.00972222,,,,,,,,,6.13,6.61,6.72,6.56,6.22,8.15,8.1,8.06,6.17,8,8.08,7.95,4.71,,8.69,7.61,7.6,,8,8.3,9.47,9.7,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303130075540001,Malerkotla,30.525,75.9,,,,,,,,,15.43,16.04,15.43,17.1,16.66,17.17,17.12,16.97,16.35,16.63,17.53,17.18,16.78,17.03,16.78,,,17.86,18.13,18.68,,19.38,18.93,19.44,19.31,20.28,20.72,20.73,20.58,21.38,19.78,21.83,16.53,22.23,,,,,,,,23.84,,24.54,24.13,24.79,,26.05,,,,,26.76,27.66,28.47,27.08,27.35,28.93,29.05,28.43,27.5,29.15,29.25,29.48,28.61,29.98,,31.03,30.83,31.19,28.86,32.2,,,,,,34.34,34.34,,,,,,,,,,,31.26,,,,,,,,,,,,,,,,,,,,,,
301710075454001,Bugra (main),30.28611111,75.76111111,,,,,,,,,,9.39,,9.44,,,,,9.6,9.55,9.47,,9.9,,9.8,11,,,14.9,,11.42,,,,,11.92,14.2,14.62,,14.27,,14.51,14.97,14.87,,15.53,15.27,17.07,17.7,15.65,16.87,16.72,17.75,17.22,,16.6,19.95,18.72,,,,,20.19,20.91,,22.35,21.25,22.8,,,22.45,23.17,24.48,25.17,24.7,24.22,,23.92,25.39,25.45,27.92,27.24,26,26.5,,29.01,28.78,30.74,30.61,29.6,,29.04,30.87,30.54,30.82,30.7,32.39,32.57,31.9,34.22,33.82,33.44,33.34,33.29,35.09,,25.47,,36.54,36.84,36.05,,42.5,,37.4,38.09,,38.37,38.76,38.89,40.25,
301515075493001,Badrukhan (d),30.25416667,75.825,,,,,,,,,,,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302045075590501,Mehsampur 07pz,30.34583333,75.98472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.29,,,,,28.57,27.62,30.55,30.53,29.87,29.88,30.42,31.01,30.8,29.6,,,30.36,30.62,,32.98,,32.58,,,,30.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302732076011501,Bagarian-Pz,30.45888889,76.02083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14,25.91,,27.28,27.74,27.51,26.78,29.67,28.77,28.68,28.05,28.01,30.95,29.18,29.06,30.45,30.48,30,32.72,31.33,31.05,31.1,31.46,33.06,32.31,32.05,34.02,,32.45,31.65,,36,36.84,32.45,,34.06,,,32.78,,33.36,,,,
303246075414401,Bapla-Pz,30.54611111,75.69555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.78,,29.89,,,,29.86,30.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301710075454002,Bugra 1,30.28611111,75.76111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.35,31.77,26.38,27.86,27.71,26.26,26.83,32.2,29.01,,29.51,29.43,30.17,29.32,29.13,,31.09,30.2,30.34,32.66,32.34,32.54,,,33.75,,32.7,36.37,,24.1,,35.39,,35.74,,41.7,,,37.16,,38.87,38.95,,41.84,
300245075405801,Dharamgarh-Pz,30.04583333,75.68277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,23.79,23.82,,,,24.1,24.77,25.28,25.34,25.58,,25.97,,,,28.8,28.45,,,30.35,32.15,33.2,,34.93,32.55,,,,,,,,,,,,,35.66,36.35,,,,,
302028075453201,Hassanpur-Pz,30.34111111,75.75888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,24.86,24.96,,,,25.18,25.6,26.25,26.1,26.22,,26.6,,,,31.2,30.6,,,33.3,32.1,32.45,,33.7,33.1,,,,,,,,,,,,,,,,,,,
301614075590801,Kala Jhar-Pz,30.27055556,75.98555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.12,27.15,27.4,,,,28.1,28.8,29,28.79,,,29.1,,,,31.25,30.7,,,34.25,35.6,35.1,,36.03,35.45,,,,,,,,,,,,,37.77,38.42,,,,,
300956075512501,Kuler Khurd-Pz,30.16555556,75.85694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.72,28.8,28.95,,,,28.97,29.33,30.87,31.37,31.72,,32.29,,,,33.15,32.85,,,34.75,35.25,36.05,,37.35,37.1,,,,,,,,,,,,,39.66,41.31,,,,,
302224075512001,Ladda-Pz,30.37333333,75.85555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27,27.78,27.7,29.99,30.06,28.7,28.97,,31.12,30.96,30.16,29.97,,,,33.41,33.51,33.51,,35.65,35.28,34.75,34.9,36.98,37.17,36.25,,38.65,39.18,,,,,,,43.75,,42.18,41.15,43.35,43.04,42.26,,,
303350076010502,Lehal Kalan-Pz,30.56388889,76.01805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.64,23.75,23.88,,,,23.76,24.1,24.92,24.78,24.85,,25.22,,,,28.85,28.55,,,31.35,31.9,31.4,,32.93,32,,,,,,,,,,,,,,,,,,,
302045075590301,Mehsampur-Pz,30.34583333,75.98416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.65,29.8,29.94,,,32.99,,30.72,,31.78,31.86,,32.1,,,,33.95,33.85,,,35.05,34.95,,,,,,,,,,,,,,,,,,,,,,,
303120075421601,Panjgaraian- Pz,30.52222222,75.70444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25,,32.52,,,,32.79,33.15,34.85,34.95,34.78,,35.25,,,,39.7,38.7,,,41.4,40.4,40.4,,42.43,41.2,,,,,,,,,,,,,43.82,45.85,,,,,
