station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
310553076180501,Balachaur1 (d),31.09805556,76.30138889,,,,,,,,,13.05,13.19,14.1,12.33,13.1,,12.75,,12.8,,14.1,,13.6,,,,,,,,,,,14.88,,,16.18,17,16.6,16.58,8.43,9.48,9.48,,17.48,15.98,,16.9,,18.46,17.57,17.89,20.05,17.19,18.35,18.91,20.98,20.08,,,,,18.67,20.93,21.98,20.28,19.85,,21.93,17.81,19.01,18.95,16.2,20.38,19.38,21.51,,22.69,,23.38,21.66,21.56,20.36,23.26,24.25,23.3,20.55,23.54,23.54,18.5,,23.02,24.87,,21.96,24.75,18.08,24.48,22.12,,,,,,,,,,,,,,,,,,,,25.33,,,
310300076180001,Balachore,31.05,76.3,,,,,,,,,12.11,12.03,11.41,11.96,12.31,11.56,11.31,10.36,11.51,10.79,,9.65,,11.33,9.61,10.21,9.73,9.76,10.66,10.56,10.79,11.96,10.88,11.06,12.06,13.06,13.06,11.65,13.21,14.26,13.66,13.44,14.36,14.83,15.17,14.85,16.05,12.52,15.46,15.71,16.26,16.69,17.75,17.5,17.31,17.31,17.46,17.66,,,,,16.37,17.52,18.46,18.16,17.56,,18.81,,17.56,18.63,17.17,17.27,16.06,19.55,,18.61,18.21,,18.28,17.66,17.52,19.2,18.3,,18.13,15,18.71,17.48,,18.91,,16.1,,18.66,,14.7,14.4,,,17.95,,,,,18.08,,,,,,,,,16.72,16.62,,,,,
310330076073001,Rahon,31.05833333,76.125,,,,,,,,,5.77,6.27,5.52,5.57,5.92,5.72,5.32,5.09,5.52,5.22,4.37,,,4.44,4.47,4.77,4.64,4.82,5.57,5.52,5.49,5.87,5.12,5.07,5.17,5.82,6.32,6.35,6.47,6.77,7.27,7.32,6.97,7.64,7.89,7.68,7.57,7.67,7.64,7.69,7.77,7.97,7.87,8.07,8.32,8.3,8.91,9.23,,,,,8.87,9.2,9.72,9.52,6.73,9.87,9.82,9.68,9.34,9.32,8.77,8.72,8.53,8.62,,9.39,9.35,9.7,9.83,9.91,9.5,9.73,9.3,9.41,9.37,9.04,9.15,9.14,,9.12,9.52,9.75,9.55,9.17,,,10.87,,9.97,13,10.47,10.4,10.49,9.57,9.45,,9.58,9.47,10.47,,,,,,,,,,,
310808076130801,Mahend Pur EW,31.13555556,76.21888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,26.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311225075534001,Baharam-Pz,31.20694444,75.89444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,17.34,17,,,,16.75,18,,17,,,,,,,20.5,20.3,,,22.75,22.1,,,22.1,18.9,,,,,,,,,,,,,,25.68,,,,,
310100076095001,Bahlora Kallan- Pz,31.01666667,76.16388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,5.34,5.89,5.87,5.3,5.21,5.59,5.37,4.99,4.95,5.01,5.88,4.57,5.33,5.4,5.29,5.21,5.15,,6.45,5.32,5.41,6.83,,5.27,5.4,5.45,5.23,4.25,4.43,,5.74,5.79,5.15,,8.25,6.09,5.41,6.27,,5.92,5.65,,,
311245075493001,Bahua-Pz,31.2125,75.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,21.32,21.2,,,,20.1,21.7,21.4,20.7,20.2,,22.5,,,,22.1,21,,,23.8,23.3,23.8,,25.5,21.9,,,,,,,,,,,,,23.22,28.38,,,,,
310630076050001,Kariam-Pz,31.10833333,76.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,14.05,14.7,,,,15.3,15.9,14.6,14.2,15,,15.8,,,,15.7,15,,,15.9,15.6,16.8,,16.95,16.3,,,,,,,,,,,,,18.24,19.6,,,,,
310700076002002,Mauhra-Pz,31.11666667,76.00555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.64,29.6,31.41,30.64,30.15,29.72,31.53,31.4,31.9,31.06,33.05,33.47,33.35,33.6,34.49,34.2,34.87,33.72,35.34,35.05,35.18,34.17,35.13,36.8,34.11,33.37,40.43,34.51,32.87,30.39,,43.42,41.86,30.35,,31.8,30.95,27.93,31.09,,27.8,27.8,29.79,28.26,
310700076002001,Raipur Dhaba-Pz,31.11666667,76.00555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72,13.98,14.77,16.11,14.39,14.07,14.97,13.7,14.35,13.95,14.23,15.95,14.88,15.15,14.38,17.21,16.75,16.5,17.5,16.95,18.65,17.56,22.18,22.18,17.52,17.01,17.15,19.4,17.29,16.41,,20.75,22.43,18.22,,22.7,20.51,18.74,19.07,,19.86,18.84,18.92,20.64,
