station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
312100074420001,Bhikiwind,31.35,74.7,,,,,,,,,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.32,,,
311000074564501,Harike,31.16666667,74.94583333,,,,,,,,,15.3,12.64,12.48,12.13,12.06,12.78,12.12,11.7,11.73,12.09,13.15,11.55,11.37,12.33,14.01,12.45,12.4,13.2,13.41,12.95,12.95,12.85,,,,,,,,,12.34,10.97,10.91,11.07,11.71,11.24,11.36,11.28,,11.22,11.11,11.08,11.17,11.37,11.16,11.25,11.44,11.2,,,,,10.92,11.16,,11.24,10.99,13.1,,11.32,11.14,11.3,,11.94,11.29,,,12.99,,,,,,,,12.8,,11.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313400074374501,Mohawa,31.56666667,74.62916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22,9.15,9.4,9.5,9.65,9.26,9.12,9.1,,9.1,9.83,10.62,10.09,10.03,10.67,11.8,11.4,11.11,11.62,14.9,11.76,11.7,12.38,14.56,10.73,11.23,11.41,11.97,11.58,,,,,11.63,11.95,16.22,13.48,12.83,13.1,14.37,14.18,13.52,13.44,14.44,13.9,13.47,14.8,,15,14.24,14.82,15.01,14.3,13.92,13.45,16.07,13.68,14.21,13.08,14.57,,,13.26,14.8,14.01,13.57,13.54,15.43,14.99,,14.61,,15.09,,,,,,,,,,,,,,15.65,,,,,,
312345074373001,Aminshah Khalra,31.39583333,74.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,,7.19,7.52,,,8.21,8.61,9.31,7.97,8.45,9.26,9.26,8.17,8.9,9.24,8.39,7.78,7.87,7.97,6.22,8.23,,,,,8.8,8.85,8.95,9.56,9.74,9.61,9.24,,8.3,10,,,9.32,,,9.84,10.48,11.95,10.13,10.22,9.83,9.49,,10.62,11.16,13.08,,,,,,,,,,,,,,18,18,,,11.42,,,,18,,,,,,,,,,,,
312852074480001,Chabal 07,31.48111111,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.27,16.01,,,,,15.45,17.06,18,17.1,18.51,17.6,17.93,17.93,17.5,17.59,17.75,17,16.95,17.62,,,18.25,18.12,18.89,18.1,17.62,17.58,18.3,18.25,18.6,18.03,,,,,,,,,,,,,,18.9,18.07,,,,,,,18.9,,,,,,,,,,,,
311640074420001,Kalsia Kalan,31.27777778,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,13.05,14.7,14.59,14.22,14.33,15.54,15.57,,14.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,19.8,,18.76,,,,18.64,19.09,19.92,19.65,19.52,,,
311500074503001,Chola Sahib-Pz,31.25,74.84166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,16.99,16.62,18.36,17.13,16.82,16.69,19.32,16.87,16.98,17.79,19.27,18.15,17.6,17.75,19.29,18.3,18.05,18.35,21.26,19.46,,19.29,23.45,20.3,18.94,17.78,20.52,,,,26.02,20.62,20.65,,26.15,21.26,19.95,19.93,25.5,,19.52,22.97,24.23,
313100074420001,Gandi Wind-Pz,31.51666667,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.57,11.16,11.37,10.83,10.49,10.41,10.29,11.98,10.44,10.81,10.75,11.9,,11.2,11.58,12.75,12.62,11.93,12.32,13.68,13.37,,13.45,14.98,13.9,13.43,13.82,,,,,15.52,14.41,13.91,,16.94,15.43,,20.45,17.27,16.16,15.71,17.08,17.64,
312600075075001,Khadur Sahib-Pz,31.43333333,75.13055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.63,18.18,18.04,19.14,18.45,17.83,17.78,18.78,18.35,18.31,18.15,,19.2,18.55,18.81,20.2,19.69,19.08,19.2,20.61,20.54,,20.02,21.05,20.09,19.26,18.5,20.65,20.39,,,20.95,20.66,20.15,,21.45,20.28,19.65,19.65,21,20.78,19.9,19.9,20.75,
310900074380001,Ratoke-Pz,31.15,74.63333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.74,17.59,18.29,19.95,16.98,16.62,16.65,23.17,17.33,17.21,17.55,,20.15,18.2,19.35,23.25,21.34,20.11,19.99,23.38,22.15,,20.64,24.95,23.75,21.75,19.65,2.11,23.25,,,24.82,22.8,22.4,,26.24,24.65,19.95,20.76,24.6,23.26,19.54,22.94,25.13,
312330074555001,Sahab Pura- Pz,31.39166667,74.93055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.08,18.71,18.56,19.08,19.65,17.87,17.93,20.17,18.16,19.15,19.37,20.38,19.27,,19.28,20.99,20.34,20.45,20.75,21.13,21.56,,21.33,23.44,21.68,20.99,19.68,22.99,22.35,,,24.09,23.05,22.51,,25.2,23.75,22.68,22.76,25.58,23.63,22.9,23.41,24.3,
313145074473001,Aima Khurd-Pz,31.52916667,74.79166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,13.7,,12.01,12.9,13.64,12.3,,13.5,,12.8,,,,14.6,14,,,16.2,14.4,15.3,,15.3,13.9,,,,,,,,,,,,,16.88,,,,,,
312950074560001,Bahla-Pz,31.49722222,74.93333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,8.98,,,,,,,,,,,,,,,,,,21.1,21.3,,21,,,,,,,,,,,,,,27.5,,,,,,
311615074473001,Chuselawad-Pz,31.27083333,74.79166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,18.22,,16.7,17.48,18.18,16.83,17.26,18.12,,19.1,,,,22.2,21.1,,,22.4,,22.5,,24.2,24.1,,,,,,,,,,,,,22.98,25.22,,,,,
312400074474301,Kotli Sur Singh-Pz,31.4,74.79527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,15.5,,14.19,15.05,15.65,14.32,14.8,,,16.2,,,,18.1,17.7,,,18.3,,16.8,,17.45,16.9,,,,,,,,,,,,,18.08,20.21,,,,,
311600074544501,Thatha- Pz,31.26666667,74.9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25,19.38,,17.88,18.9,19.4,18,18.4,19.17,,18.9,,,,17.5,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
312615074511501,Bakipur-Pz,31.4375,74.85416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.14,20.05,20.18,18.94,19.4,20.4,,20.9,,,,22.5,21.6,,,22.5,20.6,21.8,,22,24.5,,,,,,,,,,,,,,26.21,,,,,
312755075000001,Bath-Pz,31.46527778,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28,20.08,20.1,18.92,19.36,20.3,,,,,,21.7,,,,,,22.1,,23.15,22.7,,,,,,,,,,,,,,24.34,,,,,
311015074384501,Bhagala-Pz,31.17083333,74.64583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,8.36,9.04,7.8,8.3,9.18,,10.6,,,,,12.7,,,14.8,,,,15.6,,,,,,,,,,,,,,,16.52,,,,,
312930075130001,Bhalaipur-Pz,31.49166667,75.21666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19.96,20.05,19.05,19.4,20.3,,20.8,,,,21.5,20.3,,,21.8,20.5,21.2,,,20.9,,,,,,,,,,,,,21.05,22.7,,,,,
313445074430001,Bhankar Kalan-Pz,31.57916667,74.71666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.18,14.04,14.06,12.94,13.2,14.19,,15.7,,,,17.8,16.9,,,17.6,17.2,19.9,,17.9,17,,,,,,,,,,,,,,,,,,,
311215074354501,Bhura-Pz,31.20416667,74.59583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35,13.38,13.26,11.84,12.3,13.06,,14.1,,,,16.6,15.8,,,,,15.9,,16.45,,,,,,,,,,,,,,,23.9,,,,,
312245074464501,Bhure-Pz,31.37916667,74.77916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,16.1,16.25,15.24,15.65,16.53,,17.3,,,,19.5,18.4,,,20.4,21.1,22,,22.4,21.9,,,,,,,,,,,,,21.22,23.09,,,,,
313215074410001,Bhusse-Pz,31.5375,74.68333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86,14.7,14.8,13.6,14,14.9,,15.9,,,,17.1,16,,,16.5,16,16.7,,15.65,16.6,,,,,,,,,,,,,18.62,19.54,,,,,
311755075011501,Brahmpur-Pz,31.29861111,75.02083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,17.75,17.86,16.55,16.9,17.69,,18.8,,,,20.3,19.7,,,,19,19.2,,22.3,21.8,,,,,,,,,,,,,20.94,22.28,,,,,
