station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
260200075060001,AJAGARA,26.03333333,75.1,3.66,4.54,1.56,1.84,3.45,3.05,3.16,3.53,3.63,4.5,1.68,3.36,3.56,4.03,3.37,3.71,3.56,3.39,3.76,4.05,4.05,5.08,4,6.76,5.55,6.77,3.5,4.2,4.55,6.25,4.02,3.39,3.67,5.77,5.57,6.21,5.92,7.59,,,,,,,3.49,7.91,4.59,5.05,6.13,8.23,6.97,6.63,6.78,7.61,5.57,4.52,6.12,,6.25,6.67,1.77,5.34,6.03,6.12,5.51,8.82,5.09,3.37,2.47,3.23,,1.59,1.57,,,2.54,2.03,3.47,2.37,2.67,2.55,3.82,1.97,2.69,2.82,3.27,2.57,3.13,,5.07,3.37,2.39,2.27,3.47,2.92,2.97,4.17,4.97,3.37,,2.92,4.57,3.27,2.47,2.14,,2.27,3.67,2.67,,3.17,3.32,3.28,4.37,3.32,2.02,2.07,3.82,,
262700075040001,ARIAN,26.45,75.06666667,3.4,4.96,,2.54,3.05,4.5,1.71,2.58,2.76,3.8,1.97,1.67,1.83,2.66,2.52,2.18,2.3,2.63,3.26,2.56,3.21,3.9,3.98,6.08,5.04,13.13,8.78,5.92,6.61,8.89,3.01,9.07,4.75,5.23,5.28,5.86,7.05,8.92,,,,,,,11.07,8.57,7.12,8.46,7.97,7.75,15.31,8.21,8.51,12.91,12.77,9.02,8.9,9.17,9.89,4.2,4.67,4.72,4.46,5.19,45.77,7.19,7.07,5.07,6.69,2.97,6.8,2.24,2.18,2.07,,1.55,1.54,2.22,,21.07,1.69,2.87,5.82,1.33,1.82,2.17,1.19,1.43,,14.42,14.12,13.35,5.57,2.37,1.37,1.35,1.61,2.57,2.27,,2.87,4.37,3.52,3.87,2.67,,3.02,3.37,3.47,,4.12,3.67,4.77,4.52,2.87,3.17,2.62,4.37,,
255430074120001,BAGLIAS,25.90833333,74.2,9.34,,3.65,4.95,6.6,5.2,1.04,3.65,2.5,4.78,1.06,2.02,2.33,4.01,0.51,3.48,1.87,3.8,5.2,3.62,5.09,6.4,3.2,2.69,6.36,8.48,3.93,5.39,6.37,,1.22,5.4,2.8,8,6.76,9.17,10.62,12.97,,,,,,,8.71,11.54,7.6,6.01,9.2,10.6,2.4,7.55,9.74,11.25,9.4,9.42,11.82,14.86,11.52,15.6,15.39,,10.2,9.84,9.04,,6.42,3.9,5.62,6.92,3.78,4.4,4.9,7.6,,3.25,4.45,5.1,3.75,4.24,4.3,5.7,3.3,2.85,4.65,5.5,3.9,5.1,,9.63,8.15,7,6.2,8.6,3,3.2,3.62,7.8,3,,4.1,7.8,7.6,6.73,3.4,,5.84,6.8,6.2,,,8.65,8.6,,,5.15,4.75,7.1,,
255600074120001,JAWAJA1,25.93333333,74.2,12.7,13.59,5.18,5.35,7.87,9.2,2.32,4.59,7.08,8.4,2.72,4.52,5.38,6.85,1.84,2.84,3.49,5.75,5.68,5.1,5.06,9.1,6.75,8.4,8.56,11.52,3.67,5.56,7.14,11.82,2.53,8.12,3.8,7.08,7.33,9.26,13.62,15.97,,,,,,,8.93,10,6.35,6.91,9.88,16.33,4.4,7.1,9.7,11.11,8.1,14.07,12.44,15.99,12.87,13.5,16.28,13.9,11.58,13.17,13.01,12.6,9.42,10.45,7.52,12.5,8.5,6.84,9.5,10.88,,2.46,3.27,5.68,3.7,3.7,5.84,8.5,3.5,3.2,6.3,8.55,6.1,6.48,,,,7.7,9.8,12.4,6.3,4,4.1,5.9,3.6,,4.6,9.45,9,2.28,2.4,,3.85,4,5.35,,7.2,8.1,8.4,9.9,8.5,6.6,7.1,7,,
260130074393001,JHOPADIYAN,26.025,74.65833333,15.16,16.87,7.26,8.83,10.15,11.8,10.27,11.38,19.26,10.05,5.76,4.63,5.3,11.22,11.94,9.68,16.8,21.62,17.7,15.82,15.75,15.8,20.42,17.05,20.33,20.28,21.09,18.43,19.25,20.11,10.05,10.36,18.73,17.35,17.26,14.3,16.97,19.2,,,,,,,10.35,12.98,10.45,6.64,7.61,11.93,3.25,3.59,4.84,8.65,12.4,4.17,7.2,8.22,7.82,7.31,8.13,19.22,9.64,13.69,15.78,17.29,10.02,8.02,8.35,19.47,12.67,8.05,6.2,14.62,,2.07,4.52,18.65,13.82,13.45,9.5,8.55,12.4,8.5,11.25,13.85,11.71,12,,15.15,14.88,14,13.75,13.05,17.25,17.4,17.97,18.05,9.5,,11.75,16.85,14.9,6.91,6.05,,5.35,6.15,12.35,,10.45,11.25,11.55,13.05,10.65,10.65,9.05,0,,
262400074520001,KANPUR1,26.4,74.86666667,4.1,6.8,,3.55,2.75,,1.8,2.9,4.45,6.7,1.46,1.49,1.57,4.9,3.14,2.59,2.36,3.9,4,4.24,3.92,5.2,4.4,5.3,5.81,7.8,7.4,8.88,8.18,8.65,6.12,7.63,8.04,10.1,,,,,,,,,,,20.25,,,7.49,7.74,15.38,6.89,8.05,8.23,9.6,8.1,10.34,8.54,9.13,8.72,6.29,6.4,7.2,8.58,8.97,10.34,11.32,10.16,8.1,8.16,10.48,7.76,6.84,6.1,8.32,,9.6,9.6,5.78,5.6,,,7.6,2.2,1.86,2.5,3.75,1.66,,,,,3.41,5,6.03,3.5,3.53,3.67,5.2,3.6,,5,5.7,5.5,1.5,2.17,,1.48,2.75,2.4,,3.05,2.45,2.6,3.65,3.2,3.62,3.3,94.5,,
260530074304501,MASUDA1,26.09166667,74.5125,11.29,13.2,4.34,2.73,4.66,9.5,5.34,4.47,6.33,11.5,4.71,2.33,3.95,7.07,1.29,1.89,2.07,7.07,3.45,3.37,7.03,12.4,7.15,10.49,11.88,20.94,7,12.44,13.64,20.24,4.22,5.38,9.94,15.49,13.14,15.97,21.59,20.57,,,,,,,11.15,13.37,12.84,3.06,6.51,12.95,,3.72,6.39,14.27,12.87,13.53,13.57,13.96,12.61,14.01,14.05,14.77,15.45,14.39,14.89,21.07,10.49,9.07,10.17,12.93,8.64,4.69,8.17,11.17,,4.55,6.12,10.22,8.37,6.84,10.19,12.06,2.77,2.59,4.39,8.15,7.47,8.94,,11.3,10.92,10.48,6.67,9.02,4.12,6.27,6.45,12.77,9.17,,11.57,12.37,9.92,2.19,2.67,,2.45,9.17,4.17,,,,,,15.97,10.02,9.52,6.97,,
260300074170001,NARBADKHERA,26.05,74.28333333,16.7,17.72,4.89,7.46,11.08,14.5,6.48,10.88,12.62,14.98,3.96,6.92,9.99,12.38,1.64,6.86,8.72,11.2,9.5,9.1,13.79,15.49,13.28,16.55,16.56,18.02,8,12.52,16.63,18.94,8.04,9.51,15.88,18.15,18.74,17.98,19.27,18.69,,,,,,,25.8,18.8,29.12,11.75,15.3,18.98,6,10.23,14.86,8.09,14.2,16.33,18.05,11.25,18.12,19.16,18.76,,18.3,18.32,20.18,,12.81,10.1,11.21,17.85,15.7,9.63,8.38,28.8,,5.44,5.9,11.32,8.21,5.12,10.91,13.6,3.4,5.85,6.82,11.14,8.16,10.78,,17.8,17.3,17.5,17.8,18.15,0.6,11.1,11.35,14.6,11.1,,8.1,12.7,10.75,1.79,5.8,,2.85,6.7,10.65,,10.9,12.1,12.5,15.05,12.6,13.4,15.1,11.5,,
261712074442501,NASIRABAD,26.28666667,74.74027778,8.4,12.18,4.87,5.28,7,14.1,2.38,4.47,3.68,14.2,2.74,1.86,2.03,3.1,2.28,3.3,1.65,2.75,2.2,1.37,2.25,5.1,0.84,2,2.2,4.1,,,4.43,4.95,2.15,2.52,3.07,,,4.73,4.15,7.09,,,,,,,4.04,5.86,5.52,5.25,3.85,5.55,2.92,3.4,2.84,5.13,4.85,3.17,5.98,4.66,6.63,1.95,1.26,,2.37,2.2,3.49,17,5.34,,4,4.27,0.9,,1.78,3.7,,0.79,0.22,2.4,1.1,0.88,1.05,16.5,0.4,0.53,0.55,1.82,10.8,1.22,,1.5,0.62,0.62,0.5,0.5,0.45,2.7,4.72,2.3,1,,2.4,5.7,5.4,4.1,4.45,,3.04,2.3,1.8,,2.64,4,4.5,5.6,4.5,3.35,2.75,1.68,,
260600074250001,PAKHRIAWAS,26.1,74.41666667,6.16,,6.24,5.5,5.25,13.1,7.01,12.44,9.21,14.2,7.21,3.5,7.86,9.99,2.36,4.24,6.81,10.48,11.33,8.25,10.43,14.73,13.4,15.26,16.16,,,8.82,16.95,10.21,10.46,11.45,10.75,16.9,11.51,9.97,11.07,,,,,,,,16.08,5.3,7.92,4,13,12.08,6.4,10.9,13.36,5.9,15.45,12.66,16.65,11.9,17.01,19.95,12.07,,20.01,19.23,17.86,,17.61,12.9,8.8,14.3,10.6,4.8,3.6,8.5,,7.11,8.12,6.16,11.84,6.55,14.3,11.6,8.38,5.75,8.45,7.93,6.1,7.88,,14.1,13.23,12.52,9.8,10.2,6.32,5.8,7.23,10.3,,,,,,,,,,,,,,,,,,,9.1,,,
