station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
250930076180001,ANTA1,25.15833333,76.3,4.07,5.49,2.67,4.28,3.96,5.4,2.9,4.45,4.14,5.32,,4.43,4.28,5.28,2.58,4.43,3.76,5.67,4.45,4.3,4.11,4.85,3.29,4.5,4.66,5.76,3.91,4.75,5.26,,3.5,5.36,,,,,,,,,,,,,3.78,,,3.94,4.42,,1.52,4.14,4.37,5.41,4.26,4.52,4.38,,,,,,,,,,,,,,1.06,,,,,,3.91,,,,4.68,,,,3.73,3.26,3.26,4.16,,7.01,3.46,3.81,3.56,7.56,,4.54,5.1,5.09,0.61,,2.76,6.76,2.66,1.76,2.66,,2.61,4.5,3.06,,1.81,3.41,3.53,4.46,0.71,1.76,2.26,8.4,,
245315076394001,ATRU1,24.8875,76.66111111,4.9,8.84,,4.02,4.34,7.85,1.05,4.25,6.62,8.24,,4.94,6.94,6.45,1.06,2.42,1.97,7.73,1.04,2.87,8.66,8.43,1.03,4.1,6.99,6.98,1.39,6.8,8.05,10.17,1.36,6.39,6.83,6.53,0.58,7.06,7.22,10.49,,,,,,,5.89,6.74,1.17,5.41,6.13,5.76,,4.98,5.92,28.77,0.29,1.57,3.3,6.81,1.35,4.27,5,5.91,0.14,5.55,5.54,6.64,2.97,3.92,5.11,5.89,,4.47,4.98,5.17,,4.51,5.28,9.04,0.09,3.89,,5.8,0.75,0.27,,4.84,0.59,3.64,,5.4,0.14,5.09,4.49,3.79,1.89,1.97,5.06,5.08,,,,,,,,,,,,,,,,,,,5.39,6.08,,
245930076283001,BAMLA,24.99166667,76.475,7.02,8.33,7.3,5.89,5.75,7.23,6.85,6.55,6.8,10.42,,6.21,6.33,7.96,7.85,7.2,6.3,8,6.69,5.91,5.4,7.65,6.94,6.13,6.29,,6.2,6.2,6.45,7.31,5.97,5.6,5.74,,,,,,,,,,,,11.28,12.18,3.47,4.85,12,5.11,4.58,4.73,8.48,5.45,4.84,,7.39,5.29,4.85,4.9,5.59,5.5,5.85,5.94,6.08,6.35,4.58,5.77,5.8,6.4,1.1,4.7,4.68,5.12,,,4.61,5.35,3.6,4,7.3,8,2.9,2.35,,5.96,4.2,4.8,,6.21,0.2,4.8,6.03,5.5,5.09,5.08,5.36,5.39,4.5,,4.6,4.62,1.55,,3.3,,2.35,4.42,4.4,,1.04,4.2,4.01,6.2,3.7,3.36,2,5.32,,
250529076473701,BHANWARGARH,25.09138889,76.79361111,2.98,4.53,,2.7,2.9,4.59,1.12,2.34,2.8,4.88,,2.97,2.77,5.15,1.36,2.31,2.23,3.38,1.5,3.43,2.9,4.25,1.31,2.3,2.49,4.89,1.35,2.82,2.69,5.04,1.38,1.66,1.57,4.43,0.98,6.5,8.06,,,,,,,,1.09,4.06,0.84,1.39,1.21,3.61,,1.76,2,,0.64,1.42,3.98,5.38,0.64,1.57,1.83,4.24,0.74,2.72,3.01,5.69,3.04,2.7,1.69,,,1.81,1.34,2.99,,4.22,0.86,2.84,0.24,1.44,0.74,2.73,0.54,1.86,1.04,2.64,0.69,3.66,,2.89,0.19,1.04,2.57,2.74,4.41,4.47,1.66,1.59,0.46,,0.64,2.64,1.44,0.94,1.19,,0.94,1.36,1.54,,0.21,1.22,0.94,,0.14,0.71,,1.17,,
251430076301501,BOTH,25.24166667,76.50416667,7.01,9.58,4.09,5.87,5.74,,4.77,5.93,6.93,8.03,,4.99,6.87,7.68,5.86,6.7,5.76,7.08,6.57,5.94,7.82,11.6,4.15,5.69,6.91,8.57,6.46,9.3,11.02,11.49,7.27,9.37,,,,,,,,,,,,,,,11.92,,,,9.08,,,,,,,,,,,,,,,,,,,,9.02,8.52,,9.64,,9.98,10.32,10.32,2.47,3.27,6.82,8.42,5.14,2.97,7.72,9.13,6.72,7.22,,,3.42,9.42,7.74,10.32,4.18,2.32,3.07,3.13,,,,,,,,,,,,,,,,,,,,7.32,,
243728076420701,CHHIPA BAROD1,24.62444444,76.70194444,8.27,10.4,6.78,6.29,7.25,10.26,2.64,6.28,7.6,10.27,,6.55,8.32,10.4,5.45,7,5.3,8.88,2.47,6.08,9.86,10.52,2.4,6.65,9.82,10.4,6.26,10.28,10.5,12.72,7.69,9.38,10.06,10.29,6.86,,,,,,,,,,8.71,10.3,7.37,10.39,8.82,10.88,7.32,10.43,11.02,,8.18,9.34,9.79,,7.12,10.38,11.34,,7.4,10.47,11.56,,9.36,9.92,9.83,,1.73,6.59,9.66,9.76,,13.33,9.78,10.23,0.22,5.68,9.78,,3.18,8.43,7.82,3.38,3.38,8.83,,9.49,1.38,9.48,10.08,9.38,7.41,7.51,10.13,10.18,,,,,,,,,,,,,,,,,,,10.28,9.02,,
242610076420001,HARNAUDA,24.43611111,76.7,4.28,6.42,,4.08,4.71,5.87,4.15,4.1,4.19,5.45,,4.21,4.82,5.3,4.04,4.18,4.03,4.64,4.61,4.2,5.02,6,4.44,4.02,4.84,6.18,4.18,4.52,5.95,6.8,3.82,3.62,5.17,7.23,3.34,5.19,5.92,7.75,,,,,,,4.62,6.76,3.45,3.55,5.25,6.34,3.06,3.6,5.02,5.82,3.57,4.76,6.22,7.57,3.51,6.17,6.46,6.45,3.85,6.19,6.71,6.99,3.74,3.58,7.92,,1.12,3.42,7.87,8.87,,7.53,9.27,9.55,1.82,6.52,7.78,9.07,2.92,5.87,8.16,9.02,2.52,6.82,,9.37,3.52,4.52,5.86,9.02,3.13,3.2,8.12,8.21,3.52,,7.93,8.82,4.62,4.22,5.32,,3.37,6.47,7.92,,2.02,6.27,7.02,6.62,2.32,3.92,7.52,8.04,,
244530076443001,KANWAI,24.75833333,76.74166667,6.8,6.76,3.67,5.5,6.87,6.68,1.35,6.45,6.38,6.64,,5.86,6.8,,2.08,5.6,4.91,7.25,2.57,7.68,7.55,7.32,2.38,,10.87,7.72,3.8,7.3,7.22,9.06,2.83,6.99,7.24,7.26,2.48,,,,,,,,,,7.27,7.11,3.57,,7.56,,1.15,,6.97,,,4.2,4.65,,,,4.95,6.49,1.56,9.21,9.48,7.04,4.33,5.16,,7.69,1.14,5.91,7.14,8.59,,6.77,7.04,7.59,1.39,5.24,6.89,6.69,,8.59,,,,,,,1.79,6.69,,5.99,,4.89,6.39,6.41,,,,,,,,,,,,,,,,,,,5.19,7.58,,
251230077213001,Kasba Thana,25.20833333,77.35833333,4.62,6.76,,4.67,4.62,5.46,,4.86,4.65,6.83,,4.72,4.71,5.62,3.96,4.6,4.42,4.57,6.34,4.61,4.52,5.81,5.27,4.61,4.71,5.52,3.95,5.79,6.85,9.11,4.74,6.58,5.52,6.91,3.31,7.81,7.25,10.92,,,,,,,6.46,10.82,6.54,5.54,6.68,7.4,3.46,5.85,6.49,7.95,3.5,6.44,7.92,9.04,4.33,4.85,6.63,6.05,4.33,5.36,6.66,7.55,4.88,4.76,5.5,8.23,1.6,5.38,4.89,6,,3.56,4.69,5.2,3.45,4.7,4.2,5.35,4.44,5.82,6.16,7.65,4.34,4.75,,7.64,0.8,2.45,5.11,4.5,4.52,4.6,5.37,5.47,1.85,,4.78,6.1,1.7,4.5,5.85,,3.6,5.37,4.8,,2.3,4.7,4.8,6.15,4.1,4.48,4.6,5.64,,
250800076540001,KELWARA1,25.13333333,76.9,2.85,4.43,,2.75,2.81,5.01,1.2,2.63,3.03,4.14,,2.7,2.99,4.1,1.26,2.02,2.16,3.47,2.4,2.23,3.81,3.84,1.76,2.37,3.86,4.44,1.29,3.76,5.59,4.39,1.61,2.46,3.97,3.52,0.87,3.31,3.56,3.34,,,,,,,3.22,3.1,0.65,2.27,3.81,3.1,0.04,2.43,3.74,3.35,0.44,,2.81,3.24,0.52,3.13,3.46,3.18,0.65,3.26,3.58,3.18,2.53,3.12,2.95,3.2,,1.75,3.16,3.03,,1.76,3.16,3.3,0.1,0.85,2.98,3.05,0.71,2.36,2.85,3.2,1.2,3.05,,3.11,1,3.1,3.31,3.4,2.02,2.2,3.1,3.13,0.1,,3.4,3.9,1.85,0.9,3.3,,0.95,3.05,3,,,2.2,1.96,2.7,,,,0,,
