station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
281515072511001,AMARPURA,28.25416667,72.85277778,28,28.1,27.84,27.67,27.65,26.75,27.6,30.08,,,25.85,,26.8,,,27.08,26.28,,,,25.3,24.98,,24.67,24.55,24.2,24,23.82,23.81,23.67,23.02,22.85,22.74,22.75,22.23,22.13,22.03,21.79,,,,,,,20.61,20.36,20.2,20.03,19.96,20.52,20.65,19.17,19.03,18.74,18.58,18.63,,,,,18.17,18.17,18.47,16.47,17,,16.7,17.67,16.47,16.31,16.13,16.17,16.12,16.89,,16.51,16.62,16.78,15.8,15.94,,14.9,14.67,14.67,15.89,14.95,,14.37,,14.82,14.57,14.7,14.75,15.97,16.52,16.6,14.7,16.77,,,,,,,,,,,,,,,,,,,,,,
284205073455101,BADERAN,28.70138889,73.76416667,44.34,44.32,44.12,43.95,43.98,46.09,,,44.15,44.73,44.33,43.26,43.44,43.6,43.33,42.83,42.64,40.92,40.25,41.12,42.82,42.82,42.82,42.9,42.95,43,,41.91,41.95,43.15,42.79,40.3,40.8,42.3,41.65,40.75,40.65,41.16,,,,,,,41.05,41.53,38.16,38.26,39.88,40.82,38.26,39.49,40.74,38.82,33.23,38.99,,,,,45,45,45.45,42.8,40.55,41.3,0.8,41.22,38.8,39.76,21.91,39.19,39.2,39.37,,38.91,39.3,39.26,32.33,32.47,32.58,39.55,38.85,39.86,39.62,39.86,32.59,33.36,,39.75,33.32,37.25,37.8,40,41.13,41.3,39.07,40.57,40.83,,38.2,39.95,28.91,27.83,37.63,,23.05,23.3,25,,32.32,35.8,36.4,37.98,,,37.8,37.75,17.8,
275600072303001,BAJJU,27.93333333,72.50833333,41.73,41.65,39.33,41.38,41.35,41.03,38.19,,40.42,40.27,39.92,39.79,39.44,39.3,39.13,38.97,38.99,38.75,38.63,39.5,38.04,38.85,37.62,37.78,37.46,37.15,35.12,35.9,36.4,,,35.47,35.48,36.62,35.42,34.44,35.47,36.12,,,,,,,35.29,35.36,35.19,35.14,35.14,35.11,35.04,35.02,35.04,35.14,35.07,34.94,,,,,35.24,34.61,35.47,34.66,38.5,37.84,34.42,37.84,34.28,34.69,34.28,,33.39,33.24,,,,,,34.42,33.64,,,,,33.74,33.74,31.65,,32.81,33.94,33.11,32.42,32.94,33.54,33.84,30.61,,,,30.89,31.44,30.54,29.2,29.49,,29.12,28.79,29.34,,30.33,28.95,29.14,29.82,29.69,28.04,28.14,28.93,25.84,
274415072081501,BHIKAMPUR,27.7375,72.1375,9.95,11.2,9.17,8.93,9.3,9.68,9.76,9.88,10.05,10.25,9.25,8.14,10.2,9.1,9.52,10,10.1,11.56,10.38,,,10.8,,,10.97,,10.9,10.64,10.7,,10.68,,9.85,10.7,10.36,10.58,10.11,10.52,,,,,,,11.25,11.95,10.3,10.35,10.3,12.08,11.22,11.2,11.17,11.18,11.34,11.25,,,,,11.55,11.8,11.5,12.45,13.75,13.15,13.65,15.05,12.55,,12.6,11.15,13,12.35,,,12.95,12.95,12.7,12.65,12.35,12.15,,10.82,11.2,,,12.45,,16.95,11.45,12.85,12,8.45,8.76,8.88,12.99,,,,13.6,13.05,14.66,,14,,14.05,13.85,,,,,,,,,,,,
284000073080001,CHHATARGARH,28.66666667,73.13333333,46.62,46.29,46.62,45.82,45.83,45.34,45.17,45.38,44.68,,44.54,46.28,43.62,43.14,42.92,42.92,42.56,40.75,42.54,41.17,41.02,40.7,40.95,40.5,40.77,40.16,39.95,39.65,39.66,39.95,38.59,38.47,37.8,37.65,37.42,37.37,37.19,37.27,,,,,,,35.97,33.69,37.57,34.92,35.29,35.19,34.83,34.77,34.68,34.47,34.2,34.81,,,,,33.57,33.47,33.62,39.89,35.27,34.97,33.09,34.87,33.2,32.71,32.76,32.37,32.37,32.45,,32.29,32.33,31.98,31.87,31.79,,31.87,31.57,,34.47,32.09,29.77,30.05,,31.17,30.15,33.77,34.07,43.32,29.97,30.04,29.87,29.97,29.87,,30.37,30.82,30.15,31.74,32.57,,29.63,29.47,29.52,,29.41,29.48,29.25,30.21,29.99,29.29,29.67,30.42,30.08,
283130073363001,DHIRERA,28.525,73.60833333,62.37,63.21,62.19,62.15,62.73,61.97,61.95,,61.79,65.58,65.55,61.7,61.52,61.45,61.55,61.46,61.33,61.21,61.4,62.05,60.13,61.03,61.15,61,59.95,60.8,60.65,60.8,60.75,60.85,60.61,59.2,59.14,60.45,59.03,59.05,59.12,58.95,,,,,,,58.7,59.32,58.06,58.65,58.76,58.56,58.55,59.85,58.51,58.48,58.45,59.34,,,,,59.4,58.4,59.42,92.5,,58.45,58.4,58.4,58.45,58.35,58.19,58.32,58.2,57.95,,58.31,58.1,59.16,58.16,58.1,58.45,57.6,60.5,51,50.9,49.81,,50.9,,,57.9,58.2,58.97,,54.6,54.75,,,,,,,,,,,,,,,,,,,,,,,,
280500074003001,DUNGARGARH,28.08333333,74.00833333,59.37,59.52,60.89,59.65,59.66,59.55,59.68,59.9,59.63,53.05,59.52,59.55,59.54,59.57,59.42,59.52,59.54,59.53,59.65,59.52,59.7,59.85,59.55,59.75,59.69,59.98,59.94,59.25,58.11,60.08,59.95,58.82,58.63,60.09,58.66,58.82,58.75,59.08,,,,,,,59.4,59.3,59.45,59.77,59.7,,59.94,60.1,59.92,59.86,59.67,60.69,,,,,61.3,60.85,60.75,60.88,60.45,60.6,60.35,60.05,60.07,60.26,60.05,60.25,60.1,60.2,,60.22,60.2,60.52,60.2,59.92,60.4,60.57,60.3,,60.7,60.94,60.82,60.44,,60.95,61.23,61.37,61.4,61.85,61.94,62.05,61.96,59.85,60.43,,60.5,,,,,,,,,,,,,,,,,,,
275930072160001,GODU,27.99166667,72.26666667,34.5,34.44,34.52,34.2,34.2,34.01,,,,33.48,32.54,32.35,32.3,31.9,26.32,31.5,31.3,,29.99,32.32,,30.05,29.94,29.75,29.6,,29.22,29.12,28.85,27.77,28.51,27.12,26.96,27.9,26.62,26.43,26.27,26.08,,,,,,,24.88,23.62,24.5,24.4,24.3,24.08,23.79,23.79,23.6,23.43,23.24,23.13,,,,,22.33,22.35,22.5,22.03,21.95,22.33,21.83,22.13,21.53,21.45,21.3,,21.28,20.53,,20.67,21.24,19.33,19.6,18.49,,19.63,18.53,17.69,18.95,16.99,17.43,17.9,,19.28,19.13,19.16,18.18,19.93,20.08,20.15,21.04,21.13,,,,,,,,,,,,,,,,,,,18.93,18.68,,
283435073484001,HARIASAR,28.57638889,73.81111111,33.03,32.55,34.05,,,33.07,32.83,,31.97,,35.4,32.85,,29.9,29.92,29.6,61.53,32.98,31.05,30.98,,,31.8,,45.25,,46.22,60.16,58.47,,,43.59,43.54,,,,,,,,,,,,,27.61,,,28.7,,,28.95,28.81,27.25,27.45,28.65,,,,,,24.25,26.75,25.15,,25.15,25.75,25.1,25.39,25.85,25.05,24.93,24.95,27.11,,24.59,25.25,26.55,29.45,26.92,29.65,26.75,27.87,27.45,27.9,24.85,26.95,25.98,,27,27.73,25.84,25.9,27.6,27.35,27.65,43.87,29.15,29.75,,31.41,34.35,30.65,29.21,29.9,,31.05,31.65,30.4,,30.67,30.71,35.25,32.75,30.75,29.85,30.12,32.9,30.5,
281945073291501,KASTURIA,28.32916667,73.4875,40.25,,40.05,37.9,39.48,39.84,39.75,38.95,39.63,39.45,39.4,39.44,39.2,39.1,38.9,38.81,38.77,38.51,38.8,38.38,47.74,38.2,38.15,38,38,37.85,,37.39,36.15,35.38,37.22,35.03,35.1,27.15,34.84,34.77,34.76,34.63,,,,,,,34.14,34.64,34.03,34,34.07,34.1,34.03,34.2,33.94,24.17,33.85,33.9,,,,,34.1,33.67,34.53,33.7,34.34,34.35,33.52,34.3,33.53,33.48,33.46,33.4,33.45,33.38,,33.06,33.45,33.9,32.72,33.1,37,34.06,32.53,32.1,33,33.1,33.1,31.48,,32.99,32.99,33.07,33.1,33,34,33.75,33,34.24,33.06,,34.31,35.86,36.81,34.48,34.46,,38.03,36.36,35.36,,36.21,34.17,34.12,35.81,35.56,34.66,34.76,36.16,34.63,
