station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
251600075460001,BALLOP,25.26666667,75.76666667,1.28,3.92,1.48,1.27,1.78,1.55,0.7,,1.09,2.34,1.1,1.39,1.46,2.82,1.16,1.6,1.46,1.74,1.12,1.46,1.57,2.88,1.18,1.57,1.51,4.93,1.71,1.52,,,5.65,2.95,0.26,,,,,,,,,,,,0.4,4.57,1.36,1.17,0.39,4.78,0.93,2.15,0.24,4.5,2.3,0.56,1.24,3.55,0.55,1.1,0.27,,,2.28,2.24,,4.9,0.66,0.96,8.7,0.8,0.83,0.27,4.9,,2.11,3.12,4.32,1,3.1,1.3,6,3.35,4.45,0.22,3.92,2.05,0.65,,4.96,0.9,0.7,1.8,,1.17,1.24,1.55,1.61,,,,,,,,,,,,,,,,,,,3.17,0,,
252815075520001,DELUNDA,25.47083333,75.86666667,13.58,15.04,5.6,13.55,13,13.96,,12.42,12.18,13.6,1.84,12.12,11.6,13.58,2.03,12.52,12.81,5.15,2.19,5.26,14,14.9,2.49,15.7,14.58,15.47,15.61,16.61,17.08,17.8,16.83,17.07,8.32,17.8,14.91,,,20.24,,,,,,,18.81,18.86,18.67,19.44,19.18,,17.01,16.84,19.25,,16.21,16.54,18.25,,14.72,13.93,16.62,16.91,14.59,15.83,15.07,18.24,16.99,17.72,,18.94,16.69,14.86,13.36,16.24,,13.64,12.22,14.04,9.39,10.94,9.39,8.81,6.74,9.59,7.97,9.04,10.19,10.14,,11.14,2.29,1.99,9.49,11.19,9.5,9.92,10.69,10.81,10.44,,10.37,11.59,7.29,7.59,8.14,,8.29,11.15,11.99,,8.59,10.47,10.36,9.59,7.09,8.09,8.69,11.12,,
253230075594501,GAINDOLI,25.54166667,75.99583333,5.2,6.96,0.96,2.39,1.56,5.86,1.43,2.9,3.35,6.1,2.15,3.05,3.28,8.17,3.71,3.55,3.88,9.82,4.7,6.9,8.55,9.6,4.78,6.15,8.32,11.7,5.63,8.08,9.92,11.97,1.1,0.92,3.07,7.38,1.28,6.43,7.88,10.25,,,,,,,3.17,3.1,1.82,2.47,4.09,8.11,2.46,3.28,4.44,,2.3,3.28,5.81,8.65,2.41,4.45,4.98,9.68,2.87,5.92,8.11,10.76,4.5,6.5,8.57,,1.5,1.56,2.9,9.72,,5.08,8.47,9.72,0.1,1.1,1.8,3.85,1.57,1.45,3.6,5.65,2.6,5.2,,5.66,1.3,3.3,4.5,,4.39,4.51,4.74,4.83,2,,5.97,,0.15,0.9,1.15,,0.8,7.19,9,,0.5,6.75,6.86,9.44,,0.9,1.6,4.78,,
252328076042501,KAPREN,25.39111111,76.07361111,2.06,5.53,2.38,2.81,3,6.7,1.9,3.8,3.76,5.58,2.25,2.79,2.52,5.36,2.71,4.03,3.95,2.41,2.3,1.97,1.75,3.2,2.26,1.76,1.72,1.94,1.7,0.78,3.98,,2.08,,,,,,,,,,,,,,1.93,,8.28,2.3,5.79,,10.81,3.16,,,11.41,13.5,13.3,,0.95,1.01,5.46,1.14,0.91,4.52,5.58,1.69,4.08,1.37,1.25,2.91,7.01,2.08,2.41,2.41,,2.46,6.12,6.12,1.71,2.71,1.97,2.31,1.9,1.89,1.96,2.01,2.01,1.86,,3.01,0.51,1.36,1.61,2.71,1.51,1.65,1.81,1.79,1.21,,1.5,1.51,1.31,1.41,1.66,,1.31,1.45,1.81,,1.55,1.27,1.15,3.21,1.46,1.76,1.81,1.88,,
251908075555001,KESHORAIPATAN,25.31888889,75.93055556,1.4,2.83,0.93,1.65,1.24,2.74,0.73,2.01,1.77,2.95,,1.47,1.6,2.63,1.05,1.55,1.46,2.54,1.14,1.35,1.23,2.66,1.12,1.5,1.95,3.2,1.61,1.91,3.15,,1.63,2.43,1.29,3.99,0.62,4.07,,,,,,,,,2.81,5.76,3.33,1.83,3.3,4.68,1.25,1.75,3.16,,1.2,1.5,1.45,3.5,1.12,1.02,1.2,4.13,1.66,1.49,1.36,4.96,0.88,1.4,0.94,3.36,0.76,0.91,1.23,2.94,,1.71,1.11,3.09,0.56,1.64,1.04,2.61,1.18,1.86,1.16,2.16,2.26,1.46,,2.36,0.41,1.51,1.7,2.66,1.77,1.86,1.46,1.47,0.76,,1.07,2.66,0.71,0.76,1.11,,0.81,1.42,1.96,,1.36,0.46,0.4,1.56,0.91,2.29,1.36,3.43,,
254000076110001,LAKHERI,25.66666667,76.18333333,3.44,4.8,2.08,2.46,2.4,3.32,1.5,2.72,2.52,4.08,1.61,2.42,2.5,3.46,1.69,1.96,2.01,3.73,1.79,3.57,4.71,5.1,1.85,3.48,3.37,3.19,3.64,4.6,4.87,4.88,3.12,2.8,2.7,4.96,0.51,5.17,5.3,,,,,,,,4.73,,3.5,3.12,5.37,3.77,,,4.59,,3.48,3.73,3.89,3.1,,1.56,1.89,,1,1.72,2.02,4.85,2.82,2.55,2.95,4.8,0.9,0.82,0.9,1.68,,0.8,1,1.58,0.5,0.4,0.02,0.8,0.07,0.18,0.3,0.82,0.4,0.5,,2.3,0.1,0.6,0.6,2.4,0.71,1.01,2.42,2.57,2,,2.32,,0.5,0.4,0.9,,0.2,2.53,,,0.1,2.15,2.29,4.9,,,0.3,0.31,,
252430075531501,MAIJA,25.40833333,75.8875,1.7,2.75,1.31,1.8,1.92,3.05,1.29,1.56,1.54,3.36,1.24,1.38,1.61,2.17,1.26,1.45,1.61,2.26,1.74,1.66,5.55,3.19,1.51,1.8,1.54,3.22,1.29,1.39,2.47,3.7,1.88,2.77,0.53,4.65,0.17,5.31,5.22,6.86,,,,,,,0.96,7.51,3.01,2.92,1.01,3.1,0.58,0.5,1.14,,,1.28,2.7,,0.93,0.53,1.24,2.65,0.79,0.99,0.72,3.37,3.13,2.09,2.16,3.05,17.5,2.05,0.6,3.6,,0.16,0.7,2.25,0.15,1.6,0.4,2.2,1.04,1.38,0.45,1.95,1.4,0.25,,2.25,0.85,0.2,0.31,2.3,0.33,0.3,0.65,0.9,0.4,,0.54,2.75,0.45,0.35,0.95,,0.9,0.67,1.1,,0.63,0.92,0.84,2.1,0.15,0.75,0.55,2.39,,
253320075565001,MOTIPURA,25.55555556,75.94722222,8,,7.55,7.38,7.83,9.65,7.43,7.8,7.6,9.61,7.9,8.57,8.5,9.96,9.05,9.45,8.39,9.7,9.01,10.86,10.79,,8.93,10.92,10.25,,10.87,,,,10.62,10.46,10.37,,,,,,,,,,,,,,,9.16,9.29,,,,,,,,,,8.26,10.09,11.43,,,13.88,14.09,13.43,,12.47,13.55,17.19,2.09,8.13,7.54,10.29,,9.26,11.29,12.59,2.64,7.79,8.01,13.49,7.34,8.09,8.39,8.19,8.19,,,,9.89,10.14,7.69,9.59,7.44,7.49,8.05,8.09,,,,,,,,,,,,,,,,,,,,0,,
252940075493001,RAJWAS,25.49444444,75.825,4.62,6.5,1.52,3.17,2.54,5.69,2.4,4.11,4.58,6.88,1.6,3.3,3.9,5.98,1.76,3.11,3.54,5.7,2.43,5.71,6.41,7.33,2.39,4.43,4.94,7.85,3.42,4.8,6.2,9.6,5.44,3.36,4.56,7.9,3.72,7.76,,,,,,,,,5.13,6.16,4.47,3.93,5.56,5.92,2.76,3.19,6.28,,3.24,4.74,6.65,5.3,2.89,4.79,5.37,6.72,3.89,4.6,6.73,,6.83,5.73,3.86,8.09,0.99,1.57,2.25,4.11,,3.3,4.05,5.59,0.29,0.69,2.39,4.46,1.8,2.45,3.21,4.3,1.39,3.44,,5.64,1.39,1.89,3.09,5.89,3.21,3.29,4.37,4.38,,,,,,,,,,,,,,,,,,,2.69,0,,
252400075333001,RAMNAGAR,25.4,75.55833333,6.15,9.14,2.62,5.85,4.84,7.18,2.19,6.88,5.13,9.72,2.11,6.41,5.68,7.8,2.97,5.91,5.97,6.8,3.87,6.26,9.55,11.45,,8.24,11.02,,8.15,11.09,12.73,15.24,3.1,8.6,16.26,15.44,1.54,12.01,12.73,13.23,,,,,,,6.13,7.99,7.57,4.73,6.68,10.49,1.44,4.14,6.61,,1.34,2.37,4.63,12.59,7.85,12.07,12.94,11.59,8.14,12.27,12.99,13.02,10.65,13.23,11.75,8.09,2.39,2.19,2.39,8.29,,2.02,8.45,9.09,1.39,1.74,3.32,3.25,1.64,3.39,8.24,9.24,1.79,3.89,,11.1,2.09,1.69,2.07,6.79,2.19,2.3,9.19,9.28,2.24,,8.45,9.89,1.19,1.29,1.64,,1.34,3.44,4.79,,1.5,3.17,2.86,4.84,1.04,1.34,1.59,2.2,,
