station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
244400074160001,AKOLA,24.73333333,74.26666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91,15.1,8.78,10.83,10.46,,5.43,7.67,8.21,,2.8,7.5,5,9.9,9.2,13.57,13.82,16.67,13.18,14.12,17.01,19.07,12.44,9.44,12,12.88,9.47,11.42,11.6,15.1,,9.58,10.63,13.75,3.9,3.9,9,16,8.3,7.46,8.1,9.86,8.18,8.37,,8.58,11.8,9.3,6,7.54,2.9,2.93,3.05,10.6,,,,,,,,,,,,,,,,,,,6.9,,,
244336074270001,BANSEN,24.72666667,74.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37,14.63,4.7,3.92,11.64,15.7,1.25,3.88,8.4,15.4,3.45,12.45,14.04,12.95,9.21,13.92,12.69,13.7,13.71,13.49,0.1,14.35,2.29,11.55,4.17,14.67,10.83,2.48,2.4,14.05,,2.48,9.47,18.95,0.9,1.1,7.75,18.7,2.45,,8.9,14.51,11.85,,,14.55,7.57,9.9,9.05,,3.3,5.27,4.45,24.25,15.55,,25.35,25.55,22.05,9.4,14.85,,16.05,23.55,25.85,,24.25,8.51,9.2,21.65,4.35,5.75,11.1,23.45,,
241054074421001,BARAWARDA,24.18166667,74.70277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,3.34,1.35,4.41,5.64,13.4,0.84,1.35,2.14,3.89,0.9,2.39,1.48,7.06,5.69,2.89,3.88,,0.76,5.59,10.52,11.56,3.79,3.9,,10.79,0.74,1.14,1.87,5.87,,1.19,1.97,6.85,0.8,0.81,2.99,14.74,0.78,2.22,1.9,0.89,0.89,2.44,,9.89,0.54,0.59,0.6,13.4,1.79,1.92,3.48,8.97,0.69,,2.14,13.64,0.74,1.79,1.14,,2.89,4.49,4.88,,8.89,0.79,1.19,11.19,5.99,4.39,,,,
250630074500001,Dugar,25.10833333,74.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26,,10.56,,,,,0.64,0.61,,1.7,3.45,,,,0.47,0.82,,,,7.91,,3.67,3.2,,3.53,2.65,3.3,,,,,5,3.32,3,,3.45,3.3,0.45,1.8,0.4,6,2.1,2.33,,1.1,1.04,1.35,2.4,2.17,0.85,0.66,1.06,5.2,3.4,,4.63,8.5,,0.65,0.8,,,6.7,7.34,,,,,,3.7,6.5,9.25,2.34,,
250300074380001,GANGRAR1,25.05,74.63333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51,13.7,12.95,9.25,12.14,15.4,3.75,14.03,10.7,14.64,10.1,12.35,14.61,6.68,8.45,12.51,13,15.3,,,,,14.77,9.5,16.02,16.57,12.01,8.05,7.75,,,7.95,9.95,16.5,6.31,6.15,8.92,16.25,,9.55,9.85,12.45,8.15,10.35,,18.7,17.35,15.46,1.85,7.1,3,10.95,9.95,12.55,10.35,,16.65,14.55,3.95,1.38,5.45,,,9.4,9.85,,8.49,10.9,11.65,14.05,7.9,4.15,6.85,,,
241900074260001,KALAKHET,24.31666667,74.43333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77,19.57,18.38,19.25,19.57,20.75,6.05,14.08,18.75,19.75,20.42,14.75,14.32,20.28,16.89,19.05,20.12,20.13,18.61,19.35,19.94,21.07,19.57,17.92,19.39,20.08,,18.67,16.92,19.58,,,17.25,,6.56,,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,
245140074183001,KAPASAN1,24.86111111,74.30833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05,14.65,14.91,18.8,9.44,12.65,5.35,6.97,7.8,10.69,10.15,8.97,11.25,13.59,20.43,12.7,13.37,16.2,14.67,16.52,15.07,16.45,15.26,8.65,8.24,9.95,6.65,4.31,4.65,5.85,,3.35,3.75,4.85,2,2.03,2.36,5.18,2.3,2.27,3.17,4.19,4.05,4.58,,7.15,19.01,4.25,2.75,4.6,2.51,2.55,3.27,5.85,4.4,,4.85,7.15,5.6,2.52,2.78,,3.8,4.25,4.6,,5.66,4.33,4.05,6.25,2.8,8.95,5.55,7.5,,
250210074293001,KHARKHANDA,25.03611111,74.49166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,,,20.62,20.94,,4.19,16.27,20.49,,14.74,19.69,,,,,,,21.85,22.11,23.85,,21.43,22.44,21.44,,16.94,12.94,12.74,13.94,,11.24,13.87,20.84,14.94,18.14,15.52,21.54,1.44,5.94,12.04,16.43,9.84,13.21,,15.94,5.54,13.64,10.44,18.34,9.19,9.27,10.74,21.44,18.64,,21.94,,23.44,3.19,6.09,,13.54,9.94,16.84,,,15.5,15.49,17.04,9.59,4.14,0,16.39,,
245420074384001,MANPURA2,24.90555556,74.64444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02,12.67,4.43,6.07,9.46,11.17,1.81,6.31,8.57,10.92,4.47,9.67,10.65,8.27,1.96,10.11,10.44,12.42,5.4,,12.15,12.67,5.53,5.47,11.17,10.97,1.97,7.09,9.51,17.22,,5.3,9.83,10.27,6.95,2.4,7.79,9.07,2.97,6.49,8.91,11.07,10.07,9.48,,11.05,14.91,,11.27,8.87,1.57,6.67,1.8,10.27,1.77,,9.17,12.57,9.72,3.62,7.11,,3.52,10.37,11.37,,8.17,5.92,9.17,12.57,4,10.92,10.17,11.12,,
250440075100001,MENAL,25.07777778,75.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,2.32,2.51,1.91,1.99,5.45,5.37,1.92,1.86,3.61,1.35,1.35,,1.11,1.66,2.11,1.08,3.12,2.33,3.4,3.77,2.85,1.09,1.25,2.05,3.45,0.5,1.5,1.54,2.92,,1.11,2.47,2.14,0.87,1.05,1.05,4.05,0.85,2.04,1.05,1.88,0.65,2.3,,4.38,6.26,3.65,4.95,1.5,1.35,1.05,1.67,2.55,1.15,,1.85,2.3,1.15,1.18,1.2,,0.9,1.6,1.15,,0.55,0.88,1.1,1.63,0.45,4.8,1.35,0.55,,
