station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
235730074044501,ASPUR1,23.95833333,74.07916667,5.17,6.74,0.86,2.11,3.5,6.33,4.52,5.3,5.69,8,3.91,3.75,4.83,8,4,3.75,,6.54,4.71,2.55,4.13,6.55,5.9,6.26,7.16,6.3,8,8.37,8.67,9.4,3.92,5.38,6.82,7.34,6.18,8.2,8,8.52,,,,,,,6.05,6.22,3.19,5.58,6.3,7.59,0.41,2.14,4.75,6.1,2.82,14.45,2.3,16.8,4.92,5.2,5.73,7.55,1.32,3.16,4.28,6.47,4.8,3.96,4.63,6.35,0.75,11.38,3.4,6.16,,,3,6.07,,,,7.8,11.9,1.65,12.65,5.1,1.1,2.4,,5.68,0.12,0.3,1.2,4.7,,,3.11,4.45,2.25,,1.75,4.65,,0.6,1.6,,2.4,8.1,7.9,,1.9,2.6,2.9,4.8,0.4,8.7,10.2,3.7,,
235400074041501,BARODA,23.9,74.07083333,3.86,5.29,1.86,2.26,3.01,4.44,4.25,5,5.5,5.64,1.87,2.6,2.9,3.43,2.46,2.6,3.91,4.49,3.15,2.95,3.53,2.63,3.3,3.71,2.25,3.2,2.5,2.7,3.09,4.91,2.69,2.17,1.38,3.09,2.88,2.76,4.38,3.98,,,,,,,1.21,1.55,2.13,3.89,3.08,2.88,1.09,1.43,1.46,1.39,1.01,1.06,1.54,2.1,2.36,4.26,5.22,7.11,0.42,3.91,1.21,2.4,1.86,1.85,0.88,1.7,1.56,0.46,1.81,4.81,,0.58,3.48,1.68,0.06,0.36,1.11,4.06,1.36,1.31,1.82,2.96,0.46,1.64,,,1.08,1.12,0.98,6.35,1.41,1.47,1.49,2.36,,,,,,,,,,,,,,,,,,,,3.56,,
235000073420001,Dungarpur1,23.83333333,73.7,7.3,12.87,3.66,7.2,6.79,9.37,6.06,6.5,7.22,12.74,4.92,10.25,6.5,13.33,3.6,10.25,9.52,10.87,7.3,5.86,5.87,8.2,6.4,7.04,6.8,11.63,7.3,10.97,11.27,13.91,7.18,7.19,7.77,11.67,9.48,9.35,11.44,12.92,,,,,,,9.06,9.24,3.93,6.81,7,13.56,2.3,5.16,5.32,6.35,3.64,4.19,5.27,7.32,6.05,6.05,13.59,16.07,5.54,4.67,6.98,10.46,6.45,6.22,5.57,12.35,3.57,4.7,5.09,6.95,,4.18,4.05,6,3.75,3.88,3.85,8.05,4.13,4.49,3.95,5.75,3.3,4.8,,11.27,3.8,4.45,4.43,8.47,2.85,2.84,6.23,10.25,,,,,,,,,,,,,,,,,,,,8.45,,
234245073421501,GORADA,23.7125,73.70416667,6.37,,1.37,2.44,3.75,7.17,2.17,2.1,5.3,8.1,,2.83,4.38,5.04,,2.83,6.17,7.49,6.06,6.66,4.57,7.3,5.1,6.52,8.46,,2,5.7,6.45,10.28,5.59,4.23,6.87,10.38,1.77,7.07,8.44,9.56,,,,,,,4.98,5.15,8.65,3.67,5.71,8.35,0.32,2.28,4.4,7.67,0.24,4.97,2.41,7.82,5.87,10.2,10.2,3.17,0.47,5.39,5.19,9.47,0.57,3.52,5.92,8.77,0.67,2.06,5.02,7.64,,2.63,5.67,7.64,0.47,3.32,5.27,8.32,4.75,4.88,4.45,7.17,4.22,5.02,,7.57,0.49,0.93,0.97,9,2.52,2.58,6.98,,,,,,,,,,,,,,,,,,,,,,,
235100073464501,MANPUR2,23.85,73.77916667,4.58,7.95,2.12,2.7,3.44,5.24,3.36,4.1,4.9,6.49,2.12,2.87,3.51,5.64,2.1,2.87,4.82,5.03,2.61,2.01,2.78,5.44,4.85,5.43,5.88,7.09,5.1,5.64,6.22,8.33,2.57,2.82,4.53,6.83,2.87,4.41,4.98,6.48,,,,,,,3.39,3.94,1.39,2.16,3.25,6.1,1.36,1.83,3.09,5.1,1.31,1.86,1.89,7,5.89,6.86,,,1.44,2.81,4.62,7.09,6.06,3.29,4.36,,0.36,1.75,2.94,6.49,,1.55,5.46,7.65,0.41,1.36,3.42,7.71,2.35,2.56,3.56,7.06,0.66,2.24,,7.16,1.12,1.43,2.54,,1.26,1.29,3.36,,1.46,,2.87,,1.56,3.36,2.65,,1.66,3.31,3.76,,4.86,2.36,2.66,,2.46,2.36,3.16,0,,
235000073410001,NAYADERA,23.83333333,73.68333333,4.84,8.12,1.9,4.5,9.06,3.19,1.63,2.1,3.66,,3.33,5.49,2.77,2.93,1.15,5.49,1.08,,5.63,7.4,6.83,4.94,5.1,6.58,4.9,7.5,5.4,10.1,10.52,,4.87,5.82,8.41,,7.98,10.03,10.57,,,,,,,,8.33,8.64,4.63,6.89,6.27,,0.57,2.88,6.42,9.16,3.1,6.57,2.94,9.4,7.73,10.03,,,4.43,8.63,,,9.53,8.53,8.86,,5.83,3.52,6.61,,,1.56,5.53,9.35,2.58,1.39,4.93,7.28,7.93,5.43,7.48,7.78,3.73,5.48,,9.43,1.13,1.55,1.79,,0.48,0.55,7.17,10.83,3.63,,7.91,11.07,1.53,1.73,5.08,,3.43,4.73,5.28,,8.33,6.53,7.03,8.23,4.13,3.28,8.13,9.03,,
234700074023001,NAYAGAON1,23.78333333,74.04166667,4.43,7.05,0.5,1.96,2.72,4.75,4.94,5.4,5.3,8.79,5.25,2.86,3.51,6.92,5.78,2.86,6.58,8.18,8.64,6.67,6.01,8.66,8.6,7.72,8.8,,,9.15,,,,,,,,,8.35,,,,,,,,5.65,5.97,2.69,3.18,5.91,8.48,0.37,1.62,2.96,2.61,2.14,1.08,1.74,7.03,4.77,9.75,8.25,7,6.82,2.05,8.08,9.37,6.75,6.39,6.05,9.68,7.05,4.33,3.7,8.35,,4.24,6.43,3.17,1.03,1.85,4.35,5.25,2.7,2.52,3.6,6.65,3.7,5.14,,8.75,0.7,1.68,1.79,6.17,3.2,3.27,5.62,5.25,,,,,,,,,,,,,,,,,,,,17.95,,
233145073454501,PEETH,23.52916667,73.7625,7.7,10.83,2.3,1.52,4,9.53,2.15,2.3,5.54,11.65,,1.84,4.34,10.52,,1.84,7.64,9.75,4.16,4.26,3.03,9.15,6.2,7.55,10.27,,9.4,,,,,,,,,,,,,,,,,,8.13,8.45,3.1,8.93,,,0.42,2.07,6.61,,0.44,3.73,2.16,,,,,,,6.03,,,3.43,3.88,7.43,,0.33,1.58,5.51,12.06,,2.53,7.11,12.06,0.83,0.63,2.13,12.06,2.85,2.2,7.28,0.53,0.53,1.93,,,0.76,1.03,1.83,,2.29,2.26,8.69,,4.33,,,,4.13,0.63,3.03,,2.93,4.43,4.83,,7.53,3.93,4.53,8.83,5.63,1.93,2.33,9.33,,
234600073270001,RATANPPUR,23.76666667,73.45,7.94,9.59,,5.38,6.51,8.62,5.58,5.8,7.95,9.55,4,6.02,6.8,9.45,3.25,6.02,8.03,8.56,6.25,7.54,7.99,9.06,8.6,8.88,9.05,,8.4,9.4,10.1,12.74,7.12,7.62,8.86,12.03,6.92,8.45,9.53,11.19,,,,,,,8.53,8.76,5.96,6.96,8.22,12.2,1.79,4.27,6.57,7.63,2.41,4.99,4.36,8.25,6.35,7.99,9.78,10.73,5.03,8.65,10.96,,5.45,6.7,8.24,11.15,2.15,4.3,6.77,10.39,,6.71,7.92,12.3,3.7,2.46,5.95,11.65,7.09,4.47,7.23,11.1,7.85,10.4,,,3.75,4.07,3.97,,2.25,2.28,8.35,,,,,,,,,,,,,,,,,,,,,,,
235120074094001,SABLA,23.85555556,74.16111111,6.15,8.16,1.3,2.52,3.56,6.28,4.35,4.9,6.59,8.95,1.02,3.44,3.69,6.22,3.28,3.44,3.64,5.03,5,4.04,3.63,5.85,4.5,4.55,5.05,7.3,5.8,7.83,,,7.27,6.91,6.85,9.14,3.36,,6.82,7.72,,,,,,,4.01,4.2,2.47,4.21,4.17,7.17,1.83,1.44,1.21,4.11,1.15,1.81,1.52,5.17,2.75,2.75,4.61,,,3.93,,7.08,,,4.96,6.89,1.4,2.06,3.18,5.35,,2.39,1.61,4.05,1.51,1.78,3.87,7.76,5.52,4.76,6.81,6.21,4.01,5.51,,6.89,1.21,1.45,1.31,6.88,0.16,0.17,4.09,5.81,,,,,,,,,,,,,,,,,,,,6.31,,
