station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
265900075520001,AMBER,26.98333333,75.86666667,11.68,13.22,,6.93,11.06,12.13,2.56,5.73,8.51,11.7,4.98,3.89,7.2,11.6,4.98,8.6,,11.96,5.14,9.44,11.25,11.39,8.7,11.28,11.59,11.9,10.95,11.77,11.5,11.65,10.4,11.05,10.58,10.96,10.5,11.27,10.6,10.95,,,,,,,3.65,,10.35,9.31,9.51,10.3,10.3,11.8,11.6,12,12.93,11.83,,,,,11,11.55,11.1,10.9,11.23,12.23,10.45,10.75,10.8,12.63,9.39,12.02,9.02,11.84,,12.65,9.66,13.75,3.12,4.18,4.74,11.9,5.4,7.1,9.75,10.7,9.1,10.62,,10.8,9.37,11.18,11.2,12,12.23,11.21,11.2,11.75,9.9,,11.35,,12.25,9.6,11.07,,4.66,9.2,10.4,,9.3,10.2,10.65,11.55,6,8,7.72,9.1,7.3,
263600075570001,CHAKSU,26.6,75.95,18.07,16.52,16.48,17.28,17.15,17.65,13.72,15.75,15.52,,,11.73,,14.85,,13.56,17.61,14.72,12.97,13.66,,14.8,14.54,14.87,17.33,19.19,16.13,16.08,17.15,17.84,17.31,18.55,18.9,,18.82,14.86,19.55,19.5,,,,,,,24.75,22.91,,21.95,24.3,20.75,20.3,15.75,24.95,,10.72,15.75,,,,,14.55,19,17.25,18.55,,,13.9,15.65,15.89,12.35,11.35,10.53,10.25,,,16.24,17.55,13.08,,17.09,13.45,14.25,9.4,12.45,9.45,10.35,17.25,,,16.85,16.56,14.58,9.95,11.31,11.05,11.3,11.87,14.25,12.55,,17.45,17.05,11.35,11.95,14,,10.32,11.75,18.35,,11.05,11.4,12.2,13.45,11.25,14.95,17.25,12.06,10.31,
263402075451501,DAWACH,26.56722222,75.75416667,6.43,7.2,,3.6,4.3,5.7,2.65,6.3,6.54,4.78,1.89,1.87,3.79,3.61,3.25,3.2,1.98,3.71,2.18,1.9,2.71,7.4,3.16,7.35,5.06,6.36,6.62,8.13,,8.73,6.11,,9.7,9.1,9.24,11.86,9.5,12.51,,,,,,,10.77,,7.06,7.57,8.1,12.54,8.88,9.9,9.9,10.34,13.55,13.75,,,,,12.14,9.05,11.02,11.1,7.94,13.39,11.91,11.7,12.1,7.28,5.88,11.56,11.56,10.9,,10.96,11.56,8.42,5.26,4.87,5.64,9.6,7.95,6.72,7.3,7.7,8.52,12.5,,12.6,12.07,12.9,7.6,10.82,10.65,10.7,12.9,11.9,12.1,,15.3,16.3,14.05,9.78,10.6,,9.65,,11.1,,12.25,12.5,12.85,12.6,10.4,4.9,6.7,,,
264045075543001,GONER,26.67916667,75.90833333,9.59,10.87,10.96,11,11.25,11.7,6.03,6.97,7.57,9.45,9.43,6.4,6.62,8.62,7.99,7.66,,10.56,6.05,6.31,7.92,8.32,9.46,9.66,9.99,11.13,10.78,11.28,11.1,11.85,10.94,41.5,11,11.7,12.17,9.38,12.45,13.28,,,,,,,6.9,7.9,5.03,6.79,8.28,10.35,10.25,11.2,11.4,12.22,9.55,9.98,,,,,12.62,,13.9,14.02,15,,13.07,12.4,14.47,13.23,13.88,12.37,12.91,13.78,,11.5,11.6,13.17,12.9,12.32,12.8,13.3,13,12.9,12.95,13.1,13.5,13.37,,13.38,13.07,12.68,14.1,13.55,13.7,13.53,14.3,25.23,,,,,,,,,,,,,,,,,,,13.85,,12.92,
265636075444001,JHOTWARA1,26.94333333,75.74444444,34.85,35.43,35.53,35.5,36.18,35.83,36.19,36.28,36.36,36.76,36.78,36.69,36.71,36.78,37.1,37.05,37.56,37.6,37.7,38.08,38.3,40.12,40.12,39.3,41.35,43.04,44.77,46,45.24,45.9,44.81,45.95,46.2,47.3,47,52.57,47.9,48.25,,,,,,,52.58,53.6,54.2,54.7,54.9,55.62,55.8,56.4,56.8,58.4,58.42,59.2,,,,,60.72,61.67,63.1,,63.27,65.4,66.13,66.95,,68.25,70.5,73.65,68.9,68.58,,,,,,,70.32,,68.6,,,68.07,,,,68.97,69.9,69.2,69.35,68,69.1,73.6,69.9,69.4,69.42,,70.2,70.6,67.5,70.98,71.05,,70.71,71.4,71.7,,70.7,75.65,76.3,71.1,68,71.07,75.05,70.22,70.16,
265830075240001,JOBNER,26.975,75.4,22.25,23.82,23.36,23.64,24.25,24.22,22.4,22.48,23,24.2,19.68,19.78,20.16,20.9,20.18,19.47,19.7,20.12,20.32,22.94,19.64,21.45,21.8,22.89,23.11,23.8,23.02,24.53,24.85,27.16,24.06,23.25,23.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.79,,,,,,,,,,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.72,,
263636075164001,MANGARWARA,26.61,75.27777778,3.04,3.6,3.24,3.13,3.15,2.82,,4.37,1.78,,1.31,2.05,1.77,2.71,2.16,2.29,1.4,3.24,2.96,3.41,3.84,4.1,3.68,4.02,5.24,5,5.15,6.66,7.01,7.27,5.49,15.23,15.62,5.55,5.74,6.03,6.18,6.79,,,,,,,5.58,5.78,4.98,5.43,5.33,5.95,5.64,5.91,6.28,7.35,,7.33,,,,,7.02,7.08,10.28,7.66,9.18,10.08,7.5,7.08,8.88,8.28,6.56,5.64,5.68,3.63,,4.32,3.53,2.33,1.49,1.28,1.28,3.28,2.98,1,0.43,1.43,2.18,1.28,,4.53,3.08,2.18,1.78,8.1,2.58,2.58,3.9,3.38,1.08,,1.58,3.68,2.98,,2.65,,0.52,1.88,1.18,,0.58,1.08,1.73,1.23,1.08,,1.38,3.6,1,
264800075400001,Mohana,26.8,75.66666667,28.65,27.34,27.09,26.44,27.45,28.7,27.26,26.85,,30.5,28.77,23.56,25.58,29.37,,28.31,30.34,32.14,38.44,32.4,33.12,25.71,35.34,35.62,36.1,37.11,37.13,37.87,37.93,39.2,39.31,37.92,38.75,39.64,40.21,28.88,24.8,33.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,,,
264100075214501,MOZMABAD,26.68333333,75.3625,6.12,6.74,6.6,6.7,7.65,7.3,4.17,4.11,4.17,4.05,2.29,3.16,3.37,3.54,2.83,2.85,,3.04,2.72,3.24,3.7,4.86,4.99,5.28,7.88,8.87,7.08,7.31,7.81,8.86,7.72,8.72,9.67,9.03,9.22,9.43,9.52,11.24,,,,,,,10.1,10.44,9.87,10.52,10.64,10.37,9.87,10.34,10.67,11.57,,11.59,,,,,11.13,,42.27,11.42,12.17,12.67,11.67,10.37,13.23,10.22,6.67,5.57,5.67,5.87,,3.94,3.52,4.17,2.52,3.97,2.42,4.07,3.42,2.85,3.67,4.47,0.77,1.97,,3.32,2.75,2.48,3.67,7.88,4.12,4,3.01,5.77,4.07,,12.17,,,7.89,6.67,,4.52,4.77,5.47,,3.32,3.57,3.87,4.72,3.87,1.57,1.67,3.24,7.48,
270300075450001,Nangal purohitan,27.05,75.75,12.7,21.15,20.76,20.76,21.2,21.7,21.39,19.97,21.04,22,,20.73,20.44,21.37,21.6,21,,22.2,22.15,21.77,22.26,23.01,23.43,23.33,23.5,24.37,24.14,24.55,25.01,25.86,25.48,25.2,25.42,,27.28,28.71,28.1,29.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,,,
