station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
251100072360002,BAGRA1,25.18333333,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.23,30,29.38,29.29,31.49,31.53,,,35.87,39.11,27.45,28.52,29.55,30.5,27.5,,33.75,32.7,31.85,32.4,,37.7,32.9,36.6,36.71,38.76,36.1,38.5,,47.9,,,,,,,,,,,,46,43.15,,,47.8,,44.3,,,,,54.6,51.3,,,,,,,,,,,,,,,,,,,86.3,,,
250045072154501,BHINMAL1,25.0125,72.2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33,7.19,5.85,4.68,5.15,5.95,2.3,1.6,1.33,3.3,5.3,5.43,3.78,4.75,4.22,4.5,4.8,5.4,4.98,6.35,6.3,7.55,5.45,4.64,4.5,,4.1,2.87,3.2,6.9,,4.5,4.1,3.2,3.7,3.5,3.97,5.4,4.2,3.9,5,5.4,1.4,,,3.05,3.2,2.5,2.65,3.2,1.4,1.75,3,2.6,3,,3.75,4.6,3.7,2.87,3.8,,3.45,2.9,1.9,,4.8,3.7,3.7,5.8,3.1,2.75,4,3.8,,
245800072130002,DHANWARA,24.96666667,72.21666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.46,,43.29,42.79,,37.65,35.75,34.65,31.18,38.55,38.25,38.7,38.8,,39.82,41.6,40.02,26.38,39.77,39.8,,45.02,,52.25,53.35,45.95,45.95,46.15,56.15,55.05,,56.55,56.65,,58.83,56.15,58.07,62,60.87,62.11,64.05,64.61,60.75,,,48.6,39.85,37.24,37.87,,25.75,26.95,28.65,32.65,,,,,,,,,,,,,,,,,,,60.95,62.85,,
245630071243001,DOONGRI,24.94166667,71.40833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.37,24.48,24.06,24.51,24.55,25.88,24.38,23.08,23.28,24.08,23.93,23.78,24.18,24.32,24.11,24.28,24.31,,23.96,24.68,24.63,23.73,24.48,24.18,24.43,23.98,24.48,24.18,,23.68,,23.48,23.43,23.68,24.46,23.68,23.6,23.73,23.8,22.36,,22.86,,24.18,,22.88,23.18,24.04,24.18,22.88,20.48,22.28,22.08,21.38,21.68,,21.68,23.28,23.38,22.56,,,22.58,23.43,24.18,,24.48,22.78,23.68,25.18,22.48,22.91,23.78,24.08,,
252000072370001,JALORE1,25.33333333,72.61666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.08,19.59,19.79,19.81,20.14,,,,10.56,,17.46,17.86,18.06,22.61,18.11,21.61,,,,,21.96,,,,,,,,16.91,16.51,,20.31,,16.91,21.07,16.91,,20.71,,,,,,,,,,,21.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
245300072180001,Kagmala(kundanpura),24.88333333,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,27.33,27.29,26.65,28.04,28.13,19.45,20.35,25,19.67,15.15,,22.05,19.75,24.19,25.45,26.36,27.35,26.33,30.1,28.1,29.35,28.75,24.75,24.49,26.75,26.15,20.25,20.35,24.8,,21.15,16.65,,29.25,,27.95,38.95,37.3,26.8,29.05,33,31.45,18.85,,21.75,20.65,22.05,23.42,28.05,15.55,14.05,14.85,17.15,,,,,,,,,,,,,,,,,,,19.25,,,
252000072000001,KHOKAGAON,25.33333333,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.57,19.5,19.64,20.19,21.34,21.38,20.9,19.8,23.2,24.66,24.3,25.55,26.57,,27.4,28.5,29.84,29.09,29.12,,,35.1,34.25,35.38,35.76,36.9,36.8,39.6,,39.7,,40,,39.4,39.7,40.25,40.5,40,38.8,38.6,39.23,38.3,41.6,39.88,,40.05,39.9,41,,58.2,57.6,57.5,58.5,57.8,,,,,,,,,,,,,,,,,,,58,76.8,,
252300072530001,NIMLA,25.38333333,72.88333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,17.92,16.05,16.83,17.9,18.2,17.6,17.3,15,15.56,11.6,13.6,14.45,15,10,21.9,13.3,16.1,11.3,15.95,17.4,18.5,16,34.95,16.5,17.98,14.92,15,13.8,,,17.2,17.2,13.8,15.1,15.9,16.6,,13.5,16.7,,19.6,15.1,17.1,,20.3,13.7,10,10.5,14.3,9,7.5,8.65,10.15,,,,,,,,,,,,,,,,,,,14.4,14.45,,
245830072360001,PUNAK KALAN,24.975,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55,12.42,11.32,6.53,9.34,9.39,3.54,2.44,3.34,4.94,4.84,5.34,4.12,4.59,4.78,6.84,5.44,5.09,5.17,6.69,7.5,9.04,5.34,4.49,4.44,4.74,3.04,2.84,2.84,3.54,,2.74,3.34,4.44,4.56,4.74,5.06,4.56,4.6,5.49,10.22,7.69,5.04,3.64,,4.74,3.89,3.64,4.09,4.59,2.24,2.84,2.94,4.14,,,,,,,,,,,,,,,,,,,2.54,,,
250300072330001,RAMSEEN,25.05,72.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62,12.25,9.89,5.08,5.63,7.15,2.15,1.56,5.35,5.3,4.95,5.58,5.22,7.35,7.35,7.83,7.89,10.35,7.83,6.35,9.03,10.55,8.5,4.45,4.45,5.35,3.85,3.55,2.3,5.35,,5.15,4.85,2.3,6.13,4.95,4.95,6.13,6.5,6.8,9.15,11.4,7.55,3.95,,7.4,8.05,5.93,6.07,9.5,2.85,3.85,4.35,6.95,,,,,,,,,,,,,,,,,,,4.15,,,
