station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
242445076334001,AKLERA,24.4125,76.56111111,5.7,8.78,,5.1,6.46,9.34,3.17,5.78,6.89,9.02,,5.83,6.9,9.25,2.81,3.9,3.32,7.3,3.54,4.25,6.83,9.03,3.19,4.19,8.07,9.62,4.49,8.29,9.98,,2.65,5,8.56,10.54,2.26,9.35,10.03,,,,,,,,7.47,9.99,7.19,8.3,8.1,9.8,,3.73,5.79,7.68,2.74,4.51,6.54,8.05,3.12,5,5.61,9.66,3,4.92,5.64,10,5.84,5.08,6.01,9.55,0.65,3.48,7.77,5.05,,3.73,4.27,7.3,1.1,2.3,4.5,7.4,1.9,4.1,3.75,7.17,1.95,4.6,,9.25,2.1,4.6,5.51,9.4,1.5,2.3,6.33,6.37,0.6,,5.15,9.05,2.2,2.5,4.8,,2,3.76,5.2,,1.1,3.3,3.6,9.35,0.75,2.49,,9.33,,
242630075545501,ANVLIKALAN,24.44166667,75.91527778,7.45,12.35,7.82,6.16,6,9.15,9.29,6.98,6.84,11.45,7.75,,5.23,8.32,6.34,5.07,3.83,5.98,4.78,5.79,6.41,10.45,5.43,5.55,5.87,10.18,7.41,7.93,8.99,15.15,7.89,7.52,7.71,12.47,7.16,13.56,13.89,14.34,,,,,,,8.64,13.23,9.12,9.76,9.1,11.54,6.72,4.98,8.15,7.33,6.11,8.19,9.26,8.19,8.82,9.94,10.58,13.52,11.5,12.41,10.55,14.34,14.54,12.31,,11.56,10.34,8.43,8.35,10.39,,8.29,8.91,10.24,5.59,5.39,6.09,7.09,4.81,4.99,5.64,6.49,4.14,3.06,,6.63,3.54,6.44,6.45,10.44,4.9,4.94,10,10.01,9.14,,10.16,13.54,5.54,2.59,4.44,,7.84,7.13,8.24,,8.54,6.36,6.99,10.04,4.74,3.59,4.64,8.82,,
240550075520001,GAURADIYA KALAN,24.09722222,75.86666667,8.85,10.88,4.56,7.17,5.94,9.9,8.2,7.33,8.15,10.69,,7.19,7.95,10.32,6.15,6.86,6.68,9.57,7.76,5.04,7.92,9.9,7.33,4.96,4.75,9.4,5.17,8.85,9.67,9.8,6.6,7.49,8.68,10.29,6.14,9.32,9.87,,,,,,,,5.38,9.92,8.11,6.53,7.62,10.08,4.2,6.06,7.25,9.22,6.58,8.44,10.11,,6.41,7.23,8.49,9.63,6.43,8.94,9.93,9.94,7.65,4.91,7.53,9.73,1.93,3.68,6.25,9.64,,4.11,6.48,8.53,3.33,4.93,6.03,8.38,5,5.6,6.59,8.23,2.28,6.83,,8.28,5.43,5.63,6.23,3.93,3.03,3.07,3.44,3.49,4.53,,6.53,9.48,0.43,2.33,3.63,,4.88,6.21,4.83,,3.03,4.28,2.85,9.33,1.93,2.48,,11.12,,
243500076090001,JHALAWAR,24.58333333,76.15,21.2,27.1,1.16,15.7,19.18,25.94,2.3,16.07,17.8,27.46,1.53,,,24.47,1.68,,11.73,14.76,,9.91,25.89,26.54,3.59,11.9,12.25,24.39,4.95,22.05,23.95,23.45,2.6,21.57,22.37,22.42,2.02,11.67,16.67,25.17,,,,,,,22.33,23.27,6.55,10.48,22.51,23.17,1.52,12.67,17.81,20.65,5.29,15.33,7.98,16.52,3.72,10.57,15.41,15.87,7.12,7.31,12,14.99,11.25,12.06,12.82,14.42,0.67,4.09,9.17,10.45,,11.52,12.67,19.56,0.22,7.37,2.17,10.97,0.37,5.72,3.37,11.37,1.15,2.89,,14.67,3.47,4.72,7.63,13.97,2.09,2.13,7.42,7.54,,,,,,,,,,,,,,,,,,,13.37,11.1,,
241615076435001,JHIRI,24.27083333,76.73055556,3.54,7.76,,3.13,4.44,,1.22,3,3.88,7.89,,3.49,4.44,7.71,1.26,2.32,1.72,4.85,1.91,6.64,4.7,6.95,2.12,2.48,4.1,7.64,1.63,4.84,6.32,11.05,1.56,2.83,6.13,8.15,0.89,6.12,6.48,8.94,,,,,,,4.03,8.43,2.18,4.12,4.3,7.73,0.33,1.67,4.05,6.7,1.5,6.49,8.05,6.85,1.14,4.29,6.55,8.19,0.64,2.27,6.19,7.95,2.55,1.68,4,6.95,0.8,1.43,3.55,6.4,,1.93,4.26,6.7,0.45,1.02,2.69,6.08,0.75,2.05,3,4.23,1.05,3.45,,5.43,0.65,3.35,5.66,5.55,0.91,0.95,1.63,1.65,,,,,,,,,,,,,,,,,,,0.95,5.62,,
242100076402001,SAREDI,24.35,76.67222222,14.38,14.83,,12.42,,,,,14.18,14.96,,12.32,13,14.7,13.78,14.18,13.23,14.75,14.09,13.23,14.52,,14.13,12.88,14.62,,13.52,14.8,16.34,16.05,,,,14.69,,,,,,,,,,,,,,,,,,,,,13.88,,,,,,,,,,,,16.96,16.26,15.56,19.28,8.36,13.24,14.11,15.46,,13.89,11.86,15.96,9.46,6.16,8.11,9.11,4.16,9.36,9.56,9.91,4.36,7.96,,10.46,0.06,9.76,10.34,13.86,4.94,4.86,12.76,12.83,9.26,,10.59,11.51,4.76,6.16,7.56,,6.16,14.12,8.06,,6.16,12.51,10.89,10.26,3.81,5.56,8.76,15.29,,
242915076181001,AKTASA,24.4875,76.30277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,8.29,6.09,7.26,6.91,8.89,0.92,2.88,4.73,6.63,6.09,7.91,8.25,9.12,3.46,6.56,8.03,7.69,5.24,6.15,7.95,8.79,6.39,6.93,7.61,8.49,,1.75,3.79,7.07,,3.17,6.31,7.58,0.75,0.01,4.89,7.69,2.47,3.19,1.39,0.14,0.14,2.69,,8.21,0.49,6.29,6.89,8.59,0.29,0.39,6.99,7.01,0.09,,6.71,7.19,3.77,0.24,4.59,,1.34,4.24,6.39,,1.11,3.84,2.47,6.59,1.2,2.75,5.49,7.66,,
241615076301501,ASALPUR,24.27083333,76.50416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55,10.07,10.99,10.34,11.34,13.7,,6.68,9.11,11.6,,8.95,10.01,,,12.55,12.73,10.62,3.73,9.51,,10.69,11.65,12.57,14.69,12.35,1.75,6.39,6.5,10.74,,5.9,9.65,,0.95,4.95,7.55,9.7,6.65,7.2,6.95,9.26,6.65,8.75,,10,2.75,6.75,8.51,9.45,4.85,4.95,5.18,5.17,4.75,,7.86,9.95,1.6,2.95,4.3,,4.6,6.21,7.75,,2.43,5.83,5.56,9,,5.5,5.05,8.75,,
235656075500501,DAG1,23.94888889,75.83472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53,16.66,14.14,13.92,14.74,20.93,4.71,7.53,13.64,18.01,5.73,8.13,11.69,,10.63,,,,5.83,6.04,6.39,,,,,,,,14.71,10.51,,7.33,,,,,,,,18.08,18.71,11.27,11.27,17.33,,,1.53,3.18,,19.33,,2.73,3.08,2.04,1.63,,,,1.45,11.73,13.08,,7.28,16.28,10.83,,12.15,14.21,16.98,,1.88,2.73,16.03,17.23,,
242600076223001,DOONGARGAON,24.43333333,76.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,9.37,3.44,6.36,7.34,6.82,2.97,4.48,7.02,5.3,4.31,5.88,7.83,6.53,0.81,5.46,6.12,5.6,2.63,4.02,5.62,6.28,5.38,7.31,7.29,7.43,0.38,6.94,5.63,8.13,,5.02,5.21,6.88,1.2,5.28,3.25,4.58,1.28,2.13,2.23,5.26,0.73,3.48,,5.99,0.48,3.43,2.88,4.88,0.04,0.1,2.28,2.34,0.23,,2.19,4.33,0.33,1.18,1.78,,0.83,3.08,2.98,,0.53,2.57,2.38,4.08,0.13,1.24,1.68,4.4,,
