station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
280130075303601,BADAGAON,28.025,75.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15,34.82,35.3,35.06,35.24,35.67,,36.2,36.24,36.69,37.26,37.5,,,,,39.37,39.57,39.59,40.5,40.67,41.01,40.9,41.6,41.84,53.36,42.24,44.42,42.95,43.67,,44.5,,45.2,45.32,46.05,45.7,46,45.65,46.25,48.02,53.2,48.5,51.89,,50.4,,50.44,50.27,50.78,62.4,,60,,,,,,,,,,,,,,,,,,,,66.3,60.46,60.68,
281200075104001,Birmi,28.2,75.17777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.13,38.12,38.18,38.24,38.28,38.4,38.18,38.48,39.6,38.68,38.63,39.79,,,,,39.02,40.08,39.16,26.13,39.2,39.28,41.5,39.42,39.4,40.55,39.51,39.55,39.58,41.26,,40.18,39.65,45.8,39.82,38.6,40.14,42.1,41.5,42.4,40.33,40.87,40.2,40.22,,40.7,40.38,40.45,40.8,41,40.63,40.64,41.78,40.8,40.65,,40.9,,41.1,40.2,40.3,,41.25,41.3,41.17,,42.1,41.5,42.2,41.68,41.68,41.08,41.4,41.96,42.02,
280950075153001,CHURELA,28.16388889,75.25833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09,40.83,40.94,40.99,41.1,43.5,41.45,41.47,41.83,41.82,41.82,41.86,,,,,42.27,42.58,42.57,42.66,42.69,42.88,43.1,43.1,43.2,43.55,43.9,43.39,,45.31,,45.62,44.2,54.5,44.58,44.32,44.9,46.15,44.3,44.8,44.67,45.65,48.6,48.63,,51.16,46.49,46.67,47.05,47.47,47.16,47.23,48.1,46.67,45.9,,47.15,,47.7,48.1,48.3,,48.5,48.7,48.36,,49.7,49.4,49.1,50.02,49.18,,48.7,50.8,50.75,
280330075155501,JAISINGHPURA,28.05833333,75.26527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.55,42.99,48.14,43.26,43.39,43.52,43.57,43.7,43.9,43.95,44.15,44.25,,,,,44.8,46.25,44.92,45.9,45.47,46.65,45.58,45.85,45.85,47.76,46.09,46.11,46.35,46.51,,47.15,46.69,45.75,46.87,47.1,47.25,50.05,49.85,,48,48.05,49.05,48.27,,49.25,48.72,48.92,49.75,49.29,49.35,49.49,54.05,49.87,,,,,,,,,,,,,,,,,,,51.79,54.02,54.05,
281115075312001,Khudana,28.1875,75.52222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.84,51.13,54.46,54.97,54.84,51.13,55.4,,,,,57.29,,,,,59.27,59.12,60.3,60.85,61.05,61.93,62.2,62.3,62.85,64.49,63.48,63.67,63.97,64.34,,67.05,64.88,65.8,,67.35,69.1,68.05,,67.11,66.42,69.3,69.3,68.45,,77.5,74.39,69.54,70.3,69.1,76.23,73.59,74.22,73.35,70.1,,74.9,,73.3,72.35,73.05,,74.17,74.6,77.4,,,82.3,84.1,73.1,73.44,73.8,74.21,0,,
281300075405001,Lakhu,28.21666667,75.68055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.07,56.59,56.74,56.9,57.07,56.59,57.9,58.07,58.5,59.12,61.99,59.7,,,,,61.68,62.5,62.67,62.93,,64.63,70.6,70.45,71.16,66.7,67.81,66.09,65.95,67.29,,68.2,68.42,65.8,69.43,65.55,71.1,,,,72.7,73.55,73.6,74.45,,75.2,79.64,77.48,78.15,79.32,79.9,80.42,81.7,84.13,,,,,,,,,,,,,,,,,,,,,,
275945075163001,MANDASI SANDASI,27.99583333,75.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.54,48.86,48.9,49.06,49.18,49.47,49.7,49.75,49.9,50.15,50.27,50.38,,,,,51.05,51.32,51.41,51.7,51.86,52.39,,52.44,52.56,42.08,53.11,53.18,53.58,53.62,,52.2,53.99,55.1,54.51,54.35,55.15,46.7,56.4,55.7,55.84,56.08,56.4,56.56,,59.1,57.38,57.64,57.8,58.1,58.42,58.53,58.8,,,,66.77,,61.4,60.4,59.2,,61.02,62.47,55.7,,62.55,62.8,62.1,63.95,59.55,59.3,60.9,,65.95,
275715075130001,MUKUNDGARH,27.95416667,75.21666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82,46.05,48.97,46.28,46.25,48,46.7,46.75,46.88,47.05,47.2,47.23,,,,,47.61,,47.84,48.05,48.05,48.43,,,48.66,50.09,49.06,49.11,49.3,49.44,,49.97,49.67,50,49.45,51.95,52.5,,,,51.17,,,,,51.7,50.31,52.29,53.2,55.5,63.28,52.99,55.2,53.58,53.2,,54.13,,55.1,54.2,,,57.2,55.25,56.34,,57.4,57.5,58,57.98,57.01,56.85,56.8,,60.21,
282300075440001,PIPLI,28.38333333,75.73333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,58.09,58.7,58.83,58.8,58.2,59.65,60.06,60.3,60.7,61,61.34,,,,,62.78,63.9,63.7,63.23,64.47,66.59,,54.5,65.9,67.55,66.91,67.32,67.84,68.64,,69.2,69.4,,70.53,65.65,,,,,74.25,76.77,76.9,78.82,,93.9,96.6,97.1,98.17,98,,,,,,,,,,,,,,,,,,,,,,,,,,
281845075263001,MANDRELA,28.3125,75.44166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.15,,,38.25,38.46,47.55,38.74,49.55,49.87,,,,,51.1,51.25,51.38,51.56,51.66,52.35,51.65,52.11,51.98,52.62,51.74,52.73,53.15,53.43,,60.35,53.97,54.25,58.64,59.37,59.99,63.05,60.45,61.36,56,56.25,56.65,56.82,,59.85,56.96,56.6,57.4,58.35,56.71,56.92,57.55,63.7,,,,,,,,,,,,,,,,,,,61.45,61.03,61.18,
