station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
263300076334001,BAMNAWAS,26.55,76.56111111,5.9,4.4,2.27,3.17,3.5,3.85,1.6,2.93,3.49,4.6,2.84,2.56,4.51,3.98,3.33,2.9,3,4.15,2.24,1.47,3.23,4.06,1.92,3.21,4.36,5.38,5.15,5.66,6.45,7.82,6.81,6.39,6.69,7.3,8.14,10.16,9.07,17.29,,,,,,,5.37,6.64,3.72,4.19,4.87,6.72,6.52,7.22,7.17,8.99,8.33,8.37,8.92,12.67,6.57,5.37,5.79,10.32,9.89,8.71,9.27,10.36,10.3,7.55,7.17,8.47,4.57,3.86,3.11,6.15,,5.15,16.17,4.92,2.47,3.54,3.61,7.62,3.62,3.02,3.47,4.72,4.63,5.02,,6.69,4.34,5.47,4.3,3.93,5.57,6.77,7.27,8.17,6.07,,4.37,6.32,4.79,5.42,6.38,,5.79,5.87,7.19,,5.37,5.47,5.95,6.15,4.5,4.35,2.79,,1.77,
261400076230001,BHADOTI,26.23333333,76.38333333,8.9,10.42,6.41,7.96,7.8,9.72,,7.89,7.37,8.7,6.1,7.28,7.48,8.7,7.27,7.41,7.25,8.47,5.59,6.6,6.67,9.48,6.65,7.16,7.13,8.64,7.3,8.67,9.2,10.22,8.91,8.8,9.01,10.56,11.37,10.81,13.76,14.79,,,,,,,10.52,14.06,9.36,11.82,13.56,14.56,14,13.56,13.96,14.66,12.8,,,,11.46,12.16,12.34,12.46,11.79,12.04,12.4,,12.96,11.84,11.76,12.46,10.96,10.51,9.75,9.22,,2.61,8.91,11.66,6.31,8.04,7.53,10.16,5.36,8.11,8.28,10.41,9.26,11.06,,13.18,7.46,9.56,11.12,12.26,12.1,12.11,12.55,12.82,,,,,,,,,,,,,,,,,,,7.76,10.08,,
255600076260001,BODAL,25.93333333,76.43333333,7.05,8.78,2.37,4.33,4.57,8.05,,4.21,5.26,7.44,3.3,3.78,7.35,7.5,2.49,3.05,3.42,4.83,2.57,3.44,4.59,7.64,2.61,4.87,6.22,3.95,2.77,6.51,7.93,4.85,4.07,5.81,5.88,6.29,5.33,8.04,8.67,8.69,,,,,,,8.85,9.39,7.99,7.68,8.76,9.57,2.39,6.49,8.09,9.75,1.91,6.09,8.29,2.16,1.59,4.78,5.72,9.39,14.59,9.27,10.84,10.02,12.61,1.81,6.27,11.09,1.39,2.95,4.13,10.39,,3.32,5.01,7.79,2.24,2.62,3.52,6.95,1.74,5.69,5.5,6.91,2.09,4.79,,7.64,1.59,3.34,4.3,7.19,4.19,4.3,7.79,8.35,1.69,,4.42,8.89,0.79,2.69,4.94,,6.14,7.43,4.19,,,6.04,3.12,5.19,,,3.49,6.89,,
262115076151501,BONALI,26.35416667,76.25416667,5.3,7.88,1.41,2.34,3.1,3.1,,2.48,2.85,3.84,2.64,1.55,3.59,8.83,1.97,1.62,2.81,2.81,1.19,1.9,3.03,4.36,1.99,3.01,4.86,3.59,2.55,9.92,10.25,5.03,4.63,9.42,9.84,10.34,5.31,11.94,12.06,7.94,,,,,,,7.86,7.54,5.48,4.17,11.86,8.2,3.51,4.78,4.99,5.53,6.77,6.86,11.6,8.76,5.96,6.46,9.21,9.34,9.36,9.06,10.16,10.26,7.72,8.67,9.92,11.36,,6.06,6.36,9,,2.29,11.33,,4.49,5.06,5.86,5.96,4.06,6.24,5.77,7.56,6.16,8.81,,8.07,2.26,3.41,5.76,3.76,6.62,6.66,7.48,8.49,3.56,,6.89,8.26,1.48,3.16,3.51,,4.56,3.07,2.86,,2.86,1.3,0.27,4.26,1.71,0.86,2.11,3.37,,
255500076280001,CHANN,25.91666667,76.46666667,14.85,19.42,11.02,10.76,11.4,13.25,,6.74,7.41,9.63,4.92,5.93,9.45,9.82,8.26,8.59,9.14,12.12,9.29,8.53,9.3,11.73,9.1,9.74,10.11,12.23,12.37,16.77,,,,19.73,19.97,21.05,,22.28,,,,,,,,,22.67,29.55,28.12,21.45,23.05,26.27,16.9,20.6,,26.34,16.91,20.02,,21.35,14.45,9.84,13.37,13.9,13.45,18.83,10.9,15.82,11.35,16.08,11.23,16.5,8.15,11.88,11.1,10.81,,13.4,14.41,21.9,7.25,8.6,7.31,10.82,10.45,13.08,11.9,14.05,13.35,12.1,,23.8,14.65,14.85,14.34,17.05,22.55,22.6,25.55,26.26,,,,,,,,,,,,,,,,,,,7.65,6.74,,
262900076440001,GANGAPUR2,26.48333333,76.73333333,6.4,9.54,7.54,7.25,7.1,8.69,4.75,3.74,4.95,6.1,4.62,4.97,3.81,4.56,3.84,3.56,5.2,4.34,2.74,2.86,3.03,3.87,2.83,3.03,3.2,3.8,3.4,3.66,5.35,,,4.03,4.63,5.45,7.21,7.43,7.9,10,,,,,,,4.9,7.2,3.5,4.72,5.65,8.47,4.7,7.13,8.3,9.65,3.51,7,9.43,5.3,2.4,3.79,4.53,6.2,2,1.28,2.72,10.3,4.37,,1.48,6.1,2.13,1.37,1.83,5.45,,2.32,3.05,7.4,1.05,2.61,3.88,2.75,3.2,3.05,3.4,4.89,5.1,6.8,,10.46,5.8,7.1,7.45,10.2,11.3,10.45,10.8,,,,,11.2,9.2,11.65,8.96,,8.45,10.4,,,11,11.05,11.96,12.5,12.58,11.18,11.4,0,11.05,
255600076263001,HINDWAR,25.93333333,76.44166667,15.29,17.66,14.12,10.52,11.43,11.45,,8.49,9.84,11.34,8.74,6.74,11.21,,8.12,7.33,10.61,9.08,9.09,8.09,10.45,9.29,10.64,10.66,12.48,10.86,13.73,10.58,15,17.55,17.35,10.87,11.11,12.5,17,14.88,16.03,,,,,,,,,,14.57,16.34,17.05,,,17.7,,,,,,,,16.14,14.87,16.05,18.45,,,,15.12,13.41,12.5,16.85,10.55,8.45,9.36,10.4,,8.8,8.76,12.55,5.8,4.05,7.45,7.33,4.58,5.85,9.45,11.58,11.35,8.9,,11.71,7.55,9.45,10.2,11.35,14.45,14.5,14.9,15,,,,,,,,,,,,,,,,,,,4,10.91,,
260120076354001,KHANDAR1,26.02222222,76.59444444,10.85,19.52,6.09,6.75,7.9,12.62,,5.77,6.94,11.82,6.02,5.84,,12.3,8.05,7.52,7.61,11.58,7.09,6.8,8.13,12.73,8.33,10.21,12.52,15.51,10.5,15.66,15.78,17.64,16.53,11.69,11.8,,13.36,16.88,17.06,16.95,,,,,,,15.36,16.84,14.78,10.53,13.7,16.36,11.06,13.86,15.37,16.61,9.08,14.82,16.15,13.76,7.86,10.45,14.54,15.26,8.61,11.61,11.99,16.46,5.46,6.12,8.49,15.06,6.36,6.38,9.69,14.69,,7.41,10.86,12.96,4.11,5.43,8.93,10.46,7.56,8.83,11.56,13.62,8.86,10.96,,14.62,6.86,12.66,12.66,16.31,15.76,15.79,16.74,17.09,5.41,,12.07,13.96,9.86,2.81,3.16,,2.96,6,7.18,,2.91,2.14,3.32,8.56,2.86,2.26,3.21,8.29,,
255800076160001,KUSHTALA,25.96666667,76.26666667,6,,2.31,3.95,4.9,,,3.47,4.79,7.11,2.9,3.8,5.61,8.23,5.9,6.05,6.8,9.4,6.81,5.85,8.07,8.16,5.48,6.76,8.24,9.05,6.34,8.1,,,,8.13,8.47,,,,,,,,,,,,12.06,14.03,11.66,11.33,13.66,15.48,16.32,17.32,,,7.67,16.36,10.87,7.78,10.66,10.46,11.91,11.36,11.56,8.69,9.46,10.06,9.59,10.18,10.41,11.36,3.26,5.87,6.79,7.9,,,8.36,8.36,3.01,7.64,4.31,,4.34,8.26,3.01,,,8.36,,,,12.66,13.72,,8.66,8.77,9.54,10.14,,,,,6.54,5.36,5.66,,7.26,,,,2.16,,8.62,,2.61,,9.56,13.95,,
261820076225001,MALARNACHOR,26.30555556,76.38055556,2.2,6.32,1.2,2,1.4,1.05,,0.76,0.71,2.57,,0.82,1.43,3.08,1.67,1.09,0.62,2.47,,0.87,0.19,3.4,1.17,1.9,0.53,3.64,3.6,4.44,4.52,4.72,4.12,3.31,3.36,4.47,,,,,,,,,,,0.17,3.65,2.51,1.03,1.99,4.49,1.68,3.31,5.14,7.35,2.44,5.49,5.97,6.79,0.79,4.58,4.83,3.69,2.19,4.66,4.89,6.71,1.82,0.6,0.85,6.39,0.04,0.31,1.41,4.14,,0.99,6.13,6.36,0.99,2.94,1.46,5.5,0.89,0.99,1.07,5.64,2.09,4.19,,8.14,1.09,1.29,5.21,3.94,5.34,5.31,5.74,6.17,2.39,,2.87,13.94,4.74,3.19,1.19,,1.74,0.8,0.99,,1.49,0.39,3.44,1.89,1.09,0.71,2.59,2.72,,
