station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
271900075174201,BAI2,27.31666667,75.295,7.54,9.15,8.38,8.28,5.55,9.3,8.39,7.94,6.55,7.31,4.62,4.75,4.52,5.2,5.46,4.97,5,5.47,5.17,5.39,5.71,7,7.05,7.48,7.8,8.34,8.5,8.36,8.9,9.6,9.74,8.6,9.27,9.79,9.85,10.07,10.21,10.24,,,,,,,11.12,11.44,11.67,,12.37,13.37,,12.51,12.64,12.88,12.99,14.14,13.22,13.57,13.62,13.89,13.99,15.44,14.44,14.66,14.68,15.16,15.44,15.62,15.7,16.77,16.09,16.18,16.19,16.62,,,16,18.55,16.75,16.87,22.54,16.54,17.36,16.54,17.02,16.84,16.68,15.9,,17.01,17.09,16.94,16.99,26.16,17.24,17.36,19.64,15.84,17.84,,17.94,19.29,17.85,16.99,17.71,,17.84,18.19,17.91,,17.69,17.64,17.39,17.44,17.54,17.54,17.64,17.74,17.48,
275403074574001,BALARAN,27.90083333,74.96111111,40.2,40.4,40.45,40.5,40.52,,40.75,40.75,40.85,41,41.99,40.97,40.98,41.33,41.18,41.19,41.27,41.42,41.44,41.45,41.38,39.63,46.55,42.06,42.07,42.22,42.38,42.3,42.44,41.49,42.72,41.4,41.48,41.74,41.82,41.97,42.03,42.37,,,,,,,43.34,47.61,49.7,43.83,43.95,44.87,43.77,44.52,44.64,44.9,45.09,45.23,45.37,45.75,45.87,46.08,46.17,46.52,46.78,47,47.13,48.73,47.77,56.87,48.19,49.48,,48.32,48.37,,,49.12,48.47,55,49.78,49.93,50.07,,40.35,,,51.47,51.47,,,54.77,53.99,52.85,52.87,54.97,58.37,58.44,53.86,59.02,,,,,,,,,,,,,,,,,,,58.37,,58.55,
280300074561501,DEWAS,28.05,74.9375,39.21,39.18,39.3,39.25,39.27,,39.28,39.4,36.99,39.34,40.24,39.35,39.7,39.35,,39.37,39.25,35.08,39.48,39.75,40.33,39.46,36.2,39.83,39.63,39.94,39.69,40.48,40.52,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71,,,,,,,,,,,,,,,,,,,,,,39.71,,,
273200075000001,DHOD,27.53333333,75,44,44.31,44.53,44.63,44.72,45.07,45.23,45.34,45.42,45.82,46.97,45.93,46,46.7,46.4,46.62,43.23,46.96,47.29,47.5,47.67,48.2,48.88,48.72,49.05,50,49.62,49.82,50.12,50.64,51.06,50.42,50.66,51.23,51.58,51.94,52.1,52.71,,,,,,,54.92,55.75,58.58,56.58,56.95,54.13,58.09,58.41,58.69,59.23,59.67,59.82,60.19,60.92,61.15,61.57,61.7,62.43,62.67,63.03,63.31,63.89,64.39,63.64,65.23,64.58,66.55,63.84,63.89,64.41,,68.25,64.44,68.59,,68.95,69.49,69.26,70.8,68.99,,72.46,72.46,,,74.84,,75.85,75.79,76.54,76.91,76.99,77.38,76.59,,,,,,,,,,,,,,,,,,,84.29,,90.07,
273700074461201,NECHWA,27.61666667,74.77,36.94,36.84,,38,,,,34.63,34.51,34.76,16.37,34.74,34.7,,34.9,35.2,35.36,35.34,35.46,35.62,36.54,,,,35.7,36.05,36.52,35.87,36,36.15,,35.41,35.5,36.08,,,,36.25,,,,,,,37.02,37.13,45.7,37.62,37.5,37.65,37.66,37.73,37.75,37.92,38.02,38.14,38.15,38.24,38.28,38.9,38.41,38.57,38.7,38.84,,39.1,39.27,39.45,39.59,40.94,40.2,40.4,40.44,41.04,,41.11,41.05,44.08,41.27,41.4,62.43,41.7,42.7,35.4,35.78,35.38,42.42,41.35,,42.66,42.79,42.88,42.8,46.7,43.3,43.4,43.56,46.2,46,,44.17,46.2,44.2,43.3,44.4,,44.53,44.47,44.4,,44.8,44.42,44.54,44.81,44.58,44.75,45.11,44.85,44.61,
274800075590001,PATAN,27.8,75.98333333,10.12,11.94,7.72,10.65,,12.48,1,4.85,5.42,5.35,0.45,2.36,3,4.52,6.1,2.04,3.5,4.09,5.25,8.3,9.58,10.9,10.76,11.78,12.87,13.09,11.41,12.15,13.7,14.05,13.74,16.02,12.68,13.37,,,,14.14,,,,,,,14.12,14.74,12.97,12.69,13.68,15.72,13.62,12.51,14.69,14.82,13.94,14.13,14.45,14.62,10.02,11.36,12.26,12.87,12.29,12.8,13.92,15.82,,12.74,5.82,6.78,3.65,4.41,7.15,6,,,,11.14,6.34,9.62,12.32,16.12,8.82,9.42,11.14,11.52,11.72,11.94,,11.72,9.22,11.46,11.52,12.02,14.77,16.33,12.57,12.92,6.72,,14.52,13.9,13.74,8.34,9.62,,11.36,10.42,11.54,,12.37,9.22,9.92,10.89,4.3,3.84,5.22,5.42,5.12,
280804074573501,ROOKANSAR,28.13444444,74.95972222,28.05,28.1,28.14,28.16,28.2,28.2,28.2,,28.28,28.33,28.33,28.41,28.39,31.52,29.98,28.46,28.54,28.65,38.57,28.54,28.56,28.6,,28.65,28.62,28.77,28.75,28.38,28.88,29.37,29.96,29.08,28.18,28.98,28.21,28.36,,28.41,,,,,,,28.71,28.71,30.27,28.76,28.85,28.86,28.91,28.96,29.04,29.07,,29.37,29.18,29.26,29.58,29.94,29.43,29.43,29.43,30.03,30.22,31.18,29.7,29.69,29.86,30.8,29.79,30.01,30.06,30.66,,30.13,30.46,,,,30.26,,,,,30.46,30.46,,,30.66,30.44,30.26,30.76,30.86,34.61,34.76,31.02,44.19,,,,,,,,,,,,,,,,,,,32.16,32.38,32.26,
273445075110001,GOKALPURA,27.57916667,75.18333333,,,,33.95,34.23,34.62,34.42,34.72,34.82,35.39,36.04,34.96,35.28,35.38,35.6,35.31,34.82,35.97,36.04,35.79,38.26,36.77,36.84,38.1,37.53,38.07,39.23,38.37,39.51,39.4,39.1,37.42,38.18,39.35,38.96,39.2,39.54,39.9,,,,,,,41.81,42.33,43.56,42.6,42.97,43.35,43.72,43.93,44.32,45,45.3,45.6,45.82,46.52,46.52,46.93,47.22,48.13,54.63,51.14,49.21,50.17,50.48,55.07,53.15,53.26,51.85,51.95,52,53.1,,53.72,53.96,54.9,54.81,55.02,55.4,56.44,59.55,56.4,,,,,,59.97,66.63,60.44,66.7,61.1,65.5,65.58,61.9,63.2,63.36,,63.9,64.45,64.78,63.25,65.15,,70.53,68.4,66.6,,67.56,67.58,67.72,68.31,70.42,70.51,69,69.43,69.62,
274300075051501,RASHIDPURA,27.71666667,75.0875,,,,46.7,46.59,47.02,46.72,47.05,47.25,47.82,47.59,,47.8,48.32,48.4,48.23,48.64,48.91,48.17,48.99,49.36,50.31,50.42,50.58,51.25,52.02,52.16,52.32,,53.8,53.9,53.03,53.36,54.12,54.22,54.3,55.04,55.73,,,,,,,57.64,58.31,58.68,58.93,58.6,60.3,59.8,60.42,60.94,61.37,61.6,61.88,62.2,62.01,62.17,53.48,63.8,64.45,62.8,65.28,65.7,66.66,66.78,66.88,67.2,69.24,68.79,68.75,68.73,70,,71.06,70.1,74.12,71.3,71.73,76.3,73.53,74.74,84,79.32,73.58,77.12,76.83,,82.93,82.7,,,83.1,,,,,,,,,,,,,,,,,,,,,,,,,,
272315075030001,KARANPURA,27.3875,75.05,,,,,47.7,48.18,,,49.95,49.11,50.18,49.1,49.28,49.65,49.8,49.81,49.92,50.38,50.64,50.75,50.93,51.78,51.7,52.16,52.53,53.87,55.7,53.15,53.5,53.8,53.59,53.25,53.58,,54.42,54.46,,55.45,,,,,,,57.65,58.22,62,59.8,59.07,59.6,59.9,60.15,60.5,61,61.3,61.41,61.8,62.43,61.67,63.1,63.22,64.68,63.84,64.1,64.3,64.67,65.1,64,66.8,66.62,67.01,66.63,66.65,66.12,,66.91,66.7,67.3,67.38,67.34,67.7,68.05,68.7,67.78,68.1,68.03,69.3,68.5,,70.3,77.29,72.57,72.6,70.3,77.35,77.42,70.48,76.5,73.53,,70.9,71.95,71.11,70.3,71.35,,72.12,72.17,,,72.46,71.53,72.61,72.85,,73.2,73.5,,75.57,
