station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
245943072430001,BARLOT,24.99527778,72.71666667,14.26,17.3,12.43,,12.52,14.75,14.31,15.4,17.7,20.04,14.7,19.8,15.68,23.7,19.1,17.83,19.07,21.6,21.3,22.22,22.8,,,25.11,,,,,,,,,,,,,,,,,,,,,,,,23.82,26.37,26.78,,,14.47,19.49,14.67,15.27,18.07,19.52,19.17,27.27,23.79,22.27,22.6,25.27,23.56,26.47,25.66,23.97,25.97,27.61,24.83,20.97,22.87,,,,,,21.07,21.42,,21.07,14.04,19.04,,26.44,18.07,,,27.22,20.27,24.12,24.8,27.97,16.37,19.47,32.02,23.87,24.67,,26.52,28.67,21.32,30.25,,,26.37,24.87,,,,,33.97,,23.47,26.37,25.77,28.8,,
244030072403001,GULABGANJ,24.675,72.675,5.69,9.28,3.8,2.4,4.13,5.79,5.06,5.42,6.18,10.86,5.1,6.6,8.54,12.06,4,3.25,5.77,6.1,5.9,4.82,7.8,7.2,8.89,12.06,13.53,19.8,12.72,15,15.7,15.86,13.9,14.49,15.48,16.79,17.29,22.09,24.63,23.79,,,,,,,10.28,15.07,11.85,6.71,10.2,10.59,2.49,1.09,4.19,5.87,2.69,3.29,3.99,7.34,3.11,8.82,11.14,14.59,10.99,15.39,15.85,17.53,8.99,10.82,12.04,14.09,10.09,6.39,6.69,9.39,,5.69,7.19,6.69,10.39,7.09,10.14,13.54,11.08,7.96,11.99,13.38,6.09,6.29,,12.29,6.49,5.64,6.84,11.89,,2.89,3.94,7.89,,,,16.49,10.49,,,,,,4.69,,12.09,,11.99,,8.69,5.26,6.09,7.95,,
243805072293001,JIRAWAL,24.63472222,72.49166667,16.3,20.99,,,,15.1,,,17.69,24.79,,24.8,,,,16.92,22,,,23.71,,31.92,31.95,24,32.23,,32.56,32.4,32.7,31.97,33,30.21,29.86,31.06,,13.16,30.58,31.06,,,,,,,14.77,25.8,16.75,15.69,23.51,23.51,19.36,19.16,12.36,15.96,11.76,12.16,23.11,19.46,10.98,16.16,25.56,27.86,24.19,23.66,23.63,25.71,26.16,17.96,21.56,24.36,9.06,9.29,11.66,20.56,,,,,10.36,12.86,16.26,24.11,13.62,11.73,15.36,16.43,5.46,9.56,,16.38,6.36,14.46,28.26,13.26,4.46,6.56,7.86,10.96,,,,,,,,,,,,,,,,,,,8.96,16.9,,
245530072411501,KALANDRI,24.925,72.6875,10.7,8.94,4.73,3.75,5.22,10.09,9.02,9.8,8.67,10.93,8.95,10.4,8.6,9.84,4.3,10.21,5.94,7.4,9.8,7.97,8.4,10.5,12.95,11.11,9.97,14.3,13.58,16.5,16.8,16.28,15.3,9.15,10.06,13.68,14.88,11.08,14.38,14.08,,,,,,,12.75,15.3,10.12,9.53,8.6,8.78,,,15.1,17.3,4.78,5.13,9.38,12.88,5.98,13.88,14.78,12.88,14.46,14.38,12.92,10.58,5.28,4.63,6.58,13.43,3.03,14.58,5.38,9.78,,4.98,12.18,11.98,12.98,7.18,12.33,14.68,14.86,14.08,10.98,17.27,3.78,5.78,,17.38,3.78,12.84,16.15,14.63,2.68,15.38,13.68,12.78,8.03,,11.83,16.08,7.78,8.2,11.08,,9.88,8.08,15.18,,17.48,12.58,12.08,14.58,4.98,9.38,9.18,12.5,,
244800072404501,PALRI,24.8,72.67916667,9.56,11.48,1.67,3.4,5.36,7.5,5.07,6.52,9.17,12.8,5.1,13.1,14.97,15.8,11.1,6.29,7.47,11.35,11.4,11.05,6.15,14.1,14.19,19.83,,,4.4,4.65,18.7,18.85,17.4,12.19,15.67,19.27,22.27,18.47,17.91,,,,,,,,9.52,18.37,3.99,1.62,12.85,13.47,1.17,0.67,8.35,10.67,2.97,3.82,3.72,8.67,9.17,17.57,18.67,,16.53,18.72,,21.39,40.27,,40.02,17.07,14.67,3.72,6.47,,,,11.67,,7.07,4.47,,17.07,4.35,6.35,13.07,16.07,2.57,6.77,,17.77,5.37,6.34,11.62,,2.67,5.07,6.87,16.37,,,,,,,,,,,,,,,,,,,8.37,10,,
243930072561001,SARUPGANJ,24.65833333,72.93611111,3.85,8.76,1.19,1.76,2.02,5.08,2.69,3.91,6.48,11.33,2.88,9.1,3.93,18.64,8.7,12.55,8.14,14.45,13.4,13.7,12.1,21.1,16.5,21.63,20.75,22,20.15,16.1,19.7,20.69,19,18.78,18.88,19.08,22.88,18.58,19.28,20.98,,,,,,,,23.15,8.24,15.28,21.98,22.08,2.08,0.88,0.43,5.03,0.63,0.88,,7.38,3.54,17.02,18.09,17.18,17.14,10.48,,19.38,10.78,9.2,9.55,18.68,2.83,1.83,2.88,15.18,,3.72,4.88,5.88,1.8,,12.08,18.68,12.06,18.06,,19.16,1.08,17.38,,18.08,1.98,8.3,9.48,19.18,0.78,3.08,,16.58,15.08,,19.08,22.48,5.48,,,,4.98,,11.18,,21.43,12.53,16.68,21.58,,13.73,10.93,15.1,,
245300072520001,SIROHI,24.88333333,72.86666667,7.63,10.81,5.52,1.3,4.62,9.27,7.57,5.16,7.31,12.32,7.68,13.1,14.38,19.44,7.85,7.42,10.45,16,12.8,9.15,14.1,16.4,15.1,20.2,21.48,21.3,9.39,17.4,19.5,10.6,19.1,10.36,,20.71,21.71,20.01,20.41,20.51,,,,,,,16.4,22.93,4.25,1.99,14.79,14.96,0.61,0.11,3.84,6.71,1.41,3.51,5.21,8.81,10.18,9.91,14.88,17.41,16.23,15.71,,18.31,10.41,10.35,10.56,13.61,8.91,0.77,2.91,6.71,,0.51,2.41,8.26,7.57,8.11,10.06,13.71,15.12,13.72,17.11,18.12,2.41,2.31,,8.71,2.31,1.49,3.11,5.81,1.41,2.01,3.01,7.91,7.91,,11.61,16.41,14.41,6.31,8.51,,16.11,8.41,10.51,,16.01,15.71,17.31,22.36,10.01,1.76,3.51,5.9,,
245045072591501,VIRWARA,24.84583333,72.9875,11.98,15.08,2.31,3.05,11.02,13.58,9.76,5.3,9.86,14.86,10.05,11.8,8.1,14.87,11.1,3.66,7.34,13,7,4.18,9.3,12.5,9.69,14.32,13.89,17,11.4,15.1,17.4,17.52,16.7,13.99,15.3,,,15.85,,,,,,,,,10.32,15.93,3.94,2.9,3.37,4.15,2.15,,2.28,8.58,3.4,3.75,8.2,16.45,5.55,9.94,10.83,17.55,10.63,11.15,14.98,17.35,1.35,1.65,2.4,5,0.85,1.8,4.25,8.15,,1.45,2.65,8.15,4.82,4.9,4.82,,,,,14.9,1.35,,,14.95,1.55,1.23,1.83,7.75,0.85,1.15,2.35,10.05,,,,,,,,,,,,,,,,,,,0.35,11.2,,
245720072533001,AMBESHWARJI,24.95555556,72.89166667,,8.66,4.25,,5.28,8.37,1.85,4.22,7.31,7.67,1.7,3.7,7.35,14.39,4.6,7.2,6.52,7.6,10.8,5.74,6.3,10.08,9.66,10.95,11.28,17.2,10.98,11.1,12,11.65,11,6.87,9.6,12.63,13.63,15.33,6.98,,,,,,,,11.2,7.89,8.61,8.05,6.31,6.38,2.98,2.04,4.83,6.83,1.13,4.98,5.03,3.63,5.73,5.63,6.24,6.68,5.32,,,,,4.81,2.13,4.13,1.63,5.04,4.13,2.83,,2.03,1.43,3.93,1.94,1.93,2.9,4.94,0.98,1.8,3.53,5.38,1.83,2.03,,4.78,1.83,1.65,2.05,2.53,3.73,2.33,2.23,4.38,2.43,,3.63,5.83,1.53,2.33,3.16,,1.93,2.23,2.78,,4.33,3.13,3.28,5.08,1.13,2.03,2.33,3,,
243750072420501,MOUNT ABU,24.63055556,72.70138889,,8.08,,,4.97,6.55,1.4,4.6,4.12,6.7,1.35,4.6,4.94,9.99,2.5,4.08,4.46,5.9,,5.61,6.1,5.48,9.19,4.93,6.49,,7.1,7.3,7.5,8.8,3.1,4.13,5.36,8.49,3.49,,3.79,100.49,,,,,,,3.6,7.98,2.46,2.17,6.39,7.49,,,5.39,6.02,,5.59,5.39,8.47,1.59,4.88,5.47,8.24,4.12,6.16,,7.29,5.24,4.39,4.44,6.35,4.04,2.99,,6.39,,4.24,5.09,5.94,1.4,1.74,,,4.43,3.39,3.94,6.59,0.64,4.39,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242900072410001,Mungthalla,24.48333333,72.68333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,11.71,10.91,9.05,10.6,11.75,3.85,2.76,5.25,8.6,3.25,4.3,4.35,7.3,3.77,7.35,7.59,11.15,8.37,13.05,13.15,16,14.75,13.68,13.85,14.45,13.15,10.85,9.61,8.15,,1.95,5.25,8.5,8.15,22.1,6.4,,6.2,6.1,7.35,9.2,5.75,5.85,,13.55,7.75,7.65,7.93,10.35,3.15,4.55,5.05,7.75,7.25,,7.45,,7.85,7.08,8.63,,8.25,5.55,6.05,,8.1,8.1,8.45,10.45,5.25,14.55,6.85,8.5,,
244800073040001,Pindwara,24.8,73.06666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,11.76,9.02,5.77,8.58,8.61,,,1.62,4.14,,3.35,3.55,5.2,,7.1,8.11,11.5,,,,,2.3,3.69,3.25,6.2,,0.55,1.9,,,,4.9,6.04,8.58,9.8,6.71,,,,,,,,,12.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250800072580001,Posaliya,25.13333333,72.96666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.49,35.29,12.48,15.14,27.45,27.57,2.1,1.3,11.62,19.22,,9.27,3.05,22.9,21.7,,,22.65,,,,,10.8,21.2,23.1,34.1,4.6,1.95,7.3,20.4,,9.8,9.4,28.25,20.7,28.25,24.7,,33.5,32.6,32.37,33.6,7.1,17.5,,33.8,,6.48,12.67,25.6,2.7,5.5,8.2,21.1,,,,,,,,,,,,,,,,,,,,,,
243800072390001,Anadara,24.63333333,72.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,15.92,16.84,18.82,20,3.4,1.1,9.3,12.55,,9.1,10,17.1,8.9,17.5,19.5,20.4,18.18,20.95,22.95,21.65,16.2,17.14,17.15,20,8.7,9,13.4,17.6,,12.7,16.5,18,15.8,,,,,,,,,,,17.9,15.9,15.35,17.47,18.05,5.2,7.4,8.95,14.9,14.5,,17.5,19.8,17.9,16.91,17.2,,,15.2,16.5,,10.9,9.5,16.3,21.35,11.7,17.5,12.9,19.5,,
242700072450001,Manpur2,24.45,72.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.01,43.99,42.19,19.27,19.34,3.87,3.07,8.17,10.3,,,,11.17,,9.07,10.89,,,12.29,,,12.97,12.67,,,9.62,8.02,8.3,,,,,12.07,6.07,8.27,10.47,,7.49,7.87,10.07,12.54,2.17,6.77,,21.97,3.57,6.16,7.76,20.52,2.27,6.07,21.87,22.87,,,,,,,,,,,,,,,,,,,7.27,9.9,,
243800072320001,Reodar,24.63333333,72.53333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,17.92,17.63,18.93,19.5,11.6,10.4,15.4,17.41,13.2,13.63,16.4,18.16,7.9,17.65,18.13,19.8,18.1,19.95,20.25,21.4,16.6,80.54,16.5,18.4,,13.5,,18.6,,16.4,16.3,20.4,,17.5,18.9,,,21.6,20.05,19.1,14.4,16.05,,18.4,15.5,17,17.65,30.4,7.3,9.3,12.9,17.4,16,,16.05,20.1,14.65,14.8,16.88,,16,13.45,16.5,,18.1,16.65,18.1,19.9,10.5,15.5,16.4,20.3,,
244610072441001,Mera Kishanganj Pz,24.76944444,72.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,9.45,,20.1,0.8,0.95,9.7,19.7,5.6,,5.7,,,,,,10.35,,,,27.1,,17.9,17.9,10.4,,11.5,,,
250055072553001,Palri M,25.01527778,72.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,23.12,30.35,34.95,19.1,23.5,24.2,,31,,,43.8,39.3,40.87,43.8,,,,,,,,,,20.2,,0,0,,
