station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
260330075483001,ARNIYALMAL,26.05833333,75.80833333,7.25,10.94,,4.35,4.68,9.79,,,4.42,8.73,,3.37,4.13,8.54,3.61,3.05,5.08,3.77,3.92,3.56,3.89,3.95,6.38,4.32,5.94,10.08,4.59,6.08,9.38,11.58,6.69,10.95,11.15,11.49,6.46,10.93,13.28,15.03,,,,,,,4.59,5.89,7.12,10.51,7.62,,7.3,5.39,7.09,,7.7,10.09,10.76,6.58,5.36,7.8,13.6,12.28,11.78,13.04,13.69,,7.1,11.76,7.76,7.46,3.8,2.25,2.05,4.16,,2,1.95,3.45,0.8,1.65,1.7,3.12,1.95,3.1,2.05,2.8,2.75,3.2,,4.85,2.55,3.15,4.27,5.2,2.36,2.3,3.15,3.17,4.6,,5.13,11.1,3.45,3.8,6.1,,3.4,4.14,4.6,,5.7,3.8,3.62,11.4,3.85,4.05,4.2,6.91,,
255300075340001,BANTHOLI,25.88333333,75.56666667,9.4,10.04,7.83,8.74,9.92,9.49,5.83,9.02,9.27,9.85,7.85,8.57,8.91,9.45,8.65,8.97,9.14,9.6,9,9.04,9.48,9.66,8.87,8.89,9.58,10.17,9.35,9.92,10.12,10.35,8.12,9.56,9.09,9.42,7.71,9.73,10.05,,,,,,,,9.75,9.52,9.3,9.04,10.42,9.2,8.54,8.71,10.14,8.8,8.04,10.22,10.64,8.75,7.48,8.2,12.24,,8.56,11.21,12.5,10.95,9.77,11.03,8.26,7.55,5.8,7,7.91,9.46,,7.88,7.95,8.85,6.6,7.15,7.9,8.4,6.19,7.5,7.98,8.85,7.45,8.4,,9.8,3.1,7.5,7.36,9.45,7.2,7.26,8.45,8.51,10.6,,10.07,10.8,9.85,8.2,9.95,,7.95,8.06,8.6,,7.37,6.66,9.03,10.2,7.65,7.2,8.9,8.58,,
261418075111501,DEWAL1,26.23833333,75.1875,2.75,3.43,6.19,1.46,2.7,12.4,,2.58,,,,,3.1,,1.94,4.17,,3.35,2.4,3.05,10.98,,4.97,6.18,3.87,4.16,10.7,4.42,5.9,5.04,3.02,3,4.01,,6.28,6.21,6.98,7.1,,,,,,,3.7,5.1,2.6,4.05,4.18,,,,5.28,,,3.03,4.3,4.6,4.57,4.18,4.82,6.15,4.33,4.81,6.81,8.36,1.57,1.57,0.88,4.53,3.16,2.2,2.15,4.4,,,1.98,4.76,3.6,2.52,1.78,6.8,1.6,,2.95,5.2,,2.47,,5.1,4.7,4.92,2.7,4.24,4.1,4.13,4.62,6.7,4.2,,5.78,6.9,5.4,4.32,4.73,,4.81,3.6,2.2,,2.2,3.55,3.7,5.25,4.5,2.4,1.45,2.55,,
255830075575801,DIKOLIYA,25.975,75.96611111,11.12,12.37,10.88,10.65,11.04,12.31,7.35,8.53,9.59,11.6,3.07,6.79,8.64,12.82,7.82,7.55,9.6,12.65,10.44,11.65,10.21,13.91,10.31,9.86,12.94,14.48,7.87,13.46,13.69,14.65,9.34,10.57,12.26,,,,,,,,,,,,12.46,,11.59,12.05,12.84,,12.08,12.47,13.11,,21.63,22.71,23.05,,11.73,12.23,17.27,,,,,,,16.05,11.88,6.55,2.23,6.74,3.28,4.38,,6,3.15,6.98,0.48,1.53,2.72,5.63,1.51,1.99,2.39,3.85,3.58,7.28,,8.38,2.23,1.43,2.33,6.53,2.05,2.03,9.13,11.08,6.53,,4.31,8.63,1.43,1.63,2.18,,1.03,4.92,8.43,,2.03,3.28,1.71,10.83,,,1.53,6.32,,
261100075343001,HAMIRPUR,26.18333333,75.575,8.56,9.83,6.47,7.22,7.88,9.16,,6.07,6.4,8,3.75,4.2,4.96,6.32,4.26,3.96,4.97,5.07,4.39,4.19,5.35,7.2,4.46,2.81,4.07,9.18,8.02,9.94,11.02,12.21,8.65,10.43,,12.32,7.88,,,,,,,,,,12.18,6.99,3.96,10.21,12.01,,11,,,,8.17,9.79,10.89,,6.75,9.08,9.96,10.75,,,,11.97,,9.47,6.98,9.73,5.43,4.48,6.39,5.47,,4.91,6.84,7.83,3.23,3.39,4.68,4.5,3.68,6.73,4.63,4.81,4.53,6.43,,5.43,4.03,3.93,4.26,6.53,3.32,3.23,3.74,3.8,6.53,,,,0.74,2.03,2.53,,1.73,5.44,7.33,,2.18,2.65,4.02,8.33,2.9,1.28,1.13,3.49,,
262330075291501,JAISINGHPUR,26.39166667,75.4875,3.58,5.12,2.76,3.36,3.75,4,,1.83,3.51,3.22,0.88,,2.28,3.08,1.58,1.67,2.08,3.42,1.62,2.31,2.72,3.2,1.78,2.93,3.58,4.02,3.38,5.8,6.05,6.98,4.35,4.4,4.38,6.16,3.71,5.47,,6.67,,,,,,,4.21,4.98,5.08,5.69,7.25,7.43,7.34,7.49,8.41,,8.37,10.33,11.21,9.2,3.83,5.05,8.95,5.96,6.33,5.04,8.85,8.79,6.95,7.49,1.93,3.55,2.35,1.7,2.3,2.95,,2.14,2.37,3.9,0.91,1.9,2.3,3.57,1.38,1.94,2.35,3.49,1.67,2.7,,4.53,0.45,2.4,2.25,3.85,1.45,1.5,3.55,3.55,,,,,,,,,,,,,,,,,,,1.95,4.17,,
255955075410001,MAHUVA,25.99861111,75.68333333,9.4,9.64,7.52,8.24,8.29,7.21,5.42,6.4,6.98,7.93,4.2,,5.85,6.9,4.85,5.2,5.47,6.02,5.46,6.13,6.05,6.62,4.64,4.4,5.8,7.46,5.8,7.17,7.68,8.35,,,,8.77,,9.35,9.87,10.9,,,,,,,10.99,10.73,10.11,10.36,11.35,10.89,10.46,10.44,10.29,9.81,8.53,8.94,16.28,9.44,7.31,8.24,8.35,9.59,9.59,10.05,10.77,11.63,11.54,8.53,11.24,12.09,9.59,7.54,7.42,7.99,,5.83,4.77,5.39,3.19,4.29,4.64,5.39,3.74,4.01,,4.85,4.99,4.79,,6.09,1.49,2.59,2.83,5.69,1.35,1.39,2.34,2.38,5.29,,8.17,8.39,4.69,4.29,6.39,,4.34,5.22,7.29,,2.57,4.39,4.24,7.69,,2.64,3.39,3.62,,
261700075230001,MALPURA1,26.28333333,75.38333333,8.22,9.53,8.24,7.33,7.71,8.15,,5.26,7.71,7.1,3.68,,4.16,5.9,4.11,11.89,3.92,5.28,5.11,4.56,5.13,6.12,4.39,5.92,6.43,8.4,7.52,7.88,8.6,9.44,8.57,7.4,8.78,9.21,,10.31,10.93,11.88,,,,,,,12.49,13.37,13.09,13.27,13.44,14.7,14.48,,,,,,,,13.9,14.02,,,,,,,,,,8.45,13.75,10.05,6.12,,,3.45,3.67,5.3,1.19,2.07,2.9,2.6,1.05,1.93,2.87,3.13,2.81,4.25,,2.4,7.4,8.75,4.9,2.55,4.75,4.8,6.05,6.12,12.1,,4.97,11.2,4.45,5.15,6.35,,4.35,4.42,,,4.05,3.6,4.48,,2.8,2.85,,4.59,,
260639075433001,MANDIAWAS,26.11083333,75.725,16.6,15.14,15.2,15.46,15.47,15.8,15.73,16.1,16.06,15.8,15.62,,15.5,15.5,15.2,15.1,15.62,15.26,15.22,15.23,15.11,15.44,15.5,15.67,16.52,16.13,15.72,16.32,17,16.88,16.7,16.58,17.12,16.33,15.4,17.76,19.11,17.84,,,,,,,20.09,19.39,19.43,20.44,20.6,19.48,19.22,20.03,20.84,18.74,18.77,20.61,21,18.87,19.43,24.39,,19.54,19.2,18.66,19.5,21.54,,,,30.84,21.44,19.17,,16.04,,,19.54,19.59,17.24,17.84,,15.69,15.8,16.34,,13.04,13.04,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24,,,
260227075532001,NAYAGAON,26.04083333,75.88888889,5.75,7.17,4.48,5.05,5.39,6.15,4.93,4.05,5.18,5.6,2.3,,4.19,4.97,3.06,3.1,3.21,5.37,3.24,3.8,4.24,7.75,3.37,5.37,5.04,7.94,3.62,6.28,6.84,6.97,3.28,5.49,6.18,6.35,2.47,8.73,9.89,10.68,,,,,,,8.31,4.71,6.71,7.61,8.71,7.46,6.93,6.99,8.79,,3.61,6.09,6.46,5.74,4.31,7.16,7.75,9.11,8.65,7.51,8.35,,4.73,7.11,3.9,7.76,5.41,3.07,3.31,4.41,,3.87,4.05,4.82,0.86,1.76,8.21,3.31,1.26,2.91,,1.51,1.51,8.21,,4.22,1.71,2.76,3.1,10.41,2.75,2.78,3.52,3.54,3.41,,4.89,6.91,3.06,1.41,1.71,,1.46,4.23,5.81,,2.72,3.49,3.59,6.21,0.66,3.16,2.11,4.37,,
