station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
103430076561501,Anaimalai,10.575,76.9375,,,,,,,,,5.42,5.62,4.52,3.35,3.65,4.7,3.42,2.2,2.73,4,3.3,2.95,1.98,3.46,3.5,2.67,3.1,4.1,3.35,3.17,2.56,4.1,3.28,3.3,3.1,4.16,3.85,3.46,3.4,1.4,5.67,3.08,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45,,,
111400077063001,Annur,11.23333333,77.10833333,,,,,,,,,20.28,19.83,21.38,21.33,17.53,,26.58,22.02,13.91,17.7,20.03,20.48,17.23,20.71,22.96,15.86,5.7,17.05,15.7,15.45,3.64,16.53,18.62,17.68,16.15,20.33,22.53,23.25,23.75,,,,,,,,,,,,15.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89,,,,,,,,17.2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104345077053001,Chinnaripalayam,10.72916667,77.09166667,,,,,,,,,11.22,7.17,5.42,4.57,4.63,8.77,9.15,2.24,2.12,6.4,4.32,5.47,5.12,5.85,7.37,4.3,4.92,7.12,12.22,12.11,11.72,11.92,12.72,11.7,11.17,11.58,12.12,11.78,12.01,10.2,12.11,,11.22,11.19,11.96,11.31,12.1,11.67,9.38,10.69,4.26,5.98,6.01,,4.37,8.23,7.22,4.59,3.92,6.94,11.92,4.94,5.46,10.94,11.66,,3.01,10.06,5.96,4.48,7.81,6.41,12.56,1.26,4.46,9.74,,11.48,,,,,9.96,10.15,9.94,,3.5,6.71,,,,8.52,9.74,10.46,,,9.16,9.71,,9.36,3.28,3.56,3.41,6.26,4.76,2.15,2.76,,5.46,5.56,4.46,,,,2.5,3.38,2.8,2.35,2.56,3.88,,
111031077032001,Ganesapuram,11.17527778,77.05555556,,,,,,,,,25.9,31.2,33.5,28.9,24.1,25.7,27.5,25.41,13.6,18.7,19.3,22.74,21,27.2,26.07,24.6,22.48,16,14.83,25.68,24,28.1,28.86,28.82,22.2,26.2,32.15,35.78,18.27,35.7,36.41,,32.66,35.35,35.08,36.03,25.73,28,31.21,20.11,19.63,27.59,,31.33,21.94,30.61,25.58,23.13,21.51,25.5,32.23,26.18,25.83,33.01,34.98,36.23,30.46,34.93,40.23,32.23,24.38,22.03,26.73,,14.73,18.88,,,15.43,29.44,32.48,29.23,29.66,34.84,,,21.8,29.78,29.73,29.63,,,33.43,33.43,32.03,31.42,35.33,30.63,29.69,,,24.28,27.58,31.59,30.73,25.28,28.08,,30.23,30.73,30.03,,31.85,,17.39,,26.28,19.03,18.59,23.18,,
104830077093001,Kattampatty,10.80833333,77.15833333,,,,,,,,,10.8,11.62,11.6,10.4,8.3,11.08,9.5,7.1,6.57,7.7,8.7,9.3,8.75,12.26,19.7,17.94,12.35,9.95,16,9.76,14.09,14,13.9,10.22,8.47,,,15.3,16.32,20.29,19.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,10.2,10.54,,,,,8.77,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,9.29,,,
104400077014501,Kinathukadavu,10.73333333,77.02916667,,,,,,,,,12.15,15.7,11.64,7.95,8.25,12.35,8.25,3.92,2.5,5.35,4.41,5.95,5.2,10.42,9.87,4.13,4.72,7.75,7.07,7.39,7.91,14.65,15.07,14.05,13.8,15.38,14.27,14.92,22.39,15.2,15.45,14.48,14.82,14.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,8.15,10.38,,3.32,2.6,3.32,5.61,2.38,3.08,3.85,,3.93,4.83,4.63,,3.66,6.25,6.28,7.65,5.15,4.15,5.2,7.93,,
105800076590001,Podanur,10.96666667,76.98333333,,,,,,,,,3.03,2.22,2.24,2.08,2.12,2.18,2.29,1.88,0.9,1.92,2.12,1.42,2.12,1.44,1.82,7.72,2.27,2.22,1.97,1.92,1.36,13.12,14.67,12.44,10.62,17.3,18.65,16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55,8.04,,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,7.52,,,,,,,,,7.32,,,
111530077022001,Pogalur,11.25833333,77.03888889,,,,,,,,,14.21,15.44,,,8.39,,13.91,13.33,11.38,7.37,11.25,12.64,12.29,11.91,13.99,6.85,7.27,6.03,,14.01,13.9,6.49,17.39,14.14,10.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,4.02,3.37,,
103940077000001,Pollachi1,10.66111111,77,,,,,,,,,3.92,2.2,1.31,1.03,0.69,1.5,0.44,0.25,0.39,1,0.52,0.29,0.39,0.93,0.92,0.48,1.08,1.97,0.54,0.81,0.55,1.46,1.19,0.96,0.91,2.72,1.89,0.97,1.1,1.1,1.65,1.38,1.28,2.14,1.2,1.12,3.31,0.71,0.52,3.08,0.7,1.87,7.62,1.79,1.33,1.18,0.86,0.88,0.96,1.66,1.86,0.8,1.72,3.38,2.7,2.3,1.16,2.7,0.95,0.19,0.72,,0.55,2.38,0.75,2.2,,1.1,7.7,1.88,,0.58,0.88,1.67,0.85,,0.81,0.6,,0.8,,1.1,1.32,2.2,3.05,2.4,2,1.05,2.1,1.75,,0.76,0.9,1.46,0.6,,0.83,,0.7,1.1,0.75,,1.22,0.85,0.65,0.5,0.45,0.54,0.67,1.1,,
104030076561501,Ponnaiyur,10.675,76.9375,,,,,,,,,8.96,7.25,4.78,4.99,5.6,4.28,3.35,2.11,3.92,4.5,5.44,8.9,4.3,3.62,4.15,3.72,6.77,7.35,3.45,7.35,,6.25,7.43,11.65,11.92,7.3,9.18,8.29,12.3,13.5,13.7,14.07,13.5,14.09,7.3,4.15,4.32,6.69,2.97,,3.54,5.24,10.41,2.98,3.38,9.3,3,2.51,3.43,8.66,7.3,2.55,3.25,5.5,4.3,4.02,3.1,7.1,6.75,3.78,3.6,9.2,4.55,1.68,4.3,7.9,,8.1,5.9,10.72,3.1,3.85,,6.79,,,1.42,3.52,0.87,6.1,,6.44,8.77,6.65,8.28,8.7,6.8,7.1,5.56,4.9,2.8,3.4,3.75,6.55,2.75,3.5,3.96,,4.05,4.05,3.05,,5.41,2,3.52,4.2,3.55,4.87,4.7,8.3,,
