station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
102800077393001,Chattrapatti,10.46666667,77.65833333,,,,,,,,,18.15,21.4,18.8,12.82,7.29,10.06,12.45,12.88,9.79,13.44,12.43,11.7,6.3,,14.75,13.85,7.9,12.3,14.5,15.55,12.97,14.55,16.93,15.9,11.65,15.3,17.53,16.43,13.98,16.38,17.95,16.47,11.16,15.07,17,10.3,7.65,10.16,,12.76,3.78,5.29,11.25,8.08,9.15,13.54,15.75,11.9,6.68,10.18,11.88,8.72,4.73,9.25,12.78,13.43,7.25,11.7,15.05,11.2,4.74,9.8,13.55,,5.4,,,12.24,14.5,16.98,17.73,13.78,15.43,17.08,17.48,,9.98,13.85,,,,14.88,,18.38,17.08,18.45,19.45,12.23,11.2,15.63,15.78,12.75,11.95,18.2,17.85,14.4,12.4,,15.95,16.85,5.87,,8.52,6.85,2.5,5.05,6.35,3.85,2.86,5.7,,
102200077581501,Dindigul2,10.36666667,77.97083333,,,,,,,,,1.81,2.8,2.6,1.2,1.7,2.85,3.25,1.75,1.25,2.16,2.5,1.5,1.2,3.1,2.75,1.35,1.27,2.3,2.95,2.6,1.48,2.35,4.1,3.05,1.95,3.23,4.75,2.48,2.6,4.11,5.17,4.8,4.32,5.97,5.8,3.2,2.2,2.67,,1.59,0.6,2.1,2.22,1.85,1.03,2.11,1.95,0.75,0.76,1.37,1.93,1.56,1.4,,2.85,2.82,2.05,2.5,2.9,1,1.1,1.95,1.9,0.9,1.2,2.2,,1.63,1.88,5.55,3.38,3.85,3.52,3.27,2.85,4.95,4.59,,,,,5.95,2.31,2.3,2.07,3.15,6.89,2.09,1.59,6.19,1.89,1.44,6,6.1,1.84,0.85,2.98,,1.88,5.05,1,,2.43,0.58,0.62,1.3,1,0.5,1.12,1.6,,
101530077553001,Gandhigram,10.25833333,77.925,,,,,,,,,12.71,15.85,19.9,13.95,12.3,14.9,15.6,12.7,5.02,8.7,9.3,9.3,7.18,13.2,12.2,9.83,10.16,13.08,14.9,12.65,8.41,11.9,14.07,14.2,13.3,15.5,,16.41,,14.82,14.47,13.73,13.15,16.2,16.15,8.15,7.35,10.26,,12.48,2.81,6.37,8.99,7.71,6.16,11.72,9.61,5.46,4.57,5.36,6.26,,2.15,7.68,8.36,9.16,,8.1,,,2.7,,,,,,,,,10.66,11.66,10.16,9.9,14.41,11.12,,,9.74,,,,9.56,11.14,12.46,10.5,14.88,14.95,9.65,9.11,12.4,13.75,8.55,6.95,15.15,7.7,4.4,3.95,,6.15,6.71,2.5,,5.4,3.25,2.15,3.87,4.72,,2.22,3.52,,
102105077594001,Hanumanthanagar,10.35138889,77.99444444,,,,,,,,,1.91,,4.12,2.1,0.78,2.67,8.96,0.55,0.7,2.49,1.3,1,0.6,2.4,6.8,0.65,0.6,5.08,2.39,1.5,0.55,2.09,3.06,2.05,1.35,,4,0.48,1.15,1.21,3.43,1.82,2.72,2.83,4.1,0.5,0.85,1.37,,0.45,0.6,2.15,2.44,2.07,0.9,2.47,2.33,0.93,0.98,1.77,2.73,0.97,0.75,,2.67,2.94,1.2,2,2.5,0.7,0.95,2.4,2.35,0.64,0.75,1.95,,,1.59,3.17,4.01,2.57,5.52,5.52,4.8,0.87,1.37,2.45,2.47,,,3.37,5.07,5.42,5.38,5.65,9.86,3,3.56,4.6,5.45,4.85,3.9,5.4,5.4,1.45,1.35,,3,4.3,0.55,,2.31,0.25,0.9,1.4,1.5,0.4,1.75,1.25,,
104530078020001,Idayapatti,10.75833333,78.03333333,,,,,,,,,12.06,14.1,11.75,14.05,13.88,15.1,15.28,9.92,8.43,11,11.9,10.58,7.6,9.8,10.7,4.19,1.17,4.18,5.2,4.98,5.85,9.33,12.15,13.2,13.14,14,14.05,14.02,14.1,14.36,14.42,14.06,12.88,13.79,15.03,13.98,13.66,13.08,,8.14,2.44,5.12,5.7,5.68,6.1,10.58,12.02,12.45,10.08,5.28,8.64,,,12.48,11.83,7.43,11.18,12.33,10.88,10.98,8.08,9.18,10.35,10.23,8.88,9.28,,10.69,10.85,12.98,13.68,8.08,,14.16,13.8,,9.38,6.43,10.68,,,11.78,13.4,14.05,14.3,14.28,11.93,7.66,7.88,,,11.03,12.08,13.98,14.14,12.75,13.33,,13.68,13.93,12.61,,13.31,13.65,11.15,12.88,13.75,12.43,9.98,12.58,,
102830077340001,Kanakkanpatti,10.475,77.56666667,,,,,,,,,7.5,9.4,9.08,3.05,0.81,3.4,5.65,3.23,3.15,3.94,4.08,1.1,0.8,2.2,3.53,0.94,0.68,2.53,3.04,3.05,0.98,3.4,5.35,1.65,1.38,3.5,5.53,3.34,2.99,3.91,5.66,4.62,2.15,10.6,7,0.8,1.18,0.89,,1.67,0.76,3.24,2.34,0.54,1.01,3.66,4.44,2.74,1,,,,,2.2,,3.49,1.1,3.05,3.8,2.2,,1.4,3,0.55,,1.25,,2.35,,6.34,6.5,4.84,8.99,7.28,8.99,,2.59,2.71,4.76,,,2.91,4.24,3.49,4.82,7.08,8.45,2.9,2.15,3.8,4.9,3.05,2.2,4.4,7.15,6.4,4.65,,7.95,9.7,2.05,,3.3,3.4,1.52,2.3,3.1,1.1,0.93,3,,
101405077290001,Kodaikanal,10.23472222,77.48333333,,,,,,,,,5.37,7.15,5.95,6.07,5.16,6.32,7.65,6.01,3.86,,5.75,3.88,5.55,7.2,5.95,3.66,3.33,6.55,4.71,4.86,2.07,6.15,2.31,1.1,5.75,4.07,6.75,4.35,6.27,6.43,,4.68,6.2,6.85,2,1.15,6.28,,,3.17,5.48,7.24,6.77,1.77,6.22,7.41,7.22,5.18,3.08,6.32,4.21,2.77,5.57,6.95,8.05,6.22,5.7,6.45,6.15,,4.8,6.45,6.53,3.3,3.77,6.45,,,7.05,7.12,7.12,7.22,,6.35,5.12,,6.22,5.22,6.12,,,6.27,3.82,6.12,7.39,5.5,4.57,5.51,5.85,5.3,6.58,,6.2,6.45,5.57,4.5,5.25,,5.95,6.25,5.5,,3.85,4.02,,3.8,5.42,4.84,5.88,5.77,,
102232077590701,Nandavanampatti,10.37555556,77.98527778,,,,,,,,,2.9,4.35,1.47,1.29,1.15,3.55,3.95,2.83,1.83,3.25,2.55,1.45,0.95,8.15,3.6,1.05,0.93,1.58,3.19,2.23,0.97,2.49,4.78,1.21,1.15,2.5,4.1,0.85,1.62,2.24,4.44,1.52,1.73,2.56,5.34,1.04,1.19,2.16,,0.77,0.98,1.92,3.64,0.9,1.45,2.5,2.57,0.82,0.82,2.58,2.42,0.8,0.84,,2.1,1.43,0.97,,2.01,,2.04,1.64,,,1.09,6.29,,,2.18,6,3.49,3.2,3.03,3.6,3.92,1.72,1.55,1.5,2.63,,,2.6,2.76,2.82,2.71,3.55,4.18,1.81,2.1,3.35,4.38,2.68,2.42,4.34,5.22,2.3,3.29,,,4.14,2.11,,1.99,1.2,1,2.1,1.85,0.98,1.72,2.37,,
101320078145001,Natham1,10.22222222,78.24722222,,,,,,,,,5.73,6.9,4.28,6.05,6.38,8.13,8.75,8.68,4.2,,6.6,3.95,2,4.7,5.8,5.03,4.63,6.18,7.03,7,7,8.7,14.92,10.55,10.4,9.4,11.23,7.54,7.3,7.45,7.86,7.5,7.8,12.4,10.3,6.7,4.5,5.71,,5.51,3.13,4.96,4.56,2.63,2.94,4.49,5.19,5.03,3.33,4.05,3.73,2.38,2.47,4.6,4.88,5.68,3.8,5.5,6.28,2.9,2.2,3.4,4.2,2,2,4.25,,5.29,5.77,7.23,7.4,6.03,6.75,7.25,9.13,,6.93,7.78,9.28,,,8.63,8.51,5.34,6.88,8.85,9.35,6.45,6.2,8.55,9.9,8.6,7.4,10.1,10.6,6.6,6.45,,4.38,4.55,3.35,,5.12,4.15,2.67,3.35,4.1,1.95,3.3,3.75,,
102915077451501,Oodanchatram,10.4875,77.75416667,,,,,,,,,13.85,20.4,21.5,15.4,8.59,12.79,18.31,20.79,16.61,19.89,20.59,12.09,9.25,13.09,19.59,8.84,4.89,6.86,8.76,8.16,7.1,11.09,19.35,15.49,7.42,13.09,20.33,16.41,11.79,20.61,21.17,12.4,7.48,9.6,14.65,8.5,5.68,7.35,,8.08,2.88,4.67,6.19,5.85,5.89,11.95,14.47,9.25,5.57,6.95,10.85,6.6,5,7.95,11.05,13.95,6.1,21.2,,12.3,6.45,7.7,11.6,7.05,3.8,4.9,,8.72,9.4,,20.65,14.25,14.85,21.55,,,10.25,10.55,12.1,,,7.4,10.98,14.28,15.98,19.5,18.22,7.45,6.02,7.5,10.78,8.7,8.95,14.9,21.05,17.2,10.95,,11.57,12.1,5.16,,3.9,3.55,1.88,2.7,2.9,1.83,1.48,2.2,,
