station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
104630077553001,Aravakurichi2,10.775,77.925,,,,,,,,,10.25,13.15,12.72,8.68,7.87,9.75,11.35,,5.7,,10.3,9.07,7.8,8,9.93,7.96,6.95,7.9,8.99,9.05,,10.15,,,10.99,16.1,14.4,12.83,,14.55,15.7,12.7,9.7,12.98,9.43,7.85,7.46,7.9,,6.15,3.65,7.8,8.06,6.16,6.53,9.2,8.46,6.9,4.11,7.3,7.43,,4.78,7.95,9.56,6.24,5.3,8.1,8.5,4.25,4.07,5.2,7.15,4.5,5,6.42,,6.7,7,9.51,9.51,9.51,9.02,11.42,14.82,,6.1,6.4,8,7.25,,5.65,8.23,9.6,,12.35,10.5,4.65,5.85,9.35,,7.3,7.65,17,10.25,9.33,10.1,,12.2,13.3,0.9,,10.55,5.5,5.3,9,8.43,5.2,6.5,8.57,,
105200077540001,C.Dharapuram,10.86666667,77.9,,,,,,,,,3,5.8,4.9,2.5,1.9,3.04,4.35,1.66,1.73,3.15,3.82,1.25,2.1,3.02,5.69,2.12,1.76,3.45,3.6,2.34,,3.75,4.08,2.25,2,5.36,,,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,5.76,,,,,,,,,,2.3,,,,,,,,,,,4.25,3.65,,,,,,,,2.65,,,
105030078100001,Jagatabi,10.84166667,78.16666667,,,,,,,,,7.89,11.79,11.99,11.4,10.83,12.44,12.29,4.89,4.62,7.16,7.89,4.39,2.71,5.82,8.69,5.44,1.69,6.29,7.29,7.42,9.75,10.69,11.62,,10.99,11.99,,10.55,11.77,11.8,12.04,10.54,10.64,10.96,11.84,10.94,11.33,11.73,,9.69,0.93,3.61,7.59,5.64,5.47,10.61,11.39,9.37,7.51,10.79,11.49,,11.57,11.89,11.79,10.36,9.84,10.07,11.39,10.04,4.14,8.49,9.09,6.99,6.97,10.39,,9.29,11.04,11.59,11.89,10.6,10.94,12.28,11.71,,10.69,10.57,11.44,10.29,,11.55,11.39,11.19,11.39,11.19,11.09,10.19,10.69,11.39,,11.89,11.54,14.09,12.39,10.14,10.74,,10.93,10.64,0.21,,10.75,7.9,3.24,4.64,5.64,2.54,2.49,5.27,,
105730078050001,Karur2,10.95833333,78.08333333,,,,,,,,,5.2,5.95,5.55,4.04,3.35,4.09,4.1,1.12,1.37,2.15,2.6,4.36,2.51,1.5,2.6,0.85,,6.25,,3.07,10.19,4.01,6.45,3.45,4.77,,,,3.24,4.36,,,1.46,3.16,4.41,6.51,2.42,5.41,,3.17,,,,2.02,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,4,4.38,6.16,,,2.85,,,,,,,,4.4,,5,5.45,5.4,5.8,4.15,4.65,,5.1,5.3,4.05,,4.05,1.4,0.6,1.55,1.73,1.35,2.35,2.1,,
105630078143001,Mayanur,10.94166667,78.24166667,,,,,,,,,7.24,7.32,7.64,4.62,6.19,1.47,8.44,2.29,3.54,6.54,6.99,4.36,2.54,6.19,7.34,4.39,2.84,6.44,1.94,5.66,4.69,7.44,,7.04,,8.84,,4.05,6.47,8.45,9.27,8.44,7.89,8.7,9.19,7.16,6.39,8.14,,6.34,2.44,6.15,7.54,6.58,6.83,8.08,8.72,3.16,2.63,6.04,6.76,,3.27,,,,3.39,,,,,5.14,6.34,4.24,4.24,3.79,,4.89,5.74,,,8.44,8.02,10.54,10.54,,8.2,8.45,8.2,7.74,,7.8,8.41,,8.7,9.05,8.9,9.9,8.9,10,,9.15,9.17,10.54,10.04,7.86,7.84,,9.24,7.54,5.29,,8.15,6.55,4.45,6.7,7.85,6.75,5.99,7.04,,
110308077553001,Noyyil,11.05222222,77.925,,,,,,,,,2.94,3.06,2.91,2.71,2.51,2.99,2.86,2.68,2.11,2.86,3.08,1.06,3,,3.31,2.19,2.58,2.34,1.78,2.68,2.69,3.3,3.09,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.3,,,,,,,,,,,,4.15,,,2.56,3.07,3.06,2.66,4.77,,2.81,3.36,2.41,,,,,2.65,,,1.51,2.51,,
105800077544501,Paramatti1,10.96666667,77.9125,,,,,,,,,8.42,9.97,11.16,12.02,11.17,14.35,16.58,10.47,9.59,15.17,16.17,14.27,0.13,9.98,11.15,4.93,3.25,4.05,,5.04,,6.62,8.35,3.52,4.77,6,7.22,16.58,6.46,9.43,10.64,8.38,6.98,8.52,9.61,7.2,7.68,9.78,,8.28,2.01,2.86,3.48,2.48,2.13,3.77,4.74,4.4,3.13,3.21,3.96,,2.08,3.48,4.98,2.38,3.42,2.23,,5.65,1.28,3.38,3.58,3.18,1.03,2.52,,3.18,3.78,5.74,,5.24,4.9,6.72,7.54,,1.88,2.16,3.15,2.88,,2.3,3.39,5.73,5.38,,7.29,4.38,2.88,2.5,,2.13,1.98,1.62,1.98,1.43,1.43,,1,1.28,0.78,,1.28,0.62,,1.73,1.93,,1.03,1.41,,
104345078253001,Thogamalai,10.72916667,78.425,,,,,,,,,7.96,9.88,8.42,7.51,7.14,,,,0.7,4.47,,4.35,2.48,0.22,4.16,0.72,6.22,2.83,4.02,2.22,,5.4,,,,17.97,5.92,3.57,,6.2,6.3,5.59,4.26,5.12,8.32,1.41,1.5,3.06,,0.72,1.02,1.97,3.22,1.85,2.08,4.38,4.58,2.87,0.91,3.55,4.22,,1.22,4.4,5.34,4.52,1.72,4.32,4.62,3.07,1.67,3.82,3.52,1.12,1.12,2.52,,1.52,2.82,5.14,,3.83,2.86,4.66,4.95,,2.17,2.07,4.32,3.92,,3.52,4.1,4.42,4.57,4.92,4.82,1.52,1.97,,,4.5,3.42,5.32,6.22,1.17,1.87,,1.02,1.42,0.87,,1.25,,0.59,1.97,2.32,,1.88,2.17,,
105200078080001,Velliyanai,10.86666667,78.13333333,,,,,,,,,,,,,,,,,,,,,7.4,,,,3.67,4.35,6.17,,,17.97,,,,,,,,50.1,,46.9,43.4,46.74,51.97,54.4,54.4,47.63,,,1.9,4.49,7.9,6.83,2.04,29.76,33.54,14.31,11.88,17.89,13.06,10.78,,9.5,,,,,,,2.05,8.65,12.25,7.7,6.45,8.5,,11.86,17.8,,,,,,,,,,,,,,,,,,,,,,,9.01,9.82,,,,,,,,,,9.57,8.85,,7.9,8.2,4.46,5.28,5.45,,
104644078115101,Veerampalayam,10.77888889,78.1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,6,,
