station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
123400077540001,Anusonai,12.56666667,77.9,,,,,,,,,4.21,9.1,4.01,3.06,6.77,8.4,4.67,5.59,4.68,3.67,2.11,2.45,6.32,9.17,8.67,2.07,4.79,8.76,7.71,3.56,7.18,8.36,8.75,2.86,8.25,9.02,8.54,,,7.99,8.04,6.99,7.69,6.64,5.96,3.71,7.46,7.86,7.16,0.41,3.57,6.96,6.88,6.66,7.18,7.46,7.06,6.86,6.56,10.16,5.56,4.86,,6.46,6.68,4.91,5.02,6.82,,5.91,5.68,6.61,6.81,3.96,5.71,7.36,,,6.76,7.26,7.56,6.69,6.86,7.81,6.27,,5.81,5.41,5.36,2.91,,5.78,2.61,3.44,5,4.8,5.6,1.57,,,6.2,5.8,5.18,3.73,2.9,0.3,0.51,,1.35,0.96,2.41,,2.35,2,2.25,1.76,1.02,0.8,3.41,0.93,,
123130077470001,Denkanikottai1,12.525,77.78333333,,,,,,,,,5.7,15.74,6.7,4.2,5.08,14.06,9,9.04,4.67,7.9,6.68,4.71,5.1,6.8,14.62,6.51,9.92,6.7,5.55,7.3,5.62,6.83,7.45,4.84,5.26,6.83,,5.3,,11.03,9.85,8.81,9.62,8.7,9.2,6.54,6.8,9.3,8.5,2.98,4.58,6.45,5.52,5.87,6.45,9.63,9.05,6.9,6.65,7.4,5.8,,,,,,,,,,5.02,,,,,,,,9.3,12.2,,7.68,,9.7,12.37,,7.69,9.05,9.85,1.49,,5.52,,11.72,,8.65,10.06,4.57,6.9,,8.55,7.04,9.07,11.62,12.26,7.84,7.8,,7.84,8.45,9.6,,10.05,6.35,4.63,5.26,3.85,2.57,7.33,4.4,,
124300077500001,Hosur2,12.71666667,77.83333333,,,,,,,,,6.61,,6.61,16.84,20.06,16.3,12.66,5.61,6.91,7.51,6.51,2.25,4.81,7.41,6.61,3.05,14.42,16.32,12.64,,12.65,7.47,14.27,12.24,13.97,14.42,15.9,12.32,15.42,14.38,13,11.84,13.4,12.62,13.4,12.5,10.7,8.9,15.25,7.2,10.4,13.6,12.13,12.95,15.13,17.4,20.55,14.8,16.5,,14.8,,12.93,17.5,30.4,13.55,17.7,20.25,17.75,17.94,12.2,14.6,12.7,11.48,12.25,26.4,,45.3,12.1,,,,,11.15,13.33,,10.23,9.3,,8.48,,11.7,,13.35,12.6,11.2,11.6,8.98,12.95,,,10.24,12.22,11.36,11.58,9.58,10.22,,8.82,6.91,9.27,,,8.47,,8.31,7.48,5.08,,9,,
122430078123001,Karukkanchavadi,12.40833333,78.20833333,,,,,,,,,0.81,2.82,0.51,0.91,0.69,1.8,5.56,2.56,0.53,2.51,0.43,2.91,0.81,2.91,0.81,0.89,0.63,2.51,4.16,1.01,1.42,1.88,0.49,,4.88,2.81,0.51,0.22,,8.49,8.35,5.71,3.2,3.05,0.45,0.9,2.3,5.3,1.06,1,0.46,2.45,1.1,1.28,2.5,4.64,2.35,1.1,0.8,2.7,0.8,1.62,0.75,3.5,1.15,0.7,,1.95,1.86,,1.04,2.85,1.1,0.9,1.1,3.6,,,0.8,4.3,,,,1.95,0.8,,0.95,3.15,0.68,1.09,,2.4,2,0.68,1.15,2.1,0.3,1.25,,,1.66,1,1.35,4.33,1.13,1.45,1.45,,1.36,1.26,1.18,,0.87,1.1,1.63,2.25,1.5,1.38,2.13,,,
122300078245001,Mattur,12.38333333,78.41388889,,,,,,,,,10.4,11.4,10.63,5.67,5.41,9.39,,7.81,6.84,,9.45,6.55,,,,,,,,7.86,,9.65,,5.5,7.17,,9.52,,,,,,12.1,,,,8.7,,12.1,0.7,4.96,4.2,10.37,2.85,3.6,8.28,5.75,0.7,0.7,4.1,1.35,,,3.82,3.22,1.26,,2.6,,,,,,,,,,,,,,1.5,,9.1,,,1.23,0.55,,,,,11.22,10.8,9.55,11.6,11.15,9.06,10.15,,11.3,0.83,1.12,,,,,,,1.5,,,,7.7,5.5,6.62,5.84,6.18,6.7,7.22,,
124000078013001,Sulagiri,12.66666667,78.025,,,,,,,,,7.09,11.33,10.14,3.34,4.96,10.33,11.54,4.9,3.89,9.94,7.14,3.29,4.94,7.54,9.49,3.96,4.04,9.04,5.94,2.17,6.48,8.62,9.45,3.87,5.83,1.85,10.44,6.66,,10.89,11.04,5.41,7.33,8.84,6.44,6.04,8.54,7.44,8.64,1.56,3.65,7.04,8.58,8.74,8.89,10.04,8.99,10.64,7.74,9.74,7.99,6.14,8.55,9.44,9.04,9.34,,8.24,,16.84,8.64,15.74,16.59,15.59,7.44,,,7.5,6.84,11.59,12.24,6.14,8.44,8.84,8.4,,9.19,7.54,10,3.96,,7.24,6.94,21.74,21.74,21.74,,4.38,8.91,,11.79,10.59,12.67,11.69,12.08,12.4,9.04,,8.36,,9.08,,8.09,8.41,,9.46,7.09,5.45,7.52,6.8,,
123445077393001,Talli,12.57916667,77.65833333,,,,,,,,,2.87,5.57,1.57,1.27,1.78,3.24,3.47,3.33,1.9,2.57,3.18,1.17,2.92,3.17,4.97,2.15,2.66,3.87,3.22,2.03,2.48,2.59,3.22,1.49,1.74,1.85,3.17,2.89,,,5.43,2.35,3.72,5.07,2.52,2.15,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,7.85,7.98,9.71,10.65,3.19,8.75,,9.57,8.12,8.55,,,,,,,,,0,,
121600078314501,Uthangarai1,12.26666667,78.52916667,,,,,,,,,2.65,4.41,3.6,1.55,1.79,3.14,3.75,2.29,2.65,4.2,8.39,4.3,,4.25,4.7,4.23,3.77,5.35,,,,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,
123245078213001,Bargur,12.54583333,78.35833333,,,,,,,,,,,,2.72,2.55,5.12,,3.54,2.44,7.8,7.2,2.9,3.3,7.1,9.01,7.96,8.46,6.44,,,,,,3.7,,,8.59,8.21,,,,11.4,11.4,11.4,11.4,11.4,15.8,11.4,13.2,4.6,2.54,4.58,6.71,7.3,9.9,14.3,22.3,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.3,11.4,11.4,,10.36,,,,,6.5,11.4,,11.4,11.4,,,,,12.01,,12.01,,,,,,,,,,,,,,,0.97,1.1,2.02,,
124530077584501,Athimugam1,12.75833333,77.97916667,,,,,,,,,,,,,,,,,,,26.7,,,,,,3.33,,,,3.5,3.87,,7.55,2.78,6.13,4.92,4.21,4.9,5.86,6.1,5.82,8.3,6.4,6.6,1.85,4.4,4.3,4.69,,1.12,3.3,,4.5,4.65,5.9,6.8,6.7,7.2,7.5,5.9,3.58,3.9,9.76,6.62,5.78,6.45,6.5,,5.63,5.4,7.25,7.83,7.56,8,9.3,,,8.1,,,7.49,,8.75,9.34,,7.66,6.94,7.42,4.08,,,5.05,5.43,6.5,7.1,6.83,2.31,5.74,,6.94,7.11,8.54,9.89,10.07,8.68,8.6,,9.01,8.68,8.76,,8.85,7.08,5.86,6.74,5.92,0.98,1.37,2.12,,
