station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
111255078445001,Ammapalayam,11.21527778,78.74722222,,,,,,,,,8.1,13.22,9.5,,1.5,6.8,13.07,6.43,3.28,8.28,2.3,0.7,2.28,5.8,7.1,6.4,3.2,5.9,6.85,5.1,3.55,6.41,,6.43,5.91,9.48,9.95,6.9,8.9,9.97,10.1,4.95,6.35,2.55,6.95,1.6,3.7,6.55,,2.82,1.65,3.75,4.95,1.44,3.6,7.47,5.55,4.02,2.86,4.45,6.25,5.8,2.8,5.75,6.95,6.95,4.6,7.95,8.15,5.05,3.28,4.51,6.44,3.96,2.64,4.97,,1.9,6.35,11.45,13,7.09,7.86,,9.78,,9.25,9.65,,4.75,,6.44,7.37,1.14,,10.42,8.35,,5.45,7.83,8.84,9.21,9.65,9.95,10.25,3.26,5.45,,7.32,7.21,4.83,,8.3,1.02,2.8,3.15,3.53,2.4,3.7,3.33,,
111350079013001,Kunnam,11.23055556,79.025,,,,,,,,,7.68,9.68,7.93,3.08,2.02,3.43,4.38,2.03,1.14,3.63,2.03,0.43,1.05,1.83,3.63,3.53,1.9,3.93,4.05,1.98,0.81,3.53,5.08,2.58,2.65,5.55,6.89,4.81,5.98,8.57,7.9,5.2,5.5,4.9,6.76,2.28,3.1,5.37,,1.43,1.1,3.85,4.82,1.98,2.08,3.58,3.9,1.56,1.14,3.57,3.75,3.7,1.35,3.9,2.75,3.1,1.3,3.5,4.08,3.4,1.54,2.81,4.02,1.08,1.19,4.77,,3.16,4.1,10.3,6.47,4.15,4.88,6.6,6.52,,4.8,6.7,8.38,6.2,,4.65,6.29,6.95,7.3,8.25,3.86,4.65,3.83,6.92,8.38,,7.9,8.3,8.4,6.39,6.5,,7.2,7.93,2.25,,4.83,0.7,1.4,1.66,1.99,1.23,2.32,3.33,,
111405078480501,Kurumbalur,11.23472222,78.80138889,,,,,,,,,8.19,10.03,11.49,6.6,4.66,10.19,11.22,9.42,8.3,9.97,9.33,9.46,4.57,9.29,10.09,7.59,4.54,6.39,8.69,7.94,7.79,9.17,7.91,11.95,9.68,10.81,13.37,12.64,13.69,12.3,11.6,7.9,10.6,7.9,15.25,10.15,12.2,15.35,,5.3,2.4,4.8,12.08,5.33,6.78,8.52,9.8,10.2,7.79,11.6,8.3,9.6,4.5,12,10.65,13.7,4.45,9.6,10.3,12,5.79,8.53,8.85,8.8,2.72,6.8,,,8.65,15,11.42,15.26,15.72,19.05,16.9,,12.25,12.73,9.8,5.2,,4.69,6.06,8.08,10.55,11.92,10.78,4.69,9.48,14.44,12.6,7.82,8.9,11.68,11.84,5.93,6.63,,8.3,,5.75,,7.04,4,1.75,2.1,3.58,1.24,1.2,2.1,,
110940078432001,Nakkaselam,11.16111111,78.72222222,,,,,,,,,7.52,11.13,11.22,9.92,5.49,0.77,10.96,10.65,8.57,,8.42,3.17,2.64,8.17,9.42,6.57,3.52,9.37,10.52,9.02,,9.72,,10.02,8.34,11.22,11.47,9.7,9.57,16.75,16.25,13,10.85,10.75,8.4,4.77,5.1,8.25,,4.98,1.95,8.55,5.81,2.96,4.12,6.87,7.45,4.43,4.61,6.15,9.05,9.85,5.8,12.15,10.15,9.35,6.85,9.9,9.45,7.25,4.07,6.78,8.68,5.16,2.79,6.25,,,9.65,12.6,17.07,12.85,10.38,,,,,12.42,13.38,8.35,,9.42,10.58,,11.05,16.18,16.25,9.42,7.56,,,11.65,12,17.65,18.43,14.84,1.45,,11.14,,4.92,,,3.9,2.65,2.93,3.17,3.3,2.5,5.28,,
111830078550001,Valikandapuram,11.30833333,78.91666667,,,,,,,,,4.79,7,6.25,3.85,1.35,3.9,5.57,4.15,,5.2,3.2,,1.35,4.24,5.57,4.4,4.9,5.43,5.8,4.68,2.4,5.69,6.9,5.6,4.37,,,,18.05,7.82,8,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.48,6.14,6.02,6.65,,,5.07,5.9,6.97,6.8,,5.62,,7.86,7.65,8.25,,5.57,6.9,8.45,,8.01,0.75,8.5,8.5,9.2,8,,8,,4.26,,6.13,3.14,3.3,3.53,4.56,4.1,5.53,5.1,,
110958078513001,Vijayagopalapm,11.16611111,78.85833333,,,,,,,,,6.7,7.5,7.4,6.74,2.4,4.7,6.7,3.35,2.77,3.25,2.1,1.4,1.65,4.03,5.39,5.5,3.6,5.21,5.46,4.65,,4.94,5.93,5.55,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34,5.77,,5.25,7.15,6.1,,4.69,,,,,,5.09,,,,,,,,,3.38,6.15,7.55,7.24,6.1,5.32,,5.8,,2.3,,,,1.95,2.09,,0.93,1.62,2.94,,
111400078523001,Perambalur2,11.23333333,78.875,,,,,,,,,,,,,,5.9,7.31,2.73,1.81,7.63,2.78,0.73,2.34,5.43,7.3,6.68,2.98,6.58,6.78,2.33,2.28,6.48,7.8,4.89,4,7.64,8.88,6.48,7.98,,,8.45,6.8,5.45,6.67,2.6,3.58,7.12,,4.03,2.02,4.58,6.38,4.63,4,6.78,5.5,4.06,2.4,5.25,6.1,4.25,1,5.3,6,4.4,2,5.55,5.35,3.1,2.54,3.2,5.2,1.64,1.76,5.07,,3.45,5.45,8.95,8.27,3.88,4.36,7.15,7.3,,9.94,6.9,6.9,6.3,,5.25,6.34,7.1,6.49,10.05,5.65,5.4,3.52,6.95,9.25,5.67,8.6,9.55,4.51,2.16,4.33,,5.63,,1.79,,4.81,2.25,2.6,3.11,2.22,2.11,2.49,,,
111403078532801,Perambalur1,11.23416667,78.89111111,,,,,,,,,,,,,,,,,,,,,2.3,,,1.9,3.3,5.64,7.11,0.8,1.8,5.61,6.64,2.98,,,7.8,,5.8,9.05,8.45,2.8,,2.45,5.94,1.83,3.97,5.71,,1.85,1.1,2.57,,2.75,2.78,5.2,6.5,3.84,2.03,4.05,,4.7,1.55,4.6,6.15,3.9,1.6,4.88,5.2,3.35,4.2,2.89,4.95,2.3,2.05,5.32,,3.7,5.27,,7.97,4.18,5.38,6.95,6.97,,,6.68,7.84,6.5,,5.48,8.22,8,8.7,9.02,5.05,5.48,2.66,4.86,7.5,5.15,7.25,8.98,6.61,1.92,3.43,,4.61,5.18,0.63,,3.52,0.1,1.45,1.94,4.38,1.74,,4.83,,
111530078563001,Ranjankudi,11.25833333,78.94166667,,,,,,,,,,,,,,,,,,,,,2,,,,2.2,5.09,,,2.4,,6.6,4.35,3.02,,8.5,,7.4,9.27,7.15,4.85,,4.35,5.07,3.94,2.65,4.88,,1.44,1.3,3.17,4.5,2.65,1.87,4.88,6.6,2.97,2.26,3.9,6.1,4.4,1.45,2.95,4.5,4.6,1.95,4.34,6.1,4.9,1.9,2.62,3.65,1.75,6.68,3.6,,4,7.3,,5.28,2.18,2.51,3.7,,,3.13,3.92,6.34,5,,3.68,4.31,8.52,5.45,17.55,7.48,,3.56,5.84,8.79,5.5,9.05,17.9,9.68,3.76,2.92,,4.2,9.86,1.2,,3.53,0.6,1.25,1.54,2.88,2.23,2.57,3.48,,
112030079034501,Veppur1,11.34166667,79.0625,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,4.85,2.75,,5.06,,,,5.75,6.82,,4,8.02,3.65,3.8,,2.45,,0.87,2.47,8.2,,0.15,1.15,5.5,,6.42,2.36,5.5,5.7,1.25,0.95,2.92,,,,5.6,8.2,4.25,1.2,6.8,7.7,6.6,2.25,3.97,5.1,0.8,1.19,5.4,,,1.48,,7.76,2.18,3.08,4.8,2.92,,,6.78,6.78,6.5,,6.6,3.3,7.69,4.78,11.58,4.7,6.6,2.5,,10.16,,0.6,8.7,12.04,2.02,2.9,,1.4,7.72,1.94,,4.72,0.25,,1.35,3.2,,,4.58,,
