station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
103150078580001,Adanakottai,10.53055556,78.96666667,,,,,,,,,10.21,10.43,10.18,10.43,2.44,8,9.68,3.79,1.89,5.49,2.45,0.78,1.48,4.43,4.75,2.16,2.14,5.86,5.12,5.87,3.2,5.99,6.63,5.98,5.53,6.79,7.73,7.63,6.6,,8.13,8.46,7.31,6.08,7.43,0.95,3.62,5.79,4.55,2.08,4.35,6.35,5.75,5.65,6.8,7.47,5.31,5.6,2.05,6,7.5,5.83,2.33,6.58,7.66,5.87,1.72,6.21,7.41,7.33,2.91,6.87,3.86,1.85,3.26,6.28,,4.58,5.78,7.42,,5.75,5.69,5.92,6.12,,5.98,6.03,7.7,7.2,,5.9,5.83,6.7,7.03,,5.19,5.23,6.68,9.52,8.58,4.98,6.43,7.18,7.51,2.96,6.49,,4.73,2.03,4.25,,6.8,0.38,3.63,5.14,6.6,4.53,5.03,5.73,,
102130078590001,Alangudi,10.35833333,78.98333333,,,,,,,,,13.12,16.74,18.64,18.49,7.59,16.54,17.38,12.14,4.77,10.1,9.37,5.47,3.18,7.26,11.24,5.61,4.34,9.21,14.14,12.35,6.92,14.54,13.74,8.94,9.54,10.63,14.94,12.5,14.54,17.49,15.56,9.08,9.94,12.81,15.34,7.44,5.76,13.86,14.91,11.64,3.45,9.5,16.75,4.85,3.78,14.12,13.2,11.4,6.18,9.2,12.4,11.79,3.64,13.19,17.11,14.3,3.74,13.34,16.14,11.04,2.66,11.1,11.97,7.74,3.79,13.49,,16.24,9.2,19.05,10.47,11.8,,,,,,10.4,9.6,7.1,,8.6,,8.75,,,,9.44,,,10.6,7.59,9,9.23,8.7,5.67,6.29,,7.14,6.62,6.4,,,3.9,4.7,7.65,5.37,6.35,5.64,7.04,,
101000078594501,Arantangi,10.16666667,78.99583333,,,,,,,,,5.94,7.24,5.84,4.29,2.45,4.95,4.63,2.1,1.15,4.15,4.25,3.37,0.61,4.26,5.65,4.44,4.75,6.15,6.52,2.99,1.14,,2.64,2.15,2.5,1.56,3.2,1,0.95,,6.76,2.65,1.79,2.25,2.7,0.7,1.31,2.16,2.2,0.8,1.6,2.75,2.1,0.6,1.68,3.08,2.82,1.3,0.68,3.6,4.91,3.7,2.2,2.75,3.78,3.28,1.42,4.5,4.9,2.72,1.8,4.57,3.96,3.6,3.22,7.63,,2.2,3.15,4.6,4.4,4.15,4.35,4.65,4.5,,3.65,3.71,4.4,2.3,,3.95,4.35,,4.58,5.35,3.9,4.75,4.9,5.1,5.05,3.5,4.5,4.94,4.25,1.5,2.75,,4.28,3.4,1.93,,3,1.36,2,3,1.75,2.15,2.1,3,,
101350078580401,Erachi,10.23055556,78.96777778,,,,,,,,,4.82,5.9,4.5,4.45,1.4,5.55,5.95,1.01,0.8,3.94,3.55,2.56,1.08,4.82,4.8,2.45,1.6,4.77,5.81,1.46,0.77,3.28,3.57,1.7,1.9,2.9,5.1,1.2,1.68,,5.19,3.35,2.74,3.9,5,1.58,1.82,4.9,4.67,0.7,1.03,2.92,3.68,1.65,1.48,4.32,2.8,0.9,0.75,1.7,0.7,1.6,0.79,4.05,5.48,3.39,0.98,3.64,5.2,1.3,0.61,4,2.3,1.2,0.82,3.98,,1.58,1.8,5.18,4.32,3.15,4.78,4.9,4.93,,4.55,4.53,3.75,2.5,,5.22,3.14,3.25,4.21,4.92,3.9,4.97,6.85,5.83,,3.34,5.43,7.1,5.48,1.36,4.35,,7.02,3.7,2.85,,4.68,0.6,2.6,4.92,3.27,4.22,3.95,4.65,,
103425079010001,Gandharvakottai1,10.57361111,79.01666667,,,,,,,,,5.06,13.25,8.1,6.9,2.35,8.1,7.2,0.2,0.65,2.81,2.81,0.6,0.79,2.54,2.4,0.8,0.6,1.04,3.39,3.4,0.82,3.95,7.7,1.35,1.4,3.1,7.4,2.25,3.2,,5.79,3.28,2.82,2.4,5.8,0.28,2.9,3.17,9.1,0.5,6.3,2.55,4.15,1.15,1.88,4.67,2.4,1.4,0.85,1.4,4.3,2.3,3.6,3.37,5.12,2.08,1.45,2.77,4.76,3.96,0.6,4.02,2.03,0.62,1.02,5.52,,1.2,3.15,5.4,5.65,3.83,3.62,4.45,5.28,,1.85,5.95,7.43,5.2,,5.14,5.35,,7.9,7.58,5.38,5.06,4.65,9.28,,3.3,6.5,14.95,8.8,0.85,2.67,,5.56,2.98,0.82,,4.65,0.75,1.9,1.65,3.4,0.95,1.1,2.3,,
100800079133001,Kattumavadi-dw,10.13333333,79.225,,,,,,,,,1.02,1.35,2.45,1.05,0.7,0.9,0.8,0.4,0.7,0.93,0.84,0.34,0.58,2.31,1.2,0.8,,1.02,1.04,0.68,0.58,1.34,1.6,1.15,1.2,1.12,2.3,0.9,1.44,1.86,2.22,,,0.87,1.8,0.38,0.68,1.59,,1.3,0.91,2.25,2.8,1.23,,1.95,2.4,0.3,0.3,0.05,0.25,0.29,0.9,1.9,1.9,0.81,0.45,3.6,5,1.3,0.45,2,0.6,0.92,0.84,2,,0.8,0.75,1.23,1.9,,2.42,,,,,1.9,1.9,,,,,,,,,,,,,,1.2,1.98,1.97,0.17,1.29,,1.45,1.08,0.35,,,,1.4,,1.3,1.18,0.8,1.35,,
102445078400001,Kudimianmalai1,10.4125,78.66666667,,,,,,,,,2.49,6.64,7.34,5.79,2.7,5.9,0.63,0.05,1.2,1.31,4.15,,1.58,2.1,3,1.39,2,2.6,2.81,2.05,1.04,2.31,2.59,1.81,1.69,2.65,3.89,1.29,1.94,3.25,2.47,1.11,1.82,2.45,2.72,,2.4,2.84,1.7,0.75,1.78,2.6,1.65,0.8,1.7,2.92,2.2,3.9,0.87,1.9,1.9,0.85,1.3,3.02,2.23,2.25,1,2.61,2.95,1,1.48,2.7,2.57,0.75,1.25,2.2,,1,1.9,3.8,2,1.42,1.93,1.96,2.45,,,1.68,2,0.6,,,1.5,,2.34,3.13,1.38,1.35,2,,2.23,0.9,1.83,3.3,2.88,0.75,1.77,,0.52,0.4,1.15,,1.7,0.45,,3.05,4.25,1.39,3,0.1,,
100220079140001,Manamelkudi1,10.03888889,79.23333333,,,,,,,,,2.91,9.15,9.45,2.5,2.7,3.05,3.67,2.28,2.35,3.33,3.49,3.28,2.73,3.73,4.12,3.65,3.25,2.27,3.69,2.96,2.38,3.12,3.53,3.15,2.55,3.11,3.95,1.5,2.7,3.9,3.84,3.76,3.33,3.4,4.03,2.1,2.65,3.3,2.82,2.86,2.2,2.85,3.7,1.78,1.96,3.09,3.25,1.85,1.3,1.75,1.45,0.8,2.65,,2.87,2.69,2.33,3.52,3.88,3.35,2.48,3.35,3.2,1.95,2.5,4.07,,2.55,2.85,2.55,0.89,2.95,2.95,3.14,3.5,,2.85,2.52,2.45,1.15,,,2.85,3.05,5.33,4.62,4.7,4.7,,5.1,5,3.3,3.75,4.39,4.85,2,3.37,,4.45,4.05,3,,,1.38,3.25,4.05,3.45,1.9,3.25,3.25,,
102840078550001,Mandangudi,10.47777778,78.91666667,,,,,,,,,4.36,8.9,9.8,9.7,3.65,7.2,7.9,4.16,0.52,6.32,3.9,0.69,0.08,3.04,3.8,1.98,0.1,5.41,5.02,0.61,0.1,3.95,,2.6,1.1,3.4,5.9,4,4.22,6.64,6.02,,5,7.98,8.5,1.45,2.1,6.66,6.05,0.1,2.11,5,6.5,5.7,5,7.67,7.8,7.37,3.2,5.9,3.5,5.6,1.1,5.6,7.3,6.88,4.45,7.99,8.85,7.7,3.32,7.2,7.84,8.2,5.62,,,8.8,8.85,9.15,5.3,4.95,,9.15,8.08,,8.85,8.9,8.9,9.15,,8.75,9.15,,8.85,,,,,8.85,,6.16,6.4,8.85,9.95,7.68,8.07,,8.2,6.8,4.7,,8.1,0.35,4.1,6.27,6.25,6.06,7.6,6.65,,
095600079083001,Mimisal1,9.93333333,79.14166667,,,,,,,,,1.27,1.15,1.15,1.6,0.65,0.95,0.83,0.25,0.45,1.02,0.55,0.45,0.41,0.95,1.02,0.15,0.55,0.83,0.74,0.55,0.4,0.65,0.65,0.35,0.55,0.97,0.95,0.35,,0.93,0.75,0.64,0.81,0.88,1.45,0.3,1,0.7,1.05,0.3,0.55,0.85,0.75,0.27,0.58,1.33,1.35,0.4,0.43,0.75,0.65,,0.35,0.6,1.1,0.61,0.35,0.67,0.75,0.29,0.33,0.65,0.91,0.25,0.37,1.86,,0.45,0.69,1.04,1.15,0.25,0.35,0.5,1.17,,0.52,0.31,0.85,0.25,,1.23,1.59,0.6,0.72,1.31,1.5,1.25,0.95,2.16,2.38,0.3,0.8,1.95,2.55,0.15,0.62,,,,,,1.6,0.25,1.05,,,,2.45,0.35,,
