station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
113600078363001,Attur fire st.,11.6,78.60833333,,,,,,,,,6.4,8.8,6.5,4.55,,,7.05,4.01,3.75,7,6.11,5.25,4.1,8.85,7.1,5.35,4.11,7.5,8.1,5.89,10.82,10,9.05,5.85,6.95,10.35,10.43,7.45,11.09,24.87,6.85,6.3,7,8.65,6.97,6.15,5.95,8.42,10.05,5.07,4.29,6.8,8.46,6.58,7.1,8.72,9.17,7.02,,8.32,8.22,6.75,5.15,,9.42,10,9.15,10.1,8.33,5.05,4.65,10.75,8.25,6.6,,8.75,,7.35,9.35,11.72,12.52,8.77,8.82,10.02,9.37,,7.95,9.24,8.45,7.66,,,9.67,10.4,8.25,10.88,9.95,7.4,7.85,8.75,9.48,,12.95,9.75,7.45,7.68,8.43,,7.66,6.4,5.2,,5.53,5,3.52,5.07,5.85,5.02,5.65,,,
114220077522001,Jalakandapuram,11.70555556,77.87222222,,,,,,,,,14.1,,13.5,6.8,7.37,12.15,12.7,10.55,3.47,9.5,5.79,4.23,4.2,8.2,3.6,4.56,3.87,7.49,6.4,2.4,2.5,0.7,8.34,9.85,10.54,11.06,11.15,11.1,11.83,12,12.1,17.7,10.55,11.73,11.25,3.8,3.35,12.2,12.4,4.95,3.84,10.1,11.62,17.86,11.6,11.8,12.2,10.6,9.7,4.3,2.65,,,3.7,3.25,3.55,3.6,6.86,4.05,0.8,0.79,0.6,0.5,0.02,,,,2.2,2.4,4.05,8,4.1,6.1,7.16,5.33,,1.5,6.3,1.6,0.93,,,4.72,7.35,8.2,2.43,2.3,0.95,0.82,3.15,3.28,5.53,5.75,4.71,7.3,2.65,0.63,,1.3,2.85,4.08,,7.25,2.7,0.6,2.16,0.68,0.3,,1.13,,
113400077541501,Konganapuram1,11.56666667,77.90416667,,,,,,,,,9.06,10.77,18.76,6,8.53,12.6,30.06,17.44,6.86,15.46,11.31,6.18,7.56,9.36,,,6.62,12.98,16.39,,8.86,11.62,3.52,8.14,9.09,11.41,,,18.2,16,17.56,0.64,,,,,,,,14.41,2.5,13.86,,17.04,,,,,2.36,5.54,,,,,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,,,
113215078084501,Mallur1,11.5375,78.14583333,,,,,,,,,5.44,4.3,6.99,4.09,3.95,5.35,7.59,4.13,2.64,7,4.19,3.13,3.5,8.79,9.41,7.11,6.93,9.48,10.39,5.97,5.79,8.79,6.94,7.29,8.19,6.96,,9.29,10.69,,6.34,9.04,4.74,5.09,4.25,4.99,4.94,5.3,7.19,0.69,1.12,2.59,3.27,1.37,2.07,3.7,3.89,2.19,2.39,3.62,2.46,2.74,2.67,5.59,4.44,5.64,5.39,11.54,4.28,2.54,2.29,3.84,4.39,2.79,,3.49,,3.1,5.39,9.59,10.54,4.89,7.49,11.69,11.74,,6,6.7,4.29,2.76,,,4.49,6.94,8.5,9.3,9.3,3.9,5.4,18.3,3.12,8.07,3.6,7.75,11.44,2.79,2.84,,0.81,3.05,3.84,,6.5,4.35,3.04,4.36,4,2.52,3.84,4.91,,
112800078285701,P.Goundanpalyam,11.46666667,78.4825,,,,,,,,,4.6,7.22,2.64,1.35,0.64,6.8,5.8,2.03,1.12,4.6,2.77,1.22,1.05,4.4,4.2,1.17,1.17,8.5,9.73,2.2,3.08,4.72,4.94,2.75,,6.9,6.44,5.3,6.2,16.7,5.85,4.63,6.95,10.4,4.6,2.6,2.73,4.3,6.3,1.23,0.95,2.3,4.52,2.32,2.1,4.3,5.2,3.96,2.8,4.22,3.3,2.2,1.3,4.6,5.95,5.84,4.6,5.29,2.75,1.32,1.2,2.8,2.95,1.55,,3.8,,2.75,4.35,6.7,8.5,4.9,4.8,7.95,6.83,,3.68,3.47,4.45,1.72,,,2.5,6.55,5.45,8.66,4.91,2.8,2.37,1.6,8.31,9.4,10.21,10.93,8.28,2.27,3.25,,0.8,2.77,2.4,,4.42,2.5,2.2,3.36,2.85,2.07,3.05,,,
114000078093001,Salem Bankhouse,11.66666667,78.15833333,,,,,,,,,7.4,8.94,8.15,3.95,5.22,7.76,8.1,4.86,5.07,9.1,5.24,2.6,4.8,7,7.7,5.43,5.12,8.12,6.51,3.27,4.45,7.94,6.6,4.75,6.8,8.7,8.8,7.4,10.15,9.1,7.05,4.32,6.4,,8.9,7.3,8.35,8.65,2.7,3.24,3.6,8.2,5.55,4.94,8.1,9.85,8.3,2.8,6.5,9.78,2.7,4.55,5.7,10.2,9.66,10.22,9.7,13.1,6.6,4.45,5.65,9.1,12.05,8.15,,,,7.8,10.5,14,11.9,11.4,12.5,12.7,11.7,,8.05,6.27,6.24,4.03,,,8.98,9.5,10.61,11.66,9.35,3.9,5.75,8.3,5.4,7.28,9.4,10.66,11.15,3.22,5.15,,0.9,4.78,6.35,,5.47,2.94,5,2.58,2.75,2.05,5.5,6.5,,
113500078453001,Thalaivasal1,11.58333333,78.75833333,,,,,,,,,6.03,8.9,8.96,2.73,2.7,,13.7,6.09,2.6,10.8,6.45,2.76,3.06,14.6,7.5,3.7,4.2,5.48,6.64,4.59,3.8,4.6,7.4,7.4,5.34,8.7,13.4,13,13,22.16,10.45,6.2,7.58,7.29,7.33,6.1,3.8,6.82,8.02,3.5,2.61,5.43,6.57,5.51,4.93,6.49,6.92,6.57,6.12,6.13,7.17,5.41,2.75,5.66,7.47,9.07,8.3,8.38,8.77,6.97,4.52,5,6.6,4.42,,4.8,,5.65,6.3,7.67,9.77,10.72,6.47,8.42,7.22,,,7.93,7.93,7.02,,,8.17,9.17,9.4,11.6,12.1,5.7,4.25,5.68,6.63,6.65,7.54,9.32,10.4,6.25,6.38,,0.8,6.08,3.5,,4.83,4.94,2.98,4.65,4.65,2.6,3.25,4.39,,
115200078051501,Tivettipatti,11.86666667,78.0875,,,,,,,,,8.05,5.52,5.4,5,5.49,8.63,6.65,5.65,3.47,6.9,6.26,3.74,5.1,7.2,7.7,3.5,4.8,7.62,4.98,3.03,5.7,8.35,5.79,6.33,8.54,8.64,8.9,8.2,9.4,19.6,18.6,8.88,8.27,10.2,8.55,6.7,8.1,10.25,8.55,4.35,2.07,4.5,6.7,2.15,3.37,7,4.52,1.2,2.56,3.46,2.15,2.5,3.2,5.2,4.5,4.1,5.7,8.07,7.85,2.6,2.58,4,3.55,1.9,,5.2,,3,4.7,11.4,10.3,10.7,,11.06,11.2,,10.95,11.63,11.3,9.11,,,3.39,6.25,6.72,9.11,7.75,2.91,4.9,7,7.82,8.35,0.9,12.3,12,6.27,7.67,,0.4,6.12,9.4,,8.92,,4.34,5.32,3.2,1.91,4.35,4.2,,
113845078244501,Valappadi,11.64583333,78.4125,,,,,,,,,12.11,11.79,15.5,9.81,5.1,9.04,11.51,10.77,7.91,9.71,11.81,9.11,9.92,,4.91,8.95,5.64,14.08,13.77,11.01,11.02,,,13.11,8.41,,15.81,12.34,9.13,26.01,13.71,12.71,13.91,22.56,14.51,10.41,13.21,12.41,14.71,2.81,2.23,7.11,11.26,8.48,8.31,14.41,12.31,10.11,9.13,12.31,9.71,9.81,9.91,12.47,12.51,12.56,12.61,11.66,11.06,10.51,10.53,11.96,11.26,10.81,,,,15.31,11.46,11.81,11.81,,11.56,14.81,24.11,,15,16.51,16.51,12.58,,,15.91,12.76,9.34,17.12,17.1,,10.14,14.1,17.3,16.62,21.8,15.56,15.56,11.41,8.96,,1.09,,9.16,,,,,,,,,6.61,,
114700078124001,Yercaud,11.78333333,78.21111111,,,,,,,,,2.47,,0.97,2.17,0.91,7.15,2.17,1.04,0.87,1.5,5.24,3.53,1.62,1.87,4.15,4.57,4.45,6.81,5.29,0.89,1.25,8.32,8.82,1.8,1.57,3.62,4.47,0.99,5.22,5.87,1.57,1.72,2.17,1.92,2.77,1.47,2.47,3.47,3.52,1.27,1.75,2.77,2.23,2.29,2.37,3.32,2.67,1.69,2.07,2.59,1.33,2.02,2.07,3.67,1.8,2.85,2.37,4.71,1.82,1.22,1.1,2.62,1.67,1.07,,4.07,,0.67,2.42,3.92,1.97,,2.37,3.62,1.53,,2.47,2.42,2.42,1.09,,,2.53,5.97,1.83,3.59,2.27,1.38,1.99,,,1.68,2.84,3.68,2.12,1.7,2.68,,,1.74,2.37,,1.22,0.19,1.81,2.09,1.62,1.68,2.2,2.72,,
113530078351001,Athur,11.59166667,78.58611111,,,,,,,,,,,,,,,,,,15.8,,,,,,,7.3,9.74,16.8,7.98,8.26,10.55,25.15,7.35,6.92,8.3,,16.46,11.25,,8.8,9.82,7.91,9.04,8.84,6.5,5.5,10.02,24.8,6.95,4.58,6.98,8.75,6.63,6.63,15.1,6.62,6.12,5.36,23.57,22.7,,,,50.4,50.4,39,58,58,50.4,8.24,9.45,35.9,25.5,,26.9,,50.4,56.1,,,32.5,19.45,54.25,13.4,,,13.17,13.17,12.8,,,49.48,53.55,53.44,,54.54,11.7,10.65,29.3,51.07,,54.74,34.52,16.4,8.37,9.6,,9.16,11.44,3.95,,4.26,3.81,7.32,4.34,5.16,3.92,,7.13,,
112945078390001,Gangavalli,11.49583333,78.65,,,,,,,,,,,,,,,,,,14.2,,,,,,,7.06,20.92,27,9.59,6.18,28.08,,9.43,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43,8.02,5.1,8.9,,,,,,,,,,4.4,4.25,2.29,4.41,4.62,3.2,3.75,5.95,,
115115078050001,Kadayampatti,11.85416667,78.08333333,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,6.36,7.74,11.63,7.95,8.8,3.48,4.52,,18.16,24.02,48,,8.68,29.82,,27.6,14.2,,39.56,41.3,,4.63,11.1,13.5,6.27,9.96,17.38,12.37,4.77,5.7,9.92,8.42,,10.15,22.17,19.58,26.5,29.45,38.65,11.3,3.79,4.6,7.05,7.11,2.75,,16.6,,10.05,21.7,,22.8,38,48.1,57,61.75,,7.81,5.27,,11.29,,,,21.41,28.5,26.65,28.2,,8.1,21.55,36.2,7.2,7.9,,,,,,,,,,6.48,6.19,3.16,,,,,,,
113550078394501,Kattukottai,11.59722222,78.6625,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,6.48,,,,2.15,0.6,3.4,4.33,,
113400077540001,Konganapuram,11.56666667,77.9,,,,,,,,,,,,,,,,,,6.77,,,,,,,3.5,,4.69,2.63,2.43,1.87,16.15,2.46,2.77,4.28,6.7,2.9,1.6,,4.9,2.9,5,5.2,6.09,3.3,3.97,14,5.6,14.45,2.51,,5.52,3.79,,8.4,,3.4,,5.54,,,5.48,7.97,,7.08,8.2,8.5,5.25,2.86,4.45,3.61,3.85,2.25,,5.4,,4.85,6.9,,12.2,5.05,7.6,8.6,7.82,,5.57,7,16.55,3.19,,,4.76,8.18,8.55,7.94,7.2,,6.85,4.15,4.8,7.1,7.99,10.45,5.7,2.85,3.5,,4.66,4.24,4.23,,5.38,2.25,3.99,2.8,1.75,2.32,,3.64,,
115050077445001,Kulathur,11.84722222,77.74722222,,,,,,,,,,,,,,,,,,26.6,,,,,,,,18.9,19.52,16.76,17.81,21.24,24.15,18.75,,22.1,23.09,19.3,18.8,,20.39,16.45,19.2,16.44,18.98,14.77,17.35,19.5,20.15,12.57,15.05,18,20.7,13.92,19.62,11,22.24,16.4,18.07,20.57,18,,16.3,19.3,19.37,16.92,17.9,22.8,,,,16.37,17.15,16.75,,20.9,,18.1,21.1,,24,20.53,22.7,26.87,22.1,,18.85,18.95,21.65,13.93,,,20.72,20.44,24.53,24.37,22.76,,17.93,21.54,18.9,20.21,27.65,27.65,23.35,15.12,17.65,,16.32,16.1,17.69,,20.85,14.57,16.87,16.71,15.11,16.97,18.68,19.86,,
113500077473001,Kullampatti,11.58333333,77.79166667,,,,,,,,,,,,,,,,,,11.17,,,,,,,4.7,,,2.8,3,7.75,8.07,3.08,2.15,9.4,13.6,5.9,5.4,,12.65,4.78,4.4,12.81,7.32,3.3,3.4,6.64,4.8,0.95,2.54,8.04,4.97,2.77,3.3,3.6,5.7,2.7,2.7,,9.61,,2.8,5.6,5.9,3.9,3.15,9.8,11.3,1.4,2.7,5.65,4.1,2.05,,10.4,,5.2,7.6,,6.9,3.7,4.07,11.9,8.85,,3.35,5.63,5,2.4,,,6.85,13.03,15.47,20.15,12.87,,17.93,10.04,3.63,3.34,31.3,6.92,7.9,2.19,2.86,,3.85,3.15,3.28,,4.58,1.85,3.08,6.04,3.36,2.55,3.2,6.16,,
114530077534501,Nangavalli,11.75833333,77.89583333,,,,,,,,,,,,,,,,,,11.1,,,,,,,,4.06,10.37,8.16,8.33,8,9.15,8.8,10.24,10.64,12.57,9.8,10.5,,13.4,3.1,8.5,9.6,10.1,8.43,9.3,11.16,12.9,6.58,7.44,10.85,10.3,,9.57,10.52,10.76,7.3,8.03,8.96,9.52,,8.55,11.75,11.72,11.4,11.65,10.68,9.4,8.43,8.58,12.7,10.7,11.1,,12.4,,7,12.9,,13.4,12.75,12.3,11.87,8.4,,7.92,8.83,11.6,3.25,,,10.3,11.68,11.86,11.16,10.35,,9.62,11.14,9.86,11.5,12.5,12.05,12.8,8.8,9.37,,8.78,8.12,8.35,,8.95,7.03,6.64,8.68,8.7,7.5,8.97,,,
