station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
095400078310001,Annanagar,9.9,78.51666667,,,,,,,,,5.62,6.3,8.09,4.84,3.99,10.16,11.94,4.61,0.96,7.14,4.69,4.79,1.79,6.39,7.28,4.84,6.56,10.44,11.87,7.09,2.11,6.4,7.28,7.18,7.09,8.67,8.49,3.2,5.51,5.61,7.18,6.12,7.53,11.1,11.99,1.51,4.89,6.89,,1.64,2.29,3.79,6.29,1.74,3.25,6.24,6.81,1.29,1.31,2.49,1.79,1.29,1.39,4.46,3.61,4.03,2.09,4.59,3.23,0.49,1.14,3.79,3.57,2.09,1.43,4.94,,1.84,3.45,5.66,4.74,5.39,6.29,6.31,5.31,,3.64,4.38,4.29,1.69,,4.82,6.19,6.64,7.09,7.54,6.92,6.11,7.29,7.54,8.72,8.09,8.76,9.43,8.79,0.91,3.39,,,,,,3.63,,1.79,,,,0,3.24,,
100945078464501,Chettinadu,10.1625,78.77916667,,,,,,,,,4.92,6.57,5.87,2.27,1.93,16.3,5.33,1.43,,4.68,1.82,2.58,1.96,13,11.98,2.73,2.18,4.06,5.47,4.16,2.76,,3.62,2.3,2.38,3.46,5.96,1.38,,5.45,5.92,6.21,5.31,13.1,7.48,1.7,2.65,4.48,,0.18,4.28,3.28,4.08,2.93,2.23,5.42,4.58,3.08,1.03,2.08,1.58,1.48,1.18,3.38,3.48,2.2,1.16,2.78,3.32,1.38,1.7,3.51,1.54,0.23,1.48,3.08,,1.41,2.65,4.42,4.78,4.64,5.38,6.43,4.03,,2.08,2.76,3.66,0.18,,3.18,3.28,3.08,3.32,4.48,3.23,3.04,3.48,4.28,4.28,1.73,2.95,4.78,4.85,0.23,2.45,,1.58,0.98,0.74,,2.88,,0.68,3.45,4.43,0.98,1.98,2.66,,
095700078400001,Devakottai1,9.95,78.66666667,,,,,,,,,6.84,9.93,7.38,4.38,2.88,8.58,7.29,7.18,2.21,7.23,3.41,3.03,1.93,4.18,7.26,2.35,2.08,7.33,7.06,4.08,2.64,7.18,6.69,3.97,4.07,7.7,6.26,3.48,2.55,7.08,7.92,6.05,6.94,11.88,7.98,1.83,5.49,6.56,,0.87,5.85,6.4,6.05,4.6,7.34,7.33,7.38,3,2.22,7.1,7.26,7.18,4.66,8.18,6.1,6.8,5.51,8.33,9.73,3.48,5.13,8.02,7.63,3.48,5.32,8.28,,2.88,,10.5,9.9,7.9,8.6,8.58,8.05,,7.93,7.67,6.56,4.2,,7.05,2.65,7.5,8.88,9.38,8.58,8.75,9.98,10.32,11.48,8.78,10.18,11.13,8.53,4.68,8.7,,,,,,7.85,2.45,4.68,,,,3.08,7.58,,
095030078372001,Kalayarkoil,9.84166667,78.62222222,,,,,,,,,5.23,9.36,9.41,7.41,6.92,9.56,9.58,3.5,2.37,4.42,5.02,4.52,2.37,4.72,6.32,3.89,4.74,7.46,,4.99,1.5,4.11,4.43,2.61,4.31,3.59,4.72,2,3.07,,,,,,,1.7,,,,0.04,1.3,1.5,3.4,4.44,3.23,,,3.83,2.6,6.2,4,3.5,2.25,6,6.3,5.25,,6.5,7.35,1,2.02,,,,2.16,,,,,6.94,7.67,4.87,6.15,8.25,9.82,,3.5,4.7,6.65,5.3,,5.95,7.3,8.2,10.15,10.82,11.22,10.35,10,12.65,,,0.9,12.65,12.65,5.74,8.34,,,,,,4.2,1.77,5.3,,,,3.9,5.25,,
095900078400001,Kallal,9.98333333,78.66666667,,,,,,,,,6.69,9.13,9.18,6.98,7.55,8.58,12.7,7.7,3.18,5.43,1.58,,1.28,3.87,,,,,3.25,,,4.31,3.7,,,,,,,5.4,,,,,,4.13,,,,,1.32,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,,,,,,,,,2.98,3.43,,,,,,,,11.58,,,,,,,,3.13,,,,,,,,,,2.93,2.93,,
100630078320001,Manakudi,10.10833333,78.53333333,,,,,,,,,4.76,9.34,6.34,3.34,5.34,,6.79,,,5.68,,4.04,3.09,3.64,4.86,3.79,4.2,5.29,5.69,4.54,4.7,5.14,5.48,4.93,4.84,5.66,4.93,5.34,5.54,6.54,6.46,6.92,7.05,9.64,9.64,6.56,5.54,6.38,,4.97,5.24,5.2,5.59,4.74,4.24,5.59,5.49,5.79,3.41,3.69,3.64,3.04,2.84,4.06,4.66,4.87,3.68,5.15,5.67,3.56,3,4.24,4.49,2.88,2.79,4.29,,2.19,5.04,5.42,5.74,6.14,6.64,6.99,7.17,,9.64,7.72,6.64,5.92,,5.26,5.14,5.54,6.02,9.64,6.07,5.77,6.49,,6.8,5.94,3.75,9.64,9.64,6.79,6.52,,9.64,9.64,6.89,,3.84,,,,3.15,,,0,,
094115078271001,Manamadurai2,9.6875,78.45277778,,,,,,,,,4.75,5.85,6.38,4.3,3.95,4.78,5.85,5.03,3.04,4.06,3.65,2.9,3.3,4.2,14.4,3.83,3.7,4.7,,4.78,4.22,4.7,5.53,4.82,4.3,4.71,4.59,4.75,4.2,5.09,5.55,5.44,6,5.99,10.09,4.24,4.24,4.83,,4.4,3.67,4.89,7.99,4.81,3.89,5.15,4.92,4.39,4.01,3.49,2.81,3.84,3.79,4.49,4.77,4.94,4.25,5.1,6.82,5.74,3.39,4.39,4.72,4.36,3.59,4.36,,4.99,5.29,4.94,5.86,5.96,6.21,10.09,5.99,,4.4,4.49,5.85,,,5.59,5.86,5.84,10.1,10.1,10.1,10.1,4.8,,,3.69,5.03,10.09,10.09,4.54,4.72,,,,,,4.7,2.75,2.5,,,,3.49,3.69,,
100615078504001,Puduvoyal,10.10416667,78.84444444,,,,,,,,,15.88,17.7,17.45,15,13.33,16.3,17.85,17.77,,15.6,4.29,13.8,9.3,18.95,15.5,11.85,11.32,14.65,17.34,14.76,12,,15.31,14.05,10.45,16.25,17.4,13.4,13.41,17.06,17.77,19.28,18.17,19.9,19.9,18.86,16.45,19.9,,19.7,6.22,9.76,18.3,19.7,18.25,19.7,19.7,18.9,0.95,9.2,14,13.9,,15.25,18.17,18.95,16.4,,,,,17,,19,17.88,18.4,,3.3,3.6,7.69,18.63,18.2,7.2,8.13,,,4.95,7.37,8.05,5,,9.77,10,8.9,,,,12.12,12.5,11.9,,11.8,12.5,13.07,12.55,10.75,12.62,,12.18,11.13,9.5,,,,,,,,5.2,6.7,,
095715078291001,Sivaganga1,9.95416667,78.48611111,,,,,,,,,13.1,10.43,12.28,12.58,11.88,13.32,12.98,12.88,7.68,13.42,11.72,10.8,7.08,11.88,12.78,12.96,12.05,13.23,13.6,12.78,10.43,12.73,13.33,8.25,13.38,12.65,14.16,12.98,12.45,12.9,13.76,12.97,12.93,14.35,12.82,6.5,10.02,9.28,,4.1,5.8,9.45,8.1,6.9,5.75,8.62,9.4,9.9,8,4.6,8.6,7.1,6.35,8.65,8.95,8.44,6.09,8.6,9.82,7.72,4.09,6.2,4.47,1.45,2.95,5.3,,6.2,6.38,9,10.6,10.95,10.05,11.7,11.9,,7.1,9.41,10.2,8.9,,9.82,9.56,9.9,10.35,12.33,12.83,12.9,11.96,13.21,13.52,13.2,7.83,14.35,14.35,11.3,14.16,,,,,,11.58,0.63,5.6,,,,3.7,6.75,,
100630078360001,Thirupattur,10.10833333,78.6,,,,,,,,,1.55,7.83,7.08,3.23,0.6,2.01,3.38,2.9,0.16,2.38,0.88,0.13,0.32,0.98,1.68,0.43,0.65,1.78,1.45,1.14,0.5,1.77,2.78,0.63,0.78,4.24,4.06,1.78,,3.58,4.83,,,10.58,3.8,0.25,8.98,7.05,,1.29,1.31,2.88,2.18,0.45,0.86,0.8,0.25,0.28,0.4,0.98,0.88,7.28,0.61,2.09,3,3,0.76,3.15,4.18,0.37,0.48,1.28,1.14,0.73,0.3,2.28,,0.08,1.45,4.45,4.48,1.91,3.13,4.4,4.38,,1.08,0.68,0.73,0.48,,0.86,1.13,,,,,,8.28,0.78,1.18,,1.36,1.88,,,0.7,,1.12,,,,1.6,1.25,0.58,1.08,0.33,0.98,0.78,0.23,,
