station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
103900079104001,Icchankottai,10.65,79.17777778,,,,,,,,,3.24,2.73,3.7,4.02,3.1,3.64,3.83,2.06,2.2,2.95,4.83,3.96,1.92,,,8.35,,,8.03,,4.88,,7.98,6.95,6.39,6.7,,7.35,5.95,9.89,2.95,,7.62,,,,,,,8.92,,,,,,,,,,,,,,,,,,,,,7.15,,,,,,,,,,,2.85,,,,,,,,,,5.15,,,,,,,,,,,4.48,5.1,5.5,4.5,5.8,,,3.4,4.28,,,,,,,,2.03,5.2,,
105830079233001,Kumbakonam1,10.975,79.39166667,,,,,,,,,3.62,5.68,5.28,4.22,2.12,4.59,5.29,,1.93,4.4,4.81,3.56,2.31,4.1,4.88,4.38,3.88,3.77,4.88,4.43,,,,,,4.56,,,,,3.56,,,,,0.38,1.1,2.49,,,,,5.9,,2.82,5.3,7.25,4.8,3.65,4.61,5.5,,2.5,4.98,6.72,6.05,,5.08,6.12,5.44,3.33,,,,4.04,,,,,5.28,5.9,5.2,5,5.5,4.9,,4.33,,,3.88,,,4.83,4.53,4.57,,6.25,3,,,,,,,,,,,,,,,,,,,,,4.6,4.83,,
110730079271501,Lower Anaicut,11.125,79.45416667,,,,,,,,,1.97,3.85,2.5,1.92,1.93,6.94,2.03,1.7,1.85,4.31,3.64,1.46,1.9,4.2,2.63,2,2.9,1.23,2.33,2.02,1.97,4.14,1.95,2,1.87,,2.9,2.4,2.65,4.98,5.01,2.65,2.98,3.65,5.26,1.2,2.31,4.1,0.75,2.06,2.13,4.22,3.45,2.1,2.58,4.4,2,2.2,2.2,4.7,2.13,2.1,1.91,4.47,2.52,1.9,2.6,3.05,4.1,1.94,1.81,4.75,2,2,1.85,3.4,,1.63,2.13,5.04,2.5,1.8,2.18,2.6,4.4,,2.2,2.57,,2.85,,4.3,5.7,2.9,5.2,6,6.4,2.78,2.6,5.7,2.35,1.92,2.5,3.4,3,1.25,3.2,,,1.97,1.85,,2.3,1.95,2.43,4.33,1.62,1.54,1.35,3.95,,
104405079061501,Melvastrachavdi,10.73472222,79.10416667,,,,,,,,,20.16,19.6,,8.97,8.67,13.6,11.1,1.76,7.66,,,,8.4,21.3,,27.22,19.4,26.47,5.53,,18.1,10.77,22.6,16.6,9,5.9,,8.98,21.4,23.8,4.63,,22.39,17.64,19.56,6.32,,17.8,14.3,10.3,18.81,18.32,23.2,14.6,19.2,18.8,15.1,17.2,17.85,7.17,8.72,8.8,8.6,15.6,15.4,19.7,3,15.35,16.9,4.69,16,16.95,16.15,,4.35,21.67,,9.78,19.13,19.4,,17.1,20,19.2,12.55,,15.97,,,8.26,,15.45,12.2,,14.52,,5.15,,2.76,16.96,,14.03,13.75,10.97,11.1,4.63,9.9,,,14.8,11.77,,17.91,10.93,,,13.03,12.41,15.62,,,
105530079163001,Papanasam,10.925,79.275,,,,,,,,,1.09,3.47,2.35,1.06,1.18,3.56,1.26,0.52,1.11,3.64,1.74,1.88,0.54,3.57,3.51,1.1,1.55,3.38,1.3,1.01,1.09,3.45,1.25,0.9,1.08,2.55,5.05,1.17,1.45,4.33,4.95,1.42,1.45,3.39,4.27,0.2,1.78,,1.95,0.21,1.46,3.5,1.13,1.05,1.08,3.58,1.55,1.09,0.93,1.57,1.2,1.05,1.15,3.32,2.87,1.07,2.15,3.35,4.38,0.77,1,3.78,1.1,0.66,1.15,3.65,,0.67,1.55,4.83,3.97,1,1.3,4.2,5.17,,1.2,3.72,,0.52,,4.45,5.15,2.78,4.71,5.3,5.3,2.02,1.55,4.75,2.1,1.29,2.25,4.55,5.35,0.65,1.65,,,2.12,0.85,,1.85,1.05,1.4,3.69,1,0.93,0.61,4.15,,
102530079180001,Pattukottai1,10.425,79.3,,,,,,,,,1.09,2.83,6.1,0.49,0.03,2,2.65,0.01,0.03,2.41,0.22,0.1,0.02,1.5,2.45,0.1,0.2,3.21,2.8,0.15,0.07,1.69,2.93,2.25,0.45,2.4,,1.6,,,,7.05,7.58,7.58,7.58,0.28,0.32,8.3,10.33,0.68,0.1,5.56,6.84,1.2,1.56,7.97,7.97,,,3.4,,6.45,,3.56,,,,4.45,,,1.3,4.6,,,,,,,,6.12,6.26,5.1,5.16,,5.55,,2.96,4.12,,2.28,,5.23,6.15,5.2,3.65,6.3,4.5,3.94,5.55,6.03,,2.95,6.1,6.4,6.6,2.2,3.25,,,5.25,0.8,,5.75,0.29,0.63,4.74,2.69,2.57,4.61,4.48,,
105115078570601,Puduchataram,10.85416667,78.95166667,,,,,,,,,1.39,3.29,0.95,0.98,1.1,3.02,1,,1.1,2.95,1.5,0.67,1.82,3.06,7.33,1,1.1,2.97,1.39,0.99,1.02,,1.05,1.38,1.18,7.09,,2,1.6,,,0.4,,,,,,,1.42,1.4,1.42,4.02,1.05,1.4,0.22,3.9,1.25,1.3,1.3,2.6,1.25,1.25,1.4,3.7,1.53,1.57,,3.43,1.73,0.43,1.35,3.78,1.4,1.52,1.63,,,,2.45,3.9,1.75,,2.05,3.9,2.45,,2.3,3.65,,2.2,,3.25,,2.93,2.93,4.5,4.5,2.5,,4.5,0.75,,3.7,7.52,2,1.4,2.54,,,1.48,1.45,,2.3,,,,,,1.09,0,,
104300078574401,Sanarpatti1,10.71666667,78.96222222,,,,,,,,,4.04,7,7,4.27,1.58,6.34,6,1.03,1.3,6.43,4.06,3.7,1.19,3.25,7.14,3.93,19.4,2.71,6.34,4.41,0.88,5.34,6.63,3.98,2.53,7.75,,7.63,7.43,,5.75,5.4,4.33,5.49,7.43,1.75,2.26,8.13,7.08,2.68,1.09,7.38,7.63,1.38,5.93,7.36,8.13,5.53,2.86,5.94,7.05,5.83,1.68,4.33,7.48,7.18,,4.78,,,6.16,6.16,,,,,,,,,,,6.98,8.13,,,7.2,,,5.15,,,9,,8.4,8.4,8.4,8.4,8.4,,,,7.48,8.19,8.19,8.19,7.23,,,8.19,,,5.58,,,,,,4.27,,,
104630079063001,Thanjavur,10.775,79.10833333,,,,,,,,,6.38,9.07,8.19,5.76,4.47,6.43,6.64,4.57,3.17,4.78,5.57,4.9,3.96,5.09,6.07,5.74,4.4,6.23,6.83,6.48,4.97,4.1,9.37,5.79,3.49,3.08,10.89,6.74,7.39,10.69,8.38,7.24,,5.35,12.77,5.54,3.97,14.31,13.16,5.27,3.99,7.73,11.55,7.11,5.46,11.81,14.21,7.71,5.11,11.31,9.81,6.59,3.79,5.65,9.83,9.55,5.23,10.49,14.74,6.7,4.49,13.49,6.89,6.01,6.48,6.79,,6.02,10.66,14.07,,1.95,13.26,,,,13.22,14.48,,2.96,,,4.69,,4.6,6.05,7.05,,,14,1.4,,4.35,7.49,6.29,4.09,4.57,,,4.29,0.04,,0.3,3.3,3.77,,0.16,0.03,4.22,,,
105200079170001,Thirukarukuvur,10.86666667,79.28333333,,,,,,,,,1.02,3.61,3.5,1.13,1.2,3.58,1.28,0.87,1.35,3.24,2.19,2.17,1.56,3.51,2.9,1.27,1.5,3.52,2.75,1.25,1.3,3.52,2.9,1.2,1.15,4,5,2.63,1.15,2.96,2.15,1.32,1.47,2.03,2.1,0.8,1.24,2.84,1.46,0.6,1.09,1.55,1.1,0.9,1.3,2.14,1,1.15,1.25,1.35,1.2,0.8,1.3,1.72,1.32,1.15,1.22,1.72,1.25,0.87,1,2.15,1.35,1.2,1.29,3.25,,0.7,1.41,2.39,2,5.3,1.7,2.3,1.55,,1.2,2.15,,0.79,,2.6,2.25,1.7,1.5,3.7,2,1.2,1.9,2.02,2.7,1.3,2.35,,,,,,,,,,,0.65,2.07,2.94,2.4,2.18,0.71,,,
