station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
095945077374501,Andipatti2,9.99583333,77.62916667,,,,,,,,,10.93,10.75,12.55,8.19,6.75,11.05,11,9.67,3.05,5.38,6.28,6.85,3.05,5.05,7.75,6.85,7.15,8.95,10.81,10.95,10.78,11.1,10.97,11.1,11,10.95,11,10.9,11.25,10.96,11.35,11.07,11.2,10.68,11.85,10.15,7.02,7.17,,6.57,3.7,5.02,6.69,5.27,6.2,8.44,9.67,7.23,4.32,3.55,4.93,,4.75,7.25,8.57,10.17,7.05,7.9,11.55,9.7,7.15,2.95,9.65,8.1,3.92,6.05,,8.8,9.19,11.37,7.02,9.97,11.97,11.57,12.99,,10.75,9.47,9.47,,,9.42,11.22,12.02,10.87,14.2,10.97,,10.95,10.55,10.69,10.55,9.3,11.35,11.35,9.5,8.55,,,,,,8.84,9.61,6.85,,,,4.45,6.07,,
094430077170501,Cumbum,9.74166667,77.28472222,,,,,,,,,19.04,21,19.5,19.9,,,,19.9,17.65,18.45,19,19.25,17.6,18.8,19.05,19.33,18.55,18.35,19.63,18.9,13.78,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,17.06,15.45,16.7,16.7,17.7,,17.83,18.6,18.5,18.4,,,,14.4,,,18.74,18.93,13.8,19.6,9.4,18.72,19.2,16.22,,16.2,14.53,13.5,,,13.65,14.55,14.45,14.92,16.4,17.5,16.6,15.2,15.4,14.3,12.12,12.9,12.3,12.7,11.65,12.1,,,,,,9.75,6.9,,,,,6.9,6.46,,
100910077393001,Devadanapatti,10.15277778,77.65833333,,,,,,,,,3.49,6.69,11.49,4.57,2.6,2.7,4.65,2.59,2.17,2.7,2.94,3,1.7,2.4,3.3,2.87,2.25,2.7,5.44,5.5,2.52,3.85,7.11,6.95,7.6,8.8,9.4,10.32,8.38,9.04,,,,,,,,,,,,,,,,,,,,,1.9,1.66,1.02,2.5,4.45,5.92,,4.1,6.73,4.1,6.05,,,,1.65,,,6.49,7.69,9,10.8,7.8,10.8,10.8,10.8,,5,2.91,3.8,,,3.15,4.75,5.78,7.55,10.5,3.5,7.98,8.2,,9.63,6.38,4.55,5.3,8.1,6.07,3.5,,5.17,5.2,3.35,,5.5,5.55,2.3,3.02,4.9,2.26,1.35,2.2,,
095506077311801,Gandamanur,9.91833333,77.52166667,,,,,,,,,8.75,7.6,9.62,3.86,3.28,3.99,8.65,3.6,1.3,5.4,5.72,5.49,0.7,4.4,6.7,5.95,6.25,6.75,7.23,5.95,5.3,6.12,9.32,4.8,3.6,6,10.53,6.4,5.9,12.23,16.62,4.48,4.95,7.46,11,4.6,3.62,6.88,,3.9,1.6,5.42,12.01,7.05,4.57,6.32,8.32,2.23,1.35,2.5,5.49,1.96,3.3,6.6,13.65,10.85,4.5,6.3,8.08,5.6,4.1,3.8,8.72,1.8,2.3,5.1,,7.6,7.86,,18.95,11.85,9.75,17.85,18.95,,5.7,2.5,4.75,,,9.6,11.6,18.6,18.7,18.65,17.6,2.83,5,11.05,,,7.2,14.6,19.05,6.42,7.1,,,,,,,4.41,2.05,,,,3.2,3.63,,
094200077180001,Gudalur2,9.7,77.3,,,,,,,,,16.49,15.72,13.43,15.94,14.74,,16.97,17.27,17.02,16.22,14.12,13.62,11.82,14.62,16.92,13.07,12.52,17.12,5.12,13.42,19.14,16.22,16.14,14.82,12.92,16.02,17.48,16.92,16.42,16.58,18.61,,16.02,,16.02,17.62,16.51,18.27,,16.12,14.92,19.18,18.92,16.32,16.08,19.02,17.44,15.92,15.82,16.77,17.72,17.08,16.35,14.82,18.72,18.62,17.12,16.02,17.82,15.02,15.42,17.42,16.78,15.62,13.22,15.22,,18.25,,19.02,19.02,19.2,18.14,17.02,17.82,,15.6,14.2,13.74,,,15.12,17.27,14.62,17.4,16.4,17.8,18.7,17,17.15,15.6,11.7,12.85,13.72,15.13,13.15,11.27,,,,,,,11.7,10.83,,,,9.02,9.89,,
095930077261001,Kodangipatti,9.99166667,77.43611111,,,,,,,,,2.37,3.02,4.37,0.77,0.92,3.41,,1.57,0.25,2.22,1.35,0.04,0.57,2.32,3.22,1.44,1.66,1.92,2.58,1.72,1.3,1.47,2.37,1.62,1.09,1.57,1.51,2.91,2.52,1.84,3.2,0.29,0.95,2.36,9.72,0.32,1.03,0.13,,0.2,0.2,1.22,2.49,,,,,,,,1.11,0.52,0.77,1.27,3.47,0.82,0.42,0.22,1.17,0.01,0.08,1.12,1.56,0.33,1.04,0.62,,0.02,,1.05,1.35,0.85,2.36,1.7,2.88,,0.22,1.23,1.23,,,1,1.47,,1.08,0.57,0.96,,0.01,6.22,0.27,0.1,1.65,,0.08,,0.78,,,,,,2.55,,1.02,,,,0.03,0.12,,
100715077330001,Periyakulam,10.12083333,77.55,,,,,,,,,1.78,2.39,2.21,1.54,1.5,2.2,3.59,1.5,0.91,2.87,1.62,2.19,1.34,5.09,3.64,1.76,1.72,6.25,2.61,1.69,1.58,2.39,,,0.44,4,2.74,1.96,4.39,,,,,,,,,,,,,,,,,,,,,,3.54,3.09,2.5,4.09,4.62,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,,,,,,4.59,4.6,4.61,,,4.62,6.5,3.95,4.9,6.79,7.94,6.3,5.64,,,7.39,6.39,,,,5.6,5.8,5.8,3.5,5.53,5.69,,
095330077235001,Seelayampatti,9.89166667,77.39722222,,,,,,,,,4.55,10.1,11.4,7.76,6.04,8.3,11.03,5.8,3.9,7.8,8.8,,2.1,6,9.3,5.91,5.28,7.12,8.39,6.95,5.54,7.7,9.9,6.9,4.65,6.2,11.23,9.17,9.1,9.89,12.68,11.18,9.9,11.01,12.2,6.2,5,6.85,,7.2,4.15,6.28,8.2,7.12,4.8,9.02,10.7,5.6,3.65,,3.12,4.25,4.37,8.2,11.4,9.96,2.45,9,11.3,2.2,5.5,6.5,9.5,,5.2,,,,,9.4,10.4,8.6,7.05,9.55,10.95,,4.8,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,
100140077283001,Theni2,10.02777778,77.475,,,,,,,,,16.27,,18.95,13.1,12.97,14.55,18.35,16.4,3.95,7.25,8.55,7.65,0.85,2.85,9.63,6.15,6.08,7.8,11.97,10,8.15,6.85,11.85,11.05,7.32,13.5,16.2,16.18,13.8,,,,,,,,,,,,,,,,,,,,,,4.5,2.55,4.23,11.25,15.75,16.85,,14.95,18.25,4.15,,,,,1.85,,,,,10.55,15.75,13.25,15.37,15.05,17.25,,12.35,9.85,16.2,,,15.7,17.55,12.65,18.05,,17.15,8.45,6.65,10.2,12.95,2.03,4.4,,3.15,14.55,3.85,,4.7,8.65,12.45,,9.1,9.45,10.3,10.05,1.75,3.35,3.6,5.9,,
094830077200001,Uttamapalayam,9.80833333,77.33333333,,,,,,,,,2.5,,3.98,3.42,2.98,,,4.27,2.37,,3.58,3.22,1.67,4.3,3.52,2.66,2.17,5.63,2.61,,5.15,8.97,5.15,4.51,3.97,,,5.58,4.5,9.44,9.3,,,7,7.2,4.47,3.64,7.25,,4,2.35,5.63,4.1,3.25,2.68,6.41,4.45,1.55,0.81,3.03,2.43,0.93,1.65,3.22,2.97,3.05,2.22,4.67,3.87,2.37,2.27,4.37,2.93,1.37,1.77,4.87,,4.04,,8.45,3.75,3.75,3.36,6.04,3.88,,2.37,3.07,2.6,,,,4.35,6,7.19,8.42,7.37,2.92,2.21,4.12,2.62,0.72,0.57,,4.13,1.2,1.07,,,,,,3.3,1.28,1.65,,,,0,0.95,,
