station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
104430078350001,Chattirapatti,10.74166667,78.58333333,,,,,,,,,5.22,7.85,4.4,6.1,11.45,13.8,13.45,11.7,5,10.1,9.71,0.48,5.4,5.36,13.02,4.3,4.2,6.5,,8.3,3.77,,11.4,10.3,11.9,,13.1,12.04,,15.18,15.2,13.62,14.4,11.06,13.3,4.86,16.25,15.09,13.3,,3.83,,11.6,8.05,7.75,14.4,11.7,13,,,6.61,12.06,6.1,14.3,13.72,18.93,,4.37,6.25,16.25,,14.7,10.7,6.45,5.61,7.55,,9.05,,17.74,16.29,9.7,7.3,13.2,15.9,,10.45,9.16,,7.8,,11.75,15.1,15.2,12.72,17.25,13.25,13.03,11.4,14.05,,1.92,10.75,15.2,8.6,4.53,14.65,,,14.1,3.7,,,1,1.06,4.42,2.15,2.68,3.72,3.6,,
105730078270001,Musiri2,10.95833333,78.45,,,,,,,,,2.81,3.43,3.11,2.17,2.17,3.87,4.32,2.34,1.24,3.8,3.57,2.57,2.37,3.82,4.42,1.76,1.61,3.71,,2.16,,3.7,,1.83,1.76,4.16,3.78,2.65,3.31,4.75,4.61,3.93,2.85,4.06,4.75,1.65,2.16,3.05,3.4,0.31,1.41,2.83,2.41,2.24,2.11,3.45,3.35,2.06,0.85,2.82,2.9,2.85,1.65,2.75,3.45,2.63,1.95,2.3,4.6,2.47,1.9,2.45,2.8,1.65,1.97,2.94,,1.52,,,4.3,2.4,2.15,4,4.8,,2.16,3.14,,1.4,,3.2,3.65,4.05,4.18,5.45,5.45,5.45,3,2.1,,2.35,3.25,4.15,6,2.42,2.3,,,,1.5,,,0.45,1.46,2.4,2.15,1.88,1.49,3.3,,
105912078391501,Peramangalam,10.98666667,78.65416667,,,,,,,,,10,12.3,13.7,15.52,13.35,16.15,17.6,15.53,6.32,11.4,12.95,12.2,5.72,5.75,12.3,10,4.85,8.6,,9,8.47,12.16,,9.46,10.02,12.4,11.61,15.53,17.3,11.95,16.15,12.88,11.5,,13.17,9.47,5.45,7.41,11.25,8.15,6.66,8.78,5.38,5.55,11.76,16.51,11.15,19.9,16.76,15.46,13.65,10.65,2.95,8.84,8.76,3.64,2.5,5.45,8,7.25,3.29,4.35,8.05,5.75,8.05,,,,,14.25,14.97,11.3,14.8,10.95,16.25,,11.45,17.15,,7.86,,9.7,19.9,19.9,18,18,18,10.6,8.45,21.25,,,19.9,19.9,19.9,19.9,19.9,,,19.9,19.9,,,6.67,3.08,4.5,4.38,4.8,8.97,5.45,,
110100078381501,Pulivalam,11.01666667,78.6375,,,,,,,,,5.2,6.98,7.5,,5.18,7.02,8,10.15,4.47,6.78,5.8,3.98,2.79,5.05,6.4,3.6,2.45,5.15,,4.6,4.15,7.72,8.05,5.32,4.78,7.05,,4.7,5.9,8.5,8.35,7.33,6.62,6.62,5.2,5.25,4.2,6.12,5.2,1.18,2.86,3.85,5.35,2.9,4.1,6.52,7.08,6.4,3.88,4.55,5.18,6.15,2.9,6.37,5.45,4.71,3.87,5.9,5.5,4.7,3.24,,6.25,5.35,4.92,6.4,,6.18,,9.86,10.52,10.75,10.1,,,,7.38,6.16,,3.17,,4.23,4.8,4.65,5.06,8.5,12,3.68,3.38,4.68,,5.28,1.12,9.85,11.1,6.87,4.95,,,6.3,4.68,,,2.08,1.88,4.53,2.98,2.82,3.59,2.75,,
105630078544501,Pullambadi1,10.94166667,78.9125,,,,,,,,,4.6,5.71,5.8,4.79,2.96,4.65,6.39,3.53,2.08,5.1,5.23,2.38,2.41,4,4.63,2.5,2.9,4.35,3.47,2.97,2.25,4.32,5.04,3.95,2.65,4.46,4.1,4.5,4.9,7.16,6.08,5.99,4.44,4.9,5.52,1.42,2.92,4.78,4.54,1.2,9.04,4.8,4.6,2.73,2.75,4.55,2.25,2.9,2,4.6,5,3.58,1.9,4.65,4.47,3.7,2.15,4.35,5.8,3.92,2.3,4.34,1.7,2.53,2.17,4.1,,3.37,,5.91,,3.35,2.45,5,5.65,,0.7,1.5,,2.95,,4.62,4.35,3.77,4.5,4.8,4.12,,2.9,2.3,4.58,2.6,3.6,4.35,7.4,2.41,2.27,,,1.66,2.17,,,2.8,1.95,2.86,3.24,2.86,3.39,2.85,,
105045078445501,Samayapuram,10.84583333,78.74861111,,,,,,,,,3.2,4.2,4.35,3.16,2.22,4.1,4.22,1.95,1.26,4.25,3.1,2.27,2.23,3.54,3.45,2.2,2.9,3.7,2.65,3.9,2.4,4.22,3.67,2.65,2.25,,6.3,3.33,3.55,5.25,5.48,4.97,3.81,4.3,4.95,2.02,3.42,4.02,4.43,0.9,1.75,3.5,3.6,3.05,2.81,4.02,3.5,2.6,1.6,3.13,3.4,2.57,1.4,5.4,5.4,5.4,,5.4,5.4,5.4,,,3.1,1.7,,,,,,5.4,5.4,,,3.4,4.08,,2.55,3.56,,2.16,,3.33,5.15,3.6,4.8,6,6.2,3.77,2.95,4.05,3.85,2.92,3.58,4.3,5.6,2.64,3.25,,,3.06,2.15,,,2.23,2.65,3.32,2.84,2.91,2.26,3,,
110005078433001,Siruganur,11.00138889,78.725,,,,,,,,,11,10.2,10.7,10.26,6.41,8.7,10.81,7.76,6.09,9.7,10.05,9.47,4.18,9.4,10.13,5.9,4.8,10.06,,5.93,3.5,10.02,11.15,9.7,9.48,,15.1,10.66,12.35,,10.93,8.58,8.72,10.3,11.5,5.52,5.38,9.05,8.7,0.95,13.8,7.91,9.69,6.9,7.21,10.32,9.02,7.3,4.1,8.6,10.25,10,1.95,7.2,8.8,7.63,4.42,7.15,6,4.8,2.5,6.1,7.7,11.08,3.25,10.44,,8.3,,14.1,10.81,,9.4,11.9,,,7.1,9.26,,1.98,,6.6,5,7.5,9.2,11.1,7.75,6.64,,10.8,,3.15,13.6,14.1,14.1,7.88,9,,,1.8,5.35,,,3.8,0.5,,3.1,2.65,6.51,5.95,,
105150078430001,Srirangam,10.86388889,78.71666667,,,,,,,,,3.06,4.18,4.06,3.13,2.94,3.66,3.51,2.46,2.57,3.96,2.93,2.41,2.96,4.17,3.43,2.56,3.06,3.92,4.15,3.18,3.1,4.57,3.56,3.11,3.16,4.24,,4.51,3.91,,,,4.06,4.08,4.08,3.06,3.28,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.35,2.36,,3.7,,3.18,2.96,,1.9,,2.9,,,,,,,,,3.2,,3.1,4.06,4.21,3.01,3.26,,,2.26,2.66,,,,2.76,3.61,2.4,2.34,2.63,4.16,,
110715078271501,Thathayangarpet,11.12083333,78.45416667,,,,,,,,,23.16,27.46,26.91,21.12,20.16,23.28,26.66,15.24,7.23,12.46,15.64,14.52,10.16,13.06,17.21,16.31,11.11,16.76,,21.16,,,26.76,25.3,23.54,26.96,25.29,12.41,18.96,24.46,25.22,17.29,19.33,22.86,23.64,25.66,24.68,7.41,12.24,6.56,7.19,8.78,12.01,11.36,11.76,16.51,19.31,20.16,16.76,15.46,17.66,20.16,14.06,17.28,21.51,22.89,23.21,24.48,25.31,27.96,16.56,14.98,15.66,14.96,12.96,13.36,,12.21,,20.76,,24.36,,28.7,27.06,,23,14.74,,19.92,,24.66,23.86,25.16,27.05,27.45,28.1,23.64,25.2,28.55,27.25,24.7,27.25,27.22,28.69,26.58,25.01,,,25.06,23.56,,,20.64,11.75,11.5,11.37,10.73,21.3,11.01,,
105930078194501,Thottiyam,10.99166667,78.32916667,,,,,,,,,13.3,17.6,12.85,13.62,11.71,14.6,17.7,9.84,7.72,13.5,15.3,8.95,8.1,12.9,15.9,8.1,6.3,12.9,,12.5,,9.7,10.75,7.6,6.95,9.3,8.42,2.23,1.7,6.95,7.81,6.26,6.4,8.35,9.75,5.55,5.35,6.74,7.59,5.5,14.1,6.92,6.4,4.55,5.1,7.78,9.26,8.34,5.55,5.9,7,2.95,2.35,5.95,7.14,7.14,4.55,6.85,7.67,7.1,4.83,3.92,5.65,2.6,3.4,6.35,,3.62,,9.2,9,5.88,5.1,7.5,8.05,,4.36,3.6,,2.77,,8.05,7.5,8.65,9.79,,11.65,,8.15,6.2,,,8.43,11.55,12.75,8.85,7.15,,,6.95,5.91,,,,5.12,,5.38,5.1,9.18,5.58,,
110900078360001,Thuraiyur,11.15,78.6,,,,,,,,,8.25,14.55,17.1,13.14,8.2,13.93,17.65,9.38,10.88,14.83,10.72,4.55,4.6,,10.15,7.25,7.05,8.7,,7.35,2.53,7.47,9.45,3.3,2.95,7.63,4.95,5.9,8.7,6.65,9.6,8.06,8.68,9.44,9.55,6.1,8.36,8.79,8.19,2.15,4.65,6.73,7.95,6.45,7.4,8.31,8.49,6.65,7.15,6.95,9.26,7.15,5.45,8.45,8.47,7.93,7.97,9.05,8.46,7.7,7.55,7.5,8.3,4.35,,7.73,,6.55,,,,9,,,,,,,,,,,8.15,9.2,9.32,9.25,9.34,,8.45,,,,11.08,13.95,15.85,9.37,9.3,,,8.2,8.1,,,,2.6,,,5.53,9.28,6,,
104500078493001,Thuvakkudi,10.75,78.825,,,,,,,,,4.15,3.73,0.29,1.48,11.45,10.7,10.28,0.01,0.2,9.7,0.3,0.05,0.74,,5.3,1.99,2.22,1.31,,2.08,1.08,11.09,2.67,1.74,2.73,10.38,,3.54,,3.74,2.23,2.09,1.71,6.18,10.14,1.04,2.49,7.07,4.52,6.59,10.89,9.24,5.99,1.99,7.29,7.11,9.24,3.29,1.19,7.69,2.09,1.69,2.04,10.29,11.9,10.73,2.35,2.39,7.62,2.29,1.59,11.16,5.39,2.98,2.39,2.99,,1.69,,4.18,7.21,2.74,3.04,6.29,5.89,,2.07,3.32,,1.32,,3.45,2.19,5.39,3.95,,3.15,2.7,2.65,3.6,5.55,,4.44,5.49,5.79,2.29,2.56,,,3.24,1.39,,,1,1.15,2.9,2.7,2.53,2.24,2.82,,
104730078424501,Tiruchchirappalli,10.79166667,78.7125,,,,,,,,,3.1,3.58,3,2.93,2.96,4.51,3.9,1.91,2.1,3.56,1.85,1.76,2.91,4.17,3,1.61,3.54,3,3.06,2.68,2.08,2.55,,2.25,2.62,2.28,,2.5,2.6,5.51,4.33,4.2,2.78,3.15,3.9,1.8,3,3.99,4.55,3.3,2.52,3.52,2.2,2.2,2.5,3.37,3.98,2.56,2.18,4,,4.2,3.4,5.65,6.3,,4.05,4.22,5.66,7.5,,4.13,2.1,2.8,3.06,3.6,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,5.53,6.9,7.3,3.97,3.87,,,7.5,2.55,,,,,,,,2.56,3.65,,
110150078255801,Tumbalam,11.03055556,78.43277778,,,,,,,,,1,12.07,11.55,9.54,8.55,10.45,12.75,5.38,6.46,10.68,11.5,7.7,7.03,9.2,11.85,6.4,3.1,8.2,,10.1,,,12.65,9.9,9.25,12.15,12.26,2.1,4.7,9.7,9.6,7.12,8.26,10.4,8.6,6.58,8,9.4,10.75,8.25,3.57,6.36,9.7,8.25,15.15,11.25,10.6,9.35,7.35,9.55,11.5,8.5,4.4,8.34,10.47,10.12,8.13,10.46,9.44,6.78,7.59,7.55,9.8,4.25,5.7,7.2,,2.91,,13.2,13.63,10.65,10.65,11.65,11.27,,9.14,8.9,,4.77,,8.75,9.25,9.88,11.03,11.88,11.21,10.64,9.58,12.36,11.81,,10.83,9.8,11,9.06,9.15,,,9.4,8.42,,,1.37,2.98,5.4,4.24,4.1,10.23,6.5,,
102130078222001,Tuvarankuruchi,10.35833333,78.37222222,,,,,,,,,6.49,8.2,9.3,8.2,6.7,9.57,9.82,,,,8.55,2.82,2.6,3.3,0.7,2.4,2.55,5.8,,6.85,3,6.62,,6.64,8.6,,8.86,6.81,,9.77,9.83,9.39,9.5,,,5.3,,,8.2,5.4,8.25,,,,2.1,,,5.8,1.75,,2.9,,1.95,4.16,5.25,5.9,,4.26,5.85,0.7,1.82,4,,3.02,2,4.6,,1.28,,7.02,3.1,6.4,7.1,6.85,9.5,,6.45,8.14,,6.19,,9.5,9.5,9.1,8.9,5.2,8.9,7.62,8.9,9.3,,,1,9.5,9.5,8.52,8.75,,,9.5,8.1,,,5.5,6.32,8.27,5.55,5.32,8.51,5.95,,
105738078265001,Musiri1,10.96055556,78.44722222,,,,,,,,,,,,,,,,,,,,,3.9,,,,2.69,4.45,,5.05,,5.52,,3.73,,5.77,15.43,,5.15,6.5,,5.71,4.75,,6.3,1.7,3.2,4.52,5.22,3.59,2.31,4.7,,4.73,4.33,3.6,5.31,5.4,2.42,4.65,2.8,4.4,1.2,,,,3.16,4.19,2.8,3.85,2,,2.95,2.15,,2.82,,3.05,,,3.1,5.64,1.93,3.42,6.5,,4.2,4.5,,4.18,,4.4,4.9,5.86,6.25,45.4,7.2,7.7,6.3,4.9,,,,,,,,,,,,,,,,,,,4.51,,,
105115078423001,Thiruchirapalli,10.85416667,78.70833333,,,,,,,,,,,,,,,,,,,,,3.02,,4.67,2.75,,4,3.38,2.94,3.07,3.5,3.55,,3.84,,4.06,,3.65,5.28,,,4.14,4.11,4.84,2.88,3.48,4.48,5.01,2.18,,,,2.98,3.15,3.94,4.02,,3.3,3.45,,3.9,2.6,4.04,4.82,3.33,3.5,3.82,4.96,3.55,,18.5,3.7,2.9,3.03,3.6,,3.1,,4.24,,1.4,3.32,3.95,4.1,,3.56,3.09,,2.65,,3.5,4.8,4.05,4.48,5.15,4.75,3.45,3.65,4.55,4.44,3.38,4.83,5.54,6.5,3.48,3.6,,,3,,,,0.78,1.7,2.53,2.23,2.05,,3.02,,
