station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
123720078450001,Alangayam,12.62222222,78.75,,,,,,,,,6.6,10.1,7.18,2.38,0.88,3.38,5.9,2.4,1.79,4.8,5.35,3.8,2.55,5.65,7.57,7.17,6.69,8.1,10.75,5.54,5.8,6.87,7.3,3.4,2.84,5.01,6.62,7.67,,11.69,10.45,7.94,7.94,9.7,6.9,6.33,5.65,8.3,8.2,3.88,1.15,3.4,5.07,4.63,5,8.8,9.35,8.05,6.35,7.8,8.3,8.61,6.05,9.2,9.98,7.5,5.48,10.05,10.5,10.05,6.12,8.55,9.65,,,12.4,,6.55,5.8,8.1,,4.12,8.8,,,,10.4,9.7,,8.42,,5.12,4.73,5.93,5.55,8.8,6.5,2.86,8.2,5.4,6.6,6.3,6.86,9.2,9.7,6.35,5.9,,8.14,6.74,2.87,,4.15,2.1,1.37,2.01,2.45,1.95,1.8,3.1,,
122745078280001,Alankuppam,12.4625,78.46666667,,,,,,,,,9.25,7.15,8.34,3.85,2.54,3.9,6.7,5.51,4.57,6.3,6.35,4.15,3.35,7.8,7.35,8.07,9.53,10.05,11,7.7,9.8,12.92,12.05,1.95,5.56,8.19,13.04,10.69,,11.91,10.52,10.5,12.19,,11.12,12.47,10.97,13.47,14.97,12.87,5.48,6.17,5.9,5.05,4.5,6.07,5.77,5.02,4.92,6.27,6.97,6.25,6.02,7.47,7.41,6.57,6.26,7.37,6.77,6.63,5.61,7.02,6.52,,6.27,7.87,,6.82,7.77,8.32,7.97,8.37,7.77,10.37,9.21,,12.93,11.07,12.49,6.83,,6.36,6.22,7.37,7,9.8,5.62,5.88,5.68,6.4,5.68,5.24,6.48,7.62,6.02,6.17,6.22,,7.07,6.39,4.09,,4.31,2.05,2.2,2.51,3.05,2.75,2.67,4.02,,
125400079193001,Arcot2,12.9,79.325,,,,,,,,,3.7,5.3,1.58,2.45,1.88,4.68,4.95,3.99,2.65,5.25,5.05,2.05,2.5,4.65,4.73,4.45,3.72,6.25,4.5,2.35,2.35,4.51,4.15,2.05,2.47,6.26,5.5,,4.05,7.15,3.94,3.52,4.43,4.95,5.25,4.17,,5.15,6.3,4.17,,4.9,5,2.95,3.2,4.5,,2.15,2.35,3.25,,,1.1,4.86,4.7,3.62,2.12,,,2.92,2.11,3.05,2.9,,2.9,4.15,,2.05,3.4,4.8,4.4,2.25,3.7,5.75,4.45,,3.98,1.67,0.93,0.1,,4.95,3.5,2.92,2.05,,0.48,2.17,,4.85,2.55,5.58,4.53,4.85,5.55,1.08,0.73,,3.77,2.05,0.9,,1.42,0.87,0.81,4.51,3.6,2.25,,,,
125430079213001,Devadanam,12.90833333,79.35833333,,,,,,,,,3.85,6.8,4.48,2.9,2.2,4.64,6,5.2,2.9,6.15,6.3,2.96,2.4,5.48,5.88,6.05,2.81,7.32,7.35,3.2,4,5.88,6.4,4.2,2.86,6.32,5.85,,4.68,7.3,3.89,3.5,4.42,4.3,6.1,4,5.9,7.1,7.5,4,2.05,5.35,5.44,2.1,3.35,,,3.7,2.85,3.52,4.1,3.21,2.47,4.87,6.22,5.73,3.88,5.65,,4.1,,3.2,2.4,,2.2,5,,1.8,3.6,5.25,3.6,2.1,2.9,4,3.7,,2.05,12.3,2.2,0.62,,3.06,,5.35,1.2,7.3,4.15,2.9,,5,6.58,6.9,6.47,8.35,8.1,3.57,3.82,,5.48,6.05,3.39,,5.68,0.84,0.35,,,,,0,,
124600079244501,Kalavai,12.76666667,79.4125,,,,,,,,,10.08,12.78,10,4.6,3.23,9.37,9.68,7.43,4.88,9.58,9.98,,5.58,9.98,10.03,11.08,10.74,13.72,13.53,11.98,6.98,12.65,12.43,9.28,6.53,11.91,,,13.76,15.28,10.68,7.98,9.93,11.45,,10.52,11.01,12.88,14.22,10.81,5.46,10.68,11.1,9.58,11.33,13.98,12.21,1.68,5.56,,,,,13.68,,,6.74,7.18,7.06,12.81,8.68,,9.44,,8.56,6.88,,10.99,,13.98,,,13.48,,14.24,,13,14.5,,9.61,,9.91,9.68,11.08,10.25,7.4,,1.2,9.24,11.9,,,11.9,,14.58,9.78,9.43,,5.98,,,,8.58,4.18,4.8,4.22,4.71,3.68,,8.58,,
123440078484501,Kavalur,12.57777778,78.8125,,,,,,,,,8.45,11.5,7.82,5.51,4.38,11.4,12.95,8.17,6.85,11.5,11,10.54,8.9,10.75,11.74,10.25,8.15,11.4,11.35,7.83,7.55,13.46,10.15,5.65,6.85,10.3,10.73,11.23,,12.66,11.02,8.72,10.57,10.6,11.4,7.2,10.1,11.5,11.34,6.33,4.8,9.2,11.27,8,8.55,11.9,11.7,7.6,6.45,9.9,10.1,9.46,7.75,10.92,10.6,9.9,9.05,12.75,11.43,10.02,5.94,10.6,,,5.05,11.4,,10.3,9.6,12.65,14,11.28,8.9,14,14,,11.38,12.67,12.5,12.2,,12.56,12.6,12.49,12.7,12.2,12.5,9.48,10.35,12.4,12.67,12.62,12.5,12.75,12.25,12.64,12.63,,12.76,12.57,10.4,,12.6,12.1,7.53,11.62,7,2.4,,12.8,,
125930079183001,Lalpet,12.99166667,79.30833333,,,,,,,,,5.43,10.95,6.4,1.13,0.32,7.02,7.2,8.97,6.54,12.15,11.55,2.9,3.9,8.15,7.07,7.05,5.13,12.7,12.85,9.47,9.7,10.21,12.2,6.6,7.92,9.45,12.3,,12.16,12.3,6.97,2.08,3.5,4.1,6.8,4.12,4.55,10.8,12.3,4.12,9.12,7.25,7.84,5.33,6.65,10.05,7.1,2.95,3.7,7.75,10.4,,,8.42,8.66,9.4,5.75,10.6,9.6,,2.1,7.28,6.65,,3.7,8.55,,4.3,6.25,9.5,8.55,4.04,6.2,9.3,8.26,,6.05,8.9,7.55,2.18,,6.2,6.8,7.62,6.7,9.15,4.35,1.82,4.37,7.2,7.33,6.84,6.88,8.65,6.5,2.92,3.18,,5.55,5.88,3.19,,,1.01,1.3,5.63,,4.65,4.25,4.9,,
124615078530001,Odugathur,12.77083333,78.88333333,,,,,,,,,11.85,16.43,4.37,9.83,8.91,11.82,12.83,10.45,8.93,15.13,13.6,10.23,10.53,14.13,14.73,14.21,12.99,15.27,15.88,12.83,13.58,,14.05,10.9,10.85,13.93,15.26,13.87,,,19.78,13.17,14.12,14.8,13,11.4,12.35,14.8,15.5,10.89,10.42,11.4,12.55,10.6,11.6,14.15,14.75,11.4,8.95,10.45,11.5,11.1,10.1,12.64,17.2,11.3,9.75,12.9,12.55,10.09,8.75,11,10.6,,9.1,11.7,,11.25,10.3,13.1,14,12.4,,15,15,,,14.8,,,,11.55,11.25,,11.45,14.8,14.8,10,10.1,11.98,12.65,12,12.71,14.7,14.8,11.57,10.8,,12.79,12.3,9.48,,11,9.1,6.93,10.07,10.65,10.24,,12.3,,
125415078563001,Pallikonda,12.90416667,78.94166667,,,,,,,,,3.3,4.88,2.18,1.83,1.87,3.29,4.49,3.22,2.39,4.39,4.59,0.77,2.59,3.79,5.14,4.63,4.23,11.29,7.79,5.56,5.4,7.19,7.29,4.04,4.44,6.9,7.17,7.22,,,2.74,3.42,5.7,4.09,5.29,6.01,6.39,,,5.59,,,4.45,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.25,3.33,4.61,4.51,,,,,4.49,3.09,,,,2.2,2.87,,,,0,,
122220078352001,Perambattu,12.37222222,78.58888889,,,,,,,,,7.44,10.44,7.94,4.04,3.98,8.18,,7.48,7.41,11.94,11.34,6.31,5.55,9.84,11.9,10.14,7.82,5.39,14.14,12.04,11.01,10.63,15.27,4.49,5.6,9.68,9.62,1.38,,,14.49,7.82,5.61,13.34,11.44,10.39,10.34,14.79,17.54,6.74,8.41,8.84,11.77,11.34,10.79,16.19,13.84,11.99,8.79,12.39,14.54,17.44,,14.74,18.14,,,14.75,,11.87,6.86,9.14,7.99,,12.54,11.14,,8.64,9.39,14.19,12,15.54,13.15,15.5,,,7.02,15.4,,13.94,,9.74,4.69,14.15,15.45,5.95,14.15,6.8,6.38,10.13,9.94,14.34,14.64,14.64,14.74,11.57,11.39,,8.62,6.34,5.84,,9.7,,4.71,,4.39,4.59,5.44,7.94,,
