station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
092300077275601,Devadanam1,9.38333333,77.46555556,,,,,,,,,9.3,10.2,11.3,10.13,7.25,,8.72,7.95,2.51,4.33,6.4,7.2,3.5,4.96,8.27,10.02,8.4,4.62,10.3,10.37,6.8,6.67,7.9,8.92,5.23,5.75,8.1,6.38,6.4,4.85,8.6,8.88,8.89,11.53,10.65,10.35,9.29,7.56,,7.32,2.99,3.86,7.73,5.55,2.75,4.94,7.05,6.9,5.15,,,,,,10.35,10.05,,,,,,7.43,8.4,8.07,3.51,,,,,,,11.15,11.65,11.4,13.12,,,,,,,7.05,9.23,11.5,13.4,,,,,12.13,,,11.45,,,,,,,,,,4.15,4.45,2.15,,,,2.48,3.58,,
092800078100001,Kallurani1,9.46666667,78.16666667,,,,,,,,,9.3,10.6,8.25,5.12,2.82,5.45,8.32,2.96,2.2,5.55,4.37,3.22,2.47,4.67,5.92,4.85,4.87,,8.45,5.37,4.67,5.57,,4.92,4.17,4.77,,4.67,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,13.4,14.15,14.15,13.25,,,,,,,,,,,,5.87,7.3,,
093315078003001,Palavanattam,9.55416667,78.00833333,,,,,,,,,10.95,12.35,10.1,2.36,,9.04,9.8,5.75,2.05,4.89,2.45,2,2.05,4.47,3.98,5.03,5.38,6.55,5.64,6.25,6.65,7.15,7.15,4.18,1.15,5.03,7.4,5.15,5.22,5.35,7.35,2.41,4.82,8.3,8.4,3.8,4.87,7.77,,2.1,0.65,5.06,3.79,1.4,1.83,3.73,5.3,0.37,0.47,1.42,1.85,1.02,1.5,3.4,4.5,4.6,4.45,7,6.1,0.5,1.2,5.3,3.4,1.15,1.5,,,5.08,5.1,7.3,8.2,7.1,7.4,7.8,9.34,,,8.9,5.45,,,6.18,6.62,5.5,7.2,,,8.69,,9.05,7.6,3,4.55,8.08,8.5,3.15,6.6,,,,,,9.15,8,,,,,6.31,4.32,,
092745077323001,Rajapalayam1,9.4625,77.54166667,,,,,,,,,3.7,5.9,1.39,3,3.5,6.95,11.95,1.25,1.25,3.25,3.65,4.88,1.75,8.19,9.8,2.11,1.59,3.45,4.84,4.45,2.49,4.86,8.8,7.2,1.19,4.19,,1.09,3.45,,5.66,3.68,3.64,4.36,8,0.1,3.14,3,,2.8,1.1,4.04,4.13,1.4,1.74,2.68,3.6,1,1.63,,,,,,5.25,4.4,,,,,,3.25,4.62,1.8,1.66,,,,,,,8.1,4.7,5.9,10.47,,3.1,2.75,7.18,1.45,,3.97,7.3,5.5,7.53,,,5.08,2.6,3.2,5.1,2.1,,,,,,,,,,,3.95,3.5,2.52,,,,2.85,2.95,,
092700077473001,Sivakasi2,9.45,77.79166667,,,,,,,,,9.37,15.17,16.27,11.78,11.87,9.21,11.09,10.91,2.08,3.88,8.02,6.47,2.42,6.12,7.14,4.28,4.37,3.47,5.26,6.51,11.77,14.49,16.67,10.86,4.74,7.02,,6.47,13,6.71,7.7,,7.19,9.26,15.97,15.97,8.57,6.89,,8.92,6.38,6.21,6.52,4.27,1.88,3.59,5.66,4,2.98,2.72,3.57,1.93,1.52,3.77,6.92,8.32,6.07,7.17,8.22,5.87,1.87,2.57,4.38,4.47,1.22,,,2.55,3.35,5.87,7.47,2.92,2.58,3.72,6.33,,2.49,2.67,5.48,1.74,,3.5,3.33,4.07,3.77,,,2.27,2.14,4.03,5.07,,2.57,4.79,5.07,2.02,1.99,,,,,,2.68,2.76,0.49,,,,1.54,1.77,,
093000077380001,Srivilliputhur1,9.5,77.63333333,,,,,,,,,9.71,9.96,9.28,10.06,9.8,,9.8,9.35,5.21,3.59,5.36,6.76,3.11,4.56,6.29,6.31,4.86,4.92,6.75,8.4,8.71,9.47,10.86,12.06,7.22,9.61,,9.56,,10.03,9.21,9.87,10.02,10.43,10.66,9.76,9.73,9.76,,9.48,9.26,9.17,10.47,9.76,5.43,4.48,6.06,6.49,5.3,2.76,4.05,3.46,2.66,5.61,7.46,8.36,8.51,9.56,9.76,5.16,11.66,9.86,10.71,10.56,10.1,,,10.06,10.16,9.8,9.96,9.91,5.96,10.06,10.11,,9.86,9.76,10.06,9.66,,9.07,9.66,10.05,9.91,,,9.66,9.81,14.09,,9.97,9.81,9.83,12.76,2.78,9.51,,,,,,10.49,10.15,12.1,,,,1.94,3.12,,
093040078115001,Tamilpadi,9.51111111,78.19722222,,,,,,,,,8.83,,,5.55,5.36,6.99,8.63,5.96,2,6.05,4.51,1.81,2.01,4.22,7.17,4.7,4.78,7.42,8.67,3.7,3.6,6.6,8.3,6.6,5.5,7.9,,,6,7.46,7.98,7.83,7.27,10,8.8,9.85,6.25,6.49,,6.22,1.69,6,7.11,1.15,1.79,3.92,5.95,2.54,1.65,3.12,3.01,2.77,1.3,4.35,6.55,6.25,2.85,6.2,7.71,6.35,3.35,6.85,,4.35,2.77,,,8.15,,9.85,9.85,6.03,6.55,7.49,7.02,,6.05,9.85,8.05,6.43,,7.95,9.85,,9.85,,,9.85,4.75,9.85,,6.6,7.55,8.75,8.75,0.55,4.3,,,,,,7.01,7.55,2.03,,,,3.65,3.25,,
093500077571501,Virudunagar,9.58333333,77.95416667,,,,,,,,,,,,4.24,3.56,,10.43,4.19,1.74,4.46,2.64,2.19,1.39,2.7,3.91,2.67,2.61,3.4,4.79,4.33,4.27,3.69,,4.53,1.64,3.62,,4.89,4.53,4.05,,2.76,2.9,6.5,5.65,3.45,3.04,4.21,,2.5,0.82,3.49,2.87,1.35,1.29,2.77,3.55,1.15,1.08,1.05,0.8,0.64,0.5,0.95,2.05,3.5,2,3.3,2.8,0.01,0.3,4.05,2.15,0.45,1.05,,,1.87,2.14,3.25,,2.95,2.55,3.35,3.23,,,2.45,2.77,0.62,,2.61,2.72,3.15,2.9,,,2.47,1.85,2.98,,1.7,2.15,3.25,3.85,2.15,1.65,,,,,,,3.93,1.23,,,,1.76,1.8,,
092300077333001,Choolapuram,9.38333333,77.55833333,,,,,,,,,,,,,,,,,,,,,,,4.4,,2.2,4.44,,7.58,6.75,7.64,9.3,8.53,,9.69,10.7,7.35,4.7,6.03,8.46,9.25,10.9,,,,,5.95,,,6.08,5.14,7.1,4.2,2.92,3.08,4.24,2.72,2.54,,,,,,6.9,8.1,,,,,,8.8,10.7,8.4,4.6,,,,,,,21.7,10.16,21.7,,,9.25,7.7,8.9,8.33,,5.46,7.4,7.1,7.96,,,9.11,7.3,6.26,7.93,7.3,8.05,,,,,,,,,,2.35,2.45,2.06,,,,,3.59,,
093800077490001,Erichanatham,9.63333333,77.81666667,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,4.3,,,,,,,,,,,,,,,4.9,4.44,2.15,,0.5,0.45,0.67,2.8,0.35,0.49,1.32,3.45,1.78,1.43,2.65,2.89,,1.25,3.05,5.35,7.75,5.11,5.9,5.7,11.4,0.6,1.4,4.7,0.8,,,,,,,,,,9.94,,,,,,,,5.09,,,,,,,,,,,,,,,,,,,,,7.89,7.22,1,,,,1.24,2.16,,
