station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
172745078284502,Boinpally-PZ,17.4625,78.47916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,13.05,11.83,12.7,17.58,17.39,17.8,20.7,23.9,14.95,8.7,11.02,13.87,9.85,8.11,9.77,16.06,7.37,14.47,16.26,19.5,10.37,9.5,10.42,17.2,23.3,11.34,12.25,18.04,14.44,5.96,,12.82,13.95,9.2,16.8,12.5,,15.14,16.3,11.42,18.98,0.3,16.05,29.1,22.62,,23.16,70.1,24.04,22.19,,,,,8.46,,,6.6,4.19,7.8,7.47,9.14,10.51,14.2,16.64,,6.52,,4.14,0.54,2.6,,3.39,2.75,,7.38,1.6,1.42,2.18,2.27,,
172825078304501,Tirumalgiri-PZ,17.47361111,78.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,4.2,,,5.3,6.62,0.35,0.06,2.5,2.7,1.63,0.25,1.11,3.95,1.5,0.53,1.6,2.2,0.09,0.52,1.86,4.5,4.4,0.42,0.7,3.22,,,0.3,2.32,2.32,1.45,2.5,4.55,,1.62,2.37,4.7,2.69,0.15,0.86,2.68,2.36,2.33,3.2,4.68,4.35,2.44,,4.4,0.12,0.32,1.16,5.86,,,0.75,1.57,0.99,1.68,2.02,3.19,2.45,0.03,,,0.13,0.01,0.74,,0.5,0.11,0.55,1.44,0.27,0.15,1.34,1.26,0.7,
172300078311501,Amberpet-PZ,17.38333333,78.52083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,10.46,8.62,7.71,9.17,5.15,3.38,5.2,6.4,4.6,4.82,5.27,5.83,4.74,4.54,5.36,5.37,3.78,4.05,5.02,15.5,5.8,4.67,5.17,5.99,4.37,4.25,5.1,6.1,4.95,4.93,5.9,6.95,,4.94,5.58,7.02,5.77,4.8,5.6,7.8,8.38,8.01,8.48,8.71,8.35,7.18,,,7.73,5.02,6.11,8.3,5.65,3.83,6.13,8.12,8.22,8.34,8.84,9.4,9.02,5.53,6.43,,5.14,1.76,5.13,,4.41,2.92,5.41,7.03,5.6,5.32,6.51,7.02,5.95,
172710078294003,Picket-2-PZ,17.45277778,78.49444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27,8.3,8.44,10.75,14.55,3.15,2.34,5.2,5.5,2.8,3.31,,11.5,4.45,4.22,6.42,8.7,2.23,3.83,4.9,,13.9,4.29,20,4.3,2.2,1.64,4.1,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,1.66,3.4,,,,3.3,,3.25,3.1,,,3.4,
172400078300101,Bagh Lingampally-PZ,17.4,78.50027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,7.82,2.8,2.79,4.2,4.8,4.35,3.96,4.74,5.06,2.51,3.15,3.77,4.5,,3.63,3.4,4.3,3.4,3.46,3.05,2.84,2.35,2.9,3.26,3.85,2.92,3.35,3.6,4.55,,,3.8,4.98,3.85,2.85,4.1,3.95,4.22,4.28,4.23,2.85,2.85,7.86,,5.69,18.29,4.53,5.29,4.2,,4.4,6.06,,5.32,6.15,6.3,6.97,4.6,4.28,4.74,,2.74,2.73,4.55,,6.33,3.63,4.19,6.14,4.68,4.41,,5.96,4.44,
172610078273001,Begumpet-PZ (Balkampet),17.43611111,78.45833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,26.1,3.32,3.5,15.45,69.6,12.9,13.8,25.6,32.75,14.97,11.43,20.07,27.5,3.52,8.66,10.02,33.5,31.7,9.05,14.95,,8.07,9.12,20.8,35.14,20.7,24.55,36.9,37.85,,,25.1,26,28.9,11.2,39.16,15.66,21.34,34.13,43.27,70.1,44.21,22.12,,17.3,,6.62,11.5,15.42,14.45,11.72,34.69,45.12,19.22,13.38,35.65,45.23,43.7,7.88,27.37,,4.28,1.48,4.68,,5.9,,,40.84,7.9,7.7,9.1,,8.14,
172640078261001,Erragadda-PZ,17.44444444,78.43611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,38.3,17.1,16.58,29.56,33.2,25.2,13.85,20.54,25.43,11.64,21.9,25.5,15.1,8.73,19.98,23.45,,5.3,,21.2,,14.43,11.94,19.65,,14.84,24.9,32.5,,,23.9,25.4,11.96,,23.28,27.9,41,25.3,31.73,46.91,70.1,54.58,20.6,,25.4,1.54,22.61,21.6,26.3,29.1,23.67,31.93,54.73,47.99,28.35,30.45,55.09,,22.45,23.57,,15.12,6.76,19.34,,,22.72,24.6,44.84,27.35,30.5,,57.5,,
172310078291001,Koti-PZ,17.38611111,78.48611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.53,17.21,4.7,3.22,5.3,7.14,5.93,4.2,5.56,7.17,4.27,4.47,5.25,6.95,3.2,4.45,4.72,5.8,4.5,4.39,5.82,8.9,2.7,4,4.17,6.43,5.78,5.75,7.28,9.52,,4.6,6.22,8.77,4.52,3.71,8.3,7.4,6.17,7.7,8.43,,,,,,,,5.53,6.75,4.08,3.78,5.46,,,4.83,6.05,6.55,4.85,4.34,5.28,,3.08,3.16,4.15,,4.01,4.1,4.8,5.48,4.17,3.98,,6.25,4.86,
172330078283001,Nampally-PZ,17.39166667,78.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.99,21.99,4.75,1.95,4.63,6.49,3.51,2.81,,12.02,,3.09,,13.15,2.09,3.6,,17.3,16.65,7.8,9,17.33,10.83,4.57,7.8,17.05,13.45,9.1,12.45,19.25,,5.93,9.03,18.95,8.14,3.71,6.55,10,13.3,17.15,20.35,16.66,16.66,13.25,,,6.76,,,7.23,2.23,2.58,3.45,6.66,5.56,5.9,13.97,14.65,11.96,10.9,14.4,,2.17,1.67,3.24,,5.86,2.16,3.76,,5.75,3.63,5.34,7.36,5.56,
172505078314501,Osmania University-PZ 1,17.41805556,78.52916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.97,11.2,2.75,2.48,5.67,7.73,4.55,7.21,7.25,10.67,,5.22,7.6,8.65,,2.88,,10.05,,,,,,4.28,,,,,,,,5.55,7.68,12.38,6.42,3.92,7.2,11.5,,,18.14,18.91,48.45,10.75,,15.4,5.79,3.67,5.57,9.63,5.1,2.61,4.8,8.31,5.42,9.3,11.23,12.02,11.9,4.05,6.34,,4.68,,4.08,,3.11,1.81,5.16,9.18,5.32,5.2,8.48,10.41,5.62,
