station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
183245079102502,Aruna konda-new,18.54583333,79.17361111,,,,,,,,,3.03,1.36,0.87,2.43,2.86,4.01,3.63,2.03,2.67,4.97,1.19,2.68,3.38,3.98,2.48,2.55,3.6,3.23,0.13,2.14,3.01,3.88,0.28,2.33,1.81,3.73,0.88,2,3.15,4.33,3.4,3.6,4.77,4.4,6.76,4.13,5.23,6.74,0.3,0.93,2.91,2.93,1.49,1.81,3.07,2.98,1.98,2.53,2.62,3.86,1.63,2.4,2.68,3.43,1.73,2.53,4.51,4.73,,1.25,2.51,3.15,1.68,2.03,2.74,3.69,,2.25,4.71,3.32,2.18,1.38,2.53,2.31,2.76,3.09,3.19,4.69,5.53,6.9,,,3.54,2.4,3.16,3.33,1.91,2.18,2.43,3.17,0.18,1.88,2.48,3.93,1.08,0.98,2.03,,,1.75,2.95,,2.38,2.75,2.65,2.46,1.94,2.34,3.58,3.65,2.71,
184545079331001,Chillapalli,18.7625,79.55277778,,,,,,,,,3.96,6.08,2.76,3.96,5.26,,7.09,6.66,6.48,,5.94,3.8,4.2,,5.76,5.2,7.7,9.86,5.31,5.39,5.13,8.96,,9.8,9.51,9.46,7.16,8.66,8.22,9.56,7.06,6.51,6.86,7.7,6.46,6.26,9.56,9.56,4.86,4.69,8.31,9,4.31,5.56,6.66,8.36,4.01,4.51,8.66,7.96,,5.76,7.34,7.76,8.23,10.4,10.4,,6.77,3.21,4.61,9.56,7.91,,,9.56,,5.66,7.26,9.56,1.68,2.02,4.31,7.18,5.51,5.86,6.97,9.56,6.6,7.72,,9.56,4.73,3.76,7.04,9.56,7.39,6.36,7.21,6.76,3.16,6.26,6.61,9.56,6.36,3.36,5.46,,,5.01,,,,,,,,,,,,
185635079054501,Dharmapuri-new,18.94305556,79.09583333,,,,,,,,,5.25,7.74,5.91,6.16,6.61,9.21,7.86,7.11,7.01,9.53,5.4,5.02,6.42,8.45,7.12,7,7.86,9.07,5.3,5.2,5.89,8.69,5.31,5.66,6.39,8.94,6.93,6.84,7.15,9.89,5.71,5.68,6.2,8.51,6.71,7.71,7.81,10.51,5.51,5.39,6.87,8.42,5.16,4.38,5.16,7.61,5.71,5.17,5.94,8.16,6.21,5.98,6.76,9.79,5.38,6.46,7.04,13.09,3.99,3.89,4.99,8.51,6.67,5.19,7.67,12.48,,5.82,7.12,,5.19,4.66,7.06,11.11,8.32,9.08,8.7,11.33,8.21,10.5,,10.01,7.54,6.68,8.04,8.71,9.26,8.71,6.81,9.71,4.26,5.91,7.64,10.06,4.91,3.56,5.96,,,,10.21,,4.63,3.84,6.66,7.41,2.62,,6.91,,,
183734079340001,Kalwacherla,18.62611111,79.56666667,,,,,,,,,3.29,4.55,1.49,1.67,2.77,,4.2,3,3.19,4.86,2.63,3.02,,4.64,3.45,2.4,3.92,4.48,2.44,2.28,3.28,5,3.74,3.12,3.53,5.38,3.63,2.81,3.41,5.86,3.51,2.07,3.66,5.3,,5.86,5.86,5.88,4.9,3.47,3.33,2.6,2.98,3.11,3.93,5.4,4.3,4.13,4.78,6.06,3.3,4.82,5.1,6.13,5.8,4.79,5.5,,3.53,3.07,3.96,5.25,5.18,2.8,4.21,6.22,,3.81,4.4,8.46,3.08,2.62,3.8,4.79,5.84,3.65,4.56,5.74,5.2,5.74,,6.85,4.72,3.67,4.27,4.82,4.27,4.2,4.42,5.9,3.35,3.64,4.08,5.55,3.05,2.85,3.7,,,2.98,4.12,,3.75,3.22,4.05,4.26,1.94,3.05,4.84,5.8,3.72,
185100079003501,Kolleda,18.85,79.00972222,,,,,,,,,1.39,3.27,1.44,1.52,1.41,3.54,1.47,1.22,2.68,4.71,1.67,2.84,2.42,5.16,3.36,3.46,4.78,3.77,1.83,1.08,0.94,,0.79,1.44,1.62,3.79,0.89,1.48,0.92,5.03,1.45,1.17,1.7,6.87,4.67,4.67,6.17,7.07,0.57,0.81,0.95,2.94,1.35,0.78,1.27,3.96,4.82,1.5,1.6,4.07,1.37,3.07,1.47,3.9,2.07,4.02,5.67,,0.67,0.89,0.86,2.94,0.94,2.17,3.49,5.54,,,3.27,6.91,1.45,0.76,1.54,4.4,6.19,7.85,7.85,7.85,7.85,7.85,,7.85,2.33,1.52,1.65,2.82,2.86,2.92,4.32,5.77,0.87,3.02,5.07,7.85,1.97,0.93,1.47,,,0.87,1.92,,1.25,1.92,2.1,1.33,1,1.91,3.08,4.92,0.8,
184840078470002,Mohanraopet1,18.81111111,78.78333333,,,,,,,,,2.8,4.44,3.29,3.13,3.34,,3.77,2.84,3.69,6.22,2.79,3.61,4.09,4.62,2.78,3.56,3.87,4.79,2.66,3.01,3.09,4.45,2.79,4,3.95,5.22,3.11,3.16,8.31,6.27,3.9,3.42,3.17,5.27,5.87,6.03,6.77,6.77,2.17,2.27,3.37,3.98,3.09,3.09,3.63,3.67,3.07,3.59,3.57,4.57,2.97,3.57,3.45,4.92,3.7,4.42,5.67,6.43,2.05,2.05,2.83,3.81,2.78,2.77,3.04,4.18,,5.06,4.01,4.3,1.89,1.62,3.07,2.87,2.97,3.01,3.03,5.52,5.82,6.75,,8.27,5.29,2.32,2.67,3.12,3.37,2.92,3.22,2.89,1.22,2.07,2.82,3.27,2.12,2.02,2.27,,,2.02,2.69,,1.42,1.85,2.25,1.99,1.44,2.11,2.91,3.48,1.85,
183700079230001,Peddapalli,18.61666667,79.38333333,,,,,,,,,7.7,10.72,7.22,7.73,8.48,11.42,11.63,10.62,10.55,,7.12,6.4,6.12,8.03,5.97,6,6.62,8.04,5.26,5.3,5.9,7.97,6.24,5.92,6.37,8.62,7,8.6,8.9,11.42,9.67,9.1,10.18,11.12,10.32,13.32,13.32,13.32,7.92,6.86,8.76,10.99,6.67,6.34,8.44,9.97,7.52,8,10.64,14,7.12,8.22,9.72,14,14,14,14,,,4.3,4.96,5.99,5.78,3.82,5.6,,,4.49,5.64,7.85,7.18,2.63,4.43,5.92,5.83,6.05,6.81,13.32,2.7,9.14,,13.32,13.32,7.76,7.66,7.74,8.04,7.77,8.22,13.32,7.22,6.22,6.85,13.32,8.22,3.79,4.85,,,3.42,4.63,,,,,,,,,,,
183930079451501,Venkatapur,18.65833333,79.75416667,,,,,,,,,4.2,6.85,2.16,3.92,6,7.23,8.24,5.08,6.55,7.55,3.07,4.2,6.8,9.52,3.9,4.2,6.3,8,1.53,3.74,5.32,8.52,,5.38,6.16,7.75,1.65,4.38,6.13,7.82,5.28,3.82,4.91,7.62,7.15,9.2,9.3,10.32,3.01,4.08,6.11,8.13,2.7,3.51,6.79,7.74,4.7,4.1,6.79,8.7,2.17,3.88,5.37,9.26,7.46,8.05,7.9,9.86,4.79,3.18,3.16,5.46,5.14,4.6,5.52,7.93,,3.39,4.13,9.52,1.72,1.25,3.44,6.3,3.41,4.12,3.62,6.72,2.3,4.15,,,2.75,2.22,3.5,5.85,3.44,2.27,3.36,5.95,0.74,2.6,3.62,5.24,0.83,1.15,2.75,,,2.12,3.57,,3.65,3.31,4.03,5.3,1.11,2.27,4.53,6.45,2.67,
181200079100001,Chigurumamidi-PZ,18.2,79.16666667,,,,,,,,,,,,,,,,,,,,,,,10.2,,,16.25,8.27,4.77,,14.99,,,,16.77,,,,,9.25,10.1,13.87,17.14,15.26,18.5,18.4,19.68,10.25,9.15,10.9,,11.26,4.08,5.54,12.52,8.85,4.98,7.63,12.49,5.64,6.81,9.49,15.48,11.2,10.47,13.86,17.67,7.44,4.49,5.92,12.73,11.3,13.9,13.36,18.61,,7.12,10.8,17.23,5.64,4.98,5.56,12.95,14.74,13.81,15.24,18.62,17.61,14.45,,,16.33,7.45,11.82,17.46,8.8,5.76,8.5,16.32,9.1,12.1,14.5,18.6,7.7,3.62,5.16,,,3.25,5.62,,4.51,3.31,5.09,12.78,6.12,3.29,7.06,13.28,6.5,
184800079550001,Kaleswaram-PZ 1,18.8,79.91666667,,,,,,,,,,,,,,,,,,,,,,,9.7,,,10.52,7.72,,10.35,10.55,,10.85,12.18,13.12,11.7,11.99,11.3,14.7,9.95,7.36,11.31,11.8,,12.6,,,,,,11.97,,8.74,9.93,11.26,10.2,10.45,11.35,12.03,9.21,11,11.34,11.99,11.72,12.12,12.81,13.04,10.16,,15.34,16.55,10.85,14.1,13.92,12.48,,4.52,11.2,12.04,5.04,7.55,8.75,10.9,8.87,11.23,10.43,12.95,10.75,9,,14.88,10.6,6.13,9.75,14.35,14.05,15.65,14.96,16.15,10.1,16.5,13.73,15.15,8.58,7.4,8.5,,,,,,,,,,,,,,,
183800079570001,Kataram -PZ 2,18.63333333,79.95,,,,,,,,,,,,,,,,,,,,,,,5.15,,,6.95,5.35,5.94,6.44,7.5,,5.55,6.22,7.18,5.92,5.87,6.58,7.35,5.7,5.4,5.82,6.54,6.5,7.55,7.7,,,5.67,,5.6,6.13,5.72,6.7,8,5.9,5.89,6.73,8.93,5.63,7.14,7.19,7.76,7.24,9.25,11.21,11.23,8.42,8.82,9.12,8.68,11.42,10.9,10.13,8.71,,7.3,7.05,8.95,5.24,5.33,8.32,7.42,6.4,7.84,,8.09,6.68,7.2,,,9.6,9.13,2.18,9.93,11.18,7.76,10.28,10.22,7.3,8.7,10.15,9.95,6.35,0.45,7.12,,,6.55,6.32,,6.1,5.75,1.13,7.77,4.81,7.98,,10.16,0.1,
183900079400002,Manthani -PZ 2,18.65,79.66666667,,,,,,,,,,,,,,,,,,,,,,,3.71,,,7.1,3.55,4.86,5.68,7.93,,,,7.89,,,,,5.9,4.6,6.9,7.59,7.82,,10.03,11,7.6,6.16,7.03,8.5,6.92,6.41,7.14,9.44,7.62,7.01,7.12,8.06,6.55,7.91,7.89,8.75,9.35,9.55,9.85,11.48,,6.51,6.73,7.51,7.35,7.3,7.88,9.21,,9.45,9.6,10.33,8.11,7.3,6.73,7.55,7.71,7.58,7.61,8.78,8.6,9.14,,14.49,10.61,11.32,9.61,,15.55,17.4,17.4,28.54,16.05,17.1,17.5,25.7,24.97,17.23,14.58,,,10.1,,,15.13,14.53,11.78,14.53,10.83,10.49,11.23,15.8,12.67,
183000079370001,Muktharam-PZ,18.5,79.61666667,,,,,,,,,,,,,,,,,,,,,,,1.4,,,7.35,0.55,,5.25,8.27,,5.54,5.5,8.85,2.14,5.9,7.03,9.25,5.65,6.32,4.84,8.18,8.02,9.2,8.5,10.15,5.5,3.17,4.88,7.4,2.04,1.8,2.75,7.53,3.56,2,5.04,7.8,3.95,4.31,6.09,8.63,4.9,5.02,6.53,9.24,4.51,0.59,2.2,5.43,1.22,4.9,5.33,9.13,,1.68,4.05,7.26,3.47,0.15,2.09,6.43,3.72,4.54,10.46,8.23,4.15,5.66,,10,6.52,4.79,7.89,,7.49,5.22,8.2,10.42,0.05,4.6,7.05,9.85,1.5,0.5,3.82,,,1.95,5.76,,4.38,4.33,7.53,7.57,3.1,3.37,6.76,8.99,1.2,
184600079290001,Ramagundam - PZ,18.76666667,79.48333333,,,,,,,,,,,,,,,,,,,,,,,1.84,,,4.76,3.09,2.25,,6.12,,,,5.62,,,,,2.6,2.36,3.44,4.77,7.2,4.63,7.6,5.77,2.6,2.2,4.27,5.06,2.05,3.3,3.24,5.29,4.64,4.41,4.07,5.84,4.35,3.8,4.96,7.09,4.05,5.93,5.81,7.19,,1.94,4.07,6.74,5.75,5.9,6.32,7.32,,4.12,3.37,6.04,1.32,1.63,4.2,5.6,3.04,2.98,4.83,4.37,2.83,3.77,,5.94,3.42,2.8,3.88,5.15,4.55,3.07,2.65,5.85,1.85,8.3,9.05,11.75,0.85,2.65,4.35,,,2.65,3.76,,2.78,2.04,2.72,17.34,0.59,2.48,4.91,5.4,2.03,
