station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
172005078050501,Antaram (c),17.33472222,78.08472222,,,,,,,,,6.99,11.44,6.95,5.8,8.21,11.59,12.4,10.68,9,12.67,5.78,5.86,3.9,11.55,9.37,9.24,9.8,12.5,,6.73,8.08,12.52,9.48,5.62,7.58,11.23,9.7,10.5,10.07,12.5,,5.8,7.7,9.39,9.4,7.95,10.2,13.17,6.15,3.9,8.1,9.2,7.1,7.55,10.8,11.6,6.1,5.76,8.6,8,4.43,5.95,7.45,9.1,4.55,5.54,5.58,11.19,3.57,5.18,7.2,10.2,8.44,10.8,11.4,13.45,,8.47,10.7,13.2,5.55,3.65,5.6,9.45,4.95,6.75,8.6,10.3,8.65,8.97,,11.58,6.39,5.09,6.86,9.66,7.3,5.46,7.05,8.2,6.68,7.34,7.95,9.32,6.67,5.23,6.94,,4.2,5.02,6.02,,4.91,5.97,7.02,8,4.47,5.5,7.69,9.91,5.83,
171805078431501,Bata singaram,17.30138889,78.72083333,,,,,,,,,0.59,2.52,1.49,1.55,0.57,2.11,2.49,0.48,0.95,2.59,0.82,1.9,1.98,2.9,2.4,2.75,2.9,6.2,2.26,1.85,1.95,6.95,6.21,0.95,1.05,2.43,6.65,6.55,3.07,8.55,,8.55,8.55,5.65,4.3,4.4,4,7.85,1.19,0.58,2.55,4.37,1.65,5.62,1.55,3.75,1.95,3.05,3.2,4.75,1.31,2.88,4.62,5.39,1.86,0.88,3.17,4.23,4.75,4.51,5.75,5.7,5.55,4.35,3.95,4.97,,0.87,5.28,4.43,3.36,4.09,1.75,0.98,1.1,1.15,8.22,1.5,1.05,1.35,,3.95,2.3,0.15,0.77,2,0.8,0.61,0.12,1.31,0.91,1.57,1.15,2.08,1.09,0.41,0.74,,0.45,0.6,0.55,,0.62,0.4,0.67,0.95,0.55,0.75,2.6,4.33,1.75,
173100078304501,Bolaram bazar,17.51666667,78.5125,,,,,,,,,2.73,4.6,1.08,1.71,2.27,4.05,4.17,3.8,4,6.31,3.8,2.08,3.74,5.98,3.52,2.95,6,6.95,3.81,2.03,4.23,6.26,5.94,4.46,5.01,6.54,5.14,5.4,5.6,8.36,4.7,4.2,7.9,6.5,5.57,5.59,7.3,7.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56,,5.22,,9.29,9.1,10.13,10.1,13.4,11,13.4,,13.4,13.4,,6.83,,4.2,2.63,3.44,,5.85,6.17,6.38,7.68,6.47,1.8,7.54,,3.2,1.3,2.16,,3.2,2.66,3.56,5.26,1.64,1.51,2.97,4.33,,
172745078001501,Chimaldarri,17.4625,78.00416667,,,,,,,,,5.65,11.48,4.81,6.65,6.78,11.92,11.42,9.02,9.55,,7.83,7.26,8.86,12.5,10.34,9.94,10.8,,5.37,8.88,9.75,12.94,12.94,7.93,9.55,12.94,11.05,11.05,11.35,11.05,,9.85,11.05,11.05,9.2,8.4,10.8,11.05,11.05,5.35,6.65,6.95,8.13,7.38,7.04,11.05,7.71,6.17,6.95,7.65,3.48,5.06,6.63,12,12,8.2,8.7,,,4.24,6.05,,,,,11.05,,8.94,9.55,11.05,11.05,3.87,5.45,9.47,7.05,8.05,7.75,11.05,10.45,10.55,,,3.3,1.33,8.15,15.29,11.2,2.05,3.31,11.43,14.04,16.66,10.26,19.05,15.65,10.23,11.68,,8.75,6.04,5.55,,9.25,3.87,6.35,10.08,3.55,4.05,7.06,,6.78,
171930078363001,Hayatnagar,17.325,78.60833333,,,,,,,,,16.93,,,,,,,,,,,,,,,,,16.88,,,,,,,,,,,,,,,,,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,
172008077311701,Inoli,17.33555556,77.52138889,,,,,,,,,5.33,6.75,0.89,2.45,5.2,7.49,5.97,5.5,8.35,11.6,1.1,2.8,8.6,6.15,3.91,5.35,10.1,10.57,1.33,4.38,,9.57,3.39,2.85,8.27,4.77,3.25,2.92,5.95,10.55,,3.85,8.75,12.85,3.75,3.35,5.98,5.99,0.35,1.47,6.15,7.47,2.14,4.16,7.73,7.53,0.45,3,7.73,8.87,1.99,3.8,7.05,8.1,1.35,3.46,6.3,7.38,0.7,1.49,4.45,,0.65,4.9,7,6.85,,3.16,7.27,8.6,2.22,3.24,6.65,7.53,2,4.78,7.15,5.73,5.83,7.93,,7.97,0.63,4.85,7.32,7.62,1.8,4.3,7.46,6.82,6.51,7.3,7.12,8.45,4.98,4.01,6.79,,1.07,1.91,6.45,,3.76,1.76,6.45,6.97,1.15,2.27,7.54,,3.52,
172850078184501,Lingampally,17.48055556,78.3125,,,,,,,,,5.75,9.1,4.46,5.18,6.03,7.37,6.87,6.56,9.1,9.8,4.65,5.95,2.3,11.72,7.6,8.3,6.8,10.2,1.92,6.33,7.6,9.68,8.44,6.26,5.3,12.2,2.5,2.2,11.5,8.5,,4,3.9,9.68,8.7,9.6,12.2,12.2,7.09,1.39,7.33,12.2,8.55,7.51,8.17,12.2,8.04,6.55,7.5,9.2,3.33,5,6.65,12.18,11.1,5.31,6.3,10.93,2.5,2.92,4.37,8.8,7.07,5.9,6.8,12.6,,5.77,5.25,13.2,5.2,4.17,5.9,11.75,13.2,13.2,13.2,13.2,13.2,13.2,,13.2,7.62,4.61,6.62,13.2,6.6,4.9,6.26,,6.45,9.18,13.2,13.2,13.2,10.2,13.2,,13.2,4.22,6,,5.42,5.25,8.2,,7.32,5.95,8.02,0,9.35,
173230077470001,Marpalli,17.54166667,77.78333333,,,,,,,,,7.23,12.74,4.06,,6.92,12.47,11.77,8.68,9.8,,6.36,,8.66,9.76,4.95,7.07,10.2,13.07,4.15,6.63,8.38,13.66,10.54,7.43,10.1,15,11.6,10.4,11,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,4.01,
171940078240001,Rajendranagar,17.32777778,78.4,,,,,,,,,7,12.03,9.41,4.51,8.46,10.16,9.36,9.53,10.41,11.95,8.49,3.7,6.63,11.92,8.83,10.36,10.2,11.93,2.25,9.04,7.91,12.73,9.38,7.29,9.25,11.48,9.81,7.11,11.26,13.31,,3.31,7.91,10.46,,10.16,13.41,14.06,7.58,3.21,9.51,10.11,4.81,4.81,9.61,10.91,,7.81,9.74,6.81,2.93,5.31,6.61,15.81,8.51,,2.41,10.11,,,4.16,10.57,7.31,2.34,7.41,9.56,,2.4,5.03,8.51,0.58,6.31,5.81,5.42,6.23,8.03,8.56,6.94,6.46,7.75,,11.09,5.53,,0.81,2.32,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.45,
172700078083001,Shankarapally,17.45,78.14166667,,,,,,,,,5.81,12.47,2.05,7.2,9.1,11.99,8.98,8.05,11.9,14.8,3.18,3.21,10.11,12.63,10.25,12.6,11,14.2,2.14,7.06,10.82,13.94,10.9,6.04,10.72,14.3,8.2,6.7,10.3,13.7,,4.8,8.8,12.8,5.8,2.35,6.86,12.35,0.75,0.76,5.4,8.9,4.68,4.4,8.6,12.97,5.66,4.46,9.52,9.82,5.82,2.68,6.24,9.4,6.6,3.64,6.55,12.28,0.4,1.77,4.05,10.5,,6.4,10.35,16.8,,2.74,6.75,13.8,2.98,1.33,7.4,10.5,6.65,11,11.3,7.84,6.4,9.72,,11.95,5.69,6.59,7.77,16.8,8.57,2.8,8.66,,13.77,14.18,16.8,16.8,9.4,5.54,8.53,,3.98,0.99,6.1,,,3.42,9.07,14.4,2.15,2,3.12,8.39,2.61,
