station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
172900079471501,Beerisettigudem,17.48333333,79.7875,,,,,,,,,6.46,11.4,8.62,6.35,7.06,8.4,10.48,9.6,9.64,11.38,7.78,5.77,7.32,10.1,8.22,9.52,10.04,11.48,5.15,7.1,9.1,10.4,8,6.3,10,13.6,12.62,12.85,13.25,13.6,,4.55,5.5,7.4,7,7.8,8.8,10.22,8.06,4.7,6.28,7.52,8.04,5.62,7.04,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181000080123001,Govindaraopet,18.16666667,80.20833333,,,,,,,,,5.66,8.5,3.1,4.5,6.4,6.85,4.38,4.17,5.31,8.78,4.88,4.93,8.2,7.12,4.33,4.3,6.83,5.83,2.65,3.35,6.25,8.5,3.95,5.35,5.95,6.36,4.57,3.47,5.95,8.9,,4.61,6.67,8.35,5.35,3.6,7.75,11.05,3.68,2.46,1.88,8.91,,4.05,7.05,6.25,3.65,3.9,6.14,8.07,1.69,4.27,5.68,6.84,5.49,5.83,9.23,12.4,6.51,5.17,7.22,9.36,4.1,3.75,7.74,11.41,,3.43,6.7,9.43,1.44,2.35,5.99,7.97,4.76,5.14,7.05,9.15,3.95,5.1,,10.56,7.27,5.25,8.75,7.23,2.94,3.9,6.55,9.62,1.1,4.73,6.65,8,2.25,1.65,7.35,,,2.65,7.85,,4,3.53,6.36,6.93,1.89,3.37,6.29,5.6,1.7,
174000079490001,Ingurti,17.66666667,79.81666667,,,,,,,,,4.85,6.16,0.96,2.28,5.39,7.93,8.11,5.47,5.76,,2.51,2.04,4.08,6.8,4.45,6.62,3.4,8.76,1.95,3.03,6.03,4.89,4.23,4.63,4.93,8.82,4.98,5.38,5.97,7.68,,3.27,3.14,5.73,3.43,3.73,4.53,5.78,4.06,3.86,4.51,4.72,2.97,2.43,4.17,5.48,3.84,2.68,3.55,4.33,0.88,2.76,3.06,5.49,7.53,6.23,8.18,8.21,6.47,4.04,4.55,6.44,5.59,5.93,2.04,8.1,,4.41,5.28,7.05,3.2,1.91,3.75,6.08,1.18,4.35,6.63,7.96,4.63,4.23,,7.94,5.92,3.21,4.58,6.93,4.15,3.88,5.08,5.55,3.88,5.34,5.73,7.63,5.23,1.98,3.73,,,1.41,2.97,,2.71,2.89,3.9,5.59,1.43,,4.61,5.4,2.01,
181220079590001,Jangalapalli,18.20555556,79.98333333,,,,,,,,,3.55,6.25,1.75,1.47,3.84,5.85,3.58,2.27,3.3,6.39,3.72,2.87,4.6,6.46,3.36,3.82,4.42,6.19,1.95,1.75,3.95,5.92,3.15,2.05,4.18,6.58,6.5,3.35,5.69,6.75,,1.98,3.32,5.64,4.43,3.93,4.55,6.75,2.22,0.79,2.98,4.91,2.97,1.28,3.19,6.75,3.79,1.45,3.2,6.02,0.6,2.11,3.01,6.5,4.6,4.66,6.05,6.55,3.85,1.23,2.96,4.66,3.66,4.15,4.38,6.75,,0.82,2.75,7.01,0.57,0.63,2.46,4.15,3.43,5.28,4.06,8.45,3,3.58,,7.45,2.5,0.95,3.6,7.54,0.22,2.25,4.05,7.63,0.15,4.25,4.25,8.15,3.3,0.85,2.95,,,0.65,2.4,,2.23,1.7,4.07,5.05,1.13,0.65,2.75,5.37,1.88,
181503080294501,Kamalapuram-new,18.25083333,80.49583333,,,,,,,,,6.05,7.34,3.8,5.4,7,4.55,6.81,6.72,7.35,,6.72,5.3,7.52,9.6,5.2,5.9,8.85,7.5,2.23,5.35,3.95,7.95,4.15,5.25,7.3,8.8,6.5,7.43,7.9,9.5,,4.88,5.7,8.25,5.55,,8.15,9.51,5.67,5.2,5.9,8.81,4.85,5,6.7,8.62,5.65,4.68,7.05,7.95,4.17,6.65,6.71,9.45,6.6,7.58,7.72,6.39,3.7,4.3,7.51,8.17,5.79,7.55,8.77,9.55,,3.8,6.65,8.54,0.73,2.9,6.73,8.35,5.95,6.31,7.91,9.55,5.78,6.46,,9.55,4.93,4.95,7.82,9.55,7.1,6.9,8.45,9.55,5.2,8.25,9.55,9.55,7.12,6.05,7.4,,,5.98,7.42,,8.41,7.26,7.59,,1.21,5.05,8.14,0,6.53,
175828079303402,Kazipet-alt,17.97444444,79.50944444,,,,,,,,,1.88,5.16,0.63,1.52,3.46,5.6,4.95,3.55,4.35,6.13,3.73,2.34,4.5,10.84,3.4,2.12,3.88,4.72,1.25,1.6,2.1,3.3,1.9,0.7,1.9,4.56,2.45,2.1,1.1,4.73,,1.18,1.9,5.15,4.25,6.55,7.05,9.32,4.84,1.43,2.21,5.68,2.82,0.85,2.6,5.45,1.11,0.7,1.39,2.85,0.72,1.61,2.42,5.42,2.15,1.55,3.65,6.77,0.3,0.71,1.7,5.42,,4.35,3.48,6.65,,1.44,4.33,6.87,0.49,0.4,2.08,3.75,3.49,4.51,6.63,4.22,4.65,3.52,,2.97,1.27,0.72,0.83,2.94,0.9,1,1.85,3.45,0.3,,1.65,4.05,0.85,0.37,1.55,,,0.75,1.21,,0.8,0.86,0.99,2.4,0.25,1.85,3.41,3.83,1.12,
174200079550001,Kesamudram,17.7,79.91666667,,,,,,,,,2.59,3.35,1.07,1.97,2.62,,4.98,2.5,2.65,,1.53,1.9,3.1,5.19,3.39,3,4.72,3.49,1.68,3.85,5.85,6.5,3.95,5.45,5.05,5.01,3.15,3.72,4.75,6.35,,1.74,2.27,4.68,2.65,3.7,4.75,6.23,1.08,1.2,3.22,4.38,0.88,1.53,3.48,4.5,1.25,1.2,2.84,3.06,1.15,1.68,2.4,4.43,4.08,4.25,4.64,6.16,1.49,1.25,1.93,4.46,,2.35,3.72,5.36,,1.48,2.51,4.31,2.01,1.25,2.2,3.6,1.88,3.44,4.17,5.47,,3.15,,5.96,4.04,1.7,2.69,4.72,1.78,1.33,1.86,5.21,0.95,2.38,2.95,4.7,2.03,1.17,1.85,,,1.25,1.9,,1.17,1.26,1.81,2.11,0.47,,2.69,2.72,1.3,
173613080003201,Mahabubabad,17.60361111,80.00888889,,,,,,,,,2.25,4.06,0.88,2.1,3.1,4.5,5.08,3.75,4.47,6.08,2.5,2.5,4.58,6.49,4.67,4.81,5.77,6.16,1.83,2.6,4,6.06,3.5,4.6,4.7,6.53,5.72,5.67,6.8,7.3,,2.43,3.46,5.5,2.8,3.25,5.1,6.36,4.23,0.78,2.48,5.61,2.97,2.67,3.48,5.9,4.56,2.48,3.98,5.95,0.65,2.83,3.57,6.71,6.8,6.33,8.3,8.3,3.66,1.01,,4.72,1.73,3.8,1.42,6.76,,1.06,3.05,5.04,2.07,1.72,2.78,4.35,3.15,3.98,5,5.99,3.38,2.85,,6,3.66,1.52,3.34,5.31,1.72,1.7,3.5,5.98,0.35,2.58,3.36,5.45,3.3,0.8,2.2,,,0.85,1.45,,0.7,1.22,1.61,3.3,0.5,,3.32,3.8,0.73,
181053079565501,Mulug,18.18138889,79.94861111,,,,,,,,,6.22,9.37,1.53,3.72,6.32,9.97,6.09,7.31,7.33,10.58,3.51,4.43,8.02,11.9,4,4.54,6.82,10.71,2.11,,7.07,10.01,4.87,3.77,5.47,12.2,7.65,7.62,9.42,12.05,,3.48,5.45,9.32,4.47,,8.74,11.01,2.62,2.23,4.79,6.9,6.44,4.69,6.37,6.97,5.32,2.75,6.97,9.27,0.37,4.04,4.67,8.62,5.07,9.77,7.97,,0.47,1.42,2.39,6.67,3.22,3.27,4.75,10.86,,1.28,1.42,13.51,0.01,0.06,0.97,9.87,1.72,2.15,8.21,14.77,0.52,6.87,,14.77,1.48,0.92,5.63,14.77,4.22,4.02,5.17,10.87,0.08,3.62,5.62,9.27,1.47,0.37,2.67,,,2.77,5.88,,3.07,3.91,6.81,2.19,1.57,2.67,4.57,6.04,0.6,
173830079364501,Mylaram,17.64166667,79.6125,,,,,,,,,7.96,7.95,4.04,5.54,7.36,7.19,9.48,5.84,7.8,10.05,6.2,4.7,7.7,7.74,5.88,7.6,9.35,,4.7,5.02,7.52,3.88,7.82,6.02,7.82,11.56,10.96,8.14,10.97,11.56,,4.53,6.57,9.17,9.72,7.82,11.56,11.56,9.71,3.98,6.84,11.56,9.52,4.05,7.07,7.92,4.7,3.47,4.96,4.12,1.56,1.87,4.77,7.24,10.22,5.79,6.92,,3.54,2.09,5.04,4.69,,1.92,,6.54,,3.24,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
