station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
251637080332401,Atarra,25.27694444,80.55666667,,,,,,,,,3.45,6.4,1.55,3.16,3.18,5.1,2.22,2.5,2.6,4.55,1.2,2.37,3.7,5.22,1,2.86,3.4,4.8,,2.1,,5.6,1.4,2.34,3.7,4.87,2.4,2.24,3.2,5,1.7,2.72,3.35,4.97,1.14,2.85,3.65,5.2,1.4,1.5,3.75,5.3,1.39,3.3,4.4,5.75,2.7,,5.1,6.6,2,3.48,3.5,5.5,2.9,3.03,3.5,5.75,2.75,2.7,3.5,5.71,1.39,2.55,3.6,5.75,,2.7,1.55,6.7,1.55,3.2,3.6,4.6,1.5,,,5.8,2.43,3.92,,7,2.08,3.7,4.2,6.35,2.7,3.25,4.54,7.28,3.55,4.1,5.01,6.95,3.79,4.83,3.85,,1.31,2.91,4.24,,1.8,2.8,,5.95,2.17,2.78,3.5,,,
253248080423601,Baberu1,25.54666667,80.71,,,,,,,,,3.25,6.15,2.51,1.95,2.45,4.86,2.5,2.26,1.85,2.75,2.25,2.05,2.4,4.82,1.98,2.15,2.33,3.95,,2.89,,5.65,1.95,2.65,4.5,4.05,3.22,1.85,3.1,6.65,3.15,1.45,1.65,4.61,2.05,1.95,2.58,3.95,3.11,3.46,3.19,5.29,4.03,5.62,3.77,5.58,5.14,,5.11,7.1,6.98,6.37,4.85,6.75,5.05,5.5,5.93,7.55,6.85,5.25,5.2,6.65,4.15,2.75,3.52,6.6,,3.65,3.35,6.75,3.24,2.84,1.85,3.37,3.64,,,4.45,3.55,4.45,,,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251430080390001,Badausa,25.24166667,80.65,,,,,,,,,12.17,14.6,8.5,9.7,11.2,9.9,9.41,9.8,9.6,12.1,8.7,8.9,10,14.1,7.94,8.73,10.04,11.9,,8.57,,10.3,7.48,9.26,11.15,12.37,10.5,8.5,9.8,11.6,8.5,7.2,9.5,12.23,9.36,11.7,11.9,13.2,9.83,10.4,11.35,13.18,10.83,11.83,12.4,13.3,11.4,,12.85,16.75,7.2,12.28,10.3,12.6,9.35,10.4,,12,10.25,11.15,11.55,12.2,8,8.8,9.55,13.25,,7.9,10.88,8.6,4.65,6.31,6.88,8.81,7.89,,,9.8,8.5,9.83,,,4.58,3.8,3.78,5.93,3.64,4.5,,7.29,2.87,3.1,3.98,6.53,2.93,4,4.84,,2.54,4.88,4.71,,3.1,4.92,3.45,6.81,4.82,4.18,4.99,,,
250806080233601,Badehan,25.135,80.39333333,,,,,,,,,7.3,14.3,3.83,6.97,9.89,12.1,6.21,6.51,6.7,12.4,4.5,4.6,10.87,12.3,4.61,6.18,9.05,11,,5.27,,5.74,1.55,2.35,4.7,5.74,7.6,4.3,9.6,10.5,5.4,4.4,4.55,10.11,15.3,4.85,8.37,5.77,3.07,1.96,2.66,3.66,2.88,7.87,3.48,3.72,3.08,,5.48,6.09,5.08,8.17,,12.3,11.71,7.4,8.5,11.5,10.2,10.56,10,11.3,3.79,,9.9,12.45,,,7.77,13.2,,6.68,9.72,10.85,4.87,,,13.2,11.6,12.2,,13.4,5.05,8.36,8.87,11.94,4.85,5.76,10.8,12.95,7.08,6.3,11.82,12.88,5.55,6.03,10.74,,9.33,9.52,11.32,,5.2,4.97,10.24,13.48,4.66,6.87,9.66,,,
252900080191501,Banda,25.48333333,80.32083333,,,,,,,,,6.6,8.3,5.52,6.02,6.28,6.92,4.18,4.52,4.6,5.87,3.07,3.77,4.4,5.83,2.32,4.33,4.57,5.96,,4.9,,6.4,5.26,6.3,6.2,8.37,10.9,7.7,,9.1,10.6,7.5,7.75,9,8.14,9.8,,10.32,9.66,7.6,12.25,12.9,7.32,7.96,7.8,9.1,7.9,,11.5,14.1,6.26,8.72,6.85,7.9,6.85,8.2,6.95,9.3,6.7,8,8.05,9.8,4.85,5.42,11.32,7.3,,13.35,11.3,6.9,,5.54,5.02,6.67,7.19,,,9.5,7.7,7.43,,9.4,5.11,6.6,5.85,7.41,7.58,7.95,8.43,10.08,7.51,13.8,8.9,9.72,14.72,15.83,8.4,,9.04,12.67,13.4,,10.5,13.86,15.02,11.34,10.54,12.38,,,,
253230080253001,Bargaini,25.54166667,80.425,,,,,,,,,3.8,6.5,5.31,2.18,3.5,11.25,0.61,0.96,2.2,4.35,,,4.62,7.23,,1.88,4.53,,,2.07,,6,0.8,2.28,4.07,,,2.2,4.55,6.2,2.5,1.45,3.05,5.45,1.62,2.3,3.6,6.27,2.4,2.2,3.11,4.35,2.26,4.75,4.12,5.27,3.21,,6.31,8.72,7.1,5.59,,8.6,7.72,6.88,8.28,9.3,7.35,,9.9,,1.82,5.1,7.77,9.35,,9.2,10.06,,0.58,3.09,4.74,5.45,5.66,,,3.7,2.8,3.1,,,1.25,8.3,9.08,,7.02,,,,7.46,9,,,,,,,9.01,8.87,,,7,6.6,8.82,,,,,,,
252335080372001,Bisanda,25.40111111,80.39,,,,,,,,,2,4.5,0.96,1.54,2.06,3.25,1.13,1.3,1.45,3.1,1,1.47,2.74,3.54,1.14,1.6,2.1,3.2,,1.96,,7.8,3.4,4.3,7.05,7.4,3.4,3,3.3,4.1,2.5,2,2.15,3.04,3.5,2.15,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,2.81,2.86,2.2,1.19,2.05,1.6,2.95,2.23,,,4.1,3.65,3.9,,,1.64,2.7,2.97,4.61,3,3.5,4.03,7.18,2.6,2.76,,6.77,,,2.43,,2.32,2.5,3.32,,1.9,3.73,2.92,3.65,0.06,1.87,2.21,,,
253638081010601,Dadoghat,25.61055556,81.01833333,,,,,,,,,21.45,15.4,,19.95,,,19.41,19.83,22.4,19.85,,,19.7,,,20.2,,,,,,,6.85,7.75,9.6,,21.6,23.1,,,,,,,,,,,,,,,,,,13.01,,,,25,25,,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.84,,22.49,,23.49,,,,22.43,,,,23.24,,,,,0.4,,,,,,,,,,,,
251853080233001,Girwan,25.31472222,80.39166667,,,,,,,,,1.75,4.15,0.53,1.4,1.51,3.75,1.97,1,1.1,2.77,0.25,0.72,2.04,4.08,0.11,1.25,1.59,3.45,,1.87,,3.45,0.45,0.6,1.65,2.82,0.55,0.25,1.5,2,0.15,0.5,1.15,2.34,0.1,0.75,1.35,3.03,0.58,0.87,1.95,2.11,4.04,1.57,2,2.52,3.14,,1.95,5.3,4.89,1.7,1.24,3,0.85,0.95,1.2,3.55,1.55,0.45,1.98,,0.15,0.75,2.05,3.78,,0.75,1.64,3.05,0.45,1.3,0.99,2.35,0.47,,,2.55,2.3,2.8,,,0.51,1.55,2.01,,0.56,1.1,2.42,,0.1,1.15,2.93,,0.59,1.12,,,0.36,1.26,2.78,,0.2,0.68,3.09,,,,,,,
252220080283001,Khhurand,25.37222222,80.475,,,,,,,,,3.35,8.2,1.7,2.48,3.3,5.07,1.03,1.7,1.45,5.95,0.85,1.3,4.17,3.04,,1.31,1.62,1.56,,1.16,,2.52,0.4,0.55,1.25,2.5,0.5,0.75,1.3,2.35,0.45,0.87,1.2,2.19,0.07,1.95,1.88,3.44,0.41,1.01,1.65,9.37,9.37,2.96,3.78,5.54,0.53,,3.63,4.55,0.55,3.24,2.2,2.75,2.01,1.4,2.1,2.4,1.15,1.41,1.25,2.15,,0.95,1.15,7,,1.15,1.22,2.2,0.08,0.81,0.25,1.46,0.4,,,1.55,0.35,1.3,,2.55,,0.95,1.09,1.7,0.03,1,1.53,1.99,0.07,1.15,2.41,2.53,0.08,0.02,0.81,,0,0.17,0.8,,0.05,1.25,2.28,0.95,0.43,0.15,0.35,,,
