station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
271112081063001,Baba ki kuti,27.18666667,81.10833333,,,,,,,,,2.44,4.89,1.59,1.64,2.14,5.44,0.16,2.46,1.37,4.78,0.69,,1.8,5.14,2.5,2.2,2.36,5.43,2.5,3.4,,4.01,0.98,2.44,2.72,4.02,1.81,2.46,2.81,5.46,0.85,1.24,1.71,2.24,1.46,1.01,1.64,3.29,0.44,1.62,2.35,3.64,0.94,2.14,2.47,3.74,1.19,1.84,2.64,3.84,0.26,0.91,1.25,3.39,2.29,0.81,1.44,,1.09,1.8,2.37,3.81,0.89,2.44,2.05,4.83,,2.74,3.14,5.04,1.44,2.89,2.94,5.34,2.24,,3.44,3.28,1.69,3.68,,5.14,3.29,4,4.61,5.1,1.54,1.71,3.29,6.04,1.84,2.52,3.53,5.79,2.47,3.1,2.97,,1.24,3.46,3.72,,1.69,1.74,2.6,5.36,2.52,1.92,2.3,,,
264150081145501,Bhiwal,26.69722222,81.24861111,,,,,,,,,3.33,6.2,0.5,2.1,3.25,7.35,0.6,1.17,3.99,7.18,0.33,2.9,3.47,6.73,0.26,1.83,2.5,5.46,0.74,2.03,,3.78,0.53,1.95,2.7,2.63,0.42,2.22,,6.75,0.38,0.95,2.25,2.25,0.35,1.8,2.38,3.35,0.05,0.55,3.29,6.2,1.14,3.98,4.45,6.95,0.35,1.15,4.19,7.3,0.11,3.1,3.15,7.15,0.29,3.35,4.27,7.5,1.45,3.53,5.1,7.49,,3.72,4.15,7.1,,2.9,5.15,6.25,0.93,3.67,4.65,7.75,0.55,,5,2.41,1.2,3.8,,6.05,0.67,5.05,6.06,3.55,0.97,3.53,6.05,8.24,0.48,2,4.65,7.23,0.8,4,4.41,,0.68,4.6,5.1,,,2.09,4.73,5.49,,4.25,5.11,,,
263424081254901,Chaubisi,26.57333333,81.43027778,,,,,,,,,2.2,4.78,1.45,1.75,2.4,5.15,0.73,1.48,1.95,4.98,0.77,2.55,2.38,5.37,0.95,1.83,1.8,4.7,1.5,1.99,,3.91,0.36,2,2.38,4.01,1.76,2.27,2.4,4.78,0.97,1.55,2.28,4.1,1,1.95,2.68,3.4,1.7,1.82,2.53,,2.66,3.63,3.48,4,1.42,2.25,2.62,5.26,0.64,2.49,2.81,5.35,5.68,2,2.4,3.75,1.25,2.43,2.86,5.03,0.3,2.38,2.25,5.28,,2.52,3.9,5.15,1.4,3.15,2.9,4.9,1.05,,4,6,6,5.8,,,,4.18,5.31,5.9,,2.47,4.05,5.67,0.57,2.22,3.63,5.65,3.13,2.27,2.2,,2.53,2.38,2.97,,2.09,0.9,2.78,4.6,4.2,1.68,2.12,,,
265324081332401,Daryabad,26.89,81.55666667,,,,,,,,,1.96,4.14,1.89,3.44,2.19,4.79,,,1.91,4.31,,,1.85,4.53,,2.15,2.21,3.99,,,,3.65,,4.09,2.87,4.91,1.34,1.99,2.59,5.19,,1.49,1.68,3.09,1.09,1.29,2.04,3.94,,1.41,2.29,3.79,1.3,2.86,2.87,4.19,1.14,1.19,3.1,4.5,,1.49,2.09,3.94,,1.09,2.28,3.24,0.97,1.65,2.49,,,1.17,,4.69,,2.54,3.29,3.89,,3.29,2.99,4.09,0.99,,3.59,4.12,1.89,,,4.76,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
263815081213001,Datauli chanda,26.6375,81.35833333,,,,,,,,,10.35,10.85,10.3,9.65,9.4,9.8,9.75,8.7,9,9.78,8.49,8.05,7.95,8.65,8.14,7.45,7.56,8.32,7.8,7.3,,8.18,7.16,8.45,7.32,8.25,8.56,7.42,7.9,8.7,4.54,6.4,7.32,8.3,7.57,7,7.3,8.7,7.8,7.54,8.18,8.95,9.3,10.79,10.35,12.6,11.2,12.1,11.17,11.9,10.35,8.55,8.88,9.5,10.46,10.05,10,8.7,11,10.94,11.22,12.07,11.7,,10.77,11.72,,10.4,10.9,11.8,10.15,10.2,9.9,10.5,10.5,,11.1,12.2,12.2,11.9,,12.8,12.35,12.07,12.46,12.9,12.4,12.31,12.25,13.08,10.83,10.56,10.77,11.39,11.65,10.34,10.13,,11.1,10.2,10.28,,10.49,9.78,10.05,10.28,9.8,9.65,9.92,,,
270136081104201,Dewa,27.02666667,81.17833333,,,,,,,,,2.4,5.22,1.62,2.6,2.5,5.1,1.35,2.02,2.16,4.39,1.4,2.7,2.68,4.27,1.78,2.22,2.48,4.48,2.51,3.75,,3.87,2,2.45,2.51,3.32,1.98,2.32,2.6,4.1,1.71,2.08,2.43,3.35,1.72,2.2,2.55,2.95,1.65,1.96,2.77,2.5,1.68,2.92,3.13,3.3,1.77,2.4,3.14,3.98,1.35,2.41,2.5,3.7,2.06,1.6,2.62,3.9,1.55,2.17,2.5,3.14,1.7,2.6,2.5,4.5,,2.4,3.3,3.9,1.93,2.85,3,4.4,1.8,,3.4,2.97,1.85,2.45,,5.15,2.1,2.9,4.09,5.23,1.85,2.05,3.8,5.72,1.63,2.46,3.97,5.88,2.4,2.45,2.92,,2.13,2.7,3.41,,1.3,1.83,2.74,4.47,2.37,2.52,3.09,,,
263720081203001,Gutauna,26.62222222,81.34166667,,,,,,,,,2.9,4.35,1.57,2,2.65,5.7,2,2.37,2.44,4.72,,3.2,3.12,5.48,2.47,2.06,2.75,4.34,2.26,2.81,,4.54,1.05,2.55,2.73,4.88,4.65,3.06,,5.45,1.44,1.94,2.66,4.75,2.75,2.95,3.3,4.7,3.96,3.46,4.02,,4.8,4.96,4.99,6.2,4.33,4.36,4.53,6.01,1.12,2.52,2.99,5.6,6.72,3.4,3.74,5.9,4.22,4.43,4.75,5.97,2.58,3.66,3.42,6.23,,2.55,4.4,5.4,1.53,,3.3,5.75,3.15,,4.45,5.79,4.9,5.2,,7.36,5.64,5.92,5.83,5.92,3.58,3.93,4.3,6.05,0.7,3.52,4.35,5.89,3.7,3.09,3.24,,1.03,2.88,3.47,,1.81,1.75,3.4,4.22,3.8,2.62,2.59,,,
265124081140001,Harakh,26.85666667,81.23333333,,,,,,,,,4.42,6.67,3.75,2.97,3.62,6.82,5.99,,4.79,5.82,2.62,,3.73,6.55,5.5,4,4.44,7.59,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,,
264500081290001,Kalkeshwar temp,26.75,81.48333333,,,,,,,,,5.64,7.69,5.79,4.99,5.19,8.59,3.46,2.67,2.97,5.63,3.97,1.89,2.42,5.74,3.79,3.2,3.62,5.67,3.59,5.74,,6.29,4.79,3.69,3.75,6.21,6.39,5.49,5.49,8.79,3.95,3.41,3.66,6.59,5.74,5.29,6.09,8.39,8.04,7.31,8.04,9.39,9.35,9.86,9.94,9.99,9.62,9.49,10.29,10.74,8.93,7.25,7.39,9.29,8.44,7.39,7.01,9.49,9.14,9.15,9.04,,,7.49,6.72,9.88,,8.24,7.89,9.59,8.79,7.79,7.39,,8.49,,8.79,9.79,9.79,10.39,,,,11.28,11.41,,10.79,10.86,10.19,11.5,9.55,9.59,9.65,10.91,10.41,9.6,9.13,,8.73,9.11,9.16,,10.22,8.54,,8.89,11.84,8.55,8.71,,,
270610081112501,Kitlupur,27.10277778,81.19027778,,,,,,,,,2.76,3.96,2.28,2.21,2.76,4.26,1.64,2.04,1.99,3.97,1.16,2.56,2.58,4.04,3.64,2.76,2.97,4.29,3.01,2.27,,3.94,,3.16,2.68,3.66,2.63,2.3,2.56,3.69,1.44,1.98,2.31,3.66,2,2,2.55,3.75,1.4,2.27,2.85,3.82,1.82,2.75,3.05,4.55,2,2.7,2.95,3.81,0.83,1.65,2.08,3.65,2.88,1.6,2.86,4.05,1.51,1.98,2.52,3.6,,,2.2,4.08,,2.22,3.1,4.03,2.08,2.38,2.86,3.76,1.7,,3.16,3.6,2.06,2.8,,3.98,2.3,2.96,3.37,4.24,1.76,1.88,3.11,4.3,2.48,2.14,3.17,4.26,3.27,2.32,2.56,,2.99,3.26,2.99,,1.35,1.68,2.44,2.65,3.52,1.1,2.45,,,
