station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
282200079240002,Bareilly1,28.36666667,79.4,,,,,,,,,5.6,5.5,5.3,5.14,5.55,6.31,5.19,5.1,5.67,6.3,4.95,4.33,4.35,6.62,5.9,4.7,5.1,5.1,1.4,3.9,,5.7,5.4,5.15,5.34,6.53,6.06,5.8,5.48,6.5,5.85,5,4.25,6.05,5.7,5.6,5.8,3.95,5.6,5.23,5.47,5.92,5.65,5.74,3.84,5.88,5.51,5.15,5.3,5.95,5.1,4.73,4.84,5.76,5.52,5.93,5.14,4.87,4.75,4,4,5.15,4.6,4.35,6.3,6.3,,5.5,5.55,5.9,6,5,5.3,5.6,5.5,,6.1,6.32,6,6.1,,6.5,6,5.93,6.1,6.6,6.5,6.6,6.5,6.9,6,5.6,5.78,6.32,6.12,6.5,6.2,,,6,6.25,,6.4,6.12,6.13,6.35,6.73,6.5,6.47,,,
282010079354501,Bhuta,28.33611111,79.59583333,,,,,,,,,4.17,4.95,2.78,2.68,3.3,4.45,2.62,2.64,2.76,4.16,0.89,1.57,2.57,4.4,1.3,2.45,2.81,4.53,0.1,2.2,,4.31,0.67,3.8,3.9,4.8,4.52,4.75,4.5,5.32,3.2,2.03,,4.2,3.07,2.51,3.93,4.63,4.05,3.4,3.9,4.65,4.65,4.52,4.74,4.67,2.62,3.68,3,4.9,1,1.98,2.87,4.35,3.77,2.82,3.39,,1.4,2.35,2.35,4.35,3,3.4,3.7,6.86,,4.15,4.35,4.4,3,3.1,3.11,4.77,5.2,,5.4,5.85,5.2,5.58,,,4.52,4.82,4.6,,5.9,5.7,5.7,,,4.3,4.62,5.1,5.79,6.05,5.45,,,5.75,5.73,,5.18,4.02,4.11,5.45,,4.36,4.8,,,
283235079264001,Nawabganj1,28.54305556,79.44444444,,,,,,,,,3.46,3.94,1.32,3.21,3.42,5.27,8.46,2.93,9.49,10.7,0.74,2.52,3.17,4.07,8.54,9.57,9.82,4,1.32,3.04,,10.85,1.62,3.16,3.47,3.95,2.77,2.92,3.64,3.84,2.3,2.78,3.07,3.94,2.77,3.07,3.47,4.22,2.99,3.12,3.52,4.12,,3.82,3.94,3.99,1.23,2.9,3.59,4.29,1.62,,3.35,4.11,2.49,3.27,3.59,4.35,1.62,3.12,3.12,4.42,1.17,3.52,3.72,5.64,,3.82,3.92,4.42,2.6,3.82,3.74,4.32,2.99,,4.09,4.52,3.58,4.16,,4.66,2.99,3.94,4.05,4.72,3.52,,3.92,4.57,3.02,3.62,4.23,4.64,4,4.52,4.12,,,10.62,4.12,,3.94,3.72,3.74,4.16,4.1,3.28,3.68,,,
284040079221001,Shergarh1,28.67777778,79.36944444,,,,,,,,,5,4.15,7.58,6.7,8.65,9.31,7.35,4.25,7.55,9.78,6.73,2.63,,,,,,,,,,,,,,,,,,,,,,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284300079190001,Shishgarh,28.71666667,79.31666667,,,,,,,,,3.79,4.8,2.74,3.14,3.6,4.9,4.13,3.92,3.61,4.05,0.15,1.68,2.55,4.54,0.88,2.47,3.53,4.72,0.03,2.74,,4.7,0.55,4.1,3.3,4.97,4.32,3.59,4.42,3.85,3.42,4.04,3.6,4.8,3.64,3,3.7,4.8,4.44,3.66,4.05,5.16,5.46,5.34,5.54,5.19,3.6,4.6,4.75,5.54,0.99,2.67,3.5,4.92,5.19,4.55,4.69,5.55,1.95,3.25,3.25,4.5,,3.35,3.6,5.4,,4.75,4.9,5.25,2.6,3.75,,5.43,4.83,,5.55,4.7,4.7,5.2,,5.5,3.02,3,2.7,3.4,3.7,3.5,1.7,4.35,,3.5,3.99,3.77,2.5,3.1,2.8,,,4.5,4.88,,3.42,4.38,4.32,5.05,3.76,4.46,4.38,,,
284645079300001,Baheri,28.77916667,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,1.6,,,,,,,,,1.87,2.7,1.25,2.8,,3.58,2.1,1.51,2.9,2.5,1.9,1.1,2.3,1.6,0.8,1.1,1.23,2.18,0.76,1.2,0.9,,,4.5,1.23,,0.85,1.07,0.8,1.45,1.3,0.91,1.07,,,
281800079250001,Kandharpur Pz GWD,28.3,79.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.2,3.8,1.8,2.25,2.4,3.69,3.59,3.7,3.56,3.95,2.76,3.43,3.52,4.13,,2.87,2.7,4.1,2.95,3.2,3.5,,1,2.25,2.84,3.74,2.68,2.75,2.9,,,3.1,3.35,,3.66,2.15,2.51,3.51,3.95,2.81,3.23,,,
283430079232402,Mirganj Pz GWD,28.575,79.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,5.6,6.4,5.05,5.2,5.45,6.07,,6.5,6.6,6.9,6.73,6.07,7.06,7.5,,6.12,6.05,7.8,7.4,7,7.3,7.8,4.78,4.95,5.45,6.6,5.89,5.7,5.9,,,6.7,6.85,,7,6.39,6.34,6.88,7.68,6.79,6.75,,,
282200079062402,Ramnagar2,28.36666667,79.10666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,9.1,8.55,8.3,8.43,8.97,9,9.4,8.25,8.4,9.63,10,9.83,,9.87,9.65,9.5,,,,,8.65,8.5,7.4,9.99,,9.99,9.99,9.99,,,9.99,,,13.22,12.1,11.75,,,13.46,,,,
283230079180001,Shahi Pz GWD,28.54166667,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,5,,4,4.3,4.38,5,4.79,4.3,5.36,5.9,5.03,5.31,5.34,5.83,,4.89,5,5.9,4.35,4.75,4.9,5.6,2.54,3.8,4.17,6.38,4.11,4.3,4.45,,,5,5.03,,,,,,,,,,,
282800079070001,Siroli Pz GWD,28.46666667,79.11666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,7.56,7.92,8.05,,,7.9,7.9,,8.2,8.35,8.5,,7.6,7.6,7.98,,8.41,8.4,8.29,,,9.1,8.99,,8.25,,8.63,9.5,9.7,8.55,8.94,,,
