station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
274235078441501,Amanpur,27.70972222,78.7375,,,,,,,,,1.82,2.73,0.48,2.25,2.86,3.04,2.6,2.56,1.56,2.9,1.3,0.21,0.7,2.5,2,0.8,1.2,2.56,0.08,1.3,,,1.37,1.67,,2.67,2.67,3.08,3.1,2.52,0.73,1.8,2.08,3.39,3.09,2.12,2.55,3.83,2.21,1.51,1.82,5.29,,1.65,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
273530079053001,Daryaganj,27.59166667,79.09166667,,,,,,,,,3.29,5.13,,5.7,6.55,,3.35,6.05,4.27,4.23,3.43,,,,,,,,,,,,,,,,,,,,6.63,4.67,4.53,,,,,,6.68,6.72,7.08,6.78,5.73,6.33,6.63,6.92,5.78,6.03,6.98,7.16,4.27,1.78,5.71,6.43,6.62,6.96,6.93,6.6,,6.3,6.09,5.74,,4.98,5.21,5.97,,6.31,5.71,6.08,6.09,6.41,6.49,6.94,7.43,,7.73,8.3,8.11,8.23,,8.78,8.53,8.73,8.73,8.68,8.53,,9.03,7.93,,7.98,8.18,8.18,,8.88,9.01,,,9.91,9.96,,,10.23,10.43,10.13,9.78,6.76,,,,
273320078404001,Etah,27.55555556,78.67777778,,,,,,,,,8.35,9.15,7.58,9.15,9.12,10.02,8.55,7.45,7.59,8.45,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
272800078180001,Jalesar,27.46638889,78.3,,,,,,,,,10.35,8.65,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
272712078124801,Locha,27.45333333,78.21333333,,,,,,,,,10.29,11.5,11.18,10.91,9.9,11.59,10.5,10.2,9.35,13.7,8.2,7.77,8.2,8.7,,6.6,6.55,11.62,,6.45,,7.6,,,,9.55,8.44,6.98,6.93,8.72,6.99,6.47,6.33,,7.59,6.51,7.3,10.6,7.55,6.8,9.03,12.3,8.7,10.37,9.66,13.42,10.7,10.8,11.68,12.98,11.98,10.1,11.2,13.8,13.25,12.37,12,11.52,11.39,11.1,10.85,11.47,,9.95,10,10.25,,8.81,9.46,10.25,10.16,8.99,9.03,9.48,10.94,,10.8,10.59,10.88,10.11,,11.1,11.1,10.7,10.7,11.2,11.75,12.13,12.3,12.8,12.9,12.1,12.3,13.25,,12.43,11.8,,,,,,,,,,,,,,,
274400078373601,Marahchi,27.73333333,78.62666667,,,,,,,,,8.43,9.43,8.04,9.91,8.72,9.04,,9.23,7.47,8.75,7.4,6.09,7.1,1.3,6.29,9.8,5.7,6.8,5.85,5.9,,7.8,6.12,6.85,7.74,7.74,7.65,8.41,8.21,8.03,7.72,6.46,6.7,7.92,7.24,6.8,6.97,8.1,6.8,6.51,7.8,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
272600078463001,Sakit,27.43333333,78.775,,,,,,,,,,5.35,2.2,4.55,3.71,5,3.2,3.68,3.5,5,1.4,1.1,1.7,,3.88,,3.44,,2.92,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273330078560002,Dhumri1,27.55833333,78.93333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,2.07,2.75,1.48,1.31,1.65,2.08,2.33,2.25,1.85,,1.74,2.17,2.41,3,2.35,2.6,2.9,2.95,1.87,1.95,2.4,2.95,1.62,1.6,1.95,2.55,1.85,2.3,2.05,,,,3.03,,2.68,2.35,2.85,3.37,3.12,1.96,3.25,,,
273035079011002,Jaithra Pz-GWD,27.50972222,79.01944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,7.41,6.3,7.3,7.6,7.72,7.63,7.84,8.44,8.05,7.95,8.44,8.88,8.25,8.5,8.75,9.4,8.9,8.64,8.76,9.9,9.5,9.86,9.65,,,11.63,11.8,,11.96,11.2,11.6,13.1,12.58,13.39,12.5,,,
273800078520001,Sidhpura Pz-GWD,27.63333333,78.86666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,4.33,4.45,4.45,4.85,4.75,4.78,4.97,5.55,5.05,4.9,5.15,5.63,5.27,5.15,5.35,5.75,5.29,4.6,4.79,5.45,5.45,5.5,5.5,,,5.77,5.83,,5.95,5.25,,,,,,,,
