station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
272915080091701,Barganwar,27.4875,80.15472222,,,,,,,,,3.94,4.84,,2.44,2.89,4.14,,1.93,2.04,3.31,,2.09,2.31,4.12,3.09,,,3.74,2.31,3.06,,,2.33,3.35,3.95,5.13,3.47,4.1,4.34,5.22,,2.58,2.68,5.14,1.92,2.26,2.97,,2.66,2.93,3.62,4.67,2.43,3.73,4.23,4.75,3.85,4.42,4.78,5.19,2.58,2.93,3.58,3.73,3.48,3.53,4.68,5.04,3.63,3.28,3.58,5.03,2.73,4.23,4.43,5.83,,,,4.96,2.44,4.03,4.04,4.98,6.16,,6.04,6.9,5.48,5.44,,,,5.59,6.51,,6.65,6.69,6.8,6.68,,4.44,5,,,,,,3.99,4.24,4.66,,5.54,5.44,5.24,6.13,5.79,5.25,5.59,,,
270710080251701,Dalel nagar rly,27.11944444,80.42138889,,,,,,,,,5.21,5.98,,3.68,3.96,5.43,3.38,2.98,2.58,4,0.93,2.58,2.63,4.63,4.58,3.34,4.61,4.73,3.28,4.03,,5.43,3.69,4.44,4.96,5.68,4.73,5.09,4.03,5.4,11.5,1.93,2.58,4.11,3.37,1.33,2.83,4.72,2.83,2.7,3.41,4.9,1.63,4.53,4.96,5.55,3.84,4.9,5.39,5.87,1.5,2.14,3.43,4.03,2.63,2.43,5.09,5.53,0.93,2.03,3.18,5.43,0.93,3.13,3.53,5.73,,3.63,4.26,5.58,3.99,5.23,4.55,6.08,5.43,,5.96,7.55,5.75,6.63,,6.95,6.95,6.03,7,7.37,6.68,6.89,6.73,,,,,,,,,,3.35,4.13,4.85,,4.29,3.12,2.44,5.94,5.21,3.72,,,,
270417080250101,Gangau,27.07138889,80.41694444,,,,,,,,,1.82,1.87,,1.34,1.47,2.06,0.28,0.75,0.93,1.12,,0.83,1.38,1.93,,2.1,3.45,,,,,1.43,,0.83,0.59,2.89,0.93,1.03,0.79,2.39,6.1,1.26,0.77,1.66,0.01,0.32,0.72,1.69,0.09,0.82,0.82,1.73,,,,1.81,0.16,0.82,1.37,1.09,,0.33,2.45,3.42,2.32,1.72,0.99,2.24,0.12,0.97,1.52,3.57,0.82,1.52,1.52,3.52,,0.52,0.73,2.95,1.15,1.6,1.42,2.47,1.61,,2.5,4.95,1.5,1.32,,4.12,2.82,1.15,2.87,3.87,3.32,2.27,2.87,4.07,0.3,1.16,2.01,3.65,1.85,1.96,2.04,,0.41,1.17,1.47,,,,,2.17,1.17,0.82,1.26,,,
273155080171001,Gopamau,27.53194444,80.28611111,,,,,,,,,6.46,7.03,,5.37,5.78,6.61,5.38,5.08,5.35,2.55,0.94,4.96,5.22,6.36,5.91,2.67,4.23,6.38,5.61,5.81,,6.84,5.94,5.96,6.28,6.86,7.04,6.26,6.35,6.86,5.56,4.89,5.16,6.16,5.36,,5.57,6.41,6.4,6.11,6.34,6.96,5.28,5.73,6.17,6.84,6.49,6.66,6.9,7.3,5.32,5.16,6.22,6.79,6.29,5.94,6.21,6.94,6.81,6.06,6.26,7.21,6.26,6.26,6.46,7.06,,9.4,,6.98,4.46,5.41,5.54,6.76,7.15,,7.34,8.35,7.44,7.66,,,8.13,3.72,7.74,,2.94,7.91,7.94,,7.22,6.36,6.65,7.56,6.66,6.66,6.66,,6.89,7.05,7.16,,7.39,6.61,6.58,7.11,7.25,6.48,6.76,,,
270930080203001,Kachauna,27.15833333,80.34166667,,,,,,,,,4.07,5.15,,1.92,2.45,4.75,2.07,2.37,2.32,3.8,0.8,1.4,2,4.42,4.55,2.7,4.46,3.85,3.45,4.07,,4.93,3.73,4.38,4.59,4.85,5.68,4.1,3.28,5.06,2.1,1.53,1.8,3.54,2.03,1.56,2.57,4.12,1.56,1.7,2.57,4.22,2.1,3.75,4.3,4.39,1.81,3.75,4.24,2.76,0.73,1.31,2.55,4.3,2.8,1.95,3.94,4.21,1.1,1.3,2.2,4.4,0.6,2.1,2.6,4.1,,1.9,3.04,4.3,2.2,3.5,3.24,4.4,3.5,,4.44,5.15,4.2,4.6,,,,4.5,,,4.18,4.47,4.75,4.79,3.1,3.98,4.26,3.84,2.8,3.15,3.33,,0.99,2.37,3.17,,2.65,1.37,2.04,3.1,2.4,1.51,2.69,,,
271610080043001,Manjila,27.26944444,80.075,,,,,,,,,2.84,3.17,,2.27,1.57,3.75,1.49,1.88,2.25,4.26,2.45,2.37,2.65,3.75,3.05,2.78,,3.33,1.53,2.85,,3.95,1.93,3.03,3.55,3.98,3.52,3.29,3.05,4.16,4.96,2.39,2.54,3.81,1.93,2.06,2.54,,1.59,2.34,2.93,3.8,1.84,2.75,3.48,,2.44,3.24,3.75,4.05,1.86,2.61,2.89,3.99,2.44,3.04,3.39,4.13,0.84,2.34,2.89,4.94,1.94,2.94,2.84,4.34,,1.84,2.79,4.27,1.85,2.84,2.57,3.6,4.09,,4.12,4.26,3.54,,,,3.08,3.55,4.07,4.69,3.3,3.84,3.75,4.95,3.41,3.03,3.79,4.54,,,,,2.74,3.83,,,3.31,3.85,3.95,4.39,3.3,3.45,4.05,,,
273932079455501,Panch deora,27.65888889,79.76527778,,,,,,,,,4.78,4.73,,3.28,3.15,3.91,,2.75,3.96,,,2.11,,,,,,,,,,,3.49,3.76,3.98,4.25,4.99,5.2,3.97,4.27,,,,3.69,,,3.67,2.6,,2.45,2.91,3.27,2.25,3.1,,3,2.57,3.21,3.41,4.09,2,2.57,2.7,,,,2.47,2.81,,,,,,,,,,2.67,2.92,,2.5,3.4,2.51,2.9,2.11,,4.17,2.8,2.8,3.7,,,,,4.34,,4.65,4.93,5.09,3.93,2.63,3.5,4.04,3.81,,3.37,3.46,,,5.15,5.24,,,,,,,,,,,
273730080114001,Pihani,27.625,80.19444444,,,,,,,,,2.76,4.06,,1.16,1.72,4.06,1.02,0.98,1.23,2.7,0.81,1.36,2.35,4.21,1.91,1.62,,3.61,0.75,1.21,,3.86,0.74,1.48,2.41,3.54,3.59,3.83,,3.89,0.5,1.15,1.3,3.4,0.84,0.9,1.48,4.55,1.32,1,2.05,3.79,2,2.1,2.9,3.65,,,3.44,,0.88,1.57,2.1,4.1,1.6,1.7,2.34,4.04,2.4,1.7,2.4,4.4,0.9,2.2,2.55,4.6,,2.16,2.25,4.6,1.28,1.95,2,4.2,3.75,,4.28,5.25,2.8,3.75,,,4.4,4.06,4.8,,4.95,4.43,4.81,5.82,4.16,2.37,,5.58,2.97,3.76,3.82,,2.17,2.74,3.17,,,2.07,2.8,4.08,3.67,5.62,,,,
270104080244001,Quasimpur,27.01777778,80.41111111,,,,,,,,,2.88,4.18,,2.06,2.29,3.93,1.02,1.15,1.66,3.06,,2.43,1.86,3.71,3.81,2.74,4.06,3.96,2.86,3.8,,,1.99,2.88,3.36,4.33,3.54,2.26,2.42,3.86,,1.76,2.16,3.54,,2.11,2.12,,,,,3.62,1.16,2.81,3.16,3.9,2.53,3.05,3.44,4.35,0.88,2.18,2.26,5.66,4.46,3.66,3.06,4.2,1.96,2.56,2.96,4.06,0.26,1.76,1.92,4.36,,2.11,2.23,4.53,1.95,3.26,2.72,4.41,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,2.62,1.92,3.84,3.66,0.59,2.36,,,
272230080202801,Sahabadpur,27.375,80.34111111,,,,,,,,,3.29,4.03,,2.63,2.99,4.18,1.23,1.97,2.68,3.96,,1.98,2.63,3.78,1.78,3.5,4.68,5.75,1.78,2.88,,3.98,2.5,3.18,3.47,4.28,3.78,3.61,3.85,4.68,2.28,2.58,2.78,4.09,1.77,2.08,3.58,3.48,1.88,1.89,3.32,3.77,2.06,3.23,3.55,4.03,2.72,3.53,3.81,3.77,2,2.68,3.38,4.28,2.28,2.88,3.25,4.3,1.28,2.68,3.18,4.48,1.68,3.18,3.38,4.48,,3.11,3.18,4.83,3,3.7,3.23,4.48,5.82,,5.85,4.21,4.21,4.28,,6.48,6,2.48,6.14,6.86,5.93,5.6,5.82,,,2.66,2.26,,,,,,,1.37,0.98,,2.06,2.58,,,,,,,,
