station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
252323079010701,Auldan,25.38972222,79.01861111,,,,,,,,,7.65,8.33,5.65,7.35,7.56,8.21,6.15,6.35,6.89,7.89,6.6,7.7,7.84,7.93,6.7,8.03,8.87,,,8.18,,8.45,,,,,8.5,,8.13,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,,,
252240078434401,Barua sagar,25.37777778,78.72888889,,,,,,,,,2.16,5.72,0.1,,1.59,4.3,0.08,0.07,1,1.76,0.44,0.51,1.3,4.85,0.09,0.01,0.58,4.5,0.85,0.83,,3.9,0.1,0.1,0.1,4.6,0.3,0.05,0.17,4.48,,1.25,0.93,2.65,0.4,0.56,2.3,5.8,2.1,0.8,2.27,6.1,6.2,7,7.3,8.11,8.11,6.89,6.9,8.83,0.1,1.1,7,3.64,3.05,4.7,4.7,7.87,,3.76,1.87,5.7,2.76,1.03,1.7,4.3,,1,0.75,2.85,1.34,1.32,2.43,1.4,,,,2.25,,,,7.23,2.05,1.98,3.74,6.05,4.77,5.9,,8.2,0.2,,,,,,,,,,,,,,,,,,,,,
254025079084601,Farida,25.67361111,79.14611111,,,,,,,,,2.79,4.07,1.75,2.5,3.06,3.76,1.15,2.49,2.25,3.52,2.03,2.72,2.7,3.95,1.56,2.25,2.57,4.15,1.08,2.14,,4.7,2.25,2.85,2.75,3.75,1.85,2.6,2.74,3.57,2.61,2.25,2.57,3.47,2.65,2.65,2.65,3.65,3.1,3.85,3.96,3.8,3.55,4.05,3.87,4.59,4.64,5.35,6.17,6.17,2.75,3.1,6.17,4.49,2.3,2.65,2.75,4.05,3.19,3.75,3.37,5,3.15,3.23,2.8,4.55,,3.6,3.1,4.18,,3.45,3.07,4.1,2.85,,3.45,3.1,3.78,5.25,,5.26,2.1,5.35,4.89,,2.52,,,,2.09,4.39,4.57,,2.87,5.17,5.7,,,,,,,,,4.87,2.78,6.18,5.31,,,
252715078340001,Jhansi1,25.45416667,78.56666667,,,,,,,,,11.14,13.12,9.54,7.38,9.78,12.68,6.23,7.93,6.88,9.59,5.48,8.01,8.69,10.24,5.32,6.53,9.92,16.24,9.09,6.7,,,,,,,,,,,,,5.63,6.72,3.2,5.36,6.3,7,4.52,4.62,5.1,6.62,4.75,5.45,7.47,6.65,3.85,4.71,4.85,5.88,2.6,,2.55,4.63,4.05,3.14,3.75,4.2,3.95,3.43,3.57,5.3,3.25,3.67,4.97,5.52,,3.75,3.95,5.06,1.95,3.05,3.29,3.5,3.35,,3.53,3.33,2.5,3.39,,4.58,1.94,2.96,3.38,4.83,2.92,3.46,3.57,5.28,2.24,2.68,3.23,5.82,2.59,12.55,3.11,,,,3.82,,2.76,2.44,2.88,5.43,2.12,3.63,3.83,,,
252044078300001,Khailara,25.34555556,78.5,,,,,,,,,6.05,7.54,3.18,5.64,6.81,7.3,2,5.53,4.52,6.61,3.94,6.36,7.2,7.3,1.15,3.76,5.59,9.6,3.39,5.46,,8.2,2.3,5.75,6.2,8.3,2.15,4.7,6,7.35,5.39,5.29,6.73,8.78,4.05,6.45,7.5,9.05,3.75,6.9,7.79,8.65,5.55,6.7,7.65,9.32,6.24,8.12,8.3,9.29,4,6.5,7.1,9.51,6.65,7.1,7.7,10.23,6.55,1.6,6.84,9,4.75,6.17,7,8.2,,5.98,7,8.84,6.8,6,6.55,8.05,2.06,,7.63,5.75,4.77,7.61,,10,2.55,7.9,9,9.2,8.02,7.52,7.84,10,1.58,6.23,7.6,9,4.05,5.82,6.8,,,,7.99,,3.02,5.3,6.6,8.74,1.73,6.08,4.57,,,
252812079090001,Pandauha,25.47,79.15,,,,,,,,,10.36,11.35,6.23,8.2,10.83,11.25,7.6,6.49,6.1,8.66,4.78,8.11,9.45,9.21,6.38,8.82,9.61,,,8.8,,12.25,5.85,9.45,11.12,11.7,9.2,10.55,,12.28,9.6,,9.94,10.85,9.13,8.6,11.8,11.9,11,12.3,13.4,13.5,13.15,13.6,14.6,15.12,,16.07,16.07,16.07,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254908079024401,Punch,25.81888889,79.04555556,,,,,,,,,4.22,8.43,2.15,3.72,4.33,6.88,1.35,3.4,3.55,5.47,1.52,3.21,3.41,5,0.29,2.14,2.59,4.94,2.54,2.96,,4.65,1.35,2.6,3.17,4.21,2.95,2.25,2.81,5.66,3.84,3.43,2.94,3.65,3.45,4.55,3.95,5.95,4.15,4.25,4.76,5.9,6.2,5.7,5.22,8.47,8.63,7.72,9.48,9.48,5.55,5.65,9.48,7.06,3.3,2.75,3.5,6.48,4.68,3.45,3.53,7.55,2.55,3.81,4.55,6.8,,3.5,4.75,7.7,1.8,3.05,3.27,5.65,6.13,,5.11,5.65,4.65,6.8,,6.9,3.65,6.73,6.65,6.11,6.47,,,,3.45,3.32,3.9,,7.6,4.25,4.65,,,,,,3.6,,,,,,,,,
252738078275401,Raksa,25.46055556,78.465,,,,,,,,,6.05,7.38,2.79,3.96,6.29,6.3,3.05,4.36,3.64,6.22,1.27,3.7,5.25,6.65,1.18,2.2,2.59,7.9,1.35,2.52,,7.05,1,3.55,5.45,6.95,3.2,4.3,2.6,8.1,4.96,3.08,4.29,6.42,0.98,5.3,4.35,7.5,5.15,5.45,6.85,8.55,7.45,7.85,8.93,9.11,6.65,7.75,8.02,8.82,1.4,3.55,6.3,5.41,4.3,4.3,7,4.45,3.85,4.6,6.7,6.9,4.05,4.51,5,6.35,,4.3,5.05,6.44,1.42,4.15,4.22,5.2,4.4,,4.2,4.9,3.45,4.9,,7.6,1.75,3.7,5.3,5.8,4.2,5.1,6.97,8.15,2.8,3.31,6.2,5.3,3.85,3.67,3.8,,,,4.02,,2.61,4.5,3.5,6.15,2.69,3.49,4.65,,,
252348079094801,Rewan,25.39666667,79.16333333,,,,,,,,,5.73,6.46,4.09,8.4,5.72,6.32,4.8,4.98,9.15,9.73,4.33,6.03,6.26,,4.11,5.61,6.24,,,5.38,,11.07,6.7,9.25,7.7,10.25,8.85,9.15,,11.47,10.18,9.39,10.27,9.65,10.45,10.61,9.7,10.05,9.45,9.35,10.37,11.05,10.45,10.85,11.9,12.4,11.14,11.91,12.47,12.47,9.75,10.7,12.47,10.39,11.68,3.45,8.55,8.79,8.02,5.52,8.27,8.55,7.35,8.09,9.35,7.4,,7.95,7.3,7.54,1.27,4.53,4.6,5.6,7.27,,8.51,8.45,6.75,7.75,,,3.7,7.93,8.37,9.63,8.2,10.26,10.5,,7.4,7.29,7.99,9.01,8.5,7.2,7.35,,,,7.84,,7.91,5.25,6.15,8.3,5.99,5.73,6.97,,,
252124078523601,Sakrar,25.35666667,78.87666667,,,,,,,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,,,
