station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
261910080142001,Bidhnu,26.31944444,80.23888889,,,,,,,,,3.06,3.77,1.57,0.18,1.47,3.71,0.81,1.05,0.78,3.1,0.11,4.37,1.5,3.75,0.9,0.85,1.18,3.18,1.94,2.01,,3.75,1.18,2.5,2.9,3.4,3.69,2.75,2.93,4.65,1.45,1.41,1.57,3.96,2.45,2.07,2.85,4.51,2.02,2.24,3.13,5.58,2.9,4.38,3.61,5.15,,3.63,3.95,5.05,0.45,1.35,2.03,4.15,4,2.45,3,4.55,2.63,2.85,3.05,3.97,0.59,1.95,2.26,4.05,,1.65,2.41,3.32,0.35,1.1,1.95,2.69,2.5,,2.56,3.57,2.5,2.72,,4.19,1.14,,1.89,3.35,1.04,1.95,2.3,4.2,0.6,0.32,1.75,3.55,1.5,1.19,1.04,,0.43,1.16,1.89,,1.65,1.21,1.25,3.3,2.05,0.81,1.35,,,
263551080161801,Bithoor-Nganj,26.5975,80.27166667,,,,,,,,,16.74,15.43,15.13,14.83,15.17,15.88,15.35,10.33,9.8,10.64,8.37,9.27,9.19,7.1,8.26,8.47,8.91,,7.79,8.89,,10.1,8.67,9.5,9.56,10.7,10.11,9.7,9.95,11.7,9.2,9,9.15,10.58,9.95,10.58,9.88,12.07,9.22,10.34,9.72,11.27,10.02,11.63,10.08,11.4,9.35,9.95,12.28,13.6,8.3,4.24,11.45,12.4,10.9,9.85,9.8,11.1,9.12,9.6,9.8,10.67,8.5,11.4,9.68,12.4,,10.5,9.69,10.85,9.05,8.8,9.1,9.98,10.02,,10.12,11.19,10.25,10.39,,12.7,10.75,,10.2,11.96,10.04,11,10.65,11.1,9.99,10.37,10.38,11.5,10.18,10.06,9.93,,9.62,9.94,10.02,,9.56,9.28,9.35,11.82,9.8,9.35,9.53,,,
263700080111502,Chaubepur1,26.61666667,80.1875,,,,,,,,,12.3,21,,21,21,21,21,21,,21,9.06,7.66,7.81,,8.6,7.54,6.99,9.08,8.3,6.99,,9.9,9.65,9.4,10.1,,,10.7,10.91,11.88,11.55,10.2,9.9,10.99,10.9,10.95,10.9,12.44,11.15,10.92,11.48,12.15,,12.8,13.05,12.3,,12.1,12.3,12.45,12.3,11.68,10.48,12.9,11.9,11.4,11.05,16.1,12.67,13.4,12.5,14.2,0.79,11.45,10.92,15.7,,12.7,12.2,13.28,12.8,10.2,10.5,12.27,12.6,,10.4,13.1,13.26,12.9,,14.4,,,12.74,14.38,13.34,12.8,13.7,13.6,13.6,13.2,13.2,14.08,,12.55,12.2,,11.25,10.87,11.19,,12.1,11.11,10.02,14.25,13.08,12.21,10.66,,,
262530080250001,Motipura,26.425,80.41666667,,,,,,,,,1.95,2.97,0.25,1.41,2.38,3.01,0.8,0.41,2.87,4.02,0.62,2.15,4.04,,0.12,1.96,2.14,,,2.17,,3.6,,,2.5,3.28,3.08,2.1,2.65,2.76,,2.06,2.25,3.15,0.3,1.83,2.1,,0.71,1.17,,,0.53,,2.45,2.2,,,,3.2,,1.7,2.44,,,,,,,,,,,,,4.7,,2,3.6,4,1.3,2.53,3.85,4.63,2.18,,4.15,4.83,1.9,1.8,,5.56,1.59,,1.56,5.05,1.26,1.8,4.8,6.2,3.6,5.53,6.4,6.8,3.26,3.54,3.05,,3.45,3.15,4.62,,2.2,2.51,3.78,4.49,1.98,2.2,3.81,,,
263142080135501,Narmau(new),26.52833333,80.23194444,,,,,,,,,2.95,2.35,0.34,0.48,1.72,2.47,6.47,,,,,0.98,0.79,7.75,0.6,1.19,1.3,2.4,0.6,1.86,,3.1,0.71,1.3,1.23,2.7,1.31,2.51,2.03,3.28,0.9,3.72,3.88,,,,3.71,4.77,3.24,3.59,,4.68,4.39,,,,,,,7.17,3.45,4.35,4.72,6.35,5.45,4.95,5.3,6.55,4.47,4.85,4.95,7.55,5.61,5.25,6.06,7.05,,6.35,6.34,6.95,5.36,6.35,3.45,6.47,6.35,,6.6,6.92,7.1,7.2,,7.81,7.27,,7.19,8.25,7.19,7.8,7.69,,7.1,6.64,6.95,7.38,7.5,6.61,6.35,,5.96,6.42,6.58,,6.52,6.1,6.18,5.08,,,,,,
264200080074201,Niwada dhamni,26.7,80.12833333,,,,,,,,,4.25,6.22,1.25,1.46,2.89,5.36,0.94,1.02,1.06,4.27,2.39,1.71,2.18,5.47,0.27,1.41,1.61,4.82,0.84,1.35,,7.62,4.12,2.82,3.02,3.08,2.58,2.62,3.04,6.6,3.41,1.84,2.37,5.03,3.8,1.67,2.86,5.14,3.15,2.25,3.77,5.39,3.88,4.11,4.92,5.92,,4.27,4.67,6.12,1.32,2.32,3.35,5.32,5.32,3.07,4.02,5.72,5.56,2.77,3.82,5.77,2.89,3.17,3.91,5.42,,1.92,3.3,4.3,3.59,1.99,2.82,4.74,5.37,,5.82,6.01,7.58,6.52,,7.57,6.89,,,,,,7.82,,7.49,5.17,5.82,7.04,7.36,6.72,6.83,,7.62,7.43,7.14,,7.19,3.52,4.3,4.18,4.25,3.25,4.44,,,
262545080100001,Sachendi,26.42916667,80.16666667,,,,,,,,,5.31,6.53,3.39,3.32,4.11,6.15,3.5,2.97,2.73,4.9,1.77,2.32,3.12,5.3,2.35,2.03,2.65,4.9,3.26,3.44,,5.51,3.67,3.45,4.25,6.22,5.25,4.35,4.62,5.91,3.35,2.18,2.7,5.08,3.65,2.9,3.8,5.24,2.22,2.41,3.53,5.24,3.63,3.9,4.67,5.77,,4.35,4.88,6.25,0.55,1.75,2.86,3.05,4.15,2.95,3.65,4.95,1.57,1.95,3.05,4.05,1.25,2.2,3,4.85,,2.35,3.51,4.85,0.9,1.71,2.1,4.7,1.85,,2.66,4.58,3.95,3.63,,5.59,2.82,,3.95,5.84,3.58,5.33,,5.55,2.22,1.7,3,6.43,4.32,2.05,2.21,,1.95,2.53,3.33,,4.07,1.7,1.99,6,3.48,1.37,2.26,,,
261410080210001,Sarh,26.23611111,80.35,,,,,,,,,1.79,2.88,0.49,0.79,1.08,2.82,0.26,0.7,0.69,2.21,0.19,0.89,0.92,2.23,0.01,0.83,1.04,2.23,0.59,1.14,,2.33,0.43,1.28,1.46,2.62,1.92,0.88,1.88,3.43,0.39,0.95,0.78,5.07,0.88,0.68,1.1,2.68,0.61,0.72,1.08,3.1,1.16,1,2.28,3.74,,2.08,2.18,3.38,0.18,0.7,1.23,2.78,2.38,0.88,1.28,3.38,1.02,0.98,1.58,1.73,0.14,0.88,1.14,2.98,,0.78,1.35,2.65,0.16,1.36,1.28,2.7,0.88,,1.5,2.86,1.46,1.36,,3.68,0.55,,1.53,3.39,0.36,1.43,1.53,7.08,0.57,1.08,2.03,3.53,0.75,0.96,1.3,,0.53,2.24,3.48,,3.28,1.33,1.83,4.24,0.8,0.54,1.64,,,
263620080033001,Sheoli,26.60555556,80.05833333,,,,,,,,,6.74,6.09,,2.83,3.94,5.47,3.92,3.16,2.87,4.76,1.88,1.73,3.41,5.08,2.81,1.75,3.11,4.66,,4.26,,5.75,3.99,,5.42,5.73,5.61,5.52,5.5,5.9,,3.37,3.55,4.91,4.52,4.02,4.89,5.37,2.24,2.47,4.02,,,4.74,5.24,5.62,,5,5.57,5.82,0.82,2.32,3.45,5.07,4.62,3.82,4.32,5.42,2.74,3.02,3.62,5.08,0.99,2.47,3.54,,,,,,,,,,,,,,,,,,,,,,2.3,3.82,,,,,,4.57,,,,,,,,,,,,,,,2.54,,,
262535080235301,Defence Colony Pz,26.42638889,80.39805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.38,,,,43.97,,42.83,,41.49,41.74,41.01,,41.52,41.25,40.98,,,,,,,
261850080184301,Baradari,26.31388889,80.31194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,6.7,,8.28,9.41,7.98,9.1,9.17,10.27,,,7.66,8.1,7.84,7.94,7.44,,5.63,6.83,6.87,,7.82,6.34,6.1,,6.94,0.84,4.82,,,
