station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
242200078240001,Amjhara ghati,24.36666667,78.4,,,,,,,,,1.88,5.74,1.48,1.72,1.82,6.04,1.72,1.59,1.87,3.17,1.64,2.22,3.32,3.17,1.27,2.76,3.24,6.72,1.8,3.09,,4.52,1.77,2.32,2.12,6.12,1.42,2.52,3.15,5.77,8.36,1.3,1.88,4.05,1.24,1.32,1.97,3.82,1.52,1.63,1.9,5.68,1.52,1.71,3.4,6.27,1.59,2.93,2.87,5.31,1.52,1.87,1.92,5.71,1.62,1.72,1.67,4.54,1.62,1.66,1.27,3.62,1.32,8.36,1.52,2.37,,1.37,2.07,3.02,0.32,0.73,0.88,2.19,1.23,,1.85,0.85,1.32,1.45,,3.25,0.6,1.67,1.88,1.5,0.93,1.32,1.44,2.17,1.45,,1.55,2.85,1.2,1.39,1.83,,,,1.76,,1.33,1.4,1.55,,4.97,1.5,1.63,,,
245154078284801,Bansi,24.865,78.48,,,,,,,,,8.65,11.77,3.35,4.9,6.87,9.72,7.4,7.68,7.65,9.54,4.36,6.15,7.77,10.85,6.83,3.63,5.99,10,5.75,4.06,,10.1,4.4,6.1,8.69,9.9,6.9,7.5,10.5,10.07,13.86,5.52,6.78,9.51,5.85,6.15,7.9,9.5,4.3,5.1,6.47,6.61,5.6,6.1,8.32,9.59,8.58,9.67,9.98,10.58,3.3,3.7,5.4,7.98,2.25,3.5,7.1,5.2,3.75,3.83,7.41,7,3.6,13.86,4.1,5.95,,4.17,5.05,6.3,1.71,3.38,3.75,5.6,3.29,,5.43,7.5,3.85,6.2,,10.6,1.75,2.53,3.56,3.5,3,7.61,3.71,4.72,2.1,2.66,3.3,3.35,1.44,2.42,3,,,,3.14,,2.02,2.55,2.95,3.2,1.32,2.84,2.88,,,
243218078290601,Birdha,24.53833333,78.485,,,,,,,,,8.35,10.17,1.72,4.83,8.06,10.52,3.9,4.46,3.52,7.1,2.46,3.87,7.12,7.52,4.6,4.17,4.36,,4.03,4.06,,,,9.4,7.72,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242212078362401,Digwar,24.37,78.60666667,,,,,,,,,4.23,,1.4,2.09,4.49,,,,,5.23,,,,4.91,1.58,4.01,4.74,,,3.83,,6.75,,7.5,7.38,6.9,4.35,5.3,,8.1,6.52,7.38,6.17,6.61,1.01,5.5,5.05,6.9,4.8,5.85,5.87,7.3,6.3,4.35,5.83,7.52,6.55,7.77,8.69,9.72,5.69,5.59,6.44,6.74,6.91,4.99,6.39,7.08,,4.44,,6.79,1.35,7.77,5.89,5.94,,5.44,7.24,7.5,1.95,2.44,3.1,4.24,1.97,,4.61,6.69,4.94,6.39,,,4,4.59,5.13,6.59,5.24,7.98,7.94,,5.29,6.13,7.84,,3.17,2,2.57,,,,7.42,,6.93,5.14,5.29,,5.21,2.73,5.55,,,
250415078335101,Hisar kalan,25.07083333,78.56416667,,,,,,,,,5.89,6.33,5.12,5.52,6.24,5.84,4.02,,2.87,5.17,5.76,5.74,4.83,5.95,4.99,3.28,4.03,,,3.54,,7.07,5.42,6.37,4.92,7.12,,5.47,6.72,7.38,9.16,6.37,5.77,6.16,5.47,6.5,5.57,6.97,4.92,6.52,5.54,5.47,4.67,6.02,4.8,7.05,6.42,6.68,7.32,9.16,,5.17,7.42,6.91,6.12,5.12,5.92,7.32,6.37,6.42,5.36,7.82,6.55,9.16,6.02,6.42,,6.62,4.57,6.49,3.64,5.42,5.84,6.3,5.93,,6.24,6.67,5.72,5.92,,7.22,4,5.74,5.63,6.46,6.69,6.24,5.3,7.12,2.34,6.52,5.22,6.34,6.14,7,5.86,,,,5.16,,5.89,6.92,7.12,6.03,4.39,6.47,5.82,,,
245354078204601,Jakhaura,24.89833333,78.34611111,,,,,,,,,6.52,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,
243236078191801,Jakhlaun,24.54333333,78.32166667,,,,,,,,,4.72,7.04,1.73,3.7,5.03,6.03,2.85,3.63,3.6,5.7,3.2,4,4.72,5.7,,3.76,3.94,6.23,2.93,3.89,,7.15,2.9,4.6,4.04,5.7,3,4.05,3.82,4.85,8.74,,4.6,5.61,2.15,2.86,2.65,3.4,1.25,1.45,2.69,5.45,1,2.6,4.56,2.47,2.68,2.82,3.5,4.04,2.9,2.9,2.8,3.86,2.2,2.5,2.6,4.06,2.43,2.6,2.61,3.5,2.5,8.74,2.7,3.4,,2.65,2.6,3.6,1.78,2.11,2.73,4.88,2.39,,3.2,3.15,3.1,3.4,,4.51,2.5,3.21,3.21,3.95,3.61,3.08,3.22,4.32,1.9,3.28,3.89,3.82,3.26,3.1,3.5,,,,3.18,,2.72,3.26,3.05,3.29,1.84,2.71,2.72,,,
243512078335001,Khitwans,24.58666667,78.56388889,,,,,,,,,4.28,6.02,1.56,2.94,4.59,5.47,2.27,2.7,2.42,4.6,1.62,3.32,4.4,5.62,2.4,1.88,3.01,7.1,1.98,1.79,,6.72,1.67,6.22,7.02,8.22,3.82,7.02,,,9.2,0.75,5.07,6.87,2.23,4.42,5.82,6.62,2.15,2.46,5.24,6.4,2.12,4.28,6.62,6.97,4.22,7.2,8.12,8.55,2.42,5.52,6.17,7.55,5.58,4.85,7.22,8.22,6.72,6.07,6.51,8.22,1.5,9.2,8.38,9.18,,3.67,6.92,7.62,0.52,5.64,4.65,5.1,3.42,,5.15,5,3.5,5.52,,,2.3,6.41,5.7,8.45,8.6,,,,2.45,5.03,,,1.89,2.94,4.7,,,,7.05,,3.39,,,,,,,,,
244045078243001,Lalitpur,24.67916667,78.40833333,,,,,,,,,2.96,5.34,1.05,1.85,2.33,4.84,1.69,1.54,1.15,3.3,1.16,2.01,2.57,3.5,1.01,1.46,2.14,4.85,1.92,1.28,,4.95,1.6,3.65,3.32,5.4,3.35,4.6,4.24,5.86,3.8,2.03,2.5,4.05,0.9,1.45,1.85,3.15,0.55,1.55,2.31,4.75,0.65,1.7,4.23,5.18,1.34,2.37,2.35,3.59,0.85,2.05,1.7,3.59,0.75,1.6,1.75,3.5,1.74,1.77,1.96,3,1.4,11.87,1.6,2.75,,1.65,1.6,2.61,0.54,1.14,1.18,1.6,0.86,,2.1,0.95,0.85,1.45,,2.85,0.1,1.18,0.9,1.87,0.85,1.05,1.04,2.3,0.37,1.39,1.45,2.85,0.4,1.43,0.95,,,,1.62,,1.16,2.1,1.45,4.44,,1.97,1.93,,,
243400078430001,Mahroni,24.56666667,78.71666667,,,,,,,,,5.87,8.35,3.37,4.73,5.18,7.88,4.95,5.47,5.25,7.85,4.05,5.4,6.42,8.8,8.39,4.22,5.08,9.09,6.4,4.91,,,,7.35,,,7.5,7.97,,,10.86,4.75,7.39,10.86,10.86,10.86,7.7,10.86,4.85,5.05,6.44,10.86,6.95,7.4,8.73,10.86,,10.86,10.86,10.86,,,,,,,,,,,,,,,,,,,,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
