station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
251613079344001,Bela tal,25.27027778,79.57777778,,,,,,,,,2.77,5.68,0.95,,3.34,,0.98,,1.98,5.08,3.38,4.62,5.1,5.8,1.42,1.91,4.33,3.58,,2.92,,5.08,2.23,0.88,3.93,4.35,6.63,3.78,,6.88,1.58,4.13,4.38,4.73,1.58,1.88,6.1,5.38,2.98,5.09,6.3,6.76,,6.25,6.32,5.88,,,6.3,8.27,1.73,,2.7,5.38,4.38,3.72,3.73,4.64,5.78,5.37,6.42,7.57,3.69,4.17,4.57,5.02,,3.95,3.06,5.87,0.86,1.66,1.7,3.52,2.27,,,4.22,3.8,2.82,,6.97,1.07,2.07,3.58,5.36,5.59,6.21,6.62,,4.8,5.01,6.32,,6.51,5.1,3.4,,4.63,5.86,6.48,,4.07,5.19,4.77,6.26,3.99,3.8,4.38,,,
252400079450001,Charkhari,25.4,79.75,,,,,,,,,4.34,2.7,2.58,3.95,4.11,4.8,9.55,2.29,7.8,12.15,1.1,3.15,7.89,5,1.57,3.86,2.41,5,,3.5,,5.3,2.91,3.8,4.18,5.52,4.6,5.2,5.55,7.4,5.25,2.8,2.8,5.9,2.62,2.85,3.16,4.4,1.6,2.76,4,4.47,3.19,5.92,3.12,4.27,3.9,,5.2,6.5,4.79,6.73,5.55,5.1,4.61,3.3,4.02,4.5,2,2.3,2.3,3.5,1.03,1.7,1.96,2.65,,1.76,1.13,,0.63,1.5,1.42,2.65,1.35,,,4.2,3.6,5.36,,6.3,1.62,1.3,2.32,3.84,2.66,3.68,3.8,6.89,3.09,3.3,4.94,6.46,3.02,2.07,3.58,,1.55,2.78,3.82,,1.95,2.33,3.34,3.36,1.23,1.59,1.78,,,
251900079390001,Kulpahar2,25.31666667,79.65,,,,,,,,,3.23,7.7,5.52,5,5,2.34,0.85,5.2,2.05,3.6,3,4.2,5.91,5.95,0.11,2.9,5.2,6.03,,6.89,,3.6,2.16,2.6,2.42,4.1,2.2,3.1,3.1,4.5,3.35,2.25,2.1,6.95,2.12,3.6,3.98,5.68,5.5,6.67,5.9,5.23,2.07,6.74,5.9,6.35,,,5.9,7.1,3.9,7.08,2.6,7.4,5.65,2.9,3.65,4.85,3.35,3.5,7.05,6.02,4.3,3.9,5.2,5.55,,,0.9,5.65,3.68,3.21,6.95,7.12,6.15,,,7.1,5.86,5.5,,6.9,2.69,3.8,5.09,6.15,5.82,6.29,,8.92,5.82,5.1,6.1,7.98,3.28,5.57,4.63,,6.74,7.58,7.98,,1.1,5.48,6.57,7.85,6.48,4.14,4.31,,,
250842079400401,Pipramauf,25.145,79.66777778,,,,,,,,,5.04,6.19,0.8,2.37,5.61,,1.29,1.42,2.11,5.54,2.19,1.91,3.51,5.09,0.85,2.32,4.22,,,6.89,,5.49,2.79,2.74,4.79,5.46,4.29,,,5.49,2.59,1.39,1.54,7.79,2.87,3.14,,5.29,5.19,4.08,5.7,6.07,,5.17,5.13,6.22,,,6.96,6.18,4.61,6,3.49,5.29,4.89,3.89,4.74,5.49,4.04,4.94,5.24,5.51,1.99,2.59,3.22,5.84,,,1.46,4.1,1.04,0.99,1.74,3.6,3.11,,,3.69,3.6,3.09,,7.29,0.88,5.39,2.95,5.6,5.75,6.18,,,,,,,,,3.06,,,,7.29,,4.09,5.31,,,4.82,4.21,4.46,,,
251852079211802,Teiya1,25.31444444,79.355,,,,,,,,,2.2,6.5,,1.95,,,0.8,0.2,1,4.45,,,4.45,5.2,0.1,1.28,3,,,1.95,,10.6,1.4,1.77,2.91,5.78,3.6,2.65,3.85,6.15,2.6,1.55,2.18,4.88,1.8,2.8,3.45,5.56,3.15,4.05,5.61,11.6,,11.6,11.6,11.6,,,11.6,11.6,6.1,,1.9,5.05,4.02,3.45,4.08,5.75,3.86,4.85,5.55,8.55,0.85,1.45,2.4,4.95,,1.25,2.63,6.05,0.75,1.22,1.61,4,3.21,,,6.1,5.1,3.95,,7.15,1.39,2.75,3.64,8.31,7.78,9.2,,,7.72,4,,,,2.62,3.74,,5.57,7.64,,,6.29,5.94,,8.59,3.59,3.08,3.39,,,
252112079180501,Kashipura,25.35333333,79.30138889,,,,,,,,,,,,,,,,,,6.58,4.52,5.13,6.26,,,4.11,4.48,,,,,3.02,14.98,16.38,18.62,7.05,7.48,4.28,8.88,7.68,,,5.68,7.93,12.23,5.48,6.98,7.98,5.78,4.32,8.8,8.24,,6.9,7.58,9.68,,,10.1,8.42,6.39,,5.98,,,5.48,6.2,6.68,5.36,6.98,6.43,8.38,5.87,4.63,6.13,6.73,,4.23,5.83,7.48,4.97,4.15,4.98,5.74,5.83,,,8.02,7.86,5.38,,8.38,5.58,4.88,5.37,6.64,5.83,5.29,6.93,10.2,4.53,12.03,,7.19,,10.24,4.5,,5.53,4.59,11.72,,5.43,5.89,6.39,7.27,13.22,4.56,4.87,,,
251933079380601,Kulpahar1 New,25.32583333,79.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,2.4,2.37,2.96,2.46,3.29,7.8,5.39,2.01,2.1,2.8,4.64,4.02,3.05,2.66,,2.1,2.72,,,,,,,,,,,,
252458079293701,Chatesar pz GWD,25.41611111,79.49361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.63,11.75,12.25,13.39,,,12.96,14.25,9.67,11,10.28,,8.88,12.11,12.4,,10.36,9.75,13.24,10.85,6.92,9.49,9.1,,,
251515079335401,Jaitpur NEW,25.25416667,79.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,6.48,6.95,,2.74,6.2,7.49,6.95,7.49,4.33,4.64,,4.31,6.03,6.3,,4.15,6.79,6.78,7.08,6.07,4.44,5.08,,,
251045079470001,Srinagar,25.1792,79.7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,,,
