station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
250753083020601,Adalhat,25.13138889,83.035,,,,,,,,,2.47,5.84,0.8,1.75,2.59,6.95,0.2,1.25,2.32,4.4,,1.44,2.63,2.07,,1.95,2.5,9.9,1.6,1.45,,8.55,1.3,1.53,3.3,6.37,1.67,1.65,3.6,8.45,2.15,1.7,3.73,7.7,2,1.65,4.6,9.75,3.27,2.55,3.3,8.62,2.52,2,3.72,8.17,0.72,2.13,5.73,3.1,1.9,2.01,4.05,9.11,3.7,1.4,6.8,,2.95,2.57,2.95,8.4,1.7,1.4,2.96,6.98,,1.76,3.66,7.61,1.6,2.15,3.67,6.98,1.32,,,1.17,1.17,2.71,,9.35,1.4,1.6,3.94,8.37,1.5,1.8,4.52,,1.55,2,5.03,9.37,1.92,1.45,3.3,,,1.8,2.52,,,,,,,,,,,
250115083022501,Ahraura,25.02083333,83.04027778,,,,,,,,,1.41,4.11,1.02,2.45,2.11,4.65,1.45,,1.63,6.35,,1.65,2.01,1.78,,1.79,1.8,3.03,1.57,1.7,,5.15,1.75,2.35,2.25,4.95,2.5,2.55,3.7,5.34,1.78,0.25,2.98,2.55,0.25,1.95,3.85,5.5,2.45,3.05,3.63,6.25,2.16,2.65,3.75,5.5,1.63,2.63,4.2,3.97,1.45,3.66,3.49,6.75,12.75,3.3,4.05,6.95,2.42,1.35,2.95,5.38,2.11,1.93,2.58,5.27,,2.05,2.45,4.54,3.09,2.15,4,4.49,1.87,,,2.99,2.99,5.06,,9.6,1.65,1.85,2.86,,1.92,1.95,2.35,,,1.85,3.25,6.47,1.05,1.25,2.5,,,3.55,4.87,,0.59,1.42,2.38,4.77,2.98,2.72,4.97,,,
245300082473001,Baghura,24.88333333,82.79166667,,,,,,,,,2.6,6.85,1,2.75,4.51,4.6,0.15,,2.52,6.05,,4.64,4.76,0.43,,1.85,2.19,6.95,0.35,2.05,,6.69,0.35,1.57,4.35,6.35,1.33,2.52,3.53,7.65,0.51,1.25,3.98,4.85,1.25,3,5.85,7.95,6.95,3.25,6.32,5.6,2.5,2.5,3.95,3.55,,2.14,5.2,0.67,1.71,2.62,3.45,4.7,0.95,,2.7,,0.95,2.95,5.29,6.13,0.5,2.16,3.31,7.03,,2.79,3.47,4.8,3.9,3.45,3.7,4.99,3.23,,,3.29,3.29,3.86,,6.45,0.85,1.45,4.19,3.95,0.95,3.9,7.18,,0.65,3.75,7.51,6.28,0.9,2.35,2.95,,,2.85,4.21,,0.43,2.18,3.29,4.01,0.95,4.15,3.93,,,
245538083024001,Barhanchuan,24.92722222,83.04444444,,,,,,,,,2.78,5.93,0.9,3.1,3.95,7,0.2,2.15,2.15,4.4,,3.21,3.05,1.35,,2.17,2.74,9.62,3.08,2,,4.8,0.9,1.53,3.2,4.39,1.34,,4.54,4.4,0.78,1.4,2.4,4.6,1.1,3.1,4.3,5.3,1.11,,2.02,5.2,1.02,1.97,3.45,3.69,,2.5,3.45,1.1,0.85,3.61,3.73,6.18,0.6,2.7,3.83,5.03,1.25,2.33,2.86,4.6,1.12,1.68,2.35,3.91,,1.97,2.5,3.64,1.68,1.78,2.13,3.44,3.87,,,2.16,2.16,5.07,,4.1,0.6,1.4,3.01,4,1.3,1.7,3.6,,0.5,1.27,2.07,3.18,1.53,0.86,1.1,,,1.72,2.64,,0.52,1.46,2.54,3.9,1.14,2.17,3.04,,,
250910082233001,Gaipura,25.15277778,82.39166667,,,,,,,,,13.38,14.2,12.35,12.3,13.72,14.15,10.9,11.95,11.94,12.8,,10.66,12.47,12.88,,10.5,10.47,11.58,11.4,10.64,,12.3,11.4,10.1,10.4,11.83,,11.48,12.2,13.48,12.17,11,11.4,12.2,12.2,12.9,13.8,14.74,13.85,14.42,14.68,16.05,14.2,13.1,13.1,15.38,13.16,14.5,14.89,17.26,10.64,12.4,13.01,14.9,14.9,,,,16.8,17.44,,,15.98,15.1,15.05,17.7,,12.8,14.35,13.8,13.6,11.2,,13.91,3.42,,,10.04,10.04,11.16,,17.66,7.5,13.53,12.81,17.3,12.2,14,14.88,,,,,,,12.4,12.26,,,11.8,12.7,,10.57,10.27,11.03,13.31,11.88,11.7,12.64,,,
250930082290001,Gopalpur,25.15833333,82.48333333,,,,,,,,,10.12,13.94,12.97,12.51,13.18,14.98,10.1,10.27,10.16,12.6,,8.12,9.86,13.15,,13.15,4.5,9,7.18,5.55,,10.5,8.8,4.3,4.4,8.54,,7.77,8.4,12.1,,5.8,5.75,10.3,10.4,9.8,11.45,13.6,12.4,10.65,11.26,13.5,10.6,9.86,10.65,13.1,9.87,12.5,15.09,14.85,7.55,9.96,10.68,13.64,14.1,14.6,15.2,16.63,12.9,13.31,12.75,15.25,11.78,10.6,11.22,15.85,,9.7,12.46,15.1,10.89,10.47,10.5,15.19,10.09,,,11.43,11.43,13.07,,,13.2,11.6,11.44,,11.5,11.8,12.66,,9.7,12.78,13.45,16.37,13.7,9.2,8.05,,,7.05,9.3,,5.53,4.98,8.3,11.42,11.6,9.99,11.69,,,
244936082192401,Halia,24.82666667,82.32333333,,,,,,,,,4.39,5.43,4.38,6,5.87,6.83,,5.63,6.26,8.07,,5.67,5.97,,,1.5,7.6,8.96,4.89,5.5,,10.3,,4.5,7.7,9.55,7.4,3.46,,9.5,,5.3,,8.5,5.4,4.45,,12.72,5.06,6.2,6.82,10.41,7.75,5.95,4.72,7.8,11.24,4.88,4.52,10.64,5.55,7.06,7.71,8.2,5.55,10,5.18,,4.53,5.5,5.7,8.25,4.08,4.12,5.65,8.16,,4.01,4.75,9.4,4.52,7.94,8.55,7.76,5.49,,,7.14,7.14,7.37,,7.4,0.3,0.5,6.63,9.2,0.77,1.6,2.5,,5.45,6.5,10.1,8.38,2.4,4.4,4.78,,,2.59,3.25,,2.74,6.71,6.42,6.91,3.44,4.47,5.24,,,
245130082423001,Kalwari,24.85833333,82.70833333,,,,,,,,,5.55,9.87,0.35,4.94,5.11,17.22,0.93,4.74,4.72,6.63,,3.33,6.9,1.5,,2.35,4.01,7.05,2.01,8.55,,,0.85,4.45,8.45,,3,6.2,8.98,21.15,6.75,3.05,6.2,9.85,2.05,7.45,17.35,19.7,1.51,7.31,10.39,15.02,2.5,6.22,10.61,15.65,,7.45,17.05,17.85,4.4,8.64,14.23,16.79,2.69,6.95,9.95,,,,13.74,16.52,,4.85,6.98,17.6,,6.91,10.07,,8.41,,2.35,10.73,2.11,,,3.44,3.44,12.05,,11.95,,,,,,,,,,1.83,2.72,4.53,3.03,,1.88,,,,,,,,,,,,,,,
250100082365001,Kunabimar,25.01666667,82.61388889,,,,,,,,,12.56,13.1,,12.65,13.11,,4.15,11.88,12.73,,,5.52,12.66,7.55,,,12.52,9.71,6.11,12.35,,13.35,0.85,11.15,4.05,13.05,6.65,11.98,,,4.82,2.85,12.53,8.15,2.95,4.45,6.65,11.55,4.62,12.25,12.63,13.29,8.9,12.75,10.13,13.75,3.76,12.95,13.54,15.8,5.47,12.39,13.41,13.45,7.55,,13.55,,6.03,6.38,12.63,13.4,4.71,12.35,12.62,13.42,,12.33,13.65,8.5,6.4,3.5,3.45,,,,,12.27,12.27,13.16,,,1.55,1.35,11.12,,1.65,1.95,13.05,,5.53,2.35,6.62,9.35,2.3,3.05,3.35,,,,,,,,,,,,,,,
250115082215001,Lalganj,25.02083333,82.36388889,,,,,,,,,2.57,3.97,2.02,2.69,2.67,5.12,1.76,2.19,2.39,3.77,,2.2,2.49,3.39,,2.37,2.62,6.53,1.89,3.95,,9.97,1.27,2.67,2.97,9.87,2.85,3.32,3.67,6.68,1.87,2.57,2.63,5.77,2.47,3.17,5.27,11.92,1.96,2.74,3.31,11.12,2.01,2.8,3.37,5.32,8.19,2.77,3.56,11.2,1.97,4.06,2.85,5.17,2.97,4.57,7.41,11.47,1.82,2.59,2.72,,1.02,2.47,2.53,4.17,,2.49,3.65,4.47,2.63,2.47,2.72,3.7,1.29,,,2.82,2.82,4.52,,10.17,1.87,2.23,3.61,9.77,2.3,2.43,2.73,,1.37,2.53,2.87,4.51,2.11,2.12,2.59,,,2.74,2.77,,1.79,2.62,3.21,3.5,3.17,6.13,3.11,,,
