station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
252700081583001,Allahabad,25.45,81.975,,,,,,,,,2.8,4.05,2.29,2.44,2.95,4.52,,2.63,2.65,4.1,1.61,2.09,2.81,3.57,1.22,2.05,2.31,3.21,1.17,2.11,,3.67,1.65,1.45,,3.45,2.35,1.95,2.18,4.35,3.05,2.04,3.47,2.3,2.61,2.09,3.05,3.25,1.95,2.2,2.58,4.45,3.7,3.75,4.29,5.2,,3.24,2.96,4.83,2,2.44,2.93,3.65,6.15,2.65,4.47,6.03,5.23,2.74,4.63,6.54,2.45,2.15,2.53,2.37,,0.3,3.15,6.72,1.67,,,,,,,,,,,,,,,,,,,,,,10.87,,7.49,6.47,8.96,,6.44,6.49,9.09,,,7.13,9.99,10.95,9.03,7.24,,,,
252025082163001,Baraut1,25.34027778,82.275,,,,,,,,,2.07,4.5,2.12,2.56,3.15,4.6,2.38,3.02,4.7,5.35,,2.05,2.67,4.08,0.89,1.6,1.88,3.54,1.55,2.77,,5,1.5,1.5,,3.5,1.3,1.6,1.95,3.4,2.37,1.95,2.96,3.3,3.1,3.42,4.07,6.16,5.26,5.81,6.04,7.67,2.7,3.5,4.22,4.1,3.18,3.59,3.46,4.58,1.25,2.55,2.38,3.62,2.16,2.63,2.5,3.3,1.99,2.03,2.05,2.6,,1.2,,2.29,,0.7,0.72,1.39,0.05,0.28,0.4,1.74,0.96,,1.72,2.47,1.27,2.2,,2.86,,1.08,1.4,2.66,0.98,1.24,1.63,2.69,0.83,1.22,1.42,1.32,0.69,0.86,1.01,,0.91,1.18,1.47,,0.97,1.15,1.25,2.08,1.26,1.26,1.69,,,
252155082111001,Handia,25.36527778,82.18611111,,,,,,,,,1.92,4.37,1.3,1.24,1.72,3.94,1.46,1.25,1.38,6.68,,1.1,0.92,3.73,0.01,0.78,0.72,2.03,0.05,1.11,,2.26,,1.38,,2.18,0.38,0.88,1.04,1.58,0.7,6.58,1.44,0.45,0.33,0.8,0.78,1.73,0.38,1.22,2.34,3.75,0.09,1.88,1.7,2.58,0.78,0.95,1.51,2.58,0.06,0.56,0.85,2.28,0.9,1.34,1.53,3.63,1.14,1.05,1.54,3.28,,1.35,,3.3,,0.95,1.83,2.91,,0.32,0.07,,,,0.84,2.56,1.36,2.38,,3.98,,0.86,1.03,5.4,1.31,2.65,3.55,5.1,1.77,1.67,2.29,3.82,0.76,0.55,0.85,,0.45,1.05,1.24,,,0.42,0.77,2.09,0.92,0.9,1.6,,,
251700081561801,Karchhana,25.28333333,81.93833333,,,,,,,,,6.29,11.17,6.35,6.27,6.82,9.62,6.27,5.47,7.97,8.98,2.07,2.54,5.31,8.1,0.32,4.3,4.42,,,3.81,,10.01,4.77,4.57,,9.07,4.67,3.98,5.64,14.64,4.87,2.3,4.77,6.87,9.45,4.77,6.42,9.04,8.19,6.71,7.36,9.67,7.87,10.87,11.35,9.37,6.53,6.88,6.87,8.69,2.01,3.91,5.77,7.79,9.1,6.62,10.03,11.17,10.97,10.24,10.27,,,6.25,7.01,10.37,,4.91,5.75,8.41,0.75,1.86,2.31,6.2,4.02,,,10.19,10.19,,,,,,,,12.27,12.29,,,,,,,,,10.44,,10.58,9.14,11.19,,7.48,4.88,7.41,10.61,11.89,10.28,10.99,,,
252812081580001,Kasarua,25.47,81.96666667,,,,,,,,,10.59,15.88,9.81,12.64,13.27,16.48,14.82,11.88,13.58,14.87,,10.95,,14.3,6.98,,9.83,12.28,7.02,8.56,,13.42,,,,,11.88,12.85,12.93,14.58,11.16,9.98,12.93,12.28,,14.28,15.38,15.43,13.55,14.68,15.51,16.89,17.68,18.51,19.19,18.08,16.79,17.17,18.62,18.79,14.78,16.15,16.09,18.3,,19.73,18.33,19.91,20.28,20.04,19.58,19.68,,,,19.68,,11.48,17.63,18.58,12.21,9.32,11.71,13.26,14.05,,14.46,15.76,17.67,19.17,,,11.75,17.39,17.42,,15.76,18.42,18.84,19.86,20.21,20.1,20.17,20.36,18.7,15.02,15.14,,16.55,,,,,,8.48,,,,,,,
253640082055001,Mallhan,25.61111111,82.09722222,,,,,,,,,3.84,4.08,6.69,2.57,3.23,4.78,4.4,3.21,3.33,6.01,,2.71,3.08,4.88,1.63,2.36,2.49,4.73,1.95,2.53,,4.92,2.93,2.13,,4.43,4.08,2.7,3.04,4.93,2.83,1.62,2.75,4.39,3.68,4.54,4.28,5.69,5.13,4.33,4.53,6.32,4.91,5.65,6.74,6.38,6.07,6.54,7.85,7.55,4.85,4.8,4.85,6.05,8.1,6.2,5.88,7.33,7.15,6.9,7.23,8.08,5.88,4.93,4.78,6.72,,3.43,4.11,5.1,1.01,2.04,1.97,4,3.63,,4.57,5.58,4.82,6.22,,,5.09,4.97,5.43,5.43,6.35,8.39,,8.15,7.42,6.2,6.86,7.17,6.72,4.39,4,,3.32,3.18,3.89,,,2.06,2.64,5.34,6.8,4.69,5.23,,,
250830082060001,Meja,25.14166667,82.1,,,,,,,,,3.88,1.88,2.6,4.46,5.1,8.8,1.17,3.68,5.18,9.62,3.07,3.81,10.68,10.7,1.48,4.78,15.3,5.53,1.46,4.91,,7.63,1.38,3.98,,7.18,1.78,4.2,5.4,6.78,2.18,4.42,6.1,1.63,3.23,4.7,6.34,5.84,2.4,5.03,6.08,4.7,0.98,5.08,6.3,5.26,,5.38,6.55,6.54,2.7,5.15,5.12,4.88,4.87,4.65,5.09,6.81,3.64,5.67,5.79,5.58,2.9,5.22,5.47,4.98,,4.62,5.5,3.52,2.08,5.09,5.22,4.66,4.68,,4.19,5.44,3.9,3.37,,4.44,1.3,3.74,4.78,5.86,3.01,5.17,4.48,4.24,1.61,3.24,4.36,5.04,1.25,4.37,3.71,,1.49,5.04,5.51,,1.35,3.86,3.69,4.24,3.14,4.62,3.95,,,
251500082014801,Meja road,25.25,82.03,,,,,,,,,6.31,11.24,7.09,7.01,7.65,11.55,7.38,6.55,12.95,10.1,4.7,5.43,7.13,9.61,2.63,4.28,5.23,9.11,3.45,4.16,,9.4,4.45,10.05,,9.15,8.95,3.37,8.88,10.7,7.85,5.47,7.94,10,5.35,7.56,10.58,12.38,7.81,6.45,10.05,13.75,11.47,8.42,9.17,12.63,,8.66,13.89,14.65,7.6,9.07,10.18,13.87,17.55,19,,19,,,,,15.55,13.4,13.73,,,9.82,11.75,14.93,9.48,6.95,7.19,10.41,8.87,,13.14,14.03,13.15,,,,13.69,10.12,11.25,,12.16,13.63,16.42,,15.35,12.51,15.91,,12.97,5.32,6.49,,12.87,13.55,14.62,,8.01,5.12,8.08,12.39,13.93,10.97,11.7,,,
250710081593001,Narayan crossin,25.11944444,81.99166667,,,,,,,,,6.59,9.1,6.25,7.8,,10.1,5.58,7.59,8.3,9.32,4.58,5.16,5.33,8.43,1.67,3.23,5.24,8.08,3.48,6.22,,10.6,5.9,6.2,,9,6.5,7.2,6.98,9.7,7.1,4.58,6.5,7.85,8.05,3.67,7.9,10.31,8.32,9.14,9.67,10.48,8.82,9.2,10.02,10.7,,9.66,10.12,11.02,4.48,3.56,4.6,10,,11.3,,,12.05,,,,,,,,,,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253310082053001,Phulpur2,25.55277778,82.09166667,,,,,,,,,1.07,3.45,1.06,0.75,1.35,3.15,0.16,0.78,0.75,2.75,,0.71,5.1,2.73,0.01,0.56,0.62,2.55,,0.74,,2.88,0.25,0.25,,2.65,1.55,1.73,1.89,3.7,0.55,0.19,1.67,2.51,2.38,2.85,3.28,4.17,2.85,2.58,3.24,4.64,2.35,3.05,4.01,4.15,3.68,4.15,4.27,4.81,1.86,2.43,2.65,4.1,,3.8,3.66,5.17,5.03,4.53,4.71,,3.4,3.2,3.17,4.65,,2.3,1.65,3.15,,1.09,1.05,2.25,1.4,,1.6,3.27,2.17,3.25,,3.67,,0.53,,,,2.22,2.41,,5.53,6.15,6.51,7.52,6,4.36,4.54,,3.95,4.46,5.06,,,2.53,3.21,5.6,6.03,4.79,5.59,,,
