station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
294112077420001,Deoband,29.68666667,77.7,,,,,,,,,2.8,4.71,2.38,1.81,2.33,3.5,1.47,2.07,2.17,2.75,4.36,1.55,1.42,3.62,2.2,2.62,2.89,4.05,1.92,2.05,,4.26,1,2.33,2.65,3.83,2.85,2.25,2.9,3.7,1.91,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301512077441801,Shakhambari,30.25333333,77.73833333,,,,,,,,,4.91,5.88,,4.45,4.11,6.03,2.15,3.93,3.91,4.73,3.62,4.03,4.1,7.2,3.1,3.78,4.35,5.16,3.78,5.58,,5.56,3.13,4.53,4.48,5.36,4.73,4.12,4.49,,2.28,3.93,4.59,5.61,4.41,,4.49,,3.38,3.88,4.33,4.97,4.43,4.83,5.13,4.43,3.75,4.43,4.78,5.13,3.48,2.03,4.78,4.43,4.88,4.74,3.93,5.7,2.33,3.73,3.6,4.34,1.85,2.58,2.48,4.43,,3.08,2.13,4.67,2,2.63,2.85,4.71,,,,5.02,2.88,2.13,,,,3.48,,,1.05,2.08,2.1,2.4,1.46,2.38,2.33,,1.87,,2.03,,1.98,2.91,2.2,,1.94,3.35,2.19,5.01,2.05,2.08,2.13,,,
300800077511802,Sunderpur1,30.13333333,77.855,,,,,,,,,9.52,10.57,8.28,8.87,8.5,11.36,8.82,8.77,9.2,10.76,7.93,8.37,9.2,10.85,9.43,8.96,9.74,10.89,7.27,7.3,,10.42,7.75,7.72,9.5,10.72,10.3,9.6,10.62,11.4,9.95,9.16,6.9,11.72,9.3,10.35,11.04,12.07,10.92,10,11,11.6,12.9,12.47,12.45,12.9,11.25,12.4,12.9,13.6,11.35,10.79,12.25,13.53,7.7,12.67,13.28,16.32,11.7,11.4,12,12.9,5.71,10.98,11.5,12.48,,12.33,11.85,11.34,9.06,10.1,10.85,12.56,,,,11.82,9.6,11.4,,,,11.7,12.2,,5.02,8.52,8.2,,7.73,9.4,10.7,,5.89,,,,6.49,7.23,0.4,,6.7,7.36,,7.71,5.63,7.4,,,,
301005077491001,Mohand,30.16805556,77.81944444,,,,,,,,,,3.65,2.67,7.25,8.14,8.85,5.05,6.7,6.59,8.78,4.89,6.73,8.12,12.2,4.61,7.71,8.45,6.64,4.89,6.85,,9.1,4.54,7.3,8.5,9.36,7.15,7.69,8.92,,5.05,,,,,7.7,,9.53,5.86,6.5,8.05,8.85,,8.55,8.95,9.4,6,8.65,9,8.75,5,6.7,7.95,9.63,6.65,8.04,8.47,9.47,4.65,6.92,7.71,8.8,4.86,7.47,8.15,9.67,,8.26,7.02,6.83,4.95,6.75,8.05,8.88,,,,9.68,6.25,,,,,8.32,8.9,,,,,9.3,7.32,6.85,7.85,,,,8.46,,8.82,9.54,9.23,,6.15,6.39,7.73,7.23,4.91,8.6,9.61,,,
302048077361601,Bagh colony,30.34666667,77.60444444,,,,,,,,,,,2.98,3.05,,5.84,2.57,3.62,3.22,4.37,1.92,2.22,2.31,4.22,1.54,2.47,3.2,4.32,,2.82,,4.45,,2.87,3.61,3.36,3.97,3.92,4.3,,3.87,3.52,1.66,2.3,1.57,4.63,,4.3,7.18,2.15,3.5,4.14,,4.12,4.6,5.35,,4.95,,,,,,5.78,4.77,3.01,3.89,5.46,,,3.3,,1.41,2.75,4,,,3.74,3.9,1.44,1.8,3,,4.23,,,,6.05,2.76,5.79,,5.77,,4.02,5.88,6.45,4.72,,6.56,5.98,5.38,2.41,,6.37,,,4.24,,,4.67,4.74,,,,,,,3.35,5.02,,,
300330077353001,Ghuna,30.05833333,77.59166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.65,,1.22,1.7,2.25,,,,,3.71,3.45,2.72,3.3,4.09,,3.4,3.7,4.57,1.02,2.51,2.58,4.1,1.01,2.17,2.44,3.45,1.25,,3.16,,1.43,3.48,3.29,,1.26,1.94,1.69,3.54,1.57,2.24,2.93,,,
294900077153001,Mainpura Pz GWD,29.81666667,77.25833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,16.78,,15.53,15.65,15.58,14.86,,,,17.17,16.27,16,16.9,,,17.03,,17.78,17.64,16.86,17.02,19.45,16.71,,15.1,16.91,16.46,,14.8,,16.52,14.18,14.47,,14.28,14.68,,,16.04,14.67,14.02,,,
295200077233001,Lundi  Pz GWD,29.86666667,77.39166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,8.3,8.2,8.33,,,,8.86,7.9,8.75,9.1,9.73,,9.17,,9.18,7.81,8.38,8.7,10.79,9.47,,8.1,8.95,8.29,,7.49,,,7.62,7.57,,6.75,,7.67,,,7.74,7.79,,,
295300077153001,Siriska Pz GWD,29.88333333,77.25833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43,,,12.65,12.8,12.27,,,,15.88,15.56,14.3,15,,,16.09,,15.65,15.65,16.18,16.3,,,,,,12.86,,12.4,,,12.94,12.56,,11.72,12.79,12,,,13.54,13.28,,,
294400077223001,Tikrol Pz GWD,29.73333333,77.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,7.48,6.9,7.02,7.49,,,,7.57,7.25,5.4,7.9,7.95,,7.67,8.15,8.96,8.37,6.2,6.51,,8.08,7.2,7.3,8.78,7.96,,7.31,,7.99,8.8,8.36,,6.85,6.79,6.53,7.62,7.48,7.07,7.35,,,
