station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
252730082441001,Anai,25.45833333,82.73611111,,,,,,,,,3.71,4.78,0.53,1.94,1.95,5.41,2.66,1.23,1.29,,,,1.38,3.11,,1.3,1.63,2.6,1.55,3.43,,3.93,0.33,1.36,,3.28,2.32,1.56,2.89,3.72,,1.33,,3.73,3.09,3.98,4.53,5.46,0.74,2.53,3.24,4.74,2.58,2.36,3.91,5.06,,3.73,2.83,2.58,6.62,3.37,4.05,5.97,3.83,3.43,4.93,7.66,4.76,5.01,4.73,6.79,4.52,1.53,1.94,5.33,,2.3,3.63,6.38,4.78,1.53,2.63,4.23,1.53,,,2.23,2.23,2.36,,6.03,0.83,0.99,3.85,5.23,1.23,1.3,1.53,,0.88,1.98,3.21,5.23,4.21,0.98,1.24,,,2.66,3.95,,1.04,1.31,1.27,3.08,0.97,1.4,1.59,,,
252142083043001,Barwaon,25.36166667,83.075,,,,,,,,,2.75,6.28,5.32,4.9,3.83,6.91,3.67,3.11,4.28,2.67,,0.59,3.38,6.36,,0.4,1.73,4.08,3.48,3.31,,6.38,1.01,2.81,0.41,8.01,3.29,2.49,4.56,6,0.52,2.6,4.08,6.2,4.3,6.42,5.1,6.53,2.17,7.03,7.68,7.06,,5.76,8.86,10.1,8.5,9.31,8.86,13.1,3.02,,6.94,7.76,10.16,11.61,10.66,,14.19,13.66,,14.43,12.15,10.41,11.06,14.36,,12.49,13.27,14.7,14.95,,3.71,14.2,10.31,,,10.16,10.16,11.93,,13.91,,,13.75,13.41,4.21,4.07,4.37,,12.43,,,,,,,,,3.9,5.29,,,,,,,,,,,
252700083051201,Chobepur,25.45,83.08666667,,,,,,,,,5.23,7.17,3.65,4.5,4.93,6.9,2.28,2.95,3.38,6.62,,3.65,4.16,6.95,,1.76,3,5.5,1.64,2.15,,5.9,3,2.05,2.5,5.13,4.66,,3.93,8.78,1.86,2.8,3.27,5.7,5,5.9,6,7.7,5.64,6,6.35,7.94,5.1,5.62,6.06,7.12,4.1,4.71,6.3,7.63,3.16,4.23,4.97,7.06,7.4,7.4,8.23,10.19,9.52,8.85,9.28,11.48,8.52,6.35,6.85,10.3,,8.47,9.66,11.47,9.27,8,9.35,10.6,8.15,,,4.4,4.4,6.02,,4.9,2,2.25,9.75,8.4,4.36,5.3,6.1,11.2,10.1,12.55,12.46,8.55,5.7,2.05,3.4,,1.48,6.3,4.72,,2.7,1.91,3.39,6.56,5.4,6.08,6.67,,,
251135082503001,Jikhan(narsara),25.19305556,82.84166667,,,,,,,,,7.14,8.4,9.61,8.48,8.59,14.1,9.37,7.52,7.97,,,,7.58,11.3,,4.9,5.52,7.75,6.07,4.25,,9.4,,5.6,,8.57,9.49,9.53,8.68,11.36,,6.6,,9.8,,10.9,11,12.3,4.25,9.6,12.28,11.65,9.2,11,9.75,11,10.28,9.82,9.6,8.45,6.05,7.28,8.19,9,11.3,10.9,11.6,,13.45,12.23,12.2,13.95,11.88,8.87,9.3,11.75,,8.78,8.28,11.3,11.6,10.6,10.9,12.34,11.9,,,10.48,10.48,10.21,,12.8,9.27,9.9,10.84,10.05,9.85,10.1,8.9,12.7,15.35,6.5,7.68,9.28,8.3,4.36,3.65,,2.8,6.71,8.4,,5.74,5.14,5.9,10.87,8.44,9.45,10.03,,,
252021082462401,Kakrahwan,25.33916667,82.77333333,,,,,,,,,9.42,13.42,9.95,9.9,10.41,12.84,14.96,7.59,8.25,5.22,,2.95,8.04,11.32,,4.84,5.05,6.23,6.11,3.99,,9.2,4.84,3.09,,5.36,6.93,4.38,7.89,11.27,,5.49,6.59,10.09,9.94,12.69,13.89,14.44,11.09,16.24,17.09,16.7,14.59,15.51,17.57,18.25,8.87,17.59,17.19,20.09,14.35,14.2,14.97,17.67,17.49,17.84,18.79,19.69,19.24,19.03,19.22,,17.67,16.29,17.11,20.05,,17.06,16.68,20.34,17.65,,8.09,18.39,15.44,,,15.99,15.99,18.21,,17.59,5.39,5.69,17.7,16.69,6.14,5.55,5.69,19.39,15.66,,,,,,,,,,,,,,,,,,,,,
253100082490501,Phulpur1,25.51666667,82.81805556,,,,,,,,,7.21,7.59,4.9,5.09,5.99,7.65,8.41,3.88,3.59,5.73,,3.91,3.56,5.96,,1.98,3.43,5.93,4.23,3.23,,6.6,4.33,2.28,4.23,5.63,4.3,3.6,3.79,5.55,1.07,1.93,3.46,6.23,5.69,6.43,7.13,8.68,8.09,7.63,7.81,9.65,8.97,9.65,9.65,9.65,9.55,9.65,9.65,9.65,7.59,8.13,9.65,9.65,,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,,,,,,,,,7.76,,,7.53,,,
251612082510001,Rajatalab,25.27,82.85,,,,,,,,,7.14,7.48,7.13,6.73,6.89,7.55,9.65,5.25,5.38,7.01,,4.21,4.78,6.71,,0.98,1.08,4.95,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252342083043001,Rustampur,25.395,83.075,,,,,,,,,6.57,8.11,3.99,4.26,6.94,8.53,5.15,5.16,4.53,8.34,,4.97,6.52,8.22,,2.43,4.18,7.56,6.9,3.78,,8.98,6.38,2.78,4.48,8.45,7.33,,9.16,8.36,1.69,11.08,8.41,11.18,11.48,12.58,13.18,14.08,10.49,12.83,13.03,14.93,13.1,13.1,14.2,15.14,13.48,13.5,14.78,14.43,10.98,11.66,11.81,14.26,14.38,15.08,15.85,16.83,15.28,14.28,14.82,,12.83,12.68,12.58,14.86,,12.95,13.68,14.88,14.24,11.38,11.83,14.88,9.48,,,14.38,14.38,15.98,,16.08,10.28,10.68,14.44,13.98,11.28,12.72,13.88,15.31,13.73,13.28,14.28,14.97,12.73,7.78,7.58,,5.58,10.68,7.93,,2.1,,3.88,4.88,4.24,4.45,5.35,,,
253130082561001,Sindhaura,25.525,82.93611111,,,,,,,,,3.9,4.56,1.43,2.24,3.29,5.1,3.8,,1.76,5.88,,,2.94,4.63,,1.78,2.88,5.53,3.54,2.98,,4.75,1.78,1.98,4.58,4.16,2.53,3.57,3.67,4.06,,2.08,3.36,4.48,2.58,4.68,,4.83,2.28,4,4.58,5.67,3.13,5.32,6.18,6.15,8.45,5.6,6.77,6.88,5.7,6.79,7.13,7.2,8.18,8.68,11.86,12.35,8.88,9.41,,,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69,,,,,7.13,7.43,,,,,,,,3.68,,8.08,5.23,6.95,,,
251800082570001,Varanasi,25.3,82.95,,,,,,,,,11.56,12.1,9.5,9.4,10.09,12.15,8.49,8.57,8.18,10.02,,6.3,7.28,9.1,,3.4,5.86,8.8,6.8,5,,8.9,5.9,3.6,6.5,8.08,8.62,8.13,9.52,11.09,6.54,6.6,7.34,10.1,10.7,12.7,12.9,13.1,9.65,10.95,12.6,11.6,10.04,10.9,11.88,12.17,9.4,9.8,11.35,10.86,5.3,8.4,8.96,9.4,10,9.9,11.2,12.26,10.3,8.35,10.43,12.85,11.36,10.13,11.43,13.72,,10.03,11.75,11.99,8.6,8.5,9.25,10.6,10.2,,,9.4,9.4,12.2,,12.8,8.1,7.5,9.8,12.5,9.2,11.3,12.2,11.15,7.15,9.2,8.11,13.74,11.65,6.6,8.9,,6,7.8,10.1,,4.8,5.51,6.51,,7.85,7.75,9.53,,,
