station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
295503078023801,Bahdrabad,29.9175,78.04388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.4,3.36,3.04,4.04,5.1,4.12,4.18,5.58,5.49,4.38,,5.73,4.78,4.35,4.36,4.62,4.31,4.87,4.97,5.1,5.56,2.5,1.97,3.17,,2.48,,4.31,5.4,,5.09,5.63,5.44,6.64,4.41,,,,2.47,,,,,,,,,,,,8.75,,8.44,,,,,,,,,,,,,,,,,,,12.93,14.19,,
300511077525301,Budhwa Shahid,30.08638889,77.88138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,3.5,2.74,1.48,2.36,,2.88,3.32,3.71,4.49,3.12,,4.19,5.14,2.64,3.24,,,,,,,,,2.61,4.33,1.44,1.87,2.44,,,3.29,3.6,4.52,2.97,2.92,2.27,3.92,2.73,5.6,3.07,4.38,3.3,1.57,,4.95,2.48,3.93,3.82,4.73,3.8,2.8,3.26,4.62,,,,,,,,,,,,,,,,,,,4.58,6.2,,
295314078080602,Dhanpura,29.88722222,78.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,5.86,2.66,3.1,4.13,5.45,4.32,4.81,4.9,5.58,2.55,,4.9,6.04,1.65,3.6,4.87,6.1,4.44,,4.88,6.7,,4.02,3.74,6.18,,,,6.35,,,,,6.24,,5.8,,,,,5.54,5.54,,,,4.39,6.5,,,5.3,5.66,,,,,,,,,,,,,,,,,,,,,7.59,8.26,,
294633077594801,Hussainpur,29.77583333,77.99666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,3.28,,1.63,1.73,4.73,1.83,2.4,2.42,2.93,0.76,,2.68,3.44,1.11,2.93,3.9,3.81,1.67,2,2.17,4.04,1.13,2.76,1.86,3,0.91,2.26,2.54,4.49,,2.57,2.29,4.15,1.48,2.2,2.13,4.73,2.63,2.57,,4.38,1.77,2.53,,4.56,,2.3,,3.81,0.93,1.86,0.83,,,,,,,,,,,,,,,,,,,,1.73,2.31,,
294818078081701,Shahpur,29.805,78.13805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,5.73,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,,,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,5.72,,
295914077483701,Bahabalpur HP,29.98722222,77.81027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,3.56,3.71,4.28,,,4.12,4.32,3.37,3.04,4.08,3.89,3.58,3.88,3.88,2.02,1.7,1.82,1.87,1.12,1.37,1.76,2.27,3.8,,3.68,3.99,3.86,0.43,1.92,1.88,,2.98,2.54,2.5,3.48,,,,9.12,2.07,2.81,2.52,3.36,1.07,1.73,,,,,,,,,,,,,,,,,,,,,2.99,3.81,,
295630077484501,Bhagwanpur HP,29.94166667,77.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.43,15.91,17.71,24.13,16.54,,18.43,21.64,21.13,18.18,17.87,21.73,22.43,19.82,,14.32,,15.36,,,14.46,13.23,16.27,23.38,,19.53,16.83,21.27,16.93,16.45,13.51,,18.34,18.15,15.44,22.69,16.03,,,13.62,15.61,8.99,12.13,12.12,23.73,18.93,,,,,,,,,,,,,,,,,,,,,21.61,24.59,,
300500077540801,Bugawala HP,30.08333333,77.90222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,6.34,7,9.78,5.83,,7.52,8.23,5.05,5.83,6.6,8.2,7.19,6.31,7.47,8.96,5.57,4.72,4.91,7.17,3.2,3.83,4.07,6.38,,5.69,6.3,5.36,3.18,4.21,3.96,,3.62,,,,,,,,,,6.67,8.55,6.38,3.11,,,,,,,,,,,,,,,,,,,,,9.6,9.47,,
295426077452901,Chudiala Piezometer,29.90722222,77.75805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,17.42,17.24,13.4,17.88,,17.59,21.15,20.57,18.41,18.14,19.02,19.94,18.32,18.5,19.88,20.65,18.71,11.57,,17.33,,,20.1,,,,22.41,13.76,18.16,16.81,22.06,22.56,,,23.76,23.76,,,,,,,,,21.05,,,,,,,,,,,,,,,,,,,,,23.12,21.44,,
295228077480001,Iqbalpur HP,29.87444444,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.22,16.02,17.08,20.1,10.7,,18.98,13.2,13.2,14,16.53,17.66,21,17.07,15.69,19.43,10.49,11.42,12.93,14.31,10.46,13.4,13.49,8.3,,14.6,14.04,18.11,10.7,13,10.9,17,17.67,15.68,13.14,14.54,13.85,,,10.58,13.32,13.75,13.17,19.79,14.81,15.53,,,,,,,,,,,,,,,,,,,,,17.81,17.36,,
