station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
290428079312001,Lal kuan (new),29.07444444,79.52222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,11.1,9.24,7.31,7.71,9.52,10.46,11.01,11.56,12.21,10.32,,6.71,8.97,5.08,2.72,3.15,6.71,7.89,6.89,6.32,9.21,7.17,6.8,3.61,5.1,4.61,4.27,5.11,9.38,,,9.89,11.23,,6.59,,,10.11,,9.17,10.65,,9.18,,,9.21,,10.44,,,9.41,5.21,11.27,10.58,8.75,8.6,11.51,,11.79,11.11,,,10.55,10.25,,12.4,12.4,,12.4,12.4,13.9,8.13,15.78,15.78,
291841079123602,Belparao HP,29.31138889,79.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.21,52.66,50.79,51.88,51.02,,,,55.77,45.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.36,53.37,55.24,58.06,,61.81,61.08,,,60,61.77,,56.3,55.16,,56.29,57.07,55.2,55.39,0,0,
292505079000002,Dhela HP,29.41805556,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.68,73.5,71.63,64.69,61.96,,,,63.4,67.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.66,71.2,70.68,8.23,73.58,66.42,72.63,71.47,,,77,77.32,,67.11,,,69.82,,,79.1,67.45,67.45,
292310079171301,Dhoniya HP,29.38611111,79.28694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.15,65.23,54.85,59.59,75.1,,,,73.39,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.58,70.98,58.43,71.17,71.9,68.48,60.01,60,,,56.7,65.28,,48.61,37.04,,48.48,,,64.43,69.79,69.79,
292919079083101,Garjiya,29.48861111,79.14194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,2.76,4.46,5.31,4.21,,,,4.51,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.1,3,4.19,3.75,3.34,3.2,4.1,4.03,,,4.35,4,,3,,,,,,,0,0,
291809079194101,Kaladhungi HP,29.3025,79.32805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46,24.43,26.44,27.18,29.42,25.5,,,,,,,17.64,,26.17,26.68,27.59,26.73,27,27.54,28.32,24.66,26.53,27.35,20.15,25.8,26.5,25.75,28.62,,27.48,28.44,29.12,26.65,28.16,,29.85,29.2,,28.49,28.52,27.8,,,31.75,27.05,27.97,29.25,34.4,,27,,29.42,27.79,27.37,30.55,29.57,28.53,27.89,28.4,,,28.73,29.55,,,26.58,,29.4,27.67,26.74,27.65,29.25,29.25,
291606079324301,Kathgodam HP,29.26833333,79.54527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06,13.86,17.25,19.3,19.56,14.22,17.81,19.26,19.43,12.47,,19.42,19.41,14.71,17.42,18.45,19.46,14.82,17.16,19.08,21.02,18.02,,22.6,19.42,14.86,17.22,19.36,29.44,,17.28,18.87,19.56,14.86,18.22,,20.15,16.15,,18.86,18.78,16.46,,,19.34,10.76,17.06,15.89,19.86,,16.69,,19.12,17.91,14.49,19.11,19.06,16.21,16.77,16.23,,,14.6,18.26,,14.94,16.59,,18.57,14.53,16.11,17.35,18.69,18.69,
290556079413402,Khaat Baas HP,29.09888889,79.69277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,33.97,28.5,31.08,37.23,31,29.1,33.5,37.56,24.6,,31.05,33.45,19.52,23.65,27.4,33.83,27.18,25.84,22.8,36.59,,15.9,27.2,13.5,20.31,26.08,25.45,36.9,,28.55,32.25,37.02,10.2,,,37.5,26.75,,17.5,36.95,26.83,,,15.61,,30.1,34.88,8.5,,29.8,,17.5,28.11,25.79,,39.6,32.6,34.06,32.82,,,31.1,33.4,,32.98,28,,26.5,34.04,28.72,29.24,37.48,37.48,
291343079244701,Lambachaur HP,29.22861111,79.41305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.65,33.46,38.79,35.91,45.58,43.14,40.86,69.91,,43.67,,57.81,63.04,33.44,25.72,26.43,32.17,38.23,35.39,39.01,40.56,66.07,34.36,35.73,59.42,60.66,55.32,,,,40.53,46.46,45.5,44.88,,,46.05,,,,,,,,,48.68,,,,,46.56,,50.62,52.36,,,,,52.39,53.77,,,,,,,45.68,,,,,42.36,,,
291900078590001,Maldhan Colony 1,29.31666667,78.98333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,1.42,2.18,2.43,3.65,,,,4.3,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,6.23,2.53,2.2,,5.58,,2.83,2.23,,,2.83,2.43,,5.98,2.58,,5.5,5.53,2.22,2.56,6.43,6.43,
