station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
233836087461501,Bahari,23.64333333,87.77083333,,,,,,,,,3.15,4.22,0.68,1.34,2.7,3.09,0.52,1.54,1.9,2.75,0.66,1.97,2.8,4.83,0.7,1.64,2.78,4.95,2.02,,3.01,4.68,1.26,3.11,2.01,4.19,0.71,1.23,1.86,2.88,1.35,0.7,1.57,1.9,0.14,0.61,1.51,1.94,0.37,0.79,1.51,1.89,0.51,,1.54,8.79,0.44,0.82,1.36,1.64,0.35,,1.54,2.31,0.58,0.64,1.39,1.65,0.98,1.58,1.25,1.87,0.7,1.19,1.75,1.24,,0.6,1.09,1.04,0.21,0.12,0.76,,0.04,,0.76,0.79,,7.4,,1.39,0.79,1.7,0.9,1.44,,0.59,0.92,1.24,1.27,1.45,27.04,32.29,,32.61,29.21,,28.99,8.06,,,1.26,3.18,0.77,28.08,32.41,27.09,29.98,,,
233829087454501,Baidyanathpur,23.64138889,87.7625,,,,,,,,,4.05,6.48,2.6,1.82,3.6,5.26,2.5,2.18,2.22,3.35,1.91,1.82,3.32,6.31,2.03,1.72,2.63,4.51,2.75,2.95,3.76,6.53,1.96,2.19,3.81,4.86,2.28,1.34,2.24,4,2.12,1.7,1.96,4.36,2.15,1.81,2.39,4.81,2.47,1.55,2.65,4.86,2.03,,,6.52,2.22,1.55,1.95,4.9,1.39,1.52,3.2,5.21,3.09,2.55,3.25,,3.98,2.08,4.42,6.19,2.16,2.84,3.2,6.3,,3.53,4.75,7,4.75,2.16,4.6,7.51,1.95,,5.7,10.24,1.26,6.8,,,2.3,,1.48,7.26,,2.92,,,5.31,5.72,,,,5.98,5.5,,,,5.3,,2.16,2.24,5.13,6.76,6.47,6.4,6.78,7.56,,
235255087224601,Bakreshwar,23.88194444,87.37944444,,,,,,,,,2.6,5.7,1.13,1.42,2.17,3.3,1.28,1.82,2.19,2.5,0.84,3.08,2.67,5.05,1.37,1.88,2.57,3.47,2.05,1.8,3.67,3.59,1.77,2.15,2.79,3.66,1.79,1.92,2.43,2.68,2.27,2.5,2.9,6.34,2.34,2.46,2.34,2.94,1.87,1.72,2.24,3.32,1.07,,2.09,10.48,1.44,1.64,3.04,2.82,1.34,2.17,2.77,3.3,1.45,2.9,2.27,4.04,3.46,3.09,3.02,4.63,1.59,3.23,2.3,3.49,,2.19,2.73,3.61,1.99,2,3.4,3.27,0.34,,2.69,3,1.15,,,2.84,1.24,2.6,2.09,2.91,1.63,,,,1.68,2.68,3.02,3.62,2.26,2.15,2.49,,1.63,1.83,2.08,,1.45,2.3,1.65,1.92,1.77,2.7,2.49,2.94,,
240238087401701,Banbataspur,24.04388889,87.67138889,,,,,,,,,3.23,4.03,0.7,1.63,2.43,3.18,1,2.39,2.72,2.2,,2.3,3.18,1.59,1,2.38,1.93,1.72,0.83,2.28,2.27,1.46,,3.3,2.26,1.94,0.91,2.13,2.31,1.03,0.56,0.75,2.68,,1,2.84,2.48,2.05,0.76,1.83,2.31,2.77,0.58,,3.02,2.44,0.53,0.84,2.71,1.35,1.79,1.13,2.69,1.41,1,0.53,2.28,,2,1.81,2.34,2.72,1.51,,2.35,3.57,,2.41,3.13,4.79,1.58,2.13,3.2,2.59,1.09,,3.15,3.81,1.88,4.75,,2.8,0.53,3.25,2.35,2.37,1.68,2.76,2.22,2.46,0.51,2.2,2.96,2.58,0.82,2.18,2.73,,0.75,1.94,3.06,,0.57,2.31,1.97,,0.81,2.4,3.33,4,,
240857087424101,Barjalbelpahari,24.14916667,87.71138889,,,,,,,,,4.47,6.24,2.15,2.72,3.35,,,,1.54,,,2.55,,4.35,,,,,1.45,2.6,,,,4.06,1.78,1.39,,,,0.8,,2.7,2.25,3.54,,1.65,2.19,3.31,,,,4.12,,,3.55,3.68,,,,1.88,,,,2.92,,0.2,4.4,2.06,,3.12,4.02,3.57,1.88,1.4,3.95,7.75,,2.27,3.91,6.8,,2.75,3.21,2.5,,,3.55,6.31,1.45,4.8,,3.1,0.9,,2.82,3.8,,2.72,3,,1.82,3.59,,4.5,1.07,2.73,2.82,,1.15,,4.36,,0.89,1.29,4.07,3.16,2.03,4.2,5.5,2.2,,
240840087425001,Barjalbelpahari1,24.14444444,87.71388889,,,,,,,,,1.8,4.13,1.05,1.23,2.77,,,,3.02,,,1.07,,3.1,,,,,1.25,1.68,,,,3.07,0.86,2.77,,,,1.6,,1.25,3.74,2.2,,0.52,3.87,1.58,,,,2.48,,,2.5,2,,,,1.58,,,,2.31,,,4.6,3.18,,,3.25,2.79,1.55,7.2,2.75,5.7,,1.15,2.46,5.33,,1.65,1.91,1.2,,,4.67,4.03,1.5,4.75,,4.85,1.2,,3.4,6,,3.76,3.63,3.65,,2.84,,,0.61,1.52,4.33,,,,3,,,2.46,2.06,0.92,0.52,1.95,2.12,5.08,,
240714087402901,Bartala,24.12055556,87.67472222,,,,,,,,,4.85,7.13,2.33,3.58,4.01,9.01,3.17,3.64,4.27,,,3.08,4.26,2.68,0.91,3.72,3.38,3.54,2.8,3.58,4.05,3.41,,4.2,3.99,3.82,1.26,3.84,4.07,3.48,,3.36,,,,,,3.64,,,3.94,4.05,2.29,,,3.1,,,,,,3.4,4.53,2.72,,2.47,3.85,,3.08,,4.81,5.44,0.8,3.11,4.55,4.68,,1.57,3.52,5.28,2.75,2.23,3.22,2.81,1.56,,5.55,4.75,0.91,5.6,,3.85,1.25,2.85,3.81,,,3.71,4.74,3.27,1.17,,4.7,3.9,2.01,2.75,2.05,,0.86,3.19,4.08,,0.48,2.16,3.95,4.6,4.79,3.95,4.57,,,
234730087293001,Batikar,23.79166667,87.49166667,,,,,,,,,3.61,4.11,0.77,1.65,,,0.72,3.18,4.39,2.55,2.41,0.95,7.28,9.75,2.59,3.15,8.08,9.12,1.8,1.55,8.17,,0.61,1.95,4.19,2.86,2.47,3.32,2.35,5.85,0.64,0.85,1.73,2.95,0.67,0.87,1.62,4.07,0.79,1,2.48,7.17,0.45,,2.01,8.2,0.57,0.87,0.8,6.97,0.38,0.97,2.15,7.88,0.68,0.92,1.12,8.07,1.18,5.05,4.31,8.24,0.49,2.02,5.27,8.07,,6.16,7.54,8.2,0.49,0.76,6.68,8.38,0.91,,7.67,8.87,0.58,9.07,,,2.17,8.3,8.07,,3.67,3.66,,,3.27,,8.7,,7.82,6.65,8.24,,5.15,5.5,7.4,,0.95,1.62,,,,,7.69,7.87,,
241736087450901,Bhabanandapur,24.29333333,87.7525,,,,,,,,,3.8,5.15,2.35,4.15,4.54,6.58,1.23,3.57,4.01,5.13,1.05,2.8,3.67,5.95,0.71,3.12,3.34,3.29,3.2,2.85,3.78,3.45,0.65,3.27,3.27,3.27,2.04,3.54,3.71,2.95,1.24,2.28,2.58,4.3,0.2,1.87,2.74,3.7,0.93,,2.83,4.2,0.38,,2.28,7,0.9,1.05,2.75,2.1,0.81,1.55,1.72,1.98,,1.1,2.1,3.73,0.81,2.07,1.07,3.02,3.65,16.05,,3.57,,0.9,1.97,1.98,,1.37,1.26,1.9,,,1.87,1.87,1.29,3.6,,3.45,1.3,,,2.6,,2.2,2.49,,0.6,1.26,1.74,2.39,0.49,1.26,,,0.41,1.74,1.45,,0.43,1.64,1.67,1.36,0.38,2.3,1.29,1.73,,
234947087302901,Bhurkona,23.82972222,87.50805556,,,,,,,,,4.85,6.95,2.49,1.46,1.75,6,1.84,3.72,4.15,4.4,2.54,2.93,4.21,4.02,2.77,3.73,4.28,4.15,2.75,2,4.38,3.66,2.44,4.18,4.02,3.69,2.65,3.67,3.54,3.18,,3.1,2.28,3.75,1.5,2.98,3.85,3.59,2.68,3.62,4.15,4.45,2.49,,,5.05,1.3,1.59,,2.72,1.06,1.33,2.2,2.61,0.22,1.7,3.4,4.2,2.16,3.12,2.08,,,,,,,2,2.53,3.25,,,,,,,,,,,,,1.1,2.9,2.44,3.04,1.47,,2.36,2.24,1.15,2.47,4.06,2.84,2.62,1.36,1.99,,1.89,1.82,2.88,,1.25,2.09,1.44,1.9,1.32,2.55,2.54,3.75,,
