station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
220500087430001,Bhagwanpur Spz,22.08333333,87.71666667,,,,,,,,,3.48,8.48,6.21,3.91,4.99,8.82,5.38,4.8,5.2,8.52,7.36,6.16,11.57,11.8,7.23,6.39,8.24,8.89,7.06,7.16,5.4,8.98,5.84,5.5,7.26,10.19,6.52,5.93,7.15,11.07,8.09,6.13,8.58,11.76,7.73,7.02,8.7,12,4.61,6.15,8.61,,5.3,6.03,9.5,12.49,5.16,5.54,7.95,,,,,,,,,,,,8.01,16.39,10.85,9.22,,13.07,,10.98,10.29,,3.5,10.22,10.33,16.58,12.05,,12.25,18.63,,17.72,,22.41,,,25.87,23.67,21.42,14.41,,24.23,17.48,14.42,,,13.14,15.55,14.25,,15.12,0.78,35.24,,16.1,15.4,16.89,21.05,16.55,16.1,27.03,24.05,,
220115088031901,Haldia Anc.camp,22.02083333,88.05527778,,,,,,,,,6.22,8.14,6.6,6.18,6.36,,6.96,7.31,8.11,8.65,8.43,8.57,8.43,9.27,9.18,9.21,8.1,10.07,9.03,9.05,8.74,9.2,8.96,8.92,8.24,8.9,9.05,8.55,7.54,9.56,8.07,8.41,7.78,9.39,8.4,8.47,9,9.58,8.49,,,,9.79,10.09,8.9,11.67,10.42,8.41,9.46,,10.32,8.58,9.89,12.26,11.25,11.28,11.5,13.21,13.38,11.19,10.39,13.62,12.69,12.04,11.49,13.15,,12.35,12.65,11.8,14.6,13.65,13.17,16.03,15.08,,13.9,17.19,11.8,14.17,,17.32,15.52,,15.85,15.54,12.84,15.89,10.95,11.27,12.11,11.54,,,,2.57,0.42,,,,0.27,,,0.32,,0.4,1.22,1.13,,,,
220100087322001,Potashpur,22.01666667,87.53888889,,,,,,,,,2.7,9.26,4.61,2.3,3.4,5.8,3.25,4.05,4.52,6.95,2.58,3.24,9.6,12.66,4.57,3.14,7.73,8.83,4.95,6.13,5.53,8.7,6.78,3.06,12.92,10.66,4.71,5.61,,10.86,,3.41,8.34,12.56,5.94,5.12,8.84,,4.29,3.3,,,3.66,3.51,,,3.6,3.05,5.05,10.8,0.72,6.4,12.58,7.24,,7.02,10.27,16.15,12.03,14.74,13.51,19.43,10.65,14,12.35,16.51,,16.11,12.34,,2.2,8.33,,16.66,10.57,,12.49,17.77,,21.75,,16.94,11.73,13.6,16.3,15.7,16.56,10.26,,16.22,,12.92,,13.41,12.02,7.45,9.37,,7.9,6.23,9.68,,9.5,9.36,17.4,14.79,14.65,,,,,
220815088073001,Sutahata Mw,22.1375,88.125,,,,,,,,,7.46,8.43,7.54,7.47,5.38,8.23,8.16,8.02,9,6.26,8.3,8.03,8.04,8.53,8.85,8.82,8.55,8.76,0.39,1.03,8.54,8.9,9.07,8.92,8.59,8.84,7.19,8.17,7.8,8.34,8.15,7.95,7.39,7.78,8.09,7.85,7.62,7.8,5.2,,,,9.26,10.8,9.07,9.95,9.27,7.12,10.02,8.57,9.39,9.16,8.69,10.46,9.89,9.52,9.19,9.9,9.87,9.37,9.6,10.42,11.22,11.11,11.11,11.87,,11.77,11.45,12.27,2.82,12.47,12.1,13.21,11.69,,,13.09,12.83,9.47,,14.23,13.96,14.47,,,14.58,13.49,,10.69,11.09,,,,,13.97,14.73,,14.22,,23.66,,16.12,15.79,16.35,18.31,19.4,19.32,18.07,,,
214820087313001,Egra,21.80555556,87.525,,,,,,,,,,10.4,1.97,4.45,3.4,5.67,3.64,4.8,5.45,5.19,8.19,4.09,8.02,12.83,4.99,3.68,5.42,6.46,,5.92,5.28,7.96,4.75,3.6,10.8,10.23,4.44,4.96,,8.46,5.7,3.84,5.57,12.15,6.17,4.91,6.5,9.7,5.88,3.79,5.78,11.7,6.4,6,7.9,14.73,6.24,3.5,4.52,13.5,5.75,7.1,9.62,12.26,9.06,8.31,8.76,17.29,12.38,10.27,9.84,19.81,10.66,9.53,9.51,,,13.34,10.54,21.6,7.7,6.16,6.18,21.6,9.54,,9.88,18.7,,14.21,,15.9,8.67,9.7,3.64,17.28,1.39,7.52,16.64,16.6,5.49,4.24,,12.89,5.71,5.45,6.93,,9.8,1,,,,4.28,,,,7.09,,20.3,,
220055087320001,Patashpur,22.01527778,87.53333333,,,,,,,,,,8.91,0.5,1.08,2.08,7.63,0.42,1.5,2.12,6.6,1.14,0.57,7.32,7.91,0.48,1.98,3.48,7.29,0.48,2.46,2.87,7,0.45,0.88,7.03,7.51,0.86,1.35,,7,0.59,1.18,,,,5.22,8.4,8.8,4.38,2.1,8.95,13.1,1.02,3.78,10.7,13.32,1.05,2.05,3.12,7.65,0.69,5.98,9.34,7.21,2.94,6.62,9,14.96,,14.84,,,10.28,14.43,13.11,17.38,,16.42,12.54,,9.9,9.04,9.51,,11.94,,14,18.99,16.7,19.61,,16.7,,13.6,,14.44,14.38,8.98,23.93,16,11.77,12.36,,12.1,11.89,6.75,8.48,,7.57,11.8,9.06,,10.38,8.21,16.45,14.85,12.9,10.82,,,,
215900087475001,Heria-i,21.98333333,87.79722222,,,,,,,,,,,,,,,,,,6.91,,3.97,5.15,10.2,4.32,3.58,3.43,10.1,4.04,4.93,4.45,9.92,4.08,3.51,4.52,5.52,3.8,3.5,4.26,5.06,5.05,3.33,3.4,5.6,4.29,3.67,,13.03,4.38,3.5,3.61,9.4,6.76,5.59,6,10.32,6.96,3.06,4.1,6.7,5.67,5.9,6.27,11.3,8.55,5.3,7.23,7.57,9.89,7.93,7.29,13.06,9.86,7.09,7.16,10.39,,7.91,7.58,10.1,7.4,7.75,7.3,10.11,7.61,,6.76,12.05,8.63,8.08,,10.96,,7.52,7.54,10.73,8.82,7.82,13.74,11.8,9.57,,,,,8.7,8.98,,8.8,5.68,8.2,,9.68,9.47,9.15,11.39,10.45,,,,,
214904087442002,Bonamalichatta PZ,21.81777778,87.73888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,6.62,10.5,8.18,5.97,2.96,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221922087491401,Anantapur2,22.32277778,87.82055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49,11.12,19.14,2.25,9.32,10.89,17.68,13.42,11.78,12.87,18.88,14.1,,20.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220820087532801,Bagdoba(narghat),22.13888889,87.89111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42,12.1,19.79,8.35,12.74,12.63,19.54,13.99,14.32,13.36,16.19,,14.36,18.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
