station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
230640088263001,Balagarh,23.11111111,88.44166667,,,,,,,,,3.57,3.57,2.52,3.73,4.55,5.33,2.03,2.4,2.7,5.37,,3.77,5.05,5.04,2.44,3.22,4.87,6.32,1.57,4.1,5.39,4.89,2.88,5.1,4.27,4.83,3.33,2.72,5.12,5.33,3.87,4.17,4.79,5.58,3.05,3.95,,5.92,3.64,4.13,4.87,5.35,3.72,4.28,5,5.23,2.67,3.41,4.69,5.38,3.69,4.02,4.77,4.97,2.68,3.95,4.89,5.69,4.61,4.73,5.3,5.42,4.02,4.23,5.25,5.43,,5.46,6.1,4.83,3.51,3.32,4.77,5.25,3.97,,3.02,5.86,2.74,4.49,,5.55,9.65,9.7,10.35,5.57,8.67,7.9,5.17,5.35,6.9,6.35,7.81,6.02,6.82,4.82,,,5.2,5.2,5.01,,2.84,4.09,0.43,4.95,3.97,4.64,,2.27,,
225830088053201,Dhanikhali,22.975,88.09222222,,,,,,,,,6.64,9.54,5.9,5.85,7.39,10.07,5.14,5.8,6.01,7.72,,5.12,9.13,10.65,5.96,4.84,,10.04,6.54,5.54,8.97,10.74,7.34,7.07,11.24,9.73,6.64,6.01,9.15,11.5,7.58,5.62,7.53,12.42,6.21,6.7,8.6,12.34,10.36,6.04,8.89,12.71,,,11.96,12.95,7.73,6.99,8.79,10.25,,6.64,8.69,11.53,8.82,8.68,11.05,,11.35,8.78,10.5,16.31,10,8.96,9.94,13.79,,,,13.02,9.81,,10.04,11.87,10.6,,9.44,13.8,8.37,10.24,,15.82,12.79,,1.9,13.14,11.68,,15.38,14.05,12.78,13.2,18.98,16.4,8.35,,,,,12.08,16.28,,12.14,9.07,9.13,,13.93,26.5,,,,
224630087561201,Digruighat,22.775,87.93666667,,,,,,,,,5.79,8.09,3.36,5.33,6.67,6.41,4.66,6.04,6.34,7.7,,4.64,7.15,7.06,2.35,4.89,6.68,8.52,5.39,4.82,6.82,,7.48,6.24,6.69,6.9,8.35,6.03,5.85,5.71,5.64,,,6.44,7.5,5.54,6.27,6.01,,,5.32,5.86,3.97,5.1,7.11,8.79,,6.49,6.71,,,,6.5,4.85,,,,,2.55,7.12,6.4,6.69,4.71,,7.74,10.1,,9.66,9.86,10.16,7.98,7.21,8.14,14.03,10.96,,8.79,10.82,10,6.72,,,,11.75,,,,,,,15.46,8.39,9.34,8.7,10.15,7.22,,,,6.69,,,,,,9.03,15.79,,,,,
225258087424901,Goghat Pz,22.88277778,87.71361111,,,,,,,,,9.97,12.27,6,6.15,10.69,14.6,5.9,6.87,10.67,13.33,,6.33,15.43,16.55,7.21,,10.97,16.47,,,,,,10.72,15.27,17.04,7.45,7.02,14.62,17.22,12.47,7.41,10.74,18.44,7.4,8.31,12.45,18.27,16.56,9.73,13.99,19,15.87,12.19,16.71,18.94,17.07,13.82,15.27,18.98,15.2,12.35,15.57,10.2,17.45,18.44,18.93,20.57,20.68,21.58,20.75,21.62,20.36,20.09,20.07,21.67,,20.79,20.91,21.47,21.35,20.22,19.67,21.27,20.01,,19.09,21.4,20,20.5,,21.6,21.64,,,19.21,8.44,19.6,18.3,19.08,,18.38,18.6,,18.5,17.9,18.26,,,10.3,17.1,,16.19,13.46,13.96,15.91,16,18.72,,,,
224839088022001,Gopal Prasadpur,22.81083333,88.03888889,,,,,,,,,5.13,9.03,3.09,3.22,7.15,7.28,4.33,4.82,6.11,6.63,,2.63,11.2,,3.54,2.47,7.27,9.18,3.63,3.2,9.68,10.48,3.38,6.27,13.13,11.72,,5.01,11.05,9.98,5.2,2.97,7.57,13,3.8,4.71,8.73,12.58,7.68,2.81,7.51,13.01,6.43,3.28,10.51,12.68,6.57,4.53,7.43,11.79,5.43,3.93,7.8,9.22,9.42,6.9,9.39,13.63,10.94,8.01,10.6,14.93,10.36,8.34,10.33,10.73,,9.64,10.84,11.92,,6.1,9.62,,12,,14.03,9.95,9.95,10.17,,14.63,12.03,,15.13,,,9.56,13.56,,11.85,,15.4,16.65,14.93,11.72,,,,10.85,13.23,,,9.23,8.9,,15.67,11.27,,18.05,,
224734087485601,Gourhati Pz,22.79277778,87.81555556,,,,,,,,,7.73,10.68,3.71,6.81,8.9,9.93,6.73,7.33,12,8.58,,3.82,17.06,12.44,4.25,2.77,8.58,12.1,4.73,5.65,14.67,11.63,5.27,7.83,17.78,11.38,5.42,7.42,16.18,13.26,5.7,3.41,11.25,17.69,5.42,6.58,10.52,13.48,9.86,4.8,9.83,16.43,7.58,8.97,19,,,8.37,11.08,,,8.11,10.6,,8.38,,,20.13,13.18,14.36,15.25,21.08,17.26,12.93,13.08,21.06,,13.85,13.13,20.42,11.15,6.28,10.9,18.18,11.03,,21.88,21.87,14.9,14.27,,20.54,12.39,,,19.65,11.78,9.03,25.72,18.55,,14.54,28.88,18.4,14.72,9.71,17.91,,13.48,13.48,17.43,,12.7,8.98,8.94,19.98,,14.97,,,,
225016087522601,Haraditya Pz,22.83777778,87.87388889,,,,,,,,,7.47,12.72,5.08,7,9.49,9.95,6.67,7.1,8.31,9.22,,4.19,13.7,11.74,6.23,3.8,7.82,10.89,5.04,5.56,12.79,11.02,6.32,8.03,15.32,11.99,7.79,7.02,12.7,12.8,7.72,4.5,5.87,14.72,7.02,8.36,9.9,13.1,12.47,6.42,9.91,13.05,8,8.07,13.21,16.11,8.22,,8.22,14.72,7.17,6.92,11.12,13.98,,11.35,12.97,15.83,13.13,11.91,13.2,16.22,10.64,11.77,11.82,16.18,,14.37,13.88,15.99,12.58,7.89,12.52,14.72,12.69,,15.32,16.76,13.74,12.92,,17.17,11.24,,,19.28,12.98,9.1,16.57,15.7,,8.11,10.64,15.72,17.06,11.33,11.39,,13.22,13.22,15.96,,,,,,,,,,,
230807088224801,Inchura,23.13527778,88.38,,,,,,,,,0.95,4.55,1.61,2.04,3.75,6.11,3.05,3.13,4.2,4.4,,1.52,6.22,7.8,1.8,1.82,1.3,1.99,0.18,2.64,4.61,1.7,0.46,1.42,4.45,3.47,0.48,3.2,0.65,2.1,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,8.2,10.86,9.26,5.68,6.65,10.56,9.23,12,10.05,12,9.11,11.7,4.64,12,,8.7,10.8,10.35,,8.6,8.93,8.27,11.5,9.21,1.2,,,,
224105087471101,Kaknan Pz,22.68472222,87.78638889,,,,,,,,,5.15,9.45,2.34,4.4,5.56,7.17,4.45,4.6,7.05,5.52,,2.83,11.05,9.64,3.45,1.9,7.05,8.75,3.18,3.42,10.85,,,4.33,6.77,8.44,2.75,4.72,11,9.68,4.39,2.39,6.75,13.02,4.2,6.03,6.94,9.45,8.57,2.55,6.21,11.31,,6.09,11.91,13.55,4.4,3.2,7.05,11.44,5.8,3.22,,11.57,,,,15.4,9.44,9.39,11.2,15.55,6.82,7.02,8.05,14.72,,7.7,8.65,13.52,,,8.06,,8.65,,14.92,7.81,7.81,8.55,,15.22,,,,,,,,,,,,,14.63,10.85,13.25,,,,16.59,,,,,,,,,17.15,,
225347087391901,Kamarpukur Pz,22.89638889,87.65527778,,,,,,,,,3.8,9.8,0.37,1.65,4.81,7.4,0.7,1.8,4.05,6.76,,,8.82,10.5,1.2,2.21,5.6,9.5,1.12,2.77,6.63,9.65,0.8,5,8.9,8.98,2.32,2.01,7.29,9.79,1.41,1.3,2.1,8.97,2.2,2.82,4.68,9.8,2.98,1.01,6.16,10.13,3.32,3.48,7.24,10.27,3.39,2.27,5.84,9.95,4.75,2.4,6.8,9.53,3.7,8.02,8.98,11.13,9.76,13.61,10.6,12,4.3,8.01,8.55,11.15,,10.37,9.35,11.12,7.44,3.15,7.61,10.53,6.86,,9.8,10.8,2.5,8.87,,11.19,8.97,,,8.26,,6.8,13.2,11.41,,8.69,10.42,11.1,,8.54,10.73,,,7.6,9.39,,9.92,,5.61,9.44,10.9,8.05,,11.6,,
