station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
221930086530001,Chichira,22.325,86.88333333,,,,,,,,,4.91,11.56,2.26,8.01,10.1,11.12,1.61,6.41,9.1,6.28,8.09,6.96,7.6,11.27,0.86,1.43,5.27,9.75,1.74,6.98,10.41,10.64,2,5.5,9.69,10.83,2.33,4.03,8.29,,4.34,2.57,9.73,10.36,3.79,3.55,8.01,10.5,4.39,3.46,8.31,10.01,1.09,2.44,7,8.01,1.26,2.16,9.5,9.01,1.45,2.66,6.57,8.38,3.46,5.43,6.43,10.43,6.64,4.95,5.42,,2.25,2.22,4.64,7.85,,4.44,6.32,8.29,2.26,1.13,2.86,5.66,2.55,,4.6,8.05,4.31,7.55,,11.41,2.36,2.66,9.57,12.17,1.96,3.88,9.89,7.91,1.97,6.25,8.62,,,3.86,8.81,,,,7.55,,3.77,2.29,5.31,10.2,2.68,7.71,,19.71,,
223040086593001,Dahijuri,22.51111111,86.99166667,,,,,,,,,5.72,8.02,3.31,4.2,7.01,8.42,1.52,5.9,7.11,8.32,5.22,5.24,9.74,10.04,3.27,4.54,7.25,,1.33,6.27,7.82,8.48,2.43,6.39,8.67,8.02,3.12,4.37,7.46,8.86,4.98,2.5,6.86,9.33,1.34,4.78,7.52,9.32,3.2,,,9.52,1.34,4.8,7.07,9.14,1.28,2.61,7.6,8.62,0.92,,7.57,,,,,,,,,,4.09,5.18,8,9.87,,6.26,7.83,9.72,3.37,1.74,6.71,9.08,3.3,,7.74,9.59,4.62,7.3,,10.02,5.04,5.47,,8.35,2.21,4.58,,8.02,1.04,6.52,7.87,8.77,1.74,6.82,7.37,,,11.47,7.54,,1.68,,6.37,4.93,3.37,4.92,,7.54,,
221130086530001,Gopiballavpur,22.19166667,86.88333333,,,,,,,,,5.12,6.62,3.65,5.4,6.02,6.72,4.02,5.49,6.3,6.28,5.36,4.91,6.4,9.76,3.62,4.21,5.58,9.71,2.56,5.64,7.02,8.92,3.95,5.22,6.52,6.8,4.92,4.71,5.9,6.82,5.39,4.05,5.52,6.78,3.48,4.6,3.3,7.4,5.21,4.79,5.8,6.62,3.03,4.87,5.92,7.27,3.21,4.1,6.02,6.62,4.26,5.02,6.07,6.91,6.03,5.21,6.16,6.96,7.85,6.6,6.51,7.23,3.82,4.82,5.81,6.69,,5.47,6.11,4.29,3.82,3.69,5.42,6.69,3.51,,5.56,7.51,1.82,6.23,,7.33,6.45,,6.25,6.19,4.3,5.14,6.47,,4.76,,6.5,6.94,5.34,5.12,6.3,,,10.6,6.42,,5.02,4.78,6.2,5.14,5.25,6.27,,,,
221930087024001,Lodhasuli Dpz,22.325,87.04444444,,,,,,,,,5.58,6.86,1.79,3.75,5.8,6.5,0.8,5.37,5.6,5.88,2.32,4.8,6.61,7.09,1.38,3.3,5.87,6.13,0.72,5.43,6.2,6.9,1.02,5.38,6.3,5,1.64,4.76,6.26,6.68,3.36,1.68,5.99,6.36,2.25,4.06,6.18,8.7,1.76,4.18,,5.98,2.08,4.7,6.58,7.14,2.68,4.62,6.28,7.28,2.01,5.18,6.42,,5.26,6.06,6.88,6.4,3.97,6.07,7.09,6.58,2.56,5.09,6.26,7.24,,5.12,6.31,7.5,4.33,,6.08,,,,,2.78,2.78,6.32,,8.23,,,6.23,8.2,1.19,5.42,,3.98,4.45,6.4,,,2.83,5.32,6.61,,,4.63,6.79,,3.68,3.88,6.42,7.38,2.38,1.53,,,,
222830087033001,Rashmandal,22.475,87.05833333,,,,,,,,,3.9,5.09,3.65,3.67,4.24,5.53,3.02,4.1,6.02,5.33,5.16,4.7,5.34,7.63,2.12,3.44,4.85,5.12,3.49,1.43,5.84,5.29,4.07,5.17,5.75,,2.96,4.82,5.52,5.5,4.66,3.62,,,,,,,,,,,,,,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,,,,,,,,,,5.39,5.08,,3.27,4.46,5.26,4.59,,4.95,5.42,,4.27,4.59,5.4,,,,5.25,,4.54,3.44,5.02,5.91,5.49,6.13,,,,
221606086560501,Belia Beria,22.26833333,86.93472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,8.52,7.98,4.08,5.01,7.2,8.7,3.29,4.99,,8.2,5.82,5.05,7,8.22,5.68,4.6,6.05,10.78,,6.65,8,8.8,7.87,,,9.33,8.19,7.95,8.26,,,,,,,6.96,7.99,9.8,,,,,,,,,,,,,,11,9.67,9.12,1.12,8.45,10.17,,7.86,7.47,10.43,,,,,,6.64,2.57,6.71,,8.94,6.53,8.66,11,7.43,7.38,,,,
221355086551901,Topsia,22.23194444,86.92194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,8.5,10.23,6.73,7.23,8.97,10.7,7.53,6.98,,10.15,6.49,7.7,8.75,10.1,6.35,6.7,7.61,10.28,6.55,8.15,9.58,10.74,8.39,9.37,9.99,11.04,10.72,10.36,10.62,,,,,,,,9.21,,,,,,,,,,,,,,,9.31,10.44,9.34,11.62,9.1,11.74,,4.33,8.37,11.33,,9.57,8.75,11.44,,8.25,9.44,9.52,,10.26,7.78,10.16,10.98,11,8.23,,,,
222652086595501,Jhargram,22.44777778,86.99861111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.49,10.95,2.45,1.65,6.41,9.89,3.52,,,,,22.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221030087092901,Kultikri1,22.175,87.15805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,3.04,6.45,3.4,1.08,3.01,3.93,1.65,2.69,3.69,3.86,1.8,3.03,4.49,4.8,,,,3.91,1.37,,,,0.98,,,2.45,,,,,,,,,,,,,,,,,,
223625086482001,Muohi Bundh,22.60694444,86.80555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,5.19,4.5,3.25,3.81,4.69,6.94,2.06,4.52,5.81,7.29,3.1,6.5,8.09,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222924087050901,Rashmandal1,22.49,87.08583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.7,5.32,5.79,3.21,3.84,,4.07,4.22,4.86,5.34,3.89,4.44,5.14,,,,,5.64,3.27,1.9,,,4,,,5.23,,,,,,,,,,,,,,,,7.59,,
221207087082101,Sankrail2,22.20194444,87.13916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57,10.35,14.45,3.05,5.56,8.94,13.71,6.48,8.08,10.44,14.46,12.55,2.88,13.75,,,8.39,,,,,,,12.1,,,,,,,,,,,,,,,14,,,,,,
221543086550701,Topsia1,22.26194444,86.91861111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,9.17,,2.31,6.15,7.84,10.58,7.64,7.87,9.43,11.41,,9.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,
221656087090701,Bagra Chak,22.28222222,87.15194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,2.45,,2.87,5.39,2.67,3.74,3.49,6.17,2.1,5.03,4.83,6,0.56,1.25,,,,,,5.72,,,,4.9,,1.6,6.1,,,,5.72,,,1.74,4.28,8.83,1.94,4.67,,,,
223751086460001,Bibpur-II,22.63083333,86.76666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.15,1.31,3.43,,,,,,4.3,4.52,5.94,13.23,0.89,1.15,11.2,,,2.45,,,1.45,5.59,5.75,,1.56,1.3,,,,,,,,,,,,,,,,
222652086595401,Raghunathpur1,22.44777778,86.99833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,5.15,,,,,,,,,11.02,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45,,
223112086505101,Parihati (Hat tala),22.52,86.8475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,0.97,,,0.77,3.68,5.01,5.2,3.8,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,
