station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
244400087553001,Arjunpur Pz,24.73333333,87.925,,,,,,,,,6.77,9.2,1.01,2.71,6.87,9.59,1.29,2.83,4.59,8.23,,3.67,4.98,9.13,,4.05,5.19,8.4,1.32,5.9,6.67,7.86,3.32,3.11,3.52,8.85,1.83,2.4,6.38,9.3,1.4,3.02,7.13,8.48,2.47,2.33,7.98,8.85,1.32,4.87,7.78,9.42,,6.54,,8.88,5.18,2.78,4.24,9.11,,,7.75,,3.02,4.27,,8.78,,,4.78,9.17,1.32,3.23,7.73,8.19,,13.1,13.75,9.39,5.85,3.95,3.85,8.76,2.23,,8.5,7.82,4.93,5.55,,11.42,10,,12.4,,,,,,,,,,4.65,,,,1.24,3.28,2.82,,1.34,1.62,4.74,3.14,3.09,2.75,,6.83,,
243630088004501,Aurangabad Pz,24.60833333,88.0125,,,,,,,,,2.15,3.19,3.44,,1.66,2.25,3.16,3.03,3.04,4.28,,2.04,2.58,2.8,2.93,2.86,2.85,3,2.71,2.53,2.71,2.97,6.41,6.21,6.51,2.95,2.76,3.41,3.46,5.98,3.46,1.48,3.71,5.25,2.75,3.06,3.52,5.75,3.87,2.53,3.97,7.65,4.67,3.55,5.15,6.59,3.3,2.55,,7.46,4.7,5.63,7.58,,4.06,4.02,,6.7,,,5.3,6.84,3.44,4.51,7.7,5.01,,,,10.61,6.1,4.8,,,,,6,7.1,4.03,5.4,,7.19,4.58,,6.2,4.24,,5.4,,5.62,,5.2,5.95,6.4,8.2,,6.12,,,,4.17,,3.04,3.88,,7.45,7.07,5.28,5.54,9.13,,
244346087553601,Churapukur,24.72944444,87.92666667,,,,,,,,,3.28,4.12,2.15,2.68,3.43,4.88,0.85,3.22,3.52,4.16,,2.38,3.16,5.09,,2.64,3.3,4.53,1.95,3.03,3.78,,2.95,3.03,3.43,4.66,,,,4.59,3.59,3.16,3.83,4.72,3.81,3.69,5.35,4.93,2.73,2.97,3.72,4.64,2.67,3.08,5.19,,2.16,2.41,3.91,4.77,,3.07,5.55,,,,,6.1,,,,,2.21,2.92,5.5,,,4.18,5.03,,,4.13,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,,,,
240200088064501,Gokarna,24.03333333,88.1125,,,,,,,,,10.03,12.48,11.43,10.64,10.52,13.23,11.88,11.03,12.86,13.05,,12.23,10.63,13.39,11.55,10.77,11.41,13.58,12.53,11.21,11.73,13.8,3.3,3.11,3.35,17.33,13.43,13.13,13.18,14.94,14.27,13.78,13.62,15.33,15.13,14.66,14.45,15.7,15.44,14.8,15,15.37,15.56,,,15.58,,4.07,,17.28,15.42,14.93,14.73,,16.31,16.36,16.13,16.73,,17.66,17.48,18.59,18.09,17.99,17.7,18.69,,12.13,12.63,19.98,22.03,10.83,19.33,20.61,20.41,,20.73,21.09,21.09,20.83,,21.63,,15.5,18.12,,,21.95,21.48,21.67,21.4,11.75,14.88,22.71,12.46,23.07,22.95,,22.12,14.08,23.86,,14.35,22.11,22.45,22.58,1.73,24.11,22.98,,,
240743088420302,Jalangi1,24.12861111,88.70083333,,,,,,,,,4.72,6.13,4.82,4.25,4.64,6.44,1.98,3.54,4.48,5.81,,2.7,4.05,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,7.05,,
244600087523601,Jorpukuria,24.76666667,87.87666667,,,,,,,,,2.35,4.13,1.44,1.76,2.4,4.37,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,3.95,,,3.05,4.21,,2.46,5.55,6,,,,4.11,,,4.59,,,3.45,2.72,4.65,2.8,2.93,2.21,4.8,5.5,,
235600088030001,Kandi,23.93333333,88.05,,,,,,,,,2.78,3.31,1.91,2.32,2.78,3.25,0.93,2.77,3.17,3.16,,2.12,2.65,6.12,,2.36,2.8,3.34,2.26,2.64,2.89,2.81,2.12,2.21,2.5,3.76,2.27,2.6,2.96,3.52,2.25,1.92,2.73,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,3.3,1.15,2.17,2.4,3.05,,2.38,3.23,3.13,1.62,2.48,3.08,3.02,1.75,,2.68,2.85,1.13,2.53,,2.22,2.11,2.43,3.33,2.58,1.84,1.95,2.26,2.12,1.8,,2.91,2.36,,,2.31,,,,2.19,,1.58,,,,,,,,,
241920088210001,Kashipur Pz,24.32222222,88.35,,,,,,,,,3.95,3.73,2.82,1.82,2.2,5.08,0.84,2.52,3.24,4.54,,1.42,2.57,5.55,0.65,1.9,2.14,4.69,3.19,2.08,3.52,3.85,3.2,3.11,3.41,5.08,3.22,3.6,3.22,5.1,3.36,2.07,3.72,5.22,4.44,2.19,3.38,5.18,3.62,2.54,3.4,5.42,,2.92,3.42,5.02,1.97,2.62,3.91,5.21,1.79,2.58,4.01,,,3.26,4.12,5.82,,5.24,,,,,,,,9.77,10.67,4.97,,2.87,,,,,,,,,,,6.85,,,,,3.03,,,,6.22,6.62,,5.18,3.91,4.1,,2.4,4.66,3.84,,1.55,,3.05,3.84,3.35,3.99,5.22,5.3,,
240000087570001,Kuli Pz,24,87.95,,,,,,,,,10.94,15.69,9.29,8.72,12.19,16.59,,,16.33,15.06,,,13.72,18.06,,8.88,16.56,17.51,14.32,,,4.84,8.21,8.11,10.1,19.57,14.61,15.26,15.1,,16.53,,,,18.26,14.87,16.81,,17.97,15.95,16.85,,17.38,,12.24,9.2,,13.97,17.94,,,18.46,19.22,,19.74,,,21.44,,21.54,19.59,,8.01,8.33,9.35,23.05,,,,23.09,,4.44,22.04,24.97,,,24.94,23.44,22.04,23.94,,23.49,24.72,,24.07,25.07,24.41,24.84,,21.49,,24.54,25.14,25.44,18.3,26.16,25.64,,25.69,,,,,,25.24,,,26.89,26.64,27.6,,
243900087560001,Natun Malancha,24.65,87.93333333,,,,,,,,,1.83,5.18,0.53,0.88,2.16,4.34,0.52,1.49,2.51,5.63,,0.47,1.48,6.62,0.48,0.8,1.63,4.26,0.95,1.72,2.78,4.09,1.02,1.12,1.2,6.56,1.65,1.9,4.07,6.58,1.46,0.97,2.54,4.3,0.79,1.3,2.75,4.5,0.42,1,2.73,8.86,1.27,1.42,1.73,5.02,0.47,0.87,,4.34,0.57,1.37,2.7,,2.8,1.41,2.98,5.52,1.64,1.67,3.37,7.21,0.39,1.46,2.88,4.46,,4.02,4.47,4.25,1.37,5.02,2.32,4.27,0.7,,2.95,3.82,0.84,1.82,,4.12,0.5,,2.12,3.57,,1.36,4.02,,1.87,4.56,4.32,4.84,1.48,,2.04,,0.37,2.9,2.44,,0.49,1.03,2.27,4.25,0.45,2.23,4.32,5.6,,
