station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
254204088074701,Barakamat,25.70111111,88.12972222,,,,,,,,,2.97,3.92,1.5,1.8,1.76,3.1,0.39,1.6,1.98,2.86,,0.71,1.69,2.91,0.04,0.85,1.72,2.35,0.82,1.59,2.43,2.9,0.09,1.07,1.8,4.11,0.48,1.24,3.01,4.2,1.17,0.95,1.4,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,2.12,2.58,,1.9,2.53,,1.58,2.3,,,1.36,,,,,,,,,,,4.8,,3.31,,,,
253842088215601,Dalimgaon,25.645,88.36555556,,,,,,,,,2.46,4.03,1.72,2.33,2.43,3.74,1.23,2.02,2.56,3.48,,1.61,2.44,4.26,0.8,1.74,2.5,3.63,1.74,,3.34,4.25,1.77,1.91,2.94,3.4,1.1,2.26,2.59,3.23,1.71,1.73,2.55,3.44,1.87,1.73,2.47,3.95,1.12,1.86,2.56,4.1,,,,,,,2.86,4.11,1.08,2.1,2.74,4.49,2.72,3.08,3.43,3.95,0.97,,2.41,3.87,1.28,2.32,2.53,3.7,,2.24,4.22,4.1,1.28,1.25,2.26,3.94,1.58,,2.31,3.48,1.15,2.23,,5.58,2.19,,2.47,3.27,,1.95,,4,2.5,2.96,,3.36,1.73,1.66,,,1.45,0.95,2.64,,1.37,,2.5,3.6,1.28,2.07,,,,
253130088103001,Durgapur,25.525,88.175,,,,,,,,,2.1,3.36,2.28,1.95,2.35,3.38,0.61,2.02,2.34,2.68,,1.61,2,3.46,0.14,1.82,2.32,2.57,1.64,2.32,2.68,3.46,1.34,2.04,2.49,3.02,0.86,1.97,2.39,2.71,,1.02,1.51,3.02,,,,,2.03,1.88,2.25,3.37,1.46,2.48,3.07,3.84,1.46,2.48,3.07,3.31,1.5,2.13,2.64,3.32,1.92,2.07,2.81,3.52,1.34,2.02,2.35,2.34,1.54,2.27,2.31,3.32,,2.57,3.31,3.57,1.91,1.79,2.23,3.06,3.22,,2.32,2.75,0.55,2.21,,6.17,1.46,,2.49,2.56,,2.2,2.56,3.04,2.11,2.8,,2.22,2.47,2.01,2.57,,0.9,3.05,3.35,,1.69,1.18,2.37,3.88,2.25,4.05,,,,
254116088130201,Hemtabad,25.68777778,88.21722222,,,,,,,,,3.89,5.71,4.66,3.9,4.48,7.2,4.05,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3.88,4.02,,4.61,5.55,,5.67,5.16,,4.7,,3.97,2.1,5.28,,4.69,4.97,5.52,6.93,5.33,5.44,,,,
253805088195501,Kaliaganj,25.63472222,88.33194444,,,,,,,,,3.91,4.65,0.53,3.55,3.87,4.77,2.99,3.69,4.1,4.51,,3.53,4.09,4.97,0.88,2.35,3.48,4.28,2.33,2.56,4.25,4.5,1.36,2.73,3.84,4.23,2.01,,3.56,4.43,2.5,1.63,2.08,4.5,2.9,2.43,3.42,7.3,2.35,2.32,3.6,4.64,2.25,2.82,3.49,4.94,2.25,2.82,3.49,4.99,2.53,3.19,3.32,5.27,2.82,2.73,3.22,5.06,2.42,2.78,3.42,4.8,2.19,2.99,3.46,5.12,,3.76,4.82,5.24,2.75,,3.28,,2.53,,,,,,,,2.64,,,,,,,4.37,,,,4.18,,,,,1.56,3.8,2.1,,3.28,3.05,3.89,5.89,3.32,,,,,
253600088172501,Mustafa Nagar,25.6,88.29027778,,,,,,,,,2.55,4.43,2.95,3.15,2.74,4.45,1.95,2.37,2,4.12,,1.73,2.47,4,0.99,2.1,2.94,4.29,1.8,2.6,3.62,,1.51,1.77,2.15,3.8,1,1.89,2.68,4.05,1.04,0.9,1.45,3.95,2.32,1.88,2.74,8.56,2.3,2,2.54,,,,,,,,3.32,,,1.1,4.2,5.86,2.28,2.45,2.8,,1.98,2.12,,,1.76,2.61,2.9,,,,,,2.17,2.29,2.73,,,,,,,,,,,,4.29,6.94,,4.5,2.87,6.61,,4.5,,6.34,4.42,3.37,3.1,,,1.92,4.68,,3.93,4.87,3.2,8.16,4.42,4.49,,,,
262400088201501,Molani,26.4,88.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,4.76,,,,4.86,,1.8,2.42,4.8,,,,,1.5,2.7,3.28,4.64,,,,,,,,4.48,1,1.97,4.51,3.82,2.11,3.2,4.1,4.27,1.32,,3.14,,,,,,,,4.42,,,,,,,,,,,,,,2.12,,,,,3.12,,,,,,,,,3.17,,2.11,,3.17,,1.96,2.44,,2.91,1.74,2.66,,,,
253837088174301,Baghan,25.64361111,88.29527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,4.87,6.38,3.25,3.16,3.83,6.35,4.8,3.5,4.34,5.93,2.52,4.29,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262137088182801,Chopra Pz,26.36027778,88.30777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,5.16,,,,,,2.95,,,,4.18,5.27,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261500088103801,Islampur Pz,26.25,88.17722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,3.15,3.63,0.95,1.62,2.45,3.42,1.15,2.52,2.51,3.28,0.81,2.33,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
